School Name,Tests Taken,Reading / Writing,Writing,Math
Excel Academy Charter (District) - Excel Academy Charter School,     170,500,,528
Fairhaven - Fairhaven High,     143,553,,572
Fall River - B M C Durfee High,     474,470,,462
Fall River - Resiliency Preparatory Academy,       1,,,
Falmouth - Falmouth High,     232,567,,555
Fitchburg - Fitchburg High,     320,480,,475
Fitchburg - Goodrich Academy,       3,,,
Four Rivers Charter Public (District) - Four Rivers Charter Public School,      34,598,,562
Foxborough - Foxborough High,     262,559,,568
Foxborough Regional Charter (District) - Foxborough Regional Charter School,      94,549,,518
Framingham - Framingham High School,     537,547,,574
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,      60,615,,567
Franklin - Franklin High,     597,574,,571
Franklin County Regional Vocational Technical - Franklin County Technical,       9,,,
Freetown-Lakeville - Apponequet Regional High,     200,557,,567
Frontier - Frontier Regional,      93,558,,566
Gardner - Gardner Academy for Learning and Technology,       1,,,
Gardner - Gardner High,     119,525,,507
Gateway - Gateway Regional High,      44,553,,531
Georgetown - Georgetown High School,     134,578,,575
Gill-Montague - Turners Fall High,      39,515,,527
Global Learning Charter Public (District) - Global Learning Charter Public School,      34,514,,515
Gloucester - Gloucester High,     159,543,,544
Grafton - Grafton High School,     225,572,,581
Granby - Granby Jr Sr High School,      33,543,,542
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,     139,508,,503
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,     216,447,,470
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,     199,500,,507
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,     254,513,,502
Greenfield - Greenfield High,      54,567,,564
Greenfield Commonwealth Virtual District - Greenfield Commonwealth Virtual School,      13,490,,476
Groton-Dunstable - Groton Dunstable Regional,     232,590,,610
Hadley - Hopkins Academy,      29,567,,554
Hamilton-Wenham - Hamilton-Wenham Regional High,     177,600,,592
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,      58,521,,556
Hampden-Wilbraham - Minnechaug Regional High,     314,564,,574
Hampshire - Hampshire Regional High,      92,587,,577
Hanover - Hanover High,     265,559,,547
Harvard - Bromfield,     119,614,,601
Hatfield - Smith Academy,      32,576,,545
Haverhill - Haverhill Alternative School,       1,,,
Haverhill - Haverhill High,     327,541,,534
Hingham - Hingham High,     366,603,,600
Holbrook - Holbrook Middle High School,      52,493,,501
Holliston - Holliston High,     230,594,,598
Holyoke - Holyoke High,     188,492,,481
Hopedale - Hopedale Jr Sr High,      68,580,,558
Hopkinton - Hopkinton High,     309,605,,620
Hudson - Hudson High,     210,570,,553
Hull - Hull High,      79,560,,549
