school_name,School Code,tests_taken,SAT_reading_writing,SAT_math,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,106,536,524,711.0,19.0,1424.0,54.0,46.0,42.7,11.5,12.4,4450000.0,52.6,3.4,20.7,19.4,0.4,0.1,3.4,Abby Kelley Foster Charter Public (District),"          $21,896,724.82",1425.4,"              $15,361.60","          $21,896,724.82",1425.4,15361.6,2019.0
Abington - Abington High,10505,148,528,525,267.0,18.2,600.0,50.2,49.8,24.0,5.0,11.2,10000.0,4.8,3.0,10.0,80.8,0.0,0.0,1.3,Abington,"          $28,935,060.43",2064.7,"              $14,014.17","          $32,687,048.06",2166.7,15086.1,2019.0
Acton-Boxborough - Acton-Boxborough Regional High,6000505,343,648,677,735.0,18.1,1820.0,48.5,51.5,6.6,1.0,10.7,6000000.0,2.8,33.2,4.5,54.8,0.2,0.0,4.6,Acton-Boxborough,"          $84,437,382.26",5586.8,"              $15,113.73","          $93,817,043.97",5710.8,16428.0,2019.0
Adams-Cheshire - Hoosac Valley High School,6030505,73,524,516,309.0,11.1,353.0,47.9,52.1,44.5,1.4,23.2,6030000.0,6.0,1.4,1.7,90.1,0.6,0.0,0.3,Adams-Cheshire,"          $18,503,004.34",1161.6,"              $15,928.89","          $20,868,108.53",1396.2,14946.36,2019.0
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,185,624,662,510.0,18.1,964.0,47.6,52.4,9.0,3.2,6.9,4300000.0,2.3,17.3,6.5,67.1,0.1,0.0,6.6,Advanced Math and Science Academy Charter (District),"          $15,910,750.63",972.7,"              $16,357.31","          $15,910,750.63",972.7,16357.31,2019.0
Agawam - Agawam High,50505,218,546,555,562.0,15.0,1059.0,49.9,50.1,24.1,2.1,11.6,50000.0,1.6,2.5,7.4,86.0,0.1,0.0,2.5,Agawam,"          $63,234,829.14",3710.3,"              $17,043.05","          $69,007,740.22",3868.8,17836.99,2019.0
Amesbury - Amesbury High,70505,160,569,571,339.0,14.7,541.0,49.4,50.7,14.8,1.1,13.3,70000.0,1.5,1.3,5.9,87.3,0.0,0.0,4.1,Amesbury,"          $34,107,103.50",2044.4,"              $16,683.19","          $39,184,044.16",2195.9,17844.18,2019.0
Amherst-Pelham - Amherst Regional High,6050505,224,604,597,617.0,12.9,901.0,49.4,50.3,26.4,7.3,19.3,6050000.0,8.4,10.0,17.3,54.7,0.1,0.0,9.4,Amherst-Pelham,"          $29,757,591.00",1334.3,"              $22,302.02","          $34,083,650.00",1492.6,22835.09,2019.0
Andover - Andover High,90505,534,604,603,1042.0,15.3,1779.0,52.8,47.1,9.5,0.6,16.5,90000.0,2.1,18.7,6.2,70.4,0.3,0.0,2.3,Andover,"         $105,001,180.47",5967.5,"              $17,595.51","         $113,553,799.47",6089.0,18649.01,2019.0
Arlington - Arlington High,100505,401,603,601,856.0,14.0,1426.0,50.6,49.0,9.9,1.8,13.5,100000.0,4.0,10.7,6.0,74.7,0.0,0.1,4.6,Arlington,"          $81,281,781.54",5957.9,"              $13,642.69","          $89,253,263.12",6106.6,14615.87,2019.0
