unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
17001000100,2019,100,Adams County,Illinois,2202,48088,73857
17001000201,2019,200,Adams County,Illinois,889,44855,55392
17001000202,2019,202,Adams County,Illinois,970,50375,59492
17001000400,2019,400,Adams County,Illinois,1316,30164,42048
17001000500,2019,500,Adams County,Illinois,813,41008,46992
17001000600,2019,600,Adams County,Illinois,1691,54950,88328
17001000700,2019,700,Adams County,Illinois,703,19869,29956
17001000800,2019,800,Adams County,Illinois,1113,26738,40140
17001000900,2019,900,Adams County,Illinois,1175,46897,61792
17001001001,2019,1001,Adams County,Illinois,1474,55708,62044
17001001002,2019,1002,Adams County,Illinois,1302,57500,70091
17001001100,2019,1100,Adams County,Illinois,3614,58083,82969
17001010100,2019,10100,Adams County,Illinois,1661,60078,69285
17001010200,2019,10200,Adams County,Illinois,1373,52718,61475
17001010300,2019,10300,Adams County,Illinois,2046,62571,74693
17001010400,2019,10400,Adams County,Illinois,1340,72787,89225
17001010500,2019,10500,Adams County,Illinois,1265,80074,102930
17001010600,2019,10600,Adams County,Illinois,2165,75057,100713
17003957600,2019,957600,Alexander County,Illinois,687,42679,50956
17003957700,2019,957700,Alexander County,Illinois,547,47656,54325
17003957800,2019,957800,Alexander County,Illinois,467,30625,35569
17003957900,2019,957900,Alexander County,Illinois,453,26552,43848
17005951200,2019,951200,Bond County,Illinois,1282,61400,77817
17005951300,2019,951300,Bond County,Illinois,2032,50250,58683
17005951400,2019,951400,Bond County,Illinois,1260,61481,77538
17005951500,2019,951500,Bond County,Illinois,1725,63222,80668
17007010100,2019,10100,Boone County,Illinois,2766,43075,52922
17007010200,2019,10200,Boone County,Illinois,2161,50527,58304
17007010300,2019,10300,Boone County,Illinois,2404,54722,61130
17007010400,2019,10400,Boone County,Illinois,2320,70333,80972
17007010500,2019,10500,Boone County,Illinois,3821,111917,136189
17007010601,2019,10601,Boone County,Illinois,1346,73667,101621
17007010602,2019,10602,Boone County,Illinois,3753,81792,105892
17009970400,2019,970400,Brown County,Illinois,1059,63415,76633
17009970500,2019,970500,Brown County,Illinois,996,60044,65193
17011964700,2019,964700,Bureau County,Illinois,1162,71563,85119
17011964800,2019,964800,Bureau County,Illinois,1225,63250,73340
17011964900,2019,964900,Bureau County,Illinois,1116,49028,61400
17011965000,2019,965000,Bureau County,Illinois,1402,61829,78850
17011965100,2019,965100,Bureau County,Illinois,1660,52237,68590
17011965200,2019,965200,Bureau County,Illinois,1477,52205,66910
17011965300,2019,965300,Bureau County,Illinois,1385,57171,63988
17011965400,2019,965400,Bureau County,Illinois,1667,55481,77408
17011965500,2019,965500,Bureau County,Illinois,1402,60625,76960
17011965600,2019,965600,Bureau County,Illinois,1202,53846,68728
17013951200,2019,951200,Calhoun County,Illinois,843,56542,62657
17013951300,2019,951300,Calhoun County,Illinois,821,69313,84508
17015960100,2019,960100,Carroll County,Illinois,1381,56712,71082
17015960200,2019,960200,Carroll County,Illinois,1002,58542,66146
17015960300,2019,960300,Carroll County,Illinois,1587,31893,50424
17015960400,2019,960400,Carroll County,Illinois,834,52500,64802
17015960500,2019,960500,Carroll County,Illinois,1105,59044,73534
17015960600,2019,960600,Carroll County,Illinois,599,61792,73851
17017960100,2019,960100,Cass County,Illinois,951,58109,73639
17017960200,2019,960200,Cass County,Illinois,1048,65192,80685
17017960300,2019,960300,Cass County,Illinois,1045,61335,68618
17017960400,2019,960400,Cass County,Illinois,1046,41442,56420
17017960500,2019,960500,Cass County,Illinois,953,41463,48041
17019000200,2019,200,Champaign County,Illinois,701,21385,26826
17019000301,2019,301,Champaign County,Illinois,2055,7099,14164
17019000302,2019,302,Champaign County,Illinois,1530,10385,19972
17019000401,2019,401,Champaign County,Illinois,480,3864,10565
17019000402,2019,401,Champaign County,Illinois,1329,5234,13298
17019000500,2019,500,Champaign County,Illinois,1994,44516,74531
17019000700,2019,700,Champaign County,Illinois,1326,40074,42744
17019000800,2019,800,Champaign County,Illinois,2831,54864,67335
17019000901,2019,901,Champaign County,Illinois,1958,36602,42173
17019000902,2019,902,Champaign County,Illinois,2871,60412,72711
17019001000,2019,1000,Champaign County,Illinois,1926,55378,82994
17019001100,2019,1100,Champaign County,Illinois,1674,73300,95518
17019001201,2019,1201,Champaign County,Illinois,2853,44503,52853
17019001203,2019,1203,Champaign County,Illinois,1946,76944,96821
17019001204,2019,1204,Champaign County,Illinois,1321,120785,154096
17019001205,2019,1205,Champaign County,Illinois,2899,99671,153451
17019001206,2019,1206,Champaign County,Illinois,884,108385,129239
17019001301,2019,1301,Champaign County,Illinois,2788,74070,95107
17019001302,2019,1302,Champaign County,Illinois,2062,94902,113245
17019001400,2019,1400,Champaign County,Illinois,1678,57250,81428
17019005300,2019,5300,Champaign County,Illinois,2429,21563,29951
17019005401,2019,5401,Champaign County,Illinois,2354,34245,44887
17019005402,2019,5402,Champaign County,Illinois,1571,45361,56713
17019005500,2019,5500,Champaign County,Illinois,2159,50370,81096
17019005600,2019,5600,Champaign County,Illinois,3092,60774,68005
17019005701,2019,5701,Champaign County,Illinois,2359,50253,74898
17019005702,2019,5702,Champaign County,Illinois,1690,58590,82007
17019005800,2019,5800,Champaign County,Illinois,1587,49855,85593
17019005900,2019,5900,Champaign County,Illinois,1131,10988,28601
17019006000,2019,6000,Champaign County,Illinois,731,21354,29601
17019010100,2019,10100,Champaign County,Illinois,2098,41276,46424
17019010204,2019,10204,Champaign County,Illinois,1709,47042,67817
17019010300,2019,10300,Champaign County,Illinois,1118,37778,48042
17019010400,2019,10400,Champaign County,Illinois,1884,70182,80670
17019010500,2019,10500,Champaign County,Illinois,1685,83728,103685
17019010601,2019,10601,Champaign County,Illinois,2146,94828,110340
17019010603,2019,10603,Champaign County,Illinois,2641,91607,105257
17019010604,2019,10604,Champaign County,Illinois,1046,60824,86599
17019010700,2019,10700,Champaign County,Illinois,2878,89767,93774
17019010800,2019,10800,Champaign County,Illinois,1789,72740,89015
17019010900,2019,10900,Champaign County,Illinois,3533,73347,86717
17019011000,2019,11000,Champaign County,Illinois,2552,41196,74572
17019011100,2019,11100,Champaign County,Illinois,1081,22741,30767
17021958100,2019,958100,Christian County,Illinois,1210,64259,74880
17021958200,2019,958200,Christian County,Illinois,1558,55385,66717
17021958300,2019,958300,Christian County,Illinois,2240,40125,50462
17021958400,2019,958400,Christian County,Illinois,1460,45486,59428
17021958500,2019,958500,Christian County,Illinois,1067,33542,47220
17021958600,2019,958600,Christian County,Illinois,881,76250,84998
17021958700,2019,958700,Christian County,Illinois,1365,54556,72187
17021958800,2019,958800,Christian County,Illinois,1073,55079,53932
17021958900,2019,958900,Christian County,Illinois,1139,40792,47805
17021959000,2019,959000,Christian County,Illinois,1908,68226,89980
17023060100,2019,60100,Clark County,Illinois,1884,80583,88458
17023060200,2019,60200,Clark County,Illinois,1684,46750,69090
17023060300,2019,60300,Clark County,Illinois,2336,51328,63776
17023060400,2019,60400,Clark County,Illinois,816,58068,67597
17025971900,2019,971900,Clay County,Illinois,972,53750,64439
17025972000,2019,972000,Clay County,Illinois,1186,45801,56383
17025972100,2019,972100,Clay County,Illinois,2192,47751,60321
17025972200,2019,972200,Clay County,Illinois,1346,54444,71826
17027900100,2019,900100,Clinton County,Illinois,2370,74706,98747
17027900200,2019,900200,Clinton County,Illinois,699,83977,94319
17027900300,2019,900300,Clinton County,Illinois,2982,66250,77429
17027900401,2019,900401,Clinton County,Illinois,608,54375,61663
17027900402,2019,900402,Clinton County,Illinois,2177,54781,69030
17027900500,2019,900500,Clinton County,Illinois,1997,49542,65150
17027900601,2019,900601,Clinton County,Illinois,1004,79038,86382
17027900602,2019,900602,Clinton County,Illinois,2516,78735,92624
17029000100,2019,100,Coles County,Illinois,1212,55833,63245
17029000200,2019,200,Coles County,Illinois,2338,59449,89893
17029000300,2019,300,Coles County,Illinois,1940,44821,54417
17029000400,2019,400,Coles County,Illinois,1300,33559,44980
17029000500,2019,500,Coles County,Illinois,2860,41908,59723
17029000600,2019,600,Coles County,Illinois,1397,70550,86427
17029000700,2019,700,Coles County,Illinois,2794,35366,45000
17029000800,2019,800,Coles County,Illinois,698,18145,37564
17029000900,2019,900,Coles County,Illinois,1864,91250,119807
17029001000,2019,1000,Coles County,Illinois,1477,38281,71647
17029001100,2019,1100,Coles County,Illinois,1561,40058,49741
17029001200,2019,1200,Coles County,Illinois,1485,47670,60297
17031010100,2019,10100,Cook County,Illinois,2363,32474,55297
17031010201,2019,10201,Cook County,Illinois,2747,45639,53752
17031010202,2019,10202,Cook County,Illinois,1136,41486,51055
17031010300,2019,10300,Cook County,Illinois,3091,41250,64068
17031010400,2019,10400,Cook County,Illinois,1988,39700,54680
17031010501,2019,10501,Cook County,Illinois,2374,39730,53975
17031010502,2019,10502,Cook County,Illinois,1572,39388,51269
17031010503,2019,10503,Cook County,Illinois,1059,18516,39671
17031010600,2019,10600,Cook County,Illinois,2933,50882,72799
17031010701,2019,10701,Cook County,Illinois,1512,60167,81816
17031010702,2019,10702,Cook County,Illinois,2083,44583,55412
17031020100,2019,20100,Cook County,Illinois,1504,48841,74793
17031020200,2019,20200,Cook County,Illinois,2069,94115,118592
17031020301,2019,20301,Cook County,Illinois,2093,56973,82733
17031020302,2019,20302,Cook County,Illinois,1726,77500,105933
17031020400,2019,20400,Cook County,Illinois,1675,65917,93423
17031020500,2019,20500,Cook County,Illinois,2094,44926,56773
17031020601,2019,20601,Cook County,Illinois,1959,38177,63652
17031020602,2019,20602,Cook County,Illinois,1394,57045,73434
17031020701,2019,20701,Cook County,Illinois,677,97250,115896
17031020702,2019,20702,Cook County,Illinois,2396,49167,61302
17031020801,2019,20801,Cook County,Illinois,2213,54052,73702
