unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
17031010400,2019,10400,Cook County,Illinois,5213,392,7.5,4821,92.5,3361,64.5,1104,21.2,0,0.0,241,4.6,0,0.0,20,0.4,95,1.8
17031010501,2019,10501,Cook County,Illinois,4102,387,9.4,3715,90.6,1902,46.4,1358,33.1,0,0.0,233,5.7,0,0.0,81,2.0,141,3.4
17031010502,2019,10502,Cook County,Illinois,3089,465,15.1,2624,84.9,1610,52.1,669,21.7,0,0.0,262,8.5,0,0.0,0,0.0,83,2.7
17031010503,2019,10503,Cook County,Illinois,1806,54,3.0,1752,97.0,1204,66.7,255,14.1,0,0.0,225,12.5,0,0.0,0,0.0,68,3.8
17031010600,2019,10600,Cook County,Illinois,6395,1536,24.0,4859,76.0,3335,52.2,1139,17.8,0,0.0,204,3.2,0,0.0,0,0.0,181,2.8
17031010701,2019,10701,Cook County,Illinois,3620,943,26.0,2677,74.0,1489,41.1,849,23.5,0,0.0,310,8.6,0,0.0,0,0.0,29,0.8
17031010702,2019,10702,Cook County,Illinois,5082,1377,27.1,3705,72.9,1636,32.2,1599,31.5,0,0.0,361,7.1,0,0.0,0,0.0,109,2.1
17031020100,2019,20100,Cook County,Illinois,3618,935,25.8,2683,74.2,1134,31.3,1206,33.3,0,0.0,171,4.7,0,0.0,0,0.0,172,4.8
17031020200,2019,20200,Cook County,Illinois,6840,1246,18.2,5594,81.8,3294,48.2,711,10.4,0,0.0,1280,18.7,0,0.0,0,0.0,309,4.5
17031020301,2019,20301,Cook County,Illinois,5384,378,7.0,5006,93.0,4041,75.1,196,3.6,11,0.2,596,11.1,0,0.0,39,0.7,123,2.3
17031020302,2019,20302,Cook County,Illinois,5137,697,13.6,4440,86.4,2996,58.3,497,9.7,0,0.0,677,13.2,0,0.0,18,0.4,252,4.9
17031020400,2019,20400,Cook County,Illinois,4258,887,20.8,3371,79.2,1642,38.6,980,23.0,0,0.0,554,13.0,0,0.0,0,0.0,195,4.6
17031020500,2019,20500,Cook County,Illinois,6775,1708,25.2,5067,74.8,901,13.3,900,13.3,0,0.0,2749,40.6,0,0.0,58,0.9,459,6.8
17031020601,2019,20601,Cook County,Illinois,6525,340,5.2,6185,94.8,3685,56.5,356,5.5,66,1.0,1807,27.7,0,0.0,54,0.8,217,3.3
17031020602,2019,20602,Cook County,Illinois,4765,1203,25.2,3562,74.8,1765,37.0,625,13.1,0,0.0,1082,22.7,0,0.0,36,0.8,54,1.1
17031020701,2019,20701,Cook County,Illinois,1844,212,11.5,1632,88.5,1217,66.0,80,4.3,0,0.0,304,16.5,0,0.0,0,0.0,31,1.7
17031020702,2019,20702,Cook County,Illinois,8226,2475,30.1,5751,69.9,2965,36.0,698,8.5,0,0.0,1997,24.3,0,0.0,0,0.0,91,1.1
17031020801,2019,20801,Cook County,Illinois,6175,1529,24.8,4646,75.2,2290,37.1,187,3.0,0,0.0,1775,28.7,0,0.0,0,0.0,394,6.4
17031020802,2019,20802,Cook County,Illinois,7916,977,12.3,6939,87.7,2593,32.8,568,7.2,134,1.7,2712,34.3,0,0.0,0,0.0,932,11.8
17031020901,2019,20901,Cook County,Illinois,6155,1352,22.0,4803,78.0,1448,23.5,1426,23.2,0,0.0,1588,25.8,0,0.0,0,0.0,341,5.5
17031020902,2019,20902,Cook County,Illinois,4848,896,18.5,3952,81.5,1865,38.5,656,13.5,0,0.0,1358,28.0,0,0.0,0,0.0,73,1.5
17031030101,2019,30101,Cook County,Illinois,3911,715,18.3,3196,81.7,1435,36.7,1017,26.0,0,0.0,625,16.0,0,0.0,0,0.0,119,3.0
17031030102,2019,30102,Cook County,Illinois,2841,317,11.2,2524,88.8,1394,49.1,527,18.5,16,0.6,386,13.6,0,0.0,158,5.6,43,1.5
17031030103,2019,30102,Cook County,Illinois,2242,246,11.0,1996,89.0,1189,53.0,443,19.8,0,0.0,248,11.1,4,0.2,0,0.0,112,5.0
17031030104,2019,30104,Cook County,Illinois,3411,299,8.8,3112,91.2,2217,65.0,272,8.0,0,0.0,544,15.9,0,0.0,0,0.0,79,2.3
17031030200,2019,30200,Cook County,Illinois,5702,660,11.6,5042,88.4,4356,76.4,303,5.3,0,0.0,223,3.9,0,0.0,34,0.6,126,2.2
