"School Name","District Name","Reading/Writing Score","Math Score","Tests Taken","# Students SAT ELA Participation"
"Pana Sr High School","Pana CUSD 8",481.9,468.4,91,91
"Pana Jr High School","Pana CUSD 8",,,,
"Lincoln Elem School","Pana CUSD 8",,,,
"Washington Elem School","Pana CUSD 8",,,,
,"South Fork SD 14",463.8,394.6,26,26
"South Fork Jr Sr High School","South Fork SD 14",463.8,394.6,26,26
"South Fork Elementary School","South Fork SD 14",,,,
,"Altamont CUSD 10",466.9,453.1,55,55
"Altamont High School","Altamont CUSD 10",466.9,453.1,55,55
"Altamont Grade School","Altamont CUSD 10",,,,
,"Beecher City CUSD 20",459.6,482.3,26,26
"Beecher City Jr-Sr High School","Beecher City CUSD 20",459.6,482.3,26,26
"Beecher City Grade School","Beecher City CUSD 20",,,,
,"Dieterich CUSD 30",485.8,481.9,31,31
"Dieterich Jr/Sr High School","Dieterich CUSD 30",485.8,481.9,31,31
"Dieterich Elem School","Dieterich CUSD 30",,,,
,"Effingham CUSD 40",481.1,469.8,180,180
"Effingham High School","Effingham CUSD 40",481.1,469.8,180,180
"Effingham Junior High School","Effingham CUSD 40",,,,
"Central Grade School","Effingham CUSD 40",,,,
"Early Learning Center","Effingham CUSD 40",,,,
"South Side Grade School","Effingham CUSD 40",,,,
,"Teutopolis CUSD 50",512.7,502.9,82,82
"Teutopolis High School","Teutopolis CUSD 50",512.7,502.9,82,82
"Teutopolis Junior High School","Teutopolis CUSD 50",,,,
"Teutopolis Grade School","Teutopolis CUSD 50",,,,
,"Brownstown CUSD 201",471.6,445.3,19,19
"Brownstown High School","Brownstown CUSD 201",471.6,445.3,19,19
"Brownstown Jr High School","Brownstown CUSD 201",,,,
"Brownstown Elem School","Brownstown CUSD 201",,,,
,"St Elmo CUSD 202",441.5,428.8,26,26
"St Elmo Sr High School","St Elmo CUSD 202",441.5,428.8,26,26
"St Elmo Jr High School","St Elmo CUSD 202",,,,
"St Elmo Elem School","St Elmo CUSD 202",,,,
,"Vandalia CUSD 203",464.7,459.9,83,83
"Vandalia Community High School","Vandalia CUSD 203",464.7,459.9,83,83
"Vandalia Elementary School","Vandalia CUSD 203",,,,
"Vandalia Junior High School","Vandalia CUSD 203",,,,
,"Ramsey CUSD 204",454.1,454.4,32,32
"Ramsey High School","Ramsey CUSD 204",454.1,454.4,32,32
"Ramsey Elem School","Ramsey CUSD 204",,,,
,"Panhandle CUSD 2",471.2,471.2,33,33
"Lincolnwood High School","Panhandle CUSD 2",471.2,471.2,33,33
"Lincolnwood Jr High School","Panhandle CUSD 2",,,,
"Farmersville Elem School","Panhandle CUSD 2",,,,
"Raymond Grade School","Panhandle CUSD 2",,,,
,"Hillsboro CUSD 3",462.1,448.2,100,100
"Hillsboro High School","Hillsboro CUSD 3",462.1,448.2,100,100
"Hillsboro Jr High School","Hillsboro CUSD 3",,,,
"Beckemeyer Elem School","Hillsboro CUSD 3",,,,
"Coffeen Early Childhood Center","Hillsboro CUSD 3",,,,
,"Litchfield CUSD 12",493.3,473.4,83,83
"Litchfield Senior High School","Litchfield CUSD 12",493.3,473.4,83,83
"Litchfield Middle School","Litchfield CUSD 12",,,,
"J D Colt Elem School","Litchfield CUSD 12",,,,
"Madison Park Elem School","Litchfield CUSD 12",,,,
