School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Seymour High School,Payson CUSD 1,462.2,476.1,41.0,41.0,Illinois,39.8167882,-91.2503442,420 West Brainard Street,62360,Adams County,Payson,17001,"420 West Brainard Street, Payson, Illinois, 62360",010302,17001010302,2021.0,10302.0,Adams County,Illinois,172.0,22.0,115.0,28.0,7.0,2040.0,20.0,66.0,949.0,454.0,182.0,271.0,98.0,12.8,66.9,16.3,4.1,1.0,3.2,46.5,22.3,8.9,13.3,4.8,1100.0,63833.0,68995.0,3109.0,151.0,4.9,2958.0,95.1,2889.0,92.9,0.0,0.0,0.0,0.0,26.0,0.8,0.0,0.0,0.0,0.0,43.0,1.4
Liberty High School,Liberty CUSD 2,472.4,493.3,45.0,45.0,Illinois,39.8861857,-91.1070694,505 North Park Street,62347,Adams County,Liberty,17001,"505 North Park Street, Liberty, Illinois, 62347",010301,17001010301,2021.0,10301.0,Adams County,Illinois,67.0,0.0,11.0,30.0,26.0,1889.0,58.0,21.0,689.0,421.0,251.0,363.0,86.0,0.0,16.4,44.8,38.8,3.1,1.1,36.5,22.3,13.3,19.2,4.6,988.0,83400.0,83855.0,2797.0,0.0,0.0,2797.0,100.0,2768.0,99.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1
Central High School,Central CUSD 3,480.0,469.8,49.0,49.0,Illinois,40.06346130000001,-91.0286892,2110 State Highway 94,62320,Adams County,Camp Point,17001,"2110 State Highway 94, Camp Point, Illinois, 62320",010200,17001010200,2021.0,10200.0,Adams County,Illinois,256.0,20.0,112.0,113.0,11.0,2544.0,41.0,190.0,1012.0,582.0,291.0,300.0,128.0,7.8,43.8,44.1,4.3,1.6,7.5,39.8,22.9,11.4,11.8,5.0,1536.0,55924.0,64239.0,3710.0,7.0,0.2,3703.0,99.8,3654.0,98.5,0.0,0.0,1.0,0.0,4.0,0.1,0.0,0.0,15.0,0.4,29.0,0.8
Unity High School,CUSD 4,463.8,435.9,39.0,39.0,Illinois,40.0884906,-91.2910548,453 West Collins Street,62351,Adams County,Mendon,17001,"453 West Collins Street, Mendon, Illinois, 62351",010100,17001010100,2021.0,10100.0,Adams County,Illinois,297.0,54.0,116.0,120.0,7.0,3126.0,35.0,169.0,1128.0,722.0,402.0,519.0,151.0,18.2,39.1,40.4,2.4,1.1,5.4,36.1,23.1,12.9,16.6,4.8,1765.0,67385.0,79316.0,4546.0,142.0,3.1,4404.0,96.9,4274.0,94.0,28.0,0.6,0.0,0.0,9.0,0.2,0.0,0.0,13.0,0.3,80.0,1.8
Quincy Sr High School,Quincy SD 172,480.1,461.9,425.0,425.0,Illinois,39.93055529999999,-91.36241729999999,3322 Maine Street,62301,Adams County,Quincy,17001,"3322 Maine Street, Quincy, Illinois, 62301",001100,17001001100,2021.0,1100.0,Adams County,Illinois,753.0,143.0,448.0,58.0,104.0,5722.0,172.0,251.0,1515.0,1241.0,479.0,1317.0,747.0,19.0,59.5,7.7,13.8,3.0,4.4,26.5,21.7,8.4,23.0,13.1,3325.0,67120.0,93121.0,8036.0,89.0,1.1,7947.0,98.9,6967.0,86.7,551.0,6.9,13.0,0.2,121.0,1.5,0.0,0.0,10.0,0.1,285.0,3.5
Brown County High School,Brown County CUSD 1,507.5,490.2,52.0,52.0,Illinois,39.9831244,-90.7522741,500 East Main Street,62353,Brown County,Mount Sterling,17009,"500 East Main Street, Mount Sterling, Illinois, 62353",970500,17009970500,2021.0,970500.0,Brown County,Illinois,453.0,110.0,143.0,187.0,13.0,3004.0,172.0,577.0,994.0,640.0,237.0,293.0,91.0,24.3,31.6,41.3,2.9,5.7,19.2,33.1,21.3,7.9,9.8,3.0,991.0,58044.0,65393.0,4085.0,375.0,9.2,3710.0,90.8,2508.0,61.4,1159.0,28.4,11.0,0.3,3.0,0.1,0.0,0.0,0.0,0.0,29.0,0.7
Beardstown Jr/Sr High School,Beardstown CUSD 15,441.1,427.4,105.0,105.0,Illinois,40.0074999,-90.4223555,500 East 15th Street,62618,Cass County,Beardstown,17017,"500 East 15th Street, Beardstown, Illinois, 62618",960300,17017960300,2021.0,960300.0,Cass County,Illinois,234.0,21.0,155.0,58.0,0.0,2029.0,79.0,206.0,861.0,280.0,178.0,335.0,90.0,9.0,66.2,24.8,0.0,3.9,10.2,42.4,13.8,8.8,16.5,4.4,1090.0,64954.0,74765.0,2772.0,310.0,11.2,2462.0,88.8,2453.0,88.5,0.0,0.0,0.0,0.0,8.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0
Virginia Jr/ Sr High School,Virginia CUSD 64,468.9,483.3,18.0,18.0,Illinois,39.9464836,-90.21823119999999,651 South Morgan Street,62691,Cass County,Virginia,17017,"651 South Morgan Street, Virginia, Illinois, 62691",960200,17017960200,2021.0,960200.0,Cass County,Illinois,150.0,45.0,66.0,33.0,6.0,1800.0,29.0,73.0,780.0,326.0,162.0,365.0,65.0,30.0,44.0,22.0,4.0,1.6,4.1,43.3,18.1,9.0,20.3,3.6,1020.0,57500.0,75264.0,2528.0,71.0,2.8,2457.0,97.2,2418.0,95.6,14.0,0.6,0.0,0.0,5.0,0.2,2.0,0.1,1.0,0.0,17.0,0.7
A-C Central High School,A-C Central CUSD 262,457.3,424.0,30.0,30.0,Illinois,39.8926467,-90.01272159999999,601 West Buchanan Street,62612,Cass County,Ashland,17017,"601 West Buchanan Street, Ashland, Illinois, 62612",960100,17017960100,2021.0,960100.0,Cass County,Illinois,173.0,35.0,75.0,59.0,4.0,1495.0,62.0,92.0,654.0,282.0,148.0,175.0,82.0,20.2,43.4,34.1,2.3,4.1,6.2,43.7,18.9,9.9,11.7,5.5,903.0,60027.0,71547.0,2163.0,14.0,0.6,2149.0,99.4,2068.0,95.6,25.0,1.2,27.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.3
Franklin Jr/Sr High School,Franklin CUSD 1,462.4,440.3,29.0,29.0,Illinois,39.623455,-90.0469665,110 State Street,62638,Morgan County,Franklin,17137,"110 State Street, Franklin, Illinois, 62638",952300,17137952300,2021.0,952300.0,Morgan County,Illinois,303.0,47.0,156.0,79.0,21.0,2162.0,50.0,119.0,960.0,426.0,170.0,288.0,149.0,15.5,51.5,26.1,6.9,2.3,5.5,44.4,19.7,7.9,13.3,6.9,1246.0,64239.0,86881.0,3320.0,7.0,0.2,3313.0,99.8,3187.0,96.0,39.0,1.2,0.0,0.0,35.0,1.1,0.0,0.0,3.0,0.1,49.0,1.5
