unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05001480100,2018,480100,Arkansas County,Arkansas,98,2,65,31,0,1114,58,107,428,248,67,192,14,2.0,66.3,31.6,0.0,5.2,9.6,38.4,22.3,6.0,17.2,1.3,656,44500,53905,1439,9,0.6,1430,99.4,1196,83.1,228,15.8,0,0.0,0,0.0,0,0.0,0,0.0,6,0.4
05001480200,2018,480200,Arkansas County,Arkansas,105,23,33,48,1,1126,31,71,458,243,75,149,99,21.9,31.4,45.7,1.0,2.8,6.3,40.7,21.6,6.7,13.2,8.8,653,56250,70883,1444,0,0.0,1444,100.0,1270,88.0,157,10.9,0,0.0,0,0.0,0,0.0,0,0.0,17,1.2
05001480300,2018,480300,Arkansas County,Arkansas,211,36,116,54,5,2058,173,254,694,440,113,236,148,17.1,55.0,25.6,2.4,8.4,12.3,33.7,21.4,5.5,11.5,7.2,1180,46140,71837,2901,76,2.6,2825,97.4,1669,57.5,1141,39.3,15,0.5,0,0.0,0,0.0,0,0.0,0,0.0
05001480400,2018,480400,Arkansas County,Arkansas,267,120,75,65,7,1495,150,227,677,326,75,40,0,44.9,28.1,24.3,2.6,10.0,15.2,45.3,21.8,5.0,2.7,0.0,1041,26644,41651,2330,1,0.0,2329,100.0,553,23.7,1776,76.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
05001480500,2018,480500,Arkansas County,Arkansas,314,11,91,212,0,2559,93,219,999,560,158,308,222,3.5,29.0,67.5,0.0,3.6,8.6,39.0,21.9,6.2,12.0,8.7,1657,43118,60202,3928,120,3.1,3808,96.9,3253,82.8,480,12.2,0,0.0,0,0.0,0,0.0,0,0.0,75,1.9
05001480600,2018,480600,Arkansas County,Arkansas,168,25,69,62,12,1258,60,130,472,216,151,194,35,14.9,41.1,36.9,7.1,4.8,10.3,37.5,17.2,12.0,15.4,2.8,702,51094,67560,1718,62,3.6,1656,96.4,1560,90.8,68,4.0,0,0.0,0,0.0,0,0.0,0,0.0,28,1.6
05001480700,2018,480700,Arkansas County,Arkansas,196,29,86,70,11,1843,147,234,750,425,158,108,21,14.8,43.9,35.7,5.6,8.0,12.7,40.7,23.1,8.6,5.9,1.1,1188,28953,36789,2897,286,9.9,2611,90.1,1894,65.4,674,23.3,0,0.0,0,0.0,0,0.0,0,0.0,43,1.5
05001480800,2018,480800,Arkansas County,Arkansas,111,5,52,41,13,1025,48,119,296,312,79,110,61,4.5,46.8,36.9,11.7,4.7,11.6,28.9,30.4,7.7,10.7,6.0,605,48173,62491,1467,0,0.0,1467,100.0,1300,88.6,153,10.4,3,0.2,0,0.0,0,0.0,0,0.0,11,0.7
05003960100,2018,960100,Ashley County,Arkansas,136,16,37,79,4,1133,66,148,447,296,36,94,46,11.8,27.2,58.1,2.9,5.8,13.1,39.5,26.1,3.2,8.3,4.1,628,36357,47241,1639,81,4.9,1558,95.1,920,56.1,626,38.2,0,0.0,0,0.0,0,0.0,0,0.0,12,0.7
05003960200,2018,960200,Ashley County,Arkansas,217,52,32,127,6,1883,52,130,859,433,69,274,66,24.0,14.7,58.5,2.8,2.8,6.9,45.6,23.0,3.7,14.6,3.5,1043,48831,66880,2637,48,1.8,2589,98.2,2343,88.9,241,9.1,0,0.0,5,0.2,0,0.0,0,0.0,0,0.0
