unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
05001480100,2018,480100,Arkansas County,Arkansas,98,2,65,31,0,1114,58,107,428,248,67,192,14,2.0,66.3,31.6,0.0,5.2,9.6,38.4,22.3,6.0,17.2,1.3
05001480200,2018,480200,Arkansas County,Arkansas,105,23,33,48,1,1126,31,71,458,243,75,149,99,21.9,31.4,45.7,1.0,2.8,6.3,40.7,21.6,6.7,13.2,8.8
05001480300,2018,480300,Arkansas County,Arkansas,211,36,116,54,5,2058,173,254,694,440,113,236,148,17.1,55.0,25.6,2.4,8.4,12.3,33.7,21.4,5.5,11.5,7.2
05001480400,2018,480400,Arkansas County,Arkansas,267,120,75,65,7,1495,150,227,677,326,75,40,0,44.9,28.1,24.3,2.6,10.0,15.2,45.3,21.8,5.0,2.7,0.0
05001480500,2018,480500,Arkansas County,Arkansas,314,11,91,212,0,2559,93,219,999,560,158,308,222,3.5,29.0,67.5,0.0,3.6,8.6,39.0,21.9,6.2,12.0,8.7
05001480600,2018,480600,Arkansas County,Arkansas,168,25,69,62,12,1258,60,130,472,216,151,194,35,14.9,41.1,36.9,7.1,4.8,10.3,37.5,17.2,12.0,15.4,2.8
05001480700,2018,480700,Arkansas County,Arkansas,196,29,86,70,11,1843,147,234,750,425,158,108,21,14.8,43.9,35.7,5.6,8.0,12.7,40.7,23.1,8.6,5.9,1.1
05001480800,2018,480800,Arkansas County,Arkansas,111,5,52,41,13,1025,48,119,296,312,79,110,61,4.5,46.8,36.9,11.7,4.7,11.6,28.9,30.4,7.7,10.7,6.0
05003960100,2018,960100,Ashley County,Arkansas,136,16,37,79,4,1133,66,148,447,296,36,94,46,11.8,27.2,58.1,2.9,5.8,13.1,39.5,26.1,3.2,8.3,4.1
05003960200,2018,960200,Ashley County,Arkansas,217,52,32,127,6,1883,52,130,859,433,69,274,66,24.0,14.7,58.5,2.8,2.8,6.9,45.6,23.0,3.7,14.6,3.5
05003960300,2018,960300,Ashley County,Arkansas,409,68,115,226,0,3152,384,482,1031,633,84,308,230,16.6,28.1,55.3,0.0,12.2,15.3,32.7,20.1,2.7,9.8,7.3
05003960400,2018,960400,Ashley County,Arkansas,128,42,58,28,0,941,48,94,422,202,64,68,43,32.8,45.3,21.9,0.0,5.1,10.0,44.8,21.5,6.8,7.2,4.6
05003960500,2018,960500,Ashley County,Arkansas,284,75,87,122,0,2137,139,159,1143,387,207,67,35,26.4,30.6,43.0,0.0,6.5,7.4,53.5,18.1,9.7,3.1,1.6
05003960600,2018,960600,Ashley County,Arkansas,458,115,222,121,0,3452,154,385,1112,962,346,398,95,25.1,48.5,26.4,0.0,4.5,11.2,32.2,27.9,10.0,11.5,2.8
05003960700,2018,960700,Ashley County,Arkansas,192,23,51,118,0,1234,93,131,549,275,72,73,41,12.0,26.6,61.5,0.0,7.5,10.6,44.5,22.3,5.8,5.9,3.3
05005950100,2018,950100,Baxter County,Arkansas,151,37,59,55,0,3519,33,254,1309,948,341,461,173,24.5,39.1,36.4,0.0,0.9,7.2,37.2,26.9,9.7,13.1,4.9
05005950200,2018,950200,Baxter County,Arkansas,312,46,150,116,0,3284,22,219,1134,754,276,482,397,14.7,48.1,37.2,0.0,0.7,6.7,34.5,23.0,8.4,14.7,12.1
05005950300,2018,950300,Baxter County,Arkansas,324,101,108,115,0,3745,152,432,1248,996,322,428,167,31.2,33.3,35.5,0.0,4.1,11.5,33.3,26.6,8.6,11.4,4.5
05005950400,2018,950400,Baxter County,Arkansas,187,19,89,79,0,2564,57,176,818,690,244,398,181,10.2,47.6,42.2,0.0,2.2,6.9,31.9,26.9,9.5,15.5,7.1
05005950500,2018,950500,Baxter County,Arkansas,210,51,51,108,0,3543,127,341,1063,844,441,392,335,24.3,24.3,51.4,0.0,3.6,9.6,30.0,23.8,12.4,11.1,9.5
05005950600,2018,950600,Baxter County,Arkansas,143,64,9,50,20,3092,145,292,1082,827,206,336,204,44.8,6.3,35.0,14.0,4.7,9.4,35.0,26.7,6.7,10.9,6.6
05005950700,2018,950700,Baxter County,Arkansas,321,69,149,82,21,2595,24,355,948,481,166,404,217,21.5,46.4,25.5,6.5,0.9,13.7,36.5,18.5,6.4,15.6,8.4
05005950800,2018,950800,Baxter County,Arkansas,166,59,66,38,3,5431,182,359,2069,1657,530,426,208,35.5,39.8,22.9,1.8,3.4,6.6,38.1,30.5,9.8,7.8,3.8
05005950900,2018,950900,Baxter County,Arkansas,533,58,221,254,0,3873,141,436,1419,922,362,348,245,10.9,41.5,47.7,0.0,3.6,11.3,36.6,23.8,9.3,9.0,6.3
05007020101,2018,20101,Benton County,Arkansas,209,48,61,100,0,4057,131,278,2142,792,222,373,119,23.0,29.2,47.8,0.0,3.2,6.9,52.8,19.5,5.5,9.2,2.9
05007020102,2018,20102,Benton County,Arkansas,376,75,187,113,1,4339,319,225,1134,970,313,891,487,19.9,49.7,30.1,0.3,7.4,5.2,26.1,22.4,7.2,20.5,11.2
05007020201,2018,20201,Benton County,Arkansas,577,75,294,166,42,2993,465,362,933,544,180,344,165,13.0,51.0,28.8,7.3,15.5,12.1,31.2,18.2,6.0,11.5,5.5
05007020203,2018,20203,Benton County,Arkansas,380,25,232,96,27,2166,129,96,638,433,128,482,260,6.6,61.1,25.3,7.1,6.0,4.4,29.5,20.0,5.9,22.3,12.0
