unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08001007801,2020,7801,Adams County,Colorado,4274,1688,39.5,2586,60.5,714,16.7,651,15.2,16,0.4,1089,25.5,4,0.1,9,0.2,103,2.4
08001007802,2020,7802,Adams County,Colorado,4491,2687,59.8,1804,40.2,637,14.2,758,16.9,37,0.8,352,7.8,0,0.0,0,0.0,20,0.4
08001007900,2020,7900,Adams County,Colorado,5561,2688,48.3,2873,51.7,1638,29.5,855,15.4,39,0.7,196,3.5,0,0.0,0,0.0,145,2.6
08001008000,2020,8000,Adams County,Colorado,5713,2484,43.5,3229,56.5,1357,23.8,545,9.5,95,1.7,176,3.1,0,0.0,870,15.2,186,3.3
08001008100,2020,8100,Adams County,Colorado,1440,317,22.0,1123,78.0,854,59.3,14,1.0,13,0.9,194,13.5,0,0.0,4,0.3,44,3.1
08001008200,2020,8200,Adams County,Colorado,6779,3844,56.7,2935,43.3,1730,25.5,806,11.9,0,0.0,129,1.9,0,0.0,57,0.8,213,3.1
08001008308,2020,8308,Adams County,Colorado,5837,3050,52.3,2787,47.7,1303,22.3,1001,17.1,47,0.8,384,6.6,0,0.0,0,0.0,52,0.9
08001008309,2020,8309,Adams County,Colorado,4113,2540,61.8,1573,38.2,862,21.0,456,11.1,0,0.0,119,2.9,96,2.3,40,1.0,0,0.0
08001008354,2020,8354,Adams County,Colorado,3785,798,21.1,2987,78.9,901,23.8,1426,37.7,4,0.1,285,7.5,4,0.1,0,0.0,367,9.7
08001008355,2020,8355,Adams County,Colorado,5048,2130,42.2,2918,57.8,2176,43.1,329,6.5,0,0.0,329,6.5,0,0.0,0,0.0,84,1.7
08001008401,2020,8401,Adams County,Colorado,5326,937,17.6,4389,82.4,4133,77.6,22,0.4,49,0.9,10,0.2,0,0.0,0,0.0,175,3.3
08001008402,2020,8402,Adams County,Colorado,4904,837,17.1,4067,82.9,3751,76.5,0,0.0,7,0.1,0,0.0,0,0.0,72,1.5,237,4.8
08001008505,2020,8505,Adams County,Colorado,7373,2447,33.2,4926,66.8,4758,64.5,26,0.4,72,1.0,0,0.0,0,0.0,0,0.0,70,0.9
08001008506,2020,8506,Adams County,Colorado,6581,1734,26.3,4847,73.7,3458,52.5,344,5.2,88,1.3,212,3.2,99,1.5,0,0.0,646,9.8
08001008507,2020,8507,Adams County,Colorado,6632,2278,34.3,4354,65.7,3894,58.7,238,3.6,18,0.3,34,0.5,0,0.0,0,0.0,170,2.6
08001008508,2020,8508,Adams County,Colorado,5831,1654,28.4,4177,71.6,3788,65.0,8,0.1,0,0.0,124,2.1,0,0.0,14,0.2,243,4.2
08001008524,2020,8524,Adams County,Colorado,9726,1663,17.1,8063,82.9,6333,65.1,332,3.4,19,0.2,840,8.6,0,0.0,76,0.8,463,4.8
08001008526,2020,8526,Adams County,Colorado,7227,1203,16.6,6024,83.4,4781,66.2,129,1.8,0,0.0,730,10.1,0,0.0,0,0.0,384,5.3
08001008533,2020,8533,Adams County,Colorado,8532,3097,36.3,5435,63.7,4693,55.0,208,2.4,17,0.2,342,4.0,0,0.0,0,0.0,175,2.1
08001008534,2020,8534,Adams County,Colorado,4851,1722,35.5,3129,64.5,2896,59.7,32,0.7,0,0.0,103,2.1,0,0.0,32,0.7,66,1.4
08001008535,2020,8535,Adams County,Colorado,4008,1425,35.6,2583,64.4,2423,60.5,88,2.2,5,0.1,56,1.4,0,0.0,0,0.0,11,0.3
08001008536,2020,8536,Adams County,Colorado,3716,897,24.1,2819,75.9,2413,64.9,41,1.1,3,0.1,116,3.1,0,0.0,0,0.0,246,6.6
08001008538,2020,8538,Adams County,Colorado,8344,2466,29.6,5878,70.4,5204,62.4,300,3.6,0,0.0,110,1.3,0,0.0,16,0.2,248,3.0
08001008540,2020,8540,Adams County,Colorado,8996,2394,26.6,6602,73.4,5428,60.3,55,0.6,114,1.3,660,7.3,0,0.0,0,0.0,345,3.8
08001008544,2020,8544,Adams County,Colorado,6086,1239,20.4,4847,79.6,4005,65.8,48,0.8,0,0.0,442,7.3,0,0.0,0,0.0,352,5.8
08001008545,2020,8545,Adams County,Colorado,7186,955,13.3,6231,86.7,5693,79.2,8,0.1,0,0.0,332,4.6,0,0.0,16,0.2,182,2.5
08001008546,2020,8546,Adams County,Colorado,4327,901,20.8,3426,79.2,2901,67.0,36,0.8,0,0.0,464,10.7,0,0.0,0,0.0,25,0.6
08001008547,2020,8547,Adams County,Colorado,3108,566,18.2,2542,81.8,2186,70.3,0,0.0,19,0.6,32,1.0,9,0.3,0,0.0,296,9.5
08001008548,2020,8548,Adams County,Colorado,1737,441,25.4,1296,74.6,1028,59.2,38,2.2,34,2.0,107,6.2,0,0.0,0,0.0,89,5.1
08001008549,2020,8549,Adams County,Colorado,3905,1187,30.4,2718,69.6,2182,55.9,0,0.0,37,0.9,421,10.8,0,0.0,0,0.0,78,2.0
08001008550,2020,8550,Adams County,Colorado,8258,1932,23.4,6326,76.6,5566,67.4,135,1.6,0,0.0,404,4.9,0,0.0,0,0.0,221,2.7
