unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
05007020201,2020,20201,Benton County,Arkansas,600,67,325,181,27,3307,605,319,964,721,206,326,166,11.2,54.2,30.2,4.5,18.3,9.6,29.2,21.8,6.2,9.9,5.0
05007020203,2020,20203,Benton County,Arkansas,374,17,191,97,69,1750,98,65,412,358,149,472,196,4.5,51.1,25.9,18.4,5.6,3.7,23.5,20.5,8.5,27.0,11.2
05007020205,2020,20205,Benton County,Arkansas,835,193,501,137,4,3506,688,444,1307,442,206,284,135,23.1,60.0,16.4,0.5,19.6,12.7,37.3,12.6,5.9,8.1,3.9
05007020206,2020,20206,Benton County,Arkansas,871,107,399,275,90,4177,957,668,1376,533,100,458,85,12.3,45.8,31.6,10.3,22.9,16.0,32.9,12.8,2.4,11.0,2.0
05007020301,2020,20301,Benton County,Arkansas,303,69,147,87,0,2790,465,331,1081,574,184,107,48,22.8,48.5,28.7,0.0,16.7,11.9,38.7,20.6,6.6,3.8,1.7
05007020302,2020,20302,Benton County,Arkansas,421,45,199,165,12,2875,505,315,946,520,140,366,83,10.7,47.3,39.2,2.9,17.6,11.0,32.9,18.1,4.9,12.7,2.9
05007020304,2020,20304,Benton County,Arkansas,506,67,271,95,73,2677,135,128,830,561,145,615,263,13.2,53.6,18.8,14.4,5.0,4.8,31.0,21.0,5.4,23.0,9.8
05007020305,2020,20305,Benton County,Arkansas,309,84,144,70,11,2752,290,141,952,512,149,526,182,27.2,46.6,22.7,3.6,10.5,5.1,34.6,18.6,5.4,19.1,6.6
05007020401,2020,20401,Benton County,Arkansas,460,35,168,179,78,4270,409,220,1309,888,332,763,349,7.6,36.5,38.9,17.0,9.6,5.2,30.7,20.8,7.8,17.9,8.2
05007020402,2020,20402,Benton County,Arkansas,650,40,236,362,12,3724,193,265,1502,718,183,675,188,6.2,36.3,55.7,1.8,5.2,7.1,40.3,19.3,4.9,18.1,5.0
