unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
25001010100,2023,10100,Barnstable County,Massachusetts,89,25,19,29,16,3327,85,64,481,367,285,965,1080,28.1,21.3,32.6,18.0,2.6,1.9,14.5,11.0,8.6,29.0,32.5
25001010206,2023,10206,Barnstable County,Massachusetts,155,52,38,9,56,3512,0,34,684,487,270,790,1247,33.5,24.5,5.8,36.1,0.0,1.0,19.5,13.9,7.7,22.5,35.5
25001010208,2023,10208,Barnstable County,Massachusetts,67,1,1,65,0,1558,26,0,527,108,51,228,618,1.5,1.5,97.0,0.0,1.7,0.0,33.8,6.9,3.3,14.6,39.7
25001010304,2023,10304,Barnstable County,Massachusetts,116,0,15,82,19,2290,13,0,366,419,235,629,628,0.0,12.9,70.7,16.4,0.6,0.0,16.0,18.3,10.3,27.5,27.4
25001010306,2023,10306,Barnstable County,Massachusetts,217,46,112,41,18,2365,97,60,509,304,249,616,530,21.2,51.6,18.9,8.3,4.1,2.5,21.5,12.9,10.5,26.0,22.4
25001010400,2023,10400,Barnstable County,Massachusetts,174,27,128,0,19,2736,0,27,574,576,222,815,522,15.5,73.6,0.0,10.9,0.0,1.0,21.0,21.1,8.1,29.8,19.1
25001010500,2023,10500,Barnstable County,Massachusetts,143,0,21,122,0,2527,7,10,166,348,226,818,952,0.0,14.7,85.3,0.0,0.3,0.4,6.6,13.8,8.9,32.4,37.7
25001010600,2023,10600,Barnstable County,Massachusetts,279,0,95,45,139,2764,11,30,477,527,154,872,693,0.0,34.1,16.1,49.8,0.4,1.1,17.3,19.1,5.6,31.5,25.1
25001010700,2023,10700,Barnstable County,Massachusetts,220,31,90,36,63,2760,0,41,317,337,147,967,951,14.1,40.9,16.4,28.6,0.0,1.5,11.5,12.2,5.3,35.0,34.5
25001010800,2023,10800,Barnstable County,Massachusetts,155,15,56,68,16,4109,19,55,678,849,298,989,1221,9.7,36.1,43.9,10.3,0.5,1.3,16.5,20.7,7.3,24.1,29.7
25001010900,2023,10900,Barnstable County,Massachusetts,165,13,152,0,0,4470,7,101,1007,722,348,1087,1198,7.9,92.1,0.0,0.0,0.2,2.3,22.5,16.2,7.8,24.3,26.8
25001011002,2023,11002,Barnstable County,Massachusetts,315,32,221,30,32,3443,14,46,868,727,236,756,796,10.2,70.2,9.5,10.2,0.4,1.3,25.2,21.1,6.9,22.0,23.1
25001011100,2023,11100,Barnstable County,Massachusetts,302,37,141,0,124,4374,19,19,1107,949,439,774,1067,12.3,46.7,0.0,41.1,0.4,0.4,25.3,21.7,10.0,17.7,24.4
25001011200,2023,11200,Barnstable County,Massachusetts,309,84,39,54,132,3100,0,18,644,410,335,989,704,27.2,12.6,17.5,42.7,0.0,0.6,20.8,13.2,10.8,31.9,22.7
25001011300,2023,11300,Barnstable County,Massachusetts,113,13,70,0,30,2266,0,0,622,488,201,487,468,11.5,61.9,0.0,26.5,0.0,0.0,27.4,21.5,8.9,21.5,20.7
25001011400,2023,11400,Barnstable County,Massachusetts,194,21,17,115,41,2980,0,34,542,567,291,986,560,10.8,8.8,59.3,21.1,0.0,1.1,18.2,19.0,9.8,33.1,18.8
25001011500,2023,11500,Barnstable County,Massachusetts,568,22,271,275,0,3109,107,94,1183,572,270,587,296,3.9,47.7,48.4,0.0,3.4,3.0,38.1,18.4,8.7,18.9,9.5
25001011600,2023,11600,Barnstable County,Massachusetts,75,0,0,33,42,2333,2,52,456,668,149,590,416,0.0,0.0,44.0,56.0,0.1,2.2,19.5,28.6,6.4,25.3,17.8
25001011700,2023,11700,Barnstable County,Massachusetts,113,0,84,0,29,1706,9,16,270,296,222,487,406,0.0,74.3,0.0,25.7,0.5,0.9,15.8,17.4,13.0,28.5,23.8
25001011801,2023,11801,Barnstable County,Massachusetts,73,0,42,8,23,2127,11,38,181,353,251,659,634,0.0,57.5,11.0,31.5,0.5,1.8,8.5,16.6,11.8,31.0,29.8
25001011802,2023,11802,Barnstable County,Massachusetts,254,0,167,30,57,3706,29,52,693,866,300,1145,621,0.0,65.7,11.8,22.4,0.8,1.4,18.7,23.4,8.1,30.9,16.8
25001012001,2023,12001,Barnstable County,Massachusetts,579,7,342,193,37,5258,119,155,1638,971,441,1126,808,1.2,59.1,33.3,6.4,2.3,2.9,31.2,18.5,8.4,21.4,15.4
25001012002,2023,12002,Barnstable County,Massachusetts,49,32,0,17,0,2317,15,96,640,523,179,548,316,65.3,0.0,34.7,0.0,0.6,4.1,27.6,22.6,7.7,23.7,13.6
25001012101,2023,12101,Barnstable County,Massachusetts,250,0,76,174,0,4128,168,115,1327,937,518,544,519,0.0,30.4,69.6,0.0,4.1,2.8,32.1,22.7,12.5,13.2,12.6
25001012102,2023,12102,Barnstable County,Massachusetts,103,3,59,0,41,2722,55,141,547,544,162,621,652,2.9,57.3,0.0,39.8,2.0,5.2,20.1,20.0,6.0,22.8,24.0
25001012200,2023,12200,Barnstable County,Massachusetts,208,62,50,85,11,4006,120,45,298,823,354,1314,1052,29.8,24.0,40.9,5.3,3.0,1.1,7.4,20.5,8.8,32.8,26.3
25001012502,2023,12502,Barnstable County,Massachusetts,274,31,118,115,10,2703,54,173,985,474,154,461,402,11.3,43.1,42.0,3.6,2.0,6.4,36.4,17.5,5.7,17.1,14.9
25001012601,2023,12601,Barnstable County,Massachusetts,259,68,97,46,48,2286,46,12,719,573,262,434,240,26.3,37.5,17.8,18.5,2.0,0.5,31.5,25.1,11.5,19.0,10.5
25001012602,2023,12602,Barnstable County,Massachusetts,738,135,283,320,0,3310,107,131,1573,361,369,550,219,18.3,38.3,43.4,0.0,3.2,4.0,47.5,10.9,11.1,16.6,6.6
25001012700,2023,12700,Barnstable County,Massachusetts,465,0,135,237,93,3952,38,85,859,627,409,1009,925,0.0,29.0,51.0,20.0,1.0,2.2,21.7,15.9,10.3,25.5,23.4
25001012800,2023,12800,Barnstable County,Massachusetts,245,70,83,23,69,3000,67,66,794,542,243,811,477,28.6,33.9,9.4,28.2,2.2,2.2,26.5,18.1,8.1,27.0,15.9
25001012900,2023,12900,Barnstable County,Massachusetts,392,54,166,130,42,3488,66,98,582,377,661,1024,680,13.8,42.3,33.2,10.7,1.9,2.8,16.7,10.8,19.0,29.4,19.5
25001013002,2023,13002,Barnstable County,Massachusetts,154,0,77,48,29,2395,17,0,300,412,259,690,717,0.0,50.0,31.2,18.8,0.7,0.0,12.5,17.2,10.8,28.8,29.9
25001013100,2023,13100,Barnstable County,Massachusetts,445,0,72,344,29,4479,85,111,943,885,784,1033,638,0.0,16.2,77.3,6.5,1.9,2.5,21.1,19.8,17.5,23.1,14.2
25001013200,2023,13200,Barnstable County,Massachusetts,407,168,135,57,47,4477,69,311,687,813,417,1173,1007,41.3,33.2,14.0,11.5,1.5,6.9,15.3,18.2,9.3,26.2,22.5
25001013300,2023,13300,Barnstable County,Massachusetts,107,35,32,40,0,2560,18,22,503,333,248,843,593,32.7,29.9,37.4,0.0,0.7,0.9,19.6,13.0,9.7,32.9,23.2
25001013400,2023,13400,Barnstable County,Massachusetts,337,44,139,82,72,3034,10,21,476,472,365,805,885,13.1,41.2,24.3,21.4,0.3,0.7,15.7,15.6,12.0,26.5,29.2
25001013500,2023,13500,Barnstable County,Massachusetts,574,36,242,216,80,5355,6,36,1253,878,295,1721,1166,6.3,42.2,37.6,13.9,0.1,0.7,23.4,16.4,5.5,32.1,21.8
25001013600,2023,13600,Barnstable County,Massachusetts,311,88,62,133,28,4285,21,78,1198,888,562,1001,537,28.3,19.9,42.8,9.0,0.5,1.8,28.0,20.7,13.1,23.4,12.5
