School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,HIGH SCHOOL,9 - 12,448.9,398.1,44.4,48.1,3.7,3.7,81.5,14.8,3.7,0.0,53.3,40.0,6.7,0.0,27.0,27.0
Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,459.3,440.7,36.1,48.5,13.4,2.1,58.8,28.9,12.4,0.0,45.2,38.1,14.3,2.4,97.0,97.0
South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,HIGH SCHOOL,6 - 12,415.5,384.0,65.0,35.0,0.0,0.0,90.0,10.0,0.0,0.0,90.0,10.0,0.0,0.0,20.0,20.0
Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,474.2,462.0,37.3,39.0,20.3,3.4,42.4,39.0,18.6,0.0,32.4,43.2,21.6,2.7,59.0,59.0
Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,HIGH SCHOOL,6 - 12,466.7,474.2,33.3,50.0,16.7,0.0,41.7,29.2,29.2,0.0,53.8,30.8,15.4,0.0,24.0,24.0
Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,491.1,483.9,26.3,42.1,31.6,0.0,39.5,23.7,34.2,2.6,25.0,40.0,35.0,0.0,38.0,38.0
Effingham High School,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,HIGH SCHOOL,9 - 12,496.0,479.8,23.4,43.3,29.2,4.1,34.5,38.0,25.7,1.8,29.0,47.3,21.5,2.2,171.0,171.0
Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,496.8,495.3,24.3,39.2,27.0,9.5,31.1,35.1,29.7,4.1,37.5,42.5,15.0,5.0,74.0,74.0
Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,UNIT,SMALL,HIGH SCHOOL,9 - 12,442.6,441.7,43.5,43.5,13.0,0.0,39.1,43.5,17.4,0.0,66.7,16.7,16.7,0.0,23.0,23.0
St Elmo Sr High School,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,SMALL,HIGH SCHOOL,9 - 12,454.4,442.3,28.2,64.1,7.7,0.0,61.5,17.9,20.5,0.0,38.1,57.1,4.8,0.0,39.0,39.0
Vandalia Community High School,Vandalia CUSD 203,Vandalia,Fayette,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,477.7,460.5,36.0,38.0,19.0,7.0,47.0,28.0,25.0,0.0,38.0,40.0,12.0,10.0,100.0,100.0
Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,UNIT,SMALL,HIGH SCHOOL,6 - 12,447.7,439.4,37.1,48.6,14.3,0.0,60.0,17.1,22.9,0.0,38.9,44.4,16.7,0.0,35.0,35.0
Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,483.4,457.8,25.0,50.0,21.9,3.1,37.5,43.8,18.8,0.0,18.2,72.7,9.1,0.0,32.0,32.0
Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,469.2,431.8,34.4,45.2,14.0,6.5,65.6,20.4,14.0,0.0,44.4,41.7,5.6,8.3,93.0,93.0
Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,488.4,459.9,26.4,40.2,24.1,9.2,44.8,31.0,23.0,1.1,22.0,43.9,22.0,12.2,88.0,88.0
Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,6 - 12,470.4,449.0,31.3,47.9,14.6,6.3,52.1,27.1,20.8,0.0,38.5,53.8,3.8,3.8,48.0,48.0
Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,9 - 12,446.6,420.4,43.2,41.4,14.0,1.4,65.7,25.3,8.3,0.7,46.8,38.1,13.7,1.4,279.0,280.0
Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,9 - 12,471.4,447.1,34.3,41.9,19.4,4.4,54.1,27.1,17.1,1.8,38.8,42.4,13.9,4.8,342.0,343.0
North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,456.0,446.4,43.4,37.2,15.5,3.9,56.3,27.0,15.1,1.6,53.6,29.0,14.5,2.9,126.0,129.0
Harlem High School,Harlem UD 122,Machesney Park,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,462.4,443.4,37.8,41.5,17.4,3.4,58.4,24.3,15.2,2.1,41.9,37.7,16.3,4.2,384.0,388.0
Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,471.2,451.8,44.4,29.9,11.7,14.0,62.0,14.6,16.3,7.1,53.0,23.5,12.1,11.4,351.0,352.0
Rockford East High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,425.2,400.4,54.2,37.7,7.2,0.9,80.8,16.0,3.2,0.0,58.6,34.3,7.2,0.0,343.0,345.0
Guilford High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,451.5,431.9,43.0,37.9,15.6,3.4,61.6,24.4,13.0,1.0,47.2,39.7,12.6,0.5,412.0,412.0
Jefferson High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,420.3,402.2,56.9,37.4,5.4,0.3,79.2,15.9,4.9,0.0,57.7,34.3,8.0,0.0,389.0,390.0
Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,539.7,519.2,14.4,34.5,33.0,18.1,25.1,29.5,37.7,7.8,19.6,33.9,32.1,14.3,451.0,452.0
South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,462.1,452.8,46.5,37.2,9.3,7.0,48.8,39.5,9.3,2.3,48.0,32.0,12.0,8.0,43.0,43.0
Pecatonica High School,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,541.8,511.6,10.9,38.2,29.1,21.8,25.5,30.9,38.2,5.5,13.8,27.6,31.0,27.6,55.0,55.0
Durand High School,Durand CUSD 322,Durand,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,497.3,456.6,17.1,51.2,26.8,4.9,48.8,39.0,12.2,0.0,22.2,50.0,27.8,0.0,41.0,41.0
Winnebago High School,Winnebago CUSD 323,Winnebago,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,507.1,485.9,14.7,53.9,24.5,6.9,39.2,34.3,22.5,3.9,13.2,56.6,22.6,7.5,102.0,102.0
Evanston Twp High School,Evanston Twp HSD 202,Evanston,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,530.1,509.7,22.1,29.0,25.7,23.1,33.8,24.0,30.8,11.4,25.9,28.5,24.6,21.1,917.0,918.0
New Trier Township H S Winnetka,New Trier Twp HSD 203,Winnetka,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,10 - 12,595.2,586.7,6.7,22.1,30.6,40.6,11.0,19.5,45.1,24.4,8.4,22.3,29.9,39.4,947.0,955.0
Maine East High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,481.4,474.0,30.9,41.9,18.2,9.0,45.7,25.0,24.3,5.0,32.3,38.1,20.2,9.4,446.0,446.0
