School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation
Tinley Park High School,Bremen CHSD 228,Tinley Park,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,467.8,455.0,38.2,42.6,12.4,6.8,53.4,21.3,20.9,4.4,44.7,34.8,14.2,6.4,249.0,249.0
Hillcrest High School,Bremen CHSD 228,Country Club Hills,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,411.7,394.7,61.1,34.0,4.9,0.0,80.2,11.9,6.9,1.0,69.4,26.8,3.8,0.0,303.0,306.0
Oak Forest High School,Bremen CHSD 228,Oak Forest,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,480.3,474.8,30.1,44.6,19.3,6.0,42.9,31.3,22.2,3.7,34.5,46.3,14.7,4.5,352.0,352.0
Oak Lawn Comm High School,Oak Lawn CHSD 229,Oak Lawn,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,461.6,459.1,38.2,44.1,13.1,4.7,48.0,32.2,17.7,2.1,42.8,39.1,13.5,4.7,432.0,432.0
Carl Sandburg High School,Cons HSD 230,Orland Park,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,521.7,506.7,15.6,41.9,28.2,14.3,31.4,28.7,31.8,8.1,19.9,37.5,29.6,12.9,721.0,721.0
Amos Alonzo Stagg High School,Cons HSD 230,Palos Hills,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,496.5,492.8,22.5,45.2,24.6,7.7,35.8,29.3,28.9,6.0,24.9,46.5,22.0,6.6,521.0,522.0
Victor J Andrew High School,Cons HSD 230,Orland Hills,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,503.3,498.8,22.6,42.0,25.4,9.9,29.3,31.8,35.9,3.0,25.0,40.5,25.7,8.9,567.0,567.0
Evergreen Park High School,Evergreen Park CHSD 231,Evergreen Park,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,480.3,466.9,32.7,42.3,18.8,6.3,46.2,30.3,21.6,1.9,39.8,38.9,13.3,8.0,208.0,208.0
Homewood-Flossmoor High School,Homewood Flossmoor CHSD 233,Flossmoor,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,475.5,463.6,33.1,42.7,18.3,5.9,50.4,24.1,22.4,3.1,38.5,41.4,15.8,4.3,710.0,716.0
Southland College Prep Charter High School,Southland College Prep Charter High School,Richton Park,Cook,HIGH SCHOOL,SMALL,CHARTER SCH,9 - 12,493.5,463.6,24.6,36.9,27.7,10.8,49.6,25.6,22.5,2.3,29.2,39.6,20.8,10.4,129.0,130.0
Eastland Jr/Sr High School,Eastland CUSD 308,Lanark,Carroll,UNIT,MEDIUM,HIGH SCHOOL,6 - 12,496.9,485.1,18.4,51.0,28.6,2.0,38.8,28.6,32.7,0.0,20.8,41.7,33.3,4.2,49.0,49.0
West Carroll High School,West Carroll CUSD 314,Savanna,Carroll,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,481.0,456.2,26.9,51.9,17.3,3.8,53.8,26.9,19.2,0.0,41.7,45.8,12.5,0.0,52.0,52.0
Chadwick-Milledgeville Jr/Sr High School,Chadwick-Milledgeville CUSD 399,Milledgeville,Carroll,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,503.7,467.3,16.7,43.3,33.3,6.7,50.0,23.3,26.7,0.0,11.8,47.1,35.3,5.9,30.0,30.0
East Dubuque High School,East Dubuque USD 119,East Dubuque,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,482.6,463.0,29.6,44.4,18.5,7.4,50.0,29.6,20.4,0.0,30.3,42.4,18.2,9.1,54.0,54.0
Galena High School,Galena USD 120,Galena,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,494.3,493.3,22.2,46.3,20.4,11.1,35.2,31.5,29.6,3.7,25.9,44.4,18.5,11.1,54.0,54.0
Warren Jr/Sr High School,Warren CUSD 205,Warren,Jo Daviess,UNIT,SMALL,HIGH SCHOOL,6 - 12,467.9,483.0,39.4,39.4,12.1,9.1,36.4,42.4,15.2,6.1,52.9,35.3,0.0,11.8,33.0,33.0
Stockton Sr High School,Stockton CUSD 206,Stockton,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,482.1,473.1,28.2,46.2,17.9,7.7,33.3,43.6,17.9,5.1,28.6,47.6,14.3,9.5,39.0,39.0
River Ridge High School,River Ridge CUSD 210,Hanover,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,476.9,473.9,27.8,52.8,19.4,0.0,41.7,25.0,33.3,0.0,38.1,47.6,14.3,0.0,36.0,36.0
Scales Mound High School,Scales Mound CUSD 211,Scales Mound,Jo Daviess,UNIT,SMALL,HIGH SCHOOL,9 - 12,481.9,490.6,25.0,37.5,37.5,0.0,25.0,31.3,43.8,0.0,,,,,16.0,16.0
Freeport High School,Freeport SD 145,Freeport,Stephenson,UNIT,LARGE,HIGH SCHOOL,9 - 12,443.0,413.0,51.1,33.2,13.1,2.6,69.3,22.2,8.4,0.0,59.1,25.5,11.8,3.6,225.0,229.0
Pearl City High School,Pearl City CUSD 200,Pearl City,Stephenson,UNIT,SMALL,HIGH SCHOOL,9 - 12,497.9,469.0,20.7,44.8,31.0,3.4,44.8,37.9,13.8,3.4,26.7,33.3,33.3,6.7,29.0,29.0
Dakota Jr Sr High School,Dakota CUSD 201,Dakota,Stephenson,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,504.3,485.1,13.1,50.8,32.8,3.3,37.7,37.7,23.0,1.6,13.3,56.7,30.0,0.0,61.0,61.0
Lena-Winslow High School,Lena Winslow CUSD 202,Lena,Stephenson,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,524.0,494.4,16.0,34.0,40.0,10.0,34.0,34.0,26.0,6.0,28.6,28.6,28.6,14.3,50.0,50.0
Orangeville High School,Orangeville CUSD 203,Orangeville,Stephenson,UNIT,SMALL,HIGH SCHOOL,9 - 12,497.1,476.8,17.9,53.6,21.4,7.1,50.0,32.1,14.3,3.6,11.1,55.6,27.8,5.6,28.0,28.0
Fisher Jr/Sr High School,Fisher CUSD 1,Fisher,Champaign,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,483.5,481.2,26.5,44.9,24.5,4.1,42.9,26.5,26.5,4.1,35.0,40.0,20.0,5.0,49.0,49.0
Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,LARGE,HIGH SCHOOL,9 - 12,532.9,549.5,17.7,32.5,29.2,20.6,21.4,24.7,32.5,21.4,26.0,29.9,27.6,16.5,244.0,244.0
Centennial High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,9 - 12,474.7,468.6,39.3,33.4,17.6,9.7,52.1,17.6,23.4,6.9,38.5,31.5,17.5,12.6,291.0,291.0
Central High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,9 - 12,493.4,490.2,35.0,29.4,22.3,13.3,44.5,20.8,24.0,10.7,40.4,28.2,19.2,12.2,308.0,309.0
Unity High School,Tolono CUSD 7,Tolono,Champaign,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,501.7,489.4,24.3,41.4,22.5,11.7,37.8,31.5,26.1,4.5,26.0,44.0,24.0,6.0,111.0,111.0
Heritage High School,Heritage CUSD 8,Broadlands,Champaign,UNIT,SMALL,HIGH SCHOOL,9 - 12,483.9,462.9,21.4,53.6,17.9,7.1,50.0,25.0,25.0,0.0,23.1,46.2,23.1,7.7,28.0,28.0
Urbana High School,Urbana SD 116,Urbana,Champaign,UNIT,LARGE,HIGH SCHOOL,9 - 12,464.1,434.7,42.7,32.7,15.7,8.9,62.8,18.2,15.4,3.6,42.9,29.3,19.5,8.3,249.0,250.0
Rantoul Twp High School,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,423.9,403.5,56.9,32.8,8.2,2.1,77.4,17.4,4.6,0.5,64.9,23.4,10.6,1.1,195.0,195.0
St Joseph-Ogden High School,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,HIGH SCHOOL,9 - 12,515.3,523.8,14.4,53.2,18.9,13.5,22.5,30.6,40.5,6.3,20.4,51.9,18.5,9.3,111.0,111.0
GCMS High School,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,499.3,488.3,25.7,40.0,27.1,7.1,34.3,27.1,34.3,4.3,29.7,45.9,16.2,8.1,70.0,70.0
Paxton-Buckley-Loda High School,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,469.3,461.6,34.0,44.0,18.0,4.0,47.0,24.0,27.0,2.0,44.6,39.3,14.3,1.8,101.0,101.0
Marshall High School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,509.3,468.7,26.1,37.0,18.5,18.5,47.8,27.2,19.6,5.4,27.1,35.4,18.8,18.8,92.0,92.0
Martinsville Jr-Sr High School,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,HIGH SCHOOL,7 - 12,469.3,455.3,30.0,43.3,26.7,0.0,50.0,40.0,10.0,0.0,50.0,28.6,21.4,0.0,30.0,30.0
Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,487.2,473.3,21.7,53.3,20.0,5.0,33.3,45.0,21.7,0.0,20.7,62.1,17.2,0.0,60.0,60.0
Charleston High School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,HIGH SCHOOL,9 - 12,497.9,463.8,23.7,39.7,26.9,9.6,47.4,28.8,19.2,4.5,29.6,42.3,21.1,7.0,156.0,156.0
Mattoon High School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,HIGH SCHOOL,9 - 12,458.1,431.7,40.1,42.9,15.8,1.2,59.5,28.3,11.7,0.4,42.9,40.6,15.8,0.8,247.0,247.0
Oakland High School,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,HIGH SCHOOL,9 - 12,442.0,424.0,40.0,53.3,6.7,0.0,60.0,33.3,6.7,0.0,,,,,15.0,15.0
Neoga Jr/Sr High School,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,6 - 12,457.4,433.2,39.5,55.3,2.6,2.6,57.9,34.2,7.9,0.0,40.0,55.0,0.0,5.0,38.0,38.0
Cumberland High School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,479.2,455.9,31.6,44.7,19.7,3.9,50.0,27.6,19.7,2.6,36.6,34.1,22.0,7.3,76.0,76.0
Tuscola High School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,485.7,467.8,25.4,43.3,26.9,4.5,43.3,29.9,23.9,3.0,26.3,44.7,21.1,7.9,67.0,67.0
Villa Grove High School,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,457.8,441.9,37.5,50.0,6.3,6.3,59.4,21.9,18.8,0.0,36.8,47.4,10.5,5.3,32.0,32.0
Arthur-Lovington-Atwood-Hammond High School,Arthur CUSD 305,Arthur,Douglas,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,493.3,466.7,24.5,42.6,25.5,7.4,47.9,28.7,20.2,3.2,37.7,37.7,20.8,3.8,94.0,94.0
Arcola High School,Arcola CUSD 306,Arcola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,475.6,458.1,35.6,35.6,23.7,5.1,52.5,28.8,16.9,1.7,50.0,28.6,17.9,3.6,59.0,59.0
Shiloh High School,Shiloh CUSD 1,Hume,Edgar,UNIT,SMALL,HIGH SCHOOL,9 - 12,441.0,418.7,50.0,36.7,10.0,3.3,70.0,20.0,10.0,0.0,50.0,43.8,6.3,0.0,30.0,30.0
Kansas High School,Kansas CUSD 3,Kansas,Edgar,UNIT,SMALL,HIGH SCHOOL,7 - 12,439.1,429.1,45.5,36.4,18.2,0.0,63.6,27.3,9.1,0.0,,,,,11.0,11.0
Chrisman High School,Edgar County CUD 6,Chrisman,Edgar,UNIT,SMALL,HIGH SCHOOL,9 - 12,467.7,439.2,34.6,46.2,19.2,0.0,46.2,46.2,7.7,0.0,45.5,45.5,9.1,0.0,26.0,26.0
Paris Cooperative High School,Paris Cooperative High School,Paris,Edgar,HIGH SCHOOL,SMALL,HIGH SCHOOL,9 - 12,474.7,459.6,31.0,44.2,21.2,3.5,49.6,27.4,21.2,1.8,38.0,40.0,18.0,4.0,113.0,113.0
Sullivan High School,Sullivan CUSD 300,Sullivan,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,482.0,444.9,25.6,47.6,20.7,6.1,59.3,24.7,14.8,1.2,28.2,48.7,17.9,5.1,81.0,82.0
Okaw Valley High School,Okaw Valley CUSD 302,Bethany,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,451.8,441.8,36.8,50.0,13.2,0.0,60.5,28.9,10.5,0.0,52.9,47.1,0.0,0.0,38.0,38.0
Windsor Jr & Sr High School,Windsor CUSD 1,Windsor,Shelby,UNIT,SMALL,HIGH SCHOOL,7 - 12,466.7,446.0,46.7,20.0,20.0,13.3,53.3,33.3,6.7,6.7,50.0,0.0,30.0,20.0,15.0,15.0
Cowden-Herrick Jr/Sr High School,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,HIGH SCHOOL,PK - 12,441.5,418.5,46.2,46.2,7.7,0.0,65.4,23.1,11.5,0.0,55.0,40.0,5.0,0.0,26.0,26.0
Shelbyville High School,Shelbyville CUSD 4,Shelbyville,Shelby,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,484.6,474.5,28.1,40.4,28.1,3.4,47.2,21.3,29.2,2.2,37.2,39.5,20.9,2.3,89.0,89.0
Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,HIGH SCHOOL,9 - 12,462.2,474.1,29.6,51.9,18.5,0.0,44.4,22.2,33.3,0.0,35.7,57.1,7.1,0.0,27.0,27.0
Central A & M High School,Central A & M CUD 21,Moweaqua,Shelby,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,469.1,425.4,28.6,50.0,16.1,5.4,64.3,28.6,7.1,0.0,35.5,48.4,9.7,6.5,56.0,56.0
Clay City High School,Clay City CUSD 10,Clay City,Clay,UNIT,SMALL,HIGH SCHOOL,9 - 12,470.0,433.8,30.8,46.2,23.1,0.0,53.8,30.8,15.4,0.0,,,,,13.0,13.0
North Clay Community High School,North Clay CUSD 25,Louisville,Clay,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,431.5,416.7,58.7,28.3,13.0,0.0,69.6,21.7,8.7,0.0,72.0,20.0,8.0,0.0,46.0,46.0
Flora High School,Flora CUSD 35,Flora,Clay,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,458.9,414.9,36.0,46.1,16.9,1.1,71.9,24.7,3.4,0.0,43.6,49.1,7.3,0.0,89.0,89.0
Hutsonville High School,Hutsonville CUSD 1,Hutsonville,Crawford,UNIT,SMALL,HIGH SCHOOL,9 - 12,491.8,425.5,9.1,68.2,22.7,0.0,72.7,22.7,4.5,0.0,,,,,22.0,22.0
Robinson High School,Robinson CUSD 2,Robinson,Crawford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,469.1,453.6,40.6,37.5,10.4,11.5,61.5,13.5,18.8,6.3,50.9,28.1,8.8,12.3,96.0,96.0
Palestine High School,Palestine CUSD 3,Palestine,Crawford,UNIT,SMALL,HIGH SCHOOL,9 - 12,487.5,466.9,18.8,56.3,25.0,0.0,43.8,37.5,18.8,0.0,,,,,16.0,16.0
Oblong High School,Oblong CUSD 4,Oblong,Crawford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,474.5,458.7,29.8,46.8,23.4,0.0,48.9,34.0,14.9,2.1,36.0,40.0,24.0,0.0,47.0,47.0
Newton Comm High School,Jasper County CUD 1,Newton,Jasper,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,486.0,479.8,16.9,61.4,16.9,4.8,34.5,40.5,22.6,2.4,18.6,62.8,14.0,4.7,84.0,83.0
Red Hill Jr/Sr High School,Red Hill CUSD 10,Bridgeport,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,479.8,435.3,25.0,52.5,22.5,0.0,57.5,35.0,7.5,0.0,22.2,55.6,22.2,0.0,40.0,40.0
Lawrenceville High School,Lawrence County CUD 20,Lawrenceville,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,461.2,424.0,37.3,45.3,16.0,1.3,65.3,26.7,8.0,0.0,48.6,35.1,13.5,2.7,75.0,75.0
Richland County High School,Richland County CUSD 1,Olney,Richland,UNIT,LARGE,HIGH SCHOOL,9 - 12,471.5,452.8,33.9,44.8,16.4,4.9,49.7,27.3,21.9,1.1,36.4,44.4,16.2,3.0,183.0,183.0
Carlyle High School,Carlyle CUSD 1,Carlyle,Clinton,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,478.4,449.9,37.1,32.9,30.0,0.0,51.4,31.4,15.7,1.4,36.7,46.7,16.7,0.0,70.0,70.0
Wesclin Sr High School,Wesclin CUSD 3,Trenton,Clinton,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,480.5,475.3,31.8,36.4,27.3,4.5,39.8,30.7,27.3,2.3,41.3,37.0,19.6,2.2,88.0,88.0
Central Comm High School,Central CHSD 71,Breese,Clinton,HIGH SCHOOL,SMALL,HIGH SCHOOL,9 - 12,512.1,529.0,20.8,41.0,25.0,13.2,28.5,25.0,32.6,13.9,24.6,44.6,23.1,7.7,144.0,144.0
Waltonville High School,Waltonville CUSD 1,Waltonville,Jefferson,UNIT,SMALL,HIGH SCHOOL,9 - 12,459.6,430.4,36.0,40.0,24.0,0.0,60.0,36.0,4.0,0.0,42.9,35.7,21.4,0.0,25.0,25.0
Mount Vernon High School,Mt Vernon Twp HSD 201,Mount Vernon,Jefferson,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,453.4,425.5,42.1,43.3,10.5,4.0,65.2,23.5,10.9,0.4,40.5,42.0,12.2,5.3,247.0,247.0
Woodlawn High School,Woodlawn Unit School District 209,Woodlawn,Jefferson,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,480.0,460.0,27.5,45.0,27.5,0.0,45.0,32.5,20.0,2.5,42.9,33.3,23.8,0.0,40.0,40.0
Webber High School,Bluford Unit School District 318,Bluford,Jefferson,UNIT,SMALL,HIGH SCHOOL,9 - 12,473.1,468.6,27.8,44.4,25.0,2.8,41.7,38.9,16.7,2.8,25.0,56.3,18.8,0.0,36.0,36.0
Patoka Sr High School,Patoka CUSD 100,Patoka,Marion,UNIT,SMALL,HIGH SCHOOL,9 - 12,431.9,413.8,50.0,43.8,6.3,0.0,81.3,12.5,6.3,0.0,,,,,16.0,16.0
Centralia High School,Centralia HSD 200,Centralia,Marion,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,464.9,446.3,36.6,45.7,14.9,2.9,53.4,29.3,17.2,0.0,41.7,40.5,13.1,4.8,174.0,175.0
South Central High School,South Central CUD 401,Farina,Marion,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,438.4,414.1,51.0,36.7,12.2,0.0,77.6,8.2,14.3,0.0,63.3,23.3,13.3,0.0,49.0,49.0
Sandoval Sr High School,Sandoval CUSD 501,Sandoval,Marion,UNIT,SMALL,HIGH SCHOOL,9 - 12,420.3,384.7,50.0,50.0,0.0,0.0,80.0,20.0,0.0,0.0,69.2,30.8,0.0,0.0,30.0,30.0
Salem Community High School,Salem CHSD 600,Salem,Marion,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,471.2,465.0,31.7,48.3,17.2,2.8,45.5,29.0,22.1,3.4,26.6,54.4,16.5,2.5,145.0,145.0
Odin Attendance Center 9-12,Odin PSD 722,Odin,Marion,UNIT,SMALL,HIGH SCHOOL,9 - 12,474.6,433.1,15.4,69.2,15.4,0.0,53.8,46.2,0.0,0.0,,,,,13.0,13.0
Okawville Jr/Sr High School,West Washington Co CUD 10,Okawville,Washington,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,521.6,484.9,20.0,33.3,33.3,13.3,40.0,22.2,35.6,2.2,30.0,30.0,25.0,15.0,45.0,45.0
Nashville Comm High School,Nashville CHSD 99,Nashville,Washington,HIGH SCHOOL,SMALL,HIGH SCHOOL,9 - 12,490.9,469.5,21.0,46.0,28.0,5.0,46.0,27.0,27.0,0.0,28.8,40.4,28.8,1.9,100.0,100.0
Amundsen High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,494.0,481.8,22.9,45.1,26.1,5.9,39.9,28.8,27.8,3.4,28.0,43.6,22.9,5.5,406.0,406.0
Bogan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,400.8,382.3,66.7,27.0,6.3,0.0,81.0,17.8,1.1,0.0,65.4,28.4,6.2,0.0,177.0,177.0
Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,443.3,420.8,35.1,55.9,9.0,0.0,64.9,27.9,7.2,0.0,31.3,56.3,12.5,0.0,112.0,112.0
Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,410.4,399.5,62.3,34.0,1.9,1.9,78.3,15.1,5.7,0.9,69.8,23.8,3.2,3.2,107.0,107.0
Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,393.3,370.6,77.8,20.2,2.0,0.0,91.0,8.0,1.0,0.0,73.9,21.7,4.3,0.0,100.0,99.0
Foreman High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,412.5,404.4,61.5,31.7,5.8,1.0,69.2,26.0,4.8,0.0,60.6,34.8,3.0,1.5,104.0,104.0
Back of The Yards IB HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,461.9,461.2,35.6,44.9,18.2,1.2,47.8,27.1,23.9,1.2,40.2,38.5,19.7,1.7,247.0,247.0
Gage Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,397.2,382.3,73.6,23.2,3.2,0.0,89.6,8.8,1.6,0.0,70.8,26.2,3.1,0.0,125.0,125.0
Harlan Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,398.6,368.5,76.7,20.5,2.7,0.0,90.5,9.5,0.0,0.0,71.1,26.3,2.6,0.0,74.0,73.0
Hirsch Metropolitan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,379.3,357.6,77.3,18.2,4.5,0.0,97.7,2.3,0.0,0.0,81.8,18.2,0.0,0.0,45.0,45.0
Hubbard High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,436.5,421.7,50.7,40.6,6.7,2.0,65.8,26.1,8.1,0.0,51.5,40.1,6.6,1.8,406.0,406.0
Hyde Park Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,411.1,393.0,66.3,30.6,3.1,0.0,80.6,16.9,2.5,0.0,70.1,28.7,1.1,0.0,160.0,160.0
Thomas Kelly College Preparatory,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,429.3,419.0,51.2,40.1,7.9,0.8,68.9,19.6,10.4,1.1,50.8,41.7,6.5,1.0,367.0,369.0
Kelvyn Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,405.0,377.0,67.6,31.4,0.0,1.0,85.4,14.6,0.0,0.0,69.1,30.9,0.0,0.0,103.0,105.0
Kennedy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,451.2,425.8,40.3,45.4,12.9,1.4,62.7,27.9,9.4,0.0,45.9,43.7,8.7,1.6,352.0,351.0
Kenwood Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,500.6,465.9,18.0,51.2,24.9,5.9,40.3,36.2,22.7,0.7,24.2,48.8,20.4,6.7,538.0,539.0
Lake View High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,458.6,445.1,32.2,52.7,14.3,0.8,51.8,33.9,14.3,0.0,29.6,54.8,13.9,1.7,245.0,245.0
Lane Technical High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,617.7,616.6,0.4,12.3,48.0,39.3,1.1,10.8,60.7,27.4,0.8,10.8,45.5,42.9,1042.0,1042.0
Marshall Metropolitan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,413.0,372.0,63.3,31.7,3.3,1.7,89.8,8.5,1.7,0.0,51.9,40.7,3.7,3.7,59.0,60.0
Mather High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,440.7,439.3,43.1,47.2,9.5,0.2,55.7,28.9,14.5,0.9,44.5,45.0,10.0,0.4,423.0,423.0
Morgan Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,415.7,395.0,62.3,35.3,2.5,0.0,76.5,22.1,1.5,0.0,63.7,33.6,2.7,0.0,204.0,204.0
Phillips Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,400.7,377.6,71.1,28.1,0.8,0.0,88.4,11.6,0.0,0.0,73.1,26.9,0.0,0.0,121.0,121.0
Roosevelt High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,418.3,398.1,59.3,35.3,5.0,0.4,76.4,19.0,4.6,0.0,62.0,31.8,5.4,0.8,238.0,242.0
Schurz High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,421.4,406.9,56.8,36.0,6.9,0.3,72.1,22.7,5.2,0.0,60.1,34.5,5.4,0.0,331.0,332.0
Senn High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,479.2,457.7,30.0,44.7,18.8,6.5,43.5,35.5,20.3,0.7,33.9,43.8,16.1,6.3,414.0,414.0
King College Prep High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,476.0,473.7,19.4,68.0,11.7,1.0,34.0,46.6,19.4,0.0,19.5,70.7,7.3,2.4,103.0,103.0
