School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Jul,503.9,518.9,11.1,50,22.2,16.7,22.2,44.4,27.8,5.6,,,,,18,18,Illinois,39.5926856,-89.9603042,201 North Miller Street,62692,Morgan County,Waverly,17137,"201 North Miller Street, Waverly, Illinois, 62692",952300,17137952300,2022,952300,Morgan County,Illinois,286,47,144,72,23,2241,50,106,1019,455,172,299,140,16.4,50.3,25.2,8,2.2,4.7,45.5,20.3,7.7,13.3,6.2,1284,68397,94804,3442,141,4.1,3301,95.9,3198,92.9,31,0.9,0,0,42,1.2,0,0,0,0,30,0.9,518.9,503.9
Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Sep,469,419,20,60,20,0,60,30,10,0,,,,,10,10,Illinois,39.8314704,-90.5543899,830 Main Street,62665,Morgan County,Meredosia,17137,"830 Main Street, Meredosia, Illinois, 62665",951400,17137951400,2022,951400,Morgan County,Illinois,154,56,67,31,0,1737,52,114,827,356,185,125,78,36.4,43.5,20.1,0,3,6.6,47.6,20.5,10.7,7.2,4.5,1019,57399,73289,2420,52,2.1,2368,97.9,2295,94.8,0,0,0,0,0,0,0,0,0,0,73,3,419,469
Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Jul,516.8,503.2,8,56,32,4,20,52,28,0,0,53.8,38.5,7.7,25,25,Illinois,39.8406508,-90.372008,2204 Concord Arenzville Road,62631,Morgan County,Concord,17137,"2204 Concord Arenzville Road, Concord, Illinois, 62631",951400,17137951400,2022,951400,Morgan County,Illinois,154,56,67,31,0,1737,52,114,827,356,185,125,78,36.4,43.5,20.1,0,3,6.6,47.6,20.5,10.7,7.2,4.5,1019,57399,73289,2420,52,2.1,2368,97.9,2295,94.8,0,0,0,0,0,0,0,0,0,0,73,3,503.2,516.8
Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,12-Sep,466.1,446,32.6,46.6,18.1,2.6,55.4,27.5,17.1,0,36.3,44.1,17.6,2,193,193,Illinois,39.750431,-90.24005,1211 North Diamond Street,62650,Morgan County,Jacksonville,17137,"1211 North Diamond Street, Jacksonville, Illinois, 62650",951700,17137951700,2022,951700,Morgan County,Illinois,116,19,66,0,31,1776,81,107,900,371,164,126,27,16.4,56.9,0,26.7,4.6,6,50.7,20.9,9.2,7.1,1.5,904,40875,55878,2448,53,2.2,2395,97.8,2188,89.4,199,8.1,0,0,0,0,0,0,0,0,8,0.3,446,466.1
Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,HIGH SCHOOL,12-Sep,431.9,411.9,66.7,19,9.5,4.8,71.4,14.3,14.3,0,60,20,13.3,6.7,21,21,Illinois,39.4410208,-90.8683035,501 East Quincy Street,62366,Pike County,Pleasant Hill,17149,"501 East Quincy Street, Pleasant Hill, Illinois, 62366",952600,17149952600,2022,952600,Pike County,Illinois,205,45,83,68,9,1736,22,102,753,396,137,238,88,22,40.5,33.2,4.4,1.3,5.9,43.4,22.8,7.9,13.7,5.1,951,64453,76933,2800,16,0.6,2784,99.4,2739,97.8,10,0.4,2,0.1,8,0.3,0,0,0,0,25,0.9,411.9,431.9
Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,HIGH SCHOOL,12-Sep,470.7,447.9,14.3,64.3,21.4,0,64.3,21.4,14.3,0,,,,,14,14,Illinois,39.7728701,-90.7913227,,N/A,Pike County,N/A,17149,,952400,17149952400,2022,952400,Pike County,Illinois,336,85,149,90,12,2160,37,136,917,510,232,203,125,25.3,44.3,26.8,3.6,1.7,6.3,42.5,23.6,10.7,9.4,5.8,1284,49083,68344,3061,58,1.9,3003,98.1,2809,91.8,23,0.8,0,0,6,0.2,88,2.9,9,0.3,68,2.2,447.9,470.7
Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,491.3,463.6,20,52.7,21.8,5.5,50.9,27.3,20,1.8,26.9,46.2,19.2,7.7,55,55,Illinois,39.6000518,-90.8053207,201 East Higbee Street,62363,Pike County,Pittsfield,17149,"201 East Higbee Street, Pittsfield, Illinois, 62363",952700,17149952700,2022,952700,Pike County,Illinois,211,35,101,67,8,3197,52,186,1166,754,289,603,147,16.6,47.9,31.8,3.8,1.6,5.8,36.5,23.6,9,18.9,4.6,1849,52521,66780,4309,64,1.5,4245,98.5,4098,95.1,65,1.5,0,0,23,0.5,0,0,0,0,59,1.4,463.6,491.3
Western High School,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,467.2,451.6,36,44,20,0,52,28,20,0,,,,,25,25,Illinois,39.6971968,-91.044325,401 McDonough Street,62312,Pike County,Barry,17149,"401 McDonough Street, Barry, Illinois, 62312",952500,17149952500,2022,952500,Pike County,Illinois,197,31,110,38,18,1782,38,120,751,436,155,190,92,15.7,55.8,19.3,9.1,2.1,6.7,42.1,24.5,8.7,10.7,5.2,977,59279,68692,2573,54,2.1,2519,97.9,2482,96.5,3,0.1,0,0,7,0.3,0,0,4,0.2,23,0.9,451.6,467.2
Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,480,457,24.2,57.6,18.2,0,45.5,33.3,21.2,0,25,58.3,16.7,0,33,33,Illinois,39.6275071,-90.4595794,200 West Cross Street,62694,Scott County,Winchester,17171,"200 West Cross Street, Winchester, Illinois, 62694",970700,17171970700,2022,970700,Scott County,Illinois,247,25,104,99,19,2158,25,114,1008,321,215,363,112,10.1,42.1,40.1,7.7,1.2,5.3,46.7,14.9,10,16.8,5.2,1273,61339,74196,3178,14,0.4,3164,99.6,3087,97.1,0,0,2,0.1,0,0,0,0,0,0,75,2.4,457,480
Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,HIGH SCHOOL,12-Sep,435,404.2,41.7,58.3,0,0,66.7,33.3,0,0,,,,,12,12,Illinois,39.7519902,-90.5351258,,62621,Scott County,Bluffs,17171,,970600,17171970600,2022,970600,Scott County,Illinois,131,15,61,51,4,1304,43,69,588,242,75,231,56,11.5,46.6,38.9,3.1,3.3,5.3,45.1,18.6,5.8,17.7,4.3,679,77614,88292,1721,53,3.1,1668,96.9,1599,92.9,0,0,4,0.2,38,2.2,0,0,0,0,27,1.6,404.2,435
