School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Lansing,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,443.7,417.6,41.7,46.1,10.2,2,69,21,9.4,0.7,48.1,39.4,10,2.5,451,463,Illinois,41.5586522,-87.541417,18500 Burnham Avenue,60438,Cook County,Lansing,17031,"18500 Burnham Avenue, Lansing, Illinois, 60438",828100,17031828100,2022,828100,Cook County,Illinois,426,108,214,104,0,3570,79,169,1538,785,305,459,235,25.4,50.2,24.4,0,2.2,4.7,43.1,22,8.5,12.9,6.6,2061,65190,83465,5388,1146,21.3,4242,78.7,1799,33.4,2412,44.8,0,0,16,0.3,0,0,0,0,15,0.3,417.6,443.7
Argo Community High School,Argo CHSD 217,Summit,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,450.3,455.8,43.2,39.4,14.6,2.8,52.8,26.1,17.9,3.2,46.6,39.4,12.7,1.2,465,466,Illinois,41.7769328,-87.8044959,7329 West 63rd Street,60501,Cook County,Summit,17031,"7329 West 63rd Street, Summit, Illinois, 60501",820400,17031820400,2022,820400,Cook County,Illinois,490,126,91,230,43,3632,771,455,1130,641,227,338,70,25.7,18.6,46.9,8.8,21.2,12.5,31.1,17.6,6.3,9.3,1.9,1849,49598,74999,5265,3757,71.4,1508,28.6,413,7.8,950,18,0,0,108,2.1,0,0,0,0,37,0.7,455.8,450.3
DD Eisenhower High Sch (Campus),CHSD 218,Blue Island,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,428.8,421.4,53,37.9,8,1.1,68.7,23,8.1,0.2,58.5,36.2,4.8,0.4,434,438,Illinois,41.661215,-87.6952439,12700 Sacramento Avenue,60406,Cook County,Blue Island,17031,"12700 Sacramento Avenue, Blue Island, Illinois, 60406",823400,17031823400,2022,823400,Cook County,Illinois,402,54,83,248,17,3362,396,159,1186,961,104,332,224,13.4,20.6,61.7,4.2,11.8,4.7,35.3,28.6,3.1,9.9,6.7,1867,62517,69788,4646,2118,45.6,2528,54.4,1291,27.8,1198,25.8,0,0,20,0.4,0,0,0,0,19,0.4,421.4,428.8
H L Richards High Sch(Campus),CHSD 218,Oak Lawn,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,453.5,453.3,42.3,41.3,13.2,3.3,51.6,28.1,18.7,1.5,44.8,41.9,10.8,2.5,395,395,Illinois,41.6984199,-87.7587835,10601 Central Avenue,60453,Cook County,Oak Lawn,17031,"10601 Central Avenue, Oak Lawn, Illinois, 60453",822602,17031822602,2022,822602,Cook County,Illinois,592,143,123,91,235,5387,299,286,1167,1232,734,1099,570,24.2,20.8,15.4,39.7,5.6,5.3,21.7,22.9,13.6,20.4,10.6,3204,64345,94609,7777,1021,13.1,6756,86.9,4833,62.1,1077,13.8,0,0,331,4.3,0,0,71,0.9,444,5.7,453.3,453.5
A B Shepard High Sch (Campus),CHSD 218,Palos Heights,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,465.2,455.2,39.6,37.7,16.6,6.1,50,28.7,19.6,1.7,45,36.6,14.3,4.2,474,477,Illinois,41.6550845,-87.7757889,13049 South Ridgeland Avenue,60463,Cook County,Palos Heights,17031,"13049 South Ridgeland Avenue, Palos Heights, Illinois, 60463",823602,17031823602,2022,823602,Cook County,Illinois,442,0,73,265,104,5067,152,192,1408,1534,584,902,295,0,16.5,60,23.5,3,3.8,27.8,30.3,11.5,17.8,5.8,2836,81772,97016,6164,703,11.4,5461,88.6,4829,78.3,286,4.6,0,0,224,3.6,0,0,38,0.6,84,1.4,455.2,465.2
Reavis High School,Reavis Twp HSD 220,Burbank,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,458.7,448.3,37.6,44.7,13.6,4.1,55.1,27.4,15.2,2.2,43.3,39.6,13.7,3.3,496,496,Illinois,41.7534406,-87.771345,6034 West 77th Street,60459,Cook County,Burbank,17031,"6034 West 77th Street, Burbank, Illinois, 60459",820901,17031820901,2022,820901,Cook County,Illinois,469,64,121,276,8,3162,520,250,1228,550,273,233,108,13.6,25.8,58.8,1.7,16.4,7.9,38.8,17.4,8.6,7.4,3.4,1696,73603,97112,5010,2584,51.6,2426,48.4,2278,45.5,46,0.9,0,0,30,0.6,0,0,0,0,72,1.4,448.3,458.7
Rich Township High School,Rich Twp HSD 227,Olympia Fields,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,418.5,397.5,59.8,31.8,7.8,0.6,77.5,16.7,5.6,0.3,66.8,25.9,7,0.3,667,668,Illinois,41.5194582,-87.7566513,,N/A,Cook County,N/A,17031,,830003,17031830003,2022,830003,Cook County,Illinois,540,0,257,165,118,5604,91,141,1162,1314,249,1446,1201,0,47.6,30.6,21.9,1.6,2.5,20.7,23.4,4.4,25.8,21.4,2856,115250,130718,8195,279,3.4,7916,96.6,257,3.1,7284,88.9,0,0,0,0,0,0,0,0,375,4.6,397.5,418.5
Bremen High School,Bremen CHSD 228,Midlothian,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,431.1,410.2,52.1,38,8,1.9,72.8,18.9,8,0.3,53,37.4,7.1,2.5,375,376,Illinois,41.6155258,-87.7155899,15203 Pulaski Road,60445,Cook County,Midlothian,17031,"15203 Pulaski Road, Midlothian, Illinois, 60445",824702,17031824702,2022,824702,Cook County,Illinois,335,53,176,106,0,3886,444,250,1375,819,357,393,248,15.8,52.5,31.6,0,11.4,6.4,35.4,21.1,9.2,10.1,6.4,2339,59918,80470,5530,2361,42.7,3169,57.3,1884,34.1,607,11,0,0,231,4.2,0,0,115,2.1,332,6,410.2,431.1
Tinley Park High School,Bremen CHSD 228,Tinley Park,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,467.8,455,38.2,42.6,12.4,6.8,53.4,21.3,20.9,4.4,44.7,34.8,14.2,6.4,249,249,Illinois,41.5725484,-87.7666471,6111 175th Street,60477,Cook County,Tinley Park,17031,"6111 175th Street, Tinley Park, Illinois, 60477",825400,17031825400,2022,825400,Cook County,Illinois,314,0,100,202,12,4218,45,95,1278,949,532,739,580,0,31.8,64.3,3.8,1.1,2.3,30.3,22.5,12.6,17.5,13.8,2438,91881,96738,5502,1184,21.5,4318,78.5,3481,63.3,348,6.3,12,0.2,351,6.4,0,0,22,0.4,104,1.9,455,467.8
Hillcrest High School,Bremen CHSD 228,Country Club Hills,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,411.7,394.7,61.1,34,4.9,0,80.2,11.9,6.9,1,69.4,26.8,3.8,0,303,306,Illinois,41.5733568,-87.7122008,17401 Pulaski Road,60478,Cook County,Country Club Hills,17031,"17401 Pulaski Road, Country Club Hills, Illinois, 60478",825501,17031825501,2022,825501,Cook County,Illinois,616,0,438,127,51,3593,116,160,1253,945,207,503,409,0,71.1,20.6,8.3,3.2,4.5,34.9,26.3,5.8,14,11.4,1827,63603,110655,5493,201,3.7,5292,96.3,318,5.8,4905,89.3,17,0.3,52,0.9,0,0,0,0,0,0,394.7,411.7
Oak Forest High School,Bremen CHSD 228,Oak Forest,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,480.3,474.8,30.1,44.6,19.3,6,42.9,31.3,22.2,3.7,34.5,46.3,14.7,4.5,352,352,Illinois,41.6157058,-87.7538726,15201 Central Avenue,60452,Cook County,Oak Forest,17031,"15201 Central Avenue, Oak Forest, Illinois, 60452",824602,17031824602,2022,824602,Cook County,Illinois,348,0,92,217,39,4739,118,190,1408,1202,493,965,363,0,26.4,62.4,11.2,2.5,4,29.7,25.4,10.4,20.4,7.7,2483,86560,100757,6591,941,14.3,5650,85.7,4366,66.2,736,11.2,4,0.1,392,5.9,0,0,0,0,152,2.3,474.8,480.3
Oak Lawn Comm High School,Oak Lawn CHSD 229,Oak Lawn,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,461.6,459.1,38.2,44.1,13.1,4.7,48,32.2,17.7,2.1,42.8,39.1,13.5,4.7,432,432,Illinois,41.72162,-87.767984,9400 Southwest Highway,60453,Cook County,Oak Lawn,17031,"9400 Southwest Highway, Oak Lawn, Illinois, 60453",822200,17031822200,2022,822200,Cook County,Illinois,352,36,45,213,58,2682,58,48,1040,689,229,414,204,10.2,12.8,60.5,16.5,2.2,1.8,38.8,25.7,8.5,15.4,7.6,1301,86299,95596,3805,613,16.1,3192,83.9,2674,70.3,182,4.8,19,0.5,112,2.9,0,0,21,0.6,184,4.8,459.1,461.6
Carl Sandburg High School,Cons HSD 230,Orland Park,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,521.7,506.7,15.6,41.9,28.2,14.3,31.4,28.7,31.8,8.1,19.9,37.5,29.6,12.9,721,721,Illinois,41.6495359,-87.8550911,13300 LaGrange Road,60462,Cook County,Orland Park,17031,"13300 LaGrange Road, Orland Park, Illinois, 60462",823801,17031823801,2022,823801,Cook County,Illinois,248,64,13,82,89,4124,80,103,730,742,219,1221,1029,25.8,5.2,33.1,35.9,1.9,2.5,17.7,18,5.3,29.6,25,2086,116797,153596,5376,344,6.4,5032,93.6,3975,73.9,303,5.6,0,0,595,11.1,0,0,8,0.1,151,2.8,506.7,521.7
Amos Alonzo Stagg High School,Cons HSD 230,Palos Hills,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,496.5,492.8,22.5,45.2,24.6,7.7,35.8,29.3,28.9,6,24.9,46.5,22,6.6,521,522,Illinois,41.6878991,-87.8185898,8015 West 111th Street,60465,Cook County,Palos Hills,17031,"8015 West 111th Street, Palos Hills, Illinois, 60465",823805,17031823805,2022,823804,Cook County,Illinois,168,2,57,82,27,2328,97,83,705,455,206,512,270,1.2,33.9,48.8,16.1,4.2,3.6,30.3,19.5,8.8,22,11.6,1483,69096,94298,3030,269,8.9,2761,91.1,2554,84.3,41,1.4,0,0,127,4.2,0,0,0,0,39,1.3,492.8,496.5
Victor J Andrew High School,Cons HSD 230,Orland Hills,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,12-Sep,503.3,498.8,22.6,42,25.4,9.9,29.3,31.8,35.9,3,25,40.5,25.7,8.9,567,567,Illinois,41.5784738,-87.8391212,9001 West 171st Street,60487,Cook County,Tinley Park,17031,"9001 West 171st Street, Tinley Park, Illinois, 60487",824126,17031824126,2022,824126,Cook County,Illinois,308,18,99,127,64,3982,32,39,851,425,598,1153,884,5.8,32.1,41.2,20.8,0.8,1,21.4,10.7,15,29,22.2,1984,168194,160660,5416,314,5.8,5102,94.2,4763,87.9,3,0.1,0,0,249,4.6,0,0,0,0,87,1.6,498.8,503.3
Evergreen Park High School,Evergreen Park CHSD 231,Evergreen Park,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,480.3,466.9,32.7,42.3,18.8,6.3,46.2,30.3,21.6,1.9,39.8,38.9,13.3,8,208,208,Illinois,41.7128974,-87.7005257,9901 South Kedzie Avenue,60805,Cook County,Evergreen Park,17031,"9901 South Kedzie Avenue, Evergreen Park, Illinois, 60805",821900,17031821900,2022,821900,Cook County,Illinois,439,34,167,215,23,3547,101,97,672,759,407,934,577,7.7,38,49,5.2,2.8,2.7,18.9,21.4,11.5,26.3,16.3,1814,100179,108289,5426,875,16.1,4551,83.9,3383,62.3,785,14.5,0,0,221,4.1,0,0,11,0.2,151,2.8,466.9,480.3
Homewood-Flossmoor High School,Homewood Flossmoor CHSD 233,Flossmoor,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,475.5,463.6,33.1,42.7,18.3,5.9,50.4,24.1,22.4,3.1,38.5,41.4,15.8,4.3,710,716,Illinois,41.5461635,-87.6914792,999 Kedzie Avenue,60422,Cook County,Flossmoor,17031,"999 Kedzie Avenue, Flossmoor, Illinois, 60422",829800,17031829800,2022,829800,Cook County,Illinois,200,47,55,31,67,4716,76,0,635,1112,205,1248,1440,23.5,27.5,15.5,33.5,1.6,0,13.5,23.6,4.3,26.5,30.5,2381,135212,150944,6613,94,1.4,6519,98.6,2510,38,3471,52.5,0,0,55,0.8,0,0,0,0,483,7.3,463.6,475.5
Southland College Prep Charter High School,Southland College Prep Charter High School,Richton Park,Cook,HIGH SCHOOL,SMALL,CHARTER SCH,12-Sep,493.5,463.6,24.6,36.9,27.7,10.8,49.6,25.6,22.5,2.3,29.2,39.6,20.8,10.4,129,130,Illinois,41.483955,-87.7286089,4601 Sauk Trail,60471,Cook County,Richton Park,17031,"4601 Sauk Trail, Richton Park, Illinois, 60471",830007,17031830007,2022,830007,Cook County,Illinois,368,0,173,175,20,3120,18,99,838,1001,361,462,341,0,47,47.6,5.4,0.6,3.2,26.9,32.1,11.6,14.8,10.9,1927,56836,71444,4947,296,6,4651,94,294,5.9,4357,88.1,0,0,0,0,0,0,0,0,0,0,463.6,493.5
Eastland Jr/Sr High School,Eastland CUSD 308,Lanark,Carroll,UNIT,MEDIUM,HIGH SCHOOL,12-Jun,496.9,485.1,18.4,51,28.6,2,38.8,28.6,32.7,0,20.8,41.7,33.3,4.2,49,49,Illinois,42.0970832,-89.8305087,500 School Drive,61046,Carroll County,Lanark,17015,"500 School Drive, Lanark, Illinois, 61046",960100,17015960100,2022,960100,Carroll County,Illinois,409,42,179,156,32,2348,42,67,799,672,286,311,171,10.3,43.8,38.1,7.8,1.8,2.9,34,28.6,12.2,13.2,7.3,1438,78542,93215,3463,81,2.3,3382,97.7,3244,93.7,42,1.2,0,0,35,1,0,0,3,0.1,58,1.7,485.1,496.9
West Carroll High School,West Carroll CUSD 314,Savanna,Carroll,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,481,456.2,26.9,51.9,17.3,3.8,53.8,26.9,19.2,0,41.7,45.8,12.5,0,52,52,Illinois,42.0965745,-90.1346469,500 Cragmoor Street,61074,Carroll County,Savanna,17015,"500 Cragmoor Street, Savanna, Illinois, 61074",960300,17015960300,2022,960300,Carroll County,Illinois,179,0,42,97,40,2359,122,318,715,719,159,263,63,0,23.5,54.2,22.3,5.2,13.5,30.3,30.5,6.7,11.1,2.7,1405,50275,64100,3092,228,7.4,2864,92.6,2710,87.6,10,0.3,12,0.4,17,0.5,0,0,0,0,115,3.7,456.2,481
Chadwick-Milledgeville Jr/Sr High School,Chadwick-Milledgeville CUSD 399,Milledgeville,Carroll,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,503.7,467.3,16.7,43.3,33.3,6.7,50,23.3,26.7,0,11.8,47.1,35.3,5.9,30,30,Illinois,41.9591724,-89.8130356,,N/A,Carroll County,N/A,17015,,960500,17015960500,2022,960500,Carroll County,Illinois,226,6,98,75,47,1760,65,43,650,405,188,287,122,2.7,43.4,33.2,20.8,3.7,2.4,36.9,23,10.7,16.3,6.9,1050,68148,80525,2492,104,4.2,2388,95.8,2348,94.2,1,0,0,0,23,0.9,0,0,0,0,16,0.6,467.3,503.7
East Dubuque High School,East Dubuque USD 119,East Dubuque,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,482.6,463,29.6,44.4,18.5,7.4,50,29.6,20.4,0,30.3,42.4,18.2,9.1,54,54,Illinois,42.4970641,-90.6259636,200 Parklane Drive,61025,Jo Daviess County,East Dubuque,17085,"200 Parklane Drive, East Dubuque, Illinois, 61025",20200,17085020200,2022,20200,Jo Daviess County,Illinois,363,34,146,163,20,3565,139,107,1678,569,499,422,151,9.4,40.2,44.9,5.5,3.9,3,47.1,16,14,11.8,4.2,2153,64060,84991,4703,155,3.3,4548,96.7,4391,93.4,65,1.4,1,0,31,0.7,0,0,8,0.2,52,1.1,463,482.6
Galena High School,Galena USD 120,Galena,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,494.3,493.3,22.2,46.3,20.4,11.1,35.2,31.5,29.6,3.7,25.9,44.4,18.5,11.1,54,54,Illinois,42.427397,-90.440316,1206 Franklin Street,61036,Jo Daviess County,Galena,17085,"1206 Franklin Street, Galena, Illinois, 61036",20300,17085020300,2022,20300,Jo Daviess County,Illinois,229,28,89,112,0,3874,51,131,1113,537,409,1080,553,12.2,38.9,48.9,0,1.3,3.4,28.7,13.9,10.6,27.9,14.3,2433,68491,88302,4868,68,1.4,4800,98.6,4672,96,35,0.7,0,0,63,1.3,0,0,0,0,30,0.6,493.3,494.3
Warren Jr/Sr High School,Warren CUSD 205,Warren,Jo Daviess,UNIT,SMALL,HIGH SCHOOL,12-Jun,467.9,483,39.4,39.4,12.1,9.1,36.4,42.4,15.2,6.1,52.9,35.3,0,11.8,33,33,Illinois,42.494047,-89.990382,311 South Water Street,61087,Jo Daviess County,Warren,17085,"311 South Water Street, Warren, Illinois, 61087",20102,17085020102,2022,20102,Jo Daviess County,Illinois,235,82,61,87,5,1781,88,110,729,373,179,226,76,34.9,26,37,2.1,4.9,6.2,40.9,20.9,10.1,12.7,4.3,1057,71006,74110,2648,102,3.9,2546,96.1,2428,91.7,21,0.8,0,0,1,0,0,0,3,0.1,93,3.5,483,467.9
Stockton Sr High School,Stockton CUSD 206,Stockton,Jo Daviess,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,482.1,473.1,28.2,46.2,17.9,7.7,33.3,43.6,17.9,5.1,28.6,47.6,14.3,9.5,39,39,Illinois,42.3562429,-90.0129041,540 North Rush Street,61085,Jo Daviess County,Stockton,17085,"540 North Rush Street, Stockton, Illinois, 61085",20500,17085020500,2022,20500,Jo Daviess County,Illinois,156,17,36,41,62,2157,43,77,654,607,316,379,81,10.9,23.1,26.3,39.7,2,3.6,30.3,28.1,14.6,17.6,3.8,1352,60400,75034,2970,96,3.2,2874,96.8,2784,93.7,12,0.4,0,0,12,0.4,0,0,0,0,66,2.2,473.1,482.1
Scales Mound High School,Scales Mound CUSD 211,Scales Mound,Jo Daviess,UNIT,SMALL,HIGH SCHOOL,12-Sep,481.9,490.6,25,37.5,37.5,0,25,31.3,43.8,0,,,,,16,16,Illinois,42.4750406,-90.250785,210 Main Street,61075,Jo Daviess County,Scales Mound,17085,"210 Main Street, Scales Mound, Illinois, 61075",20101,17085020101,2022,20101,Jo Daviess County,Illinois,175,26,116,31,2,1486,60,25,500,383,165,191,162,14.9,66.3,17.7,1.1,4,1.7,33.6,25.8,11.1,12.9,10.9,864,79375,97376,2007,61,3,1946,97,1911,95.2,4,0.2,3,0.1,0,0,2,0.1,0,0,26,1.3,490.6,481.9
Freeport High School,Freeport SD 145,Freeport,Stephenson,UNIT,LARGE,HIGH SCHOOL,12-Sep,443,413,51.1,33.2,13.1,2.6,69.3,22.2,8.4,0,59.1,25.5,11.8,3.6,225,229,Illinois,42.2874901,-89.6292216,701 West Moseley Street,61032,Stephenson County,Freeport,17177,"701 West Moseley Street, Freeport, Illinois, 61032",1200,17177001200,2022,1200,Stephenson County,Illinois,278,15,80,183,0,2643,43,338,912,706,320,226,98,5.4,28.8,65.8,0,1.6,12.8,34.5,26.7,12.1,8.6,3.7,1703,46974,53639,4111,568,13.8,3543,86.2,2463,59.9,662,16.1,0,0,77,1.9,0,0,42,1,299,7.3,413,443
Pearl City High School,Pearl City CUSD 200,Pearl City,Stephenson,UNIT,SMALL,HIGH SCHOOL,12-Sep,497.9,469,20.7,44.8,31,3.4,44.8,37.9,13.8,3.4,26.7,33.3,33.3,6.7,29,29,Illinois,42.2558456,-89.8317729,,N/A,Stephenson County,N/A,17177,,400,17177000400,2022,400,Stephenson County,Illinois,176,7,63,92,14,1805,53,65,618,455,197,281,136,4,35.8,52.3,8,2.9,3.6,34.2,25.2,10.9,15.6,7.5,1015,67697,78248,2830,145,5.1,2685,94.9,2550,90.1,107,3.8,0,0,0,0,0,0,8,0.3,20,0.7,469,497.9
Dakota Jr Sr High School,Dakota CUSD 201,Dakota,Stephenson,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,504.3,485.1,13.1,50.8,32.8,3.3,37.7,37.7,23,1.6,13.3,56.7,30,0,61,61,Illinois,42.3866225,-89.5304598,400 Campus Drive,61018,Stephenson County,Dakota,17177,"400 Campus Drive, Dakota, Illinois, 61018",100,17177000100,2022,100,Stephenson County,Illinois,311,8,151,123,29,3143,18,127,904,916,480,446,252,2.6,48.6,39.5,9.3,0.6,4,28.8,29.1,15.3,14.2,8,1731,81232,104695,4528,200,4.4,4328,95.6,4222,93.2,23,0.5,0,0,14,0.3,0,0,0,0,69,1.5,485.1,504.3
Lena-Winslow High School,Lena Winslow CUSD 202,Lena,Stephenson,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,524,494.4,16,34,40,10,34,34,26,6,28.6,28.6,28.6,14.3,50,50,Illinois,42.3786874,-89.8154142,516 Fremont Street,61048,Stephenson County,Lena,17177,"516 Fremont Street, Lena, Illinois, 61048",300,17177000300,2022,300,Stephenson County,Illinois,136,5,66,63,2,2726,59,119,947,739,181,460,221,3.7,48.5,46.3,1.5,2.2,4.4,34.7,27.1,6.6,16.9,8.1,1596,71923,89712,3814,100,2.6,3714,97.4,3616,94.8,66,1.7,0,0,1,0,0,0,3,0.1,28,0.7,494.4,524
Orangeville High School,Orangeville CUSD 203,Orangeville,Stephenson,UNIT,SMALL,HIGH SCHOOL,12-Sep,497.1,476.8,17.9,53.6,21.4,7.1,50,32.1,14.3,3.6,11.1,55.6,27.8,5.6,28,28,Illinois,42.4674502,-89.6417864,201 South Orange Street,61060,Stephenson County,Orangeville,17177,"201 South Orange Street, Orangeville, Illinois, 61060",200,17177000200,2022,200,Stephenson County,Illinois,204,44,49,103,8,2187,28,181,741,532,250,369,86,21.6,24,50.5,3.9,1.3,8.3,33.9,24.3,11.4,16.9,3.9,1260,71587,84830,2938,97,3.3,2841,96.7,2801,95.3,4,0.1,0,0,0,0,0,0,7,0.2,29,1,476.8,497.1
Fisher Jr/Sr High School,Fisher CUSD 1,Fisher,Champaign,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,483.5,481.2,26.5,44.9,24.5,4.1,42.9,26.5,26.5,4.1,35,40,20,5,49,49,Illinois,40.3100928,-88.3550504,211 West Division Street,61843,Champaign County,Fisher,17019,"211 West Division Street, Fisher, Illinois, 61843",10500,17019010500,2022,10500,Champaign County,Illinois,358,37,167,131,23,3047,8,40,802,677,435,641,444,10.3,46.6,36.6,6.4,0.3,1.3,26.3,22.2,14.3,21,14.6,1601,106830,139775,4474,10,0.2,4464,99.8,4145,92.6,15,0.3,0,0,78,1.7,0,0,4,0.1,222,5,481.2,483.5
Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,LARGE,HIGH SCHOOL,12-Sep,532.9,549.5,17.7,32.5,29.2,20.6,21.4,24.7,32.5,21.4,26,29.9,27.6,16.5,244,244,Illinois,40.2021766,-88.4111624,302 West State Street,61853,Champaign County,Mahomet,17019,"302 West State Street, Mahomet, Illinois, 61853",10601,17019010601,2022,10601,Champaign County,Illinois,457,49,120,246,42,3932,34,20,751,502,546,1280,799,10.7,26.3,53.8,9.2,0.9,0.5,19.1,12.8,13.9,32.6,20.3,2037,114125,131159,6274,188,3,6086,97,5772,92,37,0.6,0,0,107,1.7,0,0,0,0,170,2.7,549.5,532.9
Centennial High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,12-Sep,474.7,468.6,39.3,33.4,17.6,9.7,52.1,17.6,23.4,6.9,38.5,31.5,17.5,12.6,291,291,Illinois,40.1059565,-88.2823141,913 Crescent Drive,61821,Champaign County,Champaign,17019,"913 Crescent Drive, Champaign, Illinois, 61821",1201,17019001201,2022,1201,Champaign County,Illinois,890,175,410,184,121,4495,33,325,1183,1014,351,806,783,19.7,46.1,20.7,13.6,0.7,7.2,26.3,22.6,7.8,17.9,17.4,3004,52813,67399,7305,485,6.6,6820,93.4,2926,40.1,2538,34.7,0,0,861,11.8,0,0,0,0,495,6.8,468.6,474.7
Central High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,12-Sep,493.4,490.2,35,29.4,22.3,13.3,44.5,20.8,24,10.7,40.4,28.2,19.2,12.2,308,309,Illinois,40.1166359,-88.2535712,610 West University Avenue,61820,Champaign County,Champaign,17019,"610 West University Avenue, Champaign, Illinois, 61820",11001,17019011001,2022,11001,Champaign County,Illinois,232,10,9,51,162,1618,0,54,135,351,184,375,519,4.3,3.9,22,69.8,0,3.3,8.3,21.7,11.4,23.2,32.1,1239,53750,94265,2070,68,3.3,2002,96.7,1756,84.8,140,6.8,0,0,54,2.6,0,0,0,0,52,2.5,490.2,493.4
Unity High School,Tolono CUSD 7,Tolono,Champaign,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,501.7,489.4,24.3,41.4,22.5,11.7,37.8,31.5,26.1,4.5,26,44,24,6,111,111,Illinois,39.9940386,-88.2490526,1127 County Road 800,61880,Champaign County,Tolono,17019,"1127 County Road 800, Tolono, Illinois, 61880",10901,17019010901,2022,10901,Champaign County,Illinois,808,58,377,214,159,4028,27,93,1296,982,301,861,468,7.2,46.7,26.5,19.7,0.7,2.3,32.2,24.4,7.5,21.4,11.6,2326,99674,112848,6370,68,1.1,6302,98.9,5801,91.1,259,4.1,2,0,106,1.7,0,0,30,0.5,104,1.6,489.4,501.7
