school_name,School Code,tests_taken,SAT_reading_writing,SAT_math,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year
West Bridgewater - West Bridgewater Junior/Senior,3230505,58,549,542,436.0,18.1,655.0,51.0,49.0,1.2,9.0,22.4,3230000.0,6.9,1.1,5.7,81.5,0.2,0.2,4.6,West Bridgewater,"          $17,252,030.48",1371.7,"              $12,577.12","          $18,885,491.62",1410.6,13388.27,2020.0
West Springfield - West Springfield High,3320505,104,548,556,1278.0,7.2,1190.0,48.7,51.3,6.6,19.9,45.0,3320000.0,3.8,7.8,20.8,65.4,0.2,0.0,2.0,West Springfield,"          $58,287,547.00",4104.8,"              $14,199.85","          $64,979,460.00",4277.6,15190.63,2020.0
Westborough - Westborough High,3210505,148,604,619,728.0,13.6,1188.0,49.8,49.9,3.5,10.6,12.7,3210000.0,1.6,28.5,8.0,58.0,0.0,0.2,3.8,Westborough,"          $64,534,225.69",3963.1,"              $16,283.77","          $68,011,973.44",4015.9,16935.67,2020.0
Westfield - Westfield High,3250505,108,546,530,595.0,15.0,1110.0,53.7,46.3,3.6,20.7,31.9,3250000.0,3.0,3.2,16.3,75.0,0.1,0.0,2.5,Westfield,"          $78,520,781.11",5262.1,"              $14,921.95","          $87,041,424.11",5549.3,15685.12,2020.0
Westfield - Westfield Technical Academy,3250605,22,503,486,275.0,14.0,560.0,34.8,65.2,3.2,27.1,41.6,3250000.0,1.3,0.9,12.0,83.9,0.2,0.2,1.6,Westfield,"          $78,520,781.11",5262.1,"              $14,921.95","          $87,041,424.11",5549.3,15685.12,2020.0
Westford - Westford Academy,3260505,224,622,641,737.0,18.0,1628.0,49.1,50.8,0.7,12.6,6.3,3260000.0,1.3,27.6,1.9,65.8,0.1,0.1,3.3,Westford,"          $72,845,291.40",4939.2,"              $14,748.40","          $79,198,752.40",5030.6,15743.4,2020.0
Weston - Weston High,3300505,72,626,645,484.0,11.7,627.0,49.3,50.7,2.2,21.2,4.8,3300000.0,5.7,18.0,4.2,65.9,0.3,0.0,5.9,Weston,"          $52,999,192.15",2042.4,"              $25,949.47","          $56,057,798.98",2073.2,27039.26,2020.0
Westport - Westport Junior/Senior High School,3310515,19,581,529,406.0,13.9,553.0,45.8,53.9,0.7,16.5,27.7,3310000.0,0.5,0.9,3.4,90.2,0.2,0.0,4.7,Westport,"          $23,074,329.00",1438.1,"              $16,045.01","          $25,244,752.00",1576.5,16013.16,2020.0
Westwood - Westwood High,3350505,138,597,620,485.0,15.3,986.0,52.8,47.1,0.2,14.3,6.6,3350000.0,3.5,11.2,4.1,79.0,0.0,0.0,2.3,Westwood,"          $58,512,757.04",3015.8,"              $19,402.07","          $60,375,039.04",3040.2,19858.9,2020.0
Weymouth - Weymouth High School,3360505,237,541,537,1204.0,15.4,2256.0,50.4,49.6,3.4,19.8,32.5,3360000.0,7.7,5.1,10.7,72.3,0.2,0.1,3.9,Weymouth,"          $92,304,911.69",5747.0,"              $16,061.41","         $105,318,636.00",6162.7,17089.69,2020.0
