School Name,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,      71,520,,494
Abington - Abington High,      66,533,,539
Acton-Boxborough - Acton-Boxborough Regional High,     176,657,,688
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,     106,625,,667
Agawam - Agawam High,      81,557,,560
Amesbury - Amesbury High,      80,572,,574
Amherst-Pelham - Amherst Regional High,     129,617,,618
Andover - Andover High,     397,605,,625
Arlington - Arlington High,     159,610,,608
Ashburnham-Westminster - Oakmont Regional High School,      70,567,,564
Ashland - Ashland High,      96,570,,607
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,      47,506,,507
Athol-Royalston - Athol High,      26,507,,491
Atlantis Charter (District) - Atlantis Charter School,      37,504,,499
Attleboro - Attleboro High,     211,549,,542
Auburn - Auburn Senior High,      92,564,,547
Avon - Avon Middle High School,      32,519,,510
Ayer Shirley School District - Ayer Shirley Regional High School,      56,560,,552
Barnstable - Barnstable High,     204,557,,551
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,      27,437,,447
Bedford - Bedford High,      85,609,,617
Belchertown - Belchertown High,      73,567,,562
Bellingham - Bellingham High School,      73,544,,540
Bellingham - Keough Memorial Academy,       1,,,
Belmont - Belmont High,     241,622,,641
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,      11,585,,586
Berkshire Hills - Monument Mt Regional High,      45,579,,556
Berlin-Boylston - Tahanto Regional High,      33,576,,588
Beverly - Beverly High,     143,575,,568
Billerica - Billerica Memorial High School,     205,555,,569
Blackstone Valley Regional Vocational Technical - Blackstone Valley,     153,578,,564
Blackstone-Millville - Blackstone Millville RHS,      34,544,,541
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,      61,502,,480
Boston - Another Course To College,      31,469,,457
Boston - Boston Adult Academy,       2,,,
Boston - Boston Arts Academy,      67,464,,468
Boston - Boston Collaborative High School,       2,,,
Boston - Boston Community Leadership Academy,      60,450,,474
Boston - Boston International High School,      18,412,,448
Boston - Boston Latin,     310,655,,671
Boston - Boston Latin Academy,     209,576,,602
Boston - Brighton High,      47,435,,455
Boston - Charlestown High,      74,420,,461
Boston - Community Academy of Science and Health,      30,467,,467
Boston - Dearborn,      20,433,,427
Boston - Dr. William Henderson Upper,      55,412,,417
Boston - East Boston High,     107,467,,470
Boston - Excel High School,      41,451,,475
Boston - Fenway High School,      44,467,,458
Boston - Greater Egleston Community High School,       4,,,
Boston - Jeremiah E Burke High,      79,400,,424
Boston - Lyon Upper 9-12,      18,456,,454
Boston - Madison Park High,      41,428,,432
Boston - Margarita Muniz Academy,      20,428,,435
Boston - New Mission High School,      61,463,,478
Boston - O'Bryant School Math/Science,     174,540,,580
Boston - Quincy Upper School,      33,483,,474
Boston - Snowden International School at Copley,      46,465,,453
Boston - TechBoston Academy,      66,438,,425
Boston - The English High,      49,437,,418
Boston - Urban Science Academy,      14,461,,469
Boston - West Roxbury Academy,      11,428,,441
Boston Collegiate Charter (District) - Boston Collegiate Charter School,      27,534,,547
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,      18,497,,495
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,      23,457,,454
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,      73,476,,506
Bourne - Bourne High School,     114,534,,519
Braintree - Braintree High,     249,569,,592
Bridgewater-Raynham - Bridgewater-Raynham Regional,     169,556,,564
Bristol County Agricultural - Bristol County Agricultural High,      25,521,,542
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,      88,521,,508
Brockton - Brockton High,     355,490,,479
Brockton - Edison Academy,       1,,,
Brooke Charter School (District) - Brooke Charter School,       6,,,
Brookline - Brookline High,     231,606,,624
Burlington - Burlington High,     126,560,,556
Cambridge - Cambridge Rindge and Latin,     324,562,,560
Canton - Canton High,     132,571,,572
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,      25,486,,481
Carver - Carver Middle/High School,      46,550,,555
Central Berkshire - Wahconah Regional High,      33,513,,530
Chelmsford - Chelmsford High,     216,583,,599
Chelsea - Chelsea High,      87,476,,466
Chicopee - Chicopee Comprehensive High School,     107,543,,548
Chicopee - Chicopee High,      65,534,,528
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,      22,473,,487
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,      33,419,,457
Clinton - Clinton Senior High,      43,513,,489
Codman Academy Charter Public (District) - Codman Academy Charter Public School,      24,431,,469
Cohasset - Cohasset High School,      97,594,,584
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,      16,539,,546
Concord-Carlisle - Concord Carlisle High,     132,633,,647
Danvers - Danvers High,     108,556,,550
Dartmouth - Dartmouth High,     145,558,,554
Dedham - Dedham High,     111,536,,549
Dennis-Yarmouth - Dennis-Yarmouth Regional High,     103,531,,511
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,      79,556,,540
Douglas - Douglas High School,      31,555,,517
Dover-Sherborn - Dover-Sherborn Regional High,      90,634,,651
Dracut - Dracut Senior High,      79,540,,545
Dudley-Charlton Reg - Shepherd Hill Regional High,     117,546,,547
Duxbury - Duxbury High,     229,586,,578
East Bridgewater - East Bridgewater JR./SR. High School,      86,533,,514
East Longmeadow - East Longmeadow High,      87,561,,560
Easthampton - Easthampton High,      46,552,,528
Easton - Oliver Ames High,     150,562,,552
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),      56,439,,430
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,     166,533,,509
Everett - Everett High,     194,506,,493
Excel Academy Charter (District) - Excel Academy Charter School,     169,480,,503
Fairhaven - Fairhaven High,      82,540,,562
Fall River - B M C Durfee High,      69,543,,526
Falmouth - Falmouth High,     116,565,,554
Fitchburg - Fitchburg High,     221,466,,460
Fitchburg - Goodrich Academy,       1,,,
Four Rivers Charter Public (District) - Four Rivers Charter Public School,      15,625,,593
Foxborough - Foxborough High,     147,566,,579
Foxborough Regional Charter (District) - Foxborough Regional Charter School,      56,569,,543
Framingham - Framingham High School,     219,564,,589
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,      25,619,,572
Franklin - Franklin High,     289,576,,572
Franklin County Regional Vocational Technical - Franklin County Technical,       7,,,
Freetown-Lakeville - Apponequet Regional High,      61,555,,575
Frontier - Frontier Regional,      52,567,,570
Gardner - Gardner Academy for Learning and Technology,       7,,,
Gardner - Gardner High,     106,491,,470
Gateway - Gateway Regional High,      19,539,,523
Georgetown - Georgetown High School,      71,580,,570
Gill-Montague - Turners Fall High,       8,,,
Global Learning Charter Public (District) - Global Learning Charter Public School,       9,,,
Gloucester - Gloucester High,      82,544,,553
Grafton - Grafton High School,     106,570,,574
Granby - Granby Jr Sr High School,      12,528,,543
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,      87,509,,498
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,      88,461,,471
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,      80,493,,483
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,     178,507,,494
Greenfield - Greenfield High,      33,541,,557
Greenfield Commonwealth Virtual District - Greenfield Commonwealth Virtual School,      11,491,,485
Groton-Dunstable - Groton Dunstable Regional,     114,596,,623
Hadley - Hopkins Academy,      18,584,,595
Hamilton-Wenham - Hamilton-Wenham Regional High,      98,594,,591
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,      16,590,,607
Hampden-Wilbraham - Minnechaug Regional High,      86,549,,558
Hampshire - Hampshire Regional High,      45,587,,576
Hanover - Hanover High,     150,568,,561
Harvard - Bromfield,      49,628,,626
Hatfield - Smith Academy,      16,616,,582
Haverhill - Haverhill High,     168,543,,540
Hingham - Hingham High,     170,597,,583
Holbrook - Holbrook Middle High School,      34,513,,499
Holliston - Holliston High,     120,585,,589
Holyoke - Holyoke High,      73,490,,464
Hoosac Valley Regional - Hoosac Valley High School,      21,495,,504
Hopedale - Hopedale Jr Sr High,      62,574,,556
Hopkinton - Hopkinton High,     116,596,,624
Hudson - Hudson High,      97,546,,545
Hull - Hull High,      41,550,,564
Innovation Academy Charter (District) - Innovation Academy Charter School,      43,549,,529
Ipswich - Ipswich High,      72,586,,573
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,      26,492,,514
King Philip - King Philip Regional High,     270,579,,565
Lawrence - Lawrence High School,     237,469,,477
Lee - Lee Middle/High School,      24,541,,540
Leicester - Leicester High,      44,551,,519
Lenox - Lenox Memorial High,      23,605,,601
Leominster - Center For Technical Education Innovation,      41,525,,532
Leominster - Leominster Center for Excellence,       1,,,
Leominster - Leominster High School,     160,528,,536
Lexington - Lexington High,     339,645,,684
Lincoln-Sudbury - Lincoln-Sudbury Regional High,     221,615,,628
Littleton - Littleton High School,      49,626,,620
Longmeadow - Longmeadow High,     123,582,,590
Lowell - Lowell High,     313,522,,533
Lowell - The Career Academy,       1,,,
Ludlow - Ludlow Senior High,      66,547,,561
Lunenburg - Lunenburg High,      61,562,,570
Lynn - Classical High,     143,511,,514
Lynn - Lynn English High,     136,510,,503
Lynn - Lynn Vocational Technical Institute,      58,473,,463
Lynnfield - Lynnfield High,      87,563,,566
MATCH Charter Public School (District) - MATCH Charter Public School,      33,470,,521
Ma Academy for Math and Science - Ma Academy for Math and Science School,      24,699,,770
Malden - Malden High,     251,511,,549
Manchester Essex Regional - Manchester Essex Regional High School,      70,613,,601
Mansfield - Mansfield High,     165,581,,590
Marblehead - Marblehead High,     173,593,,592
Marlborough - Marlborough High,     151,522,,518
Marshfield - Marshfield High,     197,562,,564
Martha's Vineyard - Martha's Vineyard Regional High,     126,576,,561
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,       3,,,
Masconomet - Masconomet Regional High School,     149,584,,596
Mashpee - Mashpee High,     108,541,,529
Maynard - Maynard High,      46,565,,542
Medfield - Medfield Senior High,     118,605,,616
Medford - Medford High,     136,548,,543
Medway - Medway High,     111,568,,575
Melrose - Melrose High,     174,578,,558
Mendon-Upton - Nipmuc Regional High,      94,571,,557
Methuen - Methuen High,     194,517,,520
Middleborough - Middleborough High,      71,572,,553
Milford - Milford High,     140,554,,548
Millbury - Millbury Junior/Senior High,      60,539,,545
Millis - Millis High School,      57,555,,533
Milton - Milton High,     204,567,,579
Minuteman Regional Vocational Technical - Minuteman Regional High,      25,546,,529
Mohawk Trail - Mohawk Trail Regional School,      20,536,,528
Monomoy Regional School District - Monomoy Regional High School,      68,573,,558
Monson - Monson High School,      21,533,,513
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,     100,535,,522
Mount Greylock - Mt Greylock Regional High,      31,599,,590
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,      56,586,,586
Nantucket - Nantucket High,     109,549,,526
Narragansett - Narragansett Regional High,      18,523,,548
Nashoba - Nashoba Regional,     114,594,,608
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,      39,517,,497
Natick - Natick High,     250,590,,597
Nauset - Nauset Regional High,     115,585,,561
Needham - Needham High,     208,608,,619
New Bedford - New Bedford High,     154,495,,477
New Bedford - Whaling City Junior/Senior High School,       2,,,
Newburyport - Newburyport High,      96,575,,585
Newton - Newton North High,     276,627,,640
Newton - Newton South High,     275,617,,645
Norfolk County Agricultural - Norfolk County Agricultural,      34,533,,505
North Adams - Drury High,      38,533,,493
North Andover - North Andover High,     219,572,,575
North Attleborough - North Attleboro High,     164,571,,567
North Brookfield - North Brookfield High,      16,553,,511
North Middlesex - North Middlesex Regional,      82,555,,532
North Reading - North Reading High,     112,562,,557
Northampton - Northampton High,     139,608,,602
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,      16,508,,498
Northboro-Southboro - Algonquin Regional High,     192,595,,606
Northbridge - Northbridge High,      45,537,,517
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,      79,493,,462
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,      30,503,,481
Norton - Norton High,      96,550,,549
Norwell - Norwell High,     126,602,,585
Norwood - Norwood High,     102,546,,567
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,      44,529,,522
Old Rochester - Old Rochester Regional High,     151,572,,580
Oxford - Oxford High,      38,523,,506
Palmer - Palmer High,      28,546,,515
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,      16,460,,453
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,      14,491,,450
Peabody - Peabody Veterans Memorial High,     165,518,,526
Pembroke - Pembroke High School,     113,553,,558
Pentucket - Pentucket Regional Sr High,      97,553,,559
Phoenix Academy Public Charter High School Springfield (District) - Phoenix Academy Public Charter High School Springfield,       3,,,
Phoenix Charter Academy (District) - Phoenix Charter Academy,       2,,,
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,      31,559,,604
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),      35,562,,625
Pioneer Valley - Pioneer Valley Regional,      11,605,,573
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,       5,,,
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,      24,564,,512
Pittsfield - Pittsfield High,      66,552,,535
Pittsfield - Taconic High,      58,530,,513
Plymouth - Plymouth North High,      82,548,,545
Plymouth - Plymouth South High,      94,545,,542
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,      44,514,,518
Quabbin - Quabbin Regional High School,      64,552,,545
Quaboag Regional - Quaboag Regional High,      21,558,,523
Quincy - North Quincy High,     207,548,,587
Quincy - Quincy High,     194,536,,537
Ralph C Mahar - Ralph C Mahar Regional,      17,530,,532
Randolph - Randolph High,      71,509,,513
Reading - Reading Memorial High,     177,572,,583
Revere - Revere High,     164,534,,544
Rising Tide Charter Public (District) - Rising Tide Charter Public School,      27,578,,549
Rockland - Rockland Senior High,      73,531,,530
Rockport - Rockport High,      45,571,,550
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,     130,478,,498
Sabis International Charter (District) - Sabis International Charter School,      77,528,,519
Salem - Salem High,      49,546,,533
Salem Academy Charter (District) - Salem Academy Charter School,      63,540,,527
Sandwich - Sandwich High,      98,559,,546
Saugus - Saugus High,      85,517,,515
Scituate - Scituate High School,     152,588,,574
Seekonk - Seekonk High,      64,573,,564
Sharon - Sharon High,     132,635,,653
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,      81,522,,500
Shrewsbury - Shrewsbury Sr High,     315,583,,604
Silver Lake - Silver Lake Regional High,     162,568,,573
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,      20,537,,499
Somerset Berkley Regional School District - Somerset Berkley Regional High School,     127,551,,562
Somerville - Full Circle High School,       1,,,
Somerville - Somerville High,     140,526,,526
South Hadley - South Hadley High,      84,564,,577
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,      43,494,,478
South Shore Charter Public (District) - South Shore Charter Public School,      25,522,,492
South Shore Regional Vocational Technical - So Shore Vocational Technical High,      45,502,,512
Southbridge - Southbridge High School,      31,436,,433
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,     125,494,,483
Southern Berkshire - Mt Everett Regional,      17,582,,533
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,      67,520,,512
Southwick-Tolland-Granville Regional School District - Southwick Regional School,      59,543,,521
Spencer-E Brookfield - David Prouty High,      16,529,,521
Springfield - Conservatory of the Arts,      14,431,,411
Springfield - Gateway to College at Holyoke Community College,       1,,,
Springfield - High School Of Commerce,      20,480,,483
Springfield - John J Duggan Middle,       4,,,
Springfield - Roger L. Putnam Vocational Technical Academy,      32,506,,505
Springfield - Springfield Central High,     135,504,,504
Springfield - Springfield High School of Science and Technology,      31,439,,429
Springfield - The Springfield Renaissance School an Expeditionary Learning School,      24,529,,494
Stoneham - Stoneham High,      86,563,,559
Stoughton - Stoughton High,     127,536,,520
Sturgis Charter Public (District) - Sturgis Charter Public School,     149,592,,590
Sutton - Sutton High School,      57,552,,543
Swampscott - Swampscott High,     105,571,,581
Swansea - Joseph Case High,      53,553,,534
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,      61,572,,552
Tantasqua - Tantasqua Regional Sr High,     125,581,,602
Tantasqua - Tantasqua Regional Vocational,      27,512,,541
Taunton - Taunton Alternative High School,       1,,,
Taunton - Taunton High,     120,551,,531
Tewksbury - Tewksbury Memorial High,     113,561,,565
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,      78,517,,509
Triton - Triton Regional High School,      73,539,,550
Tyngsborough - Tyngsborough High School,      62,550,,568
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,      46,523,,517
Uxbridge - Uxbridge High,      48,547,,546
Wachusett - Wachusett Regional High,     288,571,,573
Wakefield - Wakefield Memorial High,     147,554,,551
Walpole - Walpole High,     145,562,,547
Waltham - Waltham Sr High,     178,539,,542
Ware - Ware Junior/Senior High School,      30,517,,533
Wareham - Wareham Senior High,      48,508,,498
Watertown - Watertown High,      89,567,,583
Wayland - Wayland High School,     104,636,,661
Webster - Bartlett High School,      57,530,,526
Wellesley - Wellesley Sr High,     179,617,,628
West Boylston - West Boylston Junior/Senior High,      30,545,,526
West Bridgewater - West Bridgewater Junior/Senior,      58,549,,542
West Springfield - West Springfield High,     104,548,,556
Westborough - Westborough High,     148,604,,619
Westfield - Westfield High,     108,546,,530
Westfield - Westfield Technical Academy,      22,503,,486
Westford - Westford Academy,     224,622,,641
Weston - Weston High,      72,626,,645
