school_name,School Code,tests_taken,SAT_reading_writing,SAT_math,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,83,516,513,741.0,18.4,1423.0,54.7,45.3,20.3,13.4,57.0,4450000.0,56.6,3.0,23.3,12.0,0.4,0.1,4.6,Abby Kelley Foster Charter Public (District),"          $24,231,438.78",1415.8,"              $17,114.65","          $24,231,438.78",1415.8,17114.65,2023.0
Abington - Abington High,10505,106,549,526,275.0,15.7,566.0,44.5,55.1,9.7,13.4,35.7,10000.0,6.9,2.3,17.1,71.9,0.0,0.2,1.6,Abington,"          $35,603,421.16",2143.5,"              $16,609.95","          $41,098,932.87",2297.3,17890.1,2023.0
Acton-Boxborough - Acton-Boxborough Regional High,6000505,401,656,680,684.0,18.1,1644.0,47.5,52.0,2.7,13.5,10.6,6000000.0,3.2,37.7,8.3,47.0,0.3,0.2,3.2,Acton-Boxborough,"         $100,564,755.40",5181.7,"              $19,407.68","         $109,746,603.20",5302.1,20698.7,2023.0
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,159,592,614,537.0,17.9,969.0,46.0,52.9,4.5,7.4,16.5,4300000.0,2.8,10.5,11.2,68.3,0.1,0.1,7.0,Advanced Math and Science Academy Charter (District),"          $15,065,009.41",964.3,"              $15,623.23","          $15,065,009.41",964.3,15623.23,2023.0
Agawam - Agawam High,50505,88,563,552,546.0,14.9,1052.0,45.0,54.5,4.1,16.0,37.0,50000.0,3.2,4.0,11.2,78.5,0.0,0.0,3.0,Agawam,"          $71,958,484.59",3524.8,"              $20,414.91","          $78,821,069.71",3700.6,21299.54,2023.0
Amesbury - Amesbury High,70505,64,563,541,386.0,13.8,477.0,48.0,52.0,2.7,18.0,29.1,70000.0,1.7,1.9,12.2,80.3,0.0,0.0,4.0,Amesbury,"          $39,966,168.64",1789.1,"              $22,338.70","          $45,461,590.81",1981.4,22944.18,2023.0
Amherst-Pelham - Amherst Regional High,6050505,143,624,611,695.0,12.4,851.0,46.9,50.3,6.5,24.2,27.7,6050000.0,6.9,8.5,18.6,57.8,0.0,0.0,8.2,Amherst-Pelham,"          $32,489,016.00",1241.1,"              $26,177.60","          $37,562,376.22",1390.9,27005.81,2023.0
Andover - Andover High,90505,409,611,616,955.0,15.3,1682.0,49.9,50.0,1.9,14.6,13.0,90000.0,3.1,21.4,9.5,62.4,0.2,0.1,3.2,Andover,"         $120,895,506.40",5569.1,"              $21,708.27","         $128,212,610.90",5663.7,22637.61,2023.0
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,10,522,529,382.0,16.9,578.0,46.2,53.5,16.4,27.0,72.3,35090000.0,14.5,2.3,26.1,50.2,0.9,0.2,5.9,Argosy Collegiate Charter School (District),"          $10,104,246.97",546.6,"              $18,485.63","          $10,104,246.97",546.6,18485.63,2023.0
Arlington - Arlington High,100505,434,625,620,983.0,14.9,1616.0,49.0,49.3,2.0,14.2,11.2,100000.0,3.3,10.5,8.4,71.2,0.1,0.1,6.4,Arlington,"         $113,165,838.50",6019.7,"              $18,799.25","         $119,119,025.90",6117.7,19471.21,2023.0
Ashburnham-Westminster - Oakmont Regional High School,6100505,76,597,583,332.0,16.0,638.0,46.2,52.0,0.8,16.5,22.7,6100000.0,1.7,1.4,9.1,83.9,0.2,0.0,3.8,Ashburnham-Westminster,"          $35,763,196.29",2252.5,"              $15,877.11","          $38,700,936.81",2350.7,16463.58,2023.0
Ashland - Ashland High,140505,220,588,604,460.0,16.4,888.0,49.2,50.7,5.7,14.0,22.5,140000.0,2.7,13.2,18.4,62.3,0.7,0.0,2.8,Ashland,"          $46,927,293.37",2889.7,"              $16,239.50","          $51,197,608.86",2950.1,17354.53,2023.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,46,540,510,629.0,18.6,1122.0,46.9,52.7,8.8,22.9,39.3,8010000.0,2.6,0.3,30.0,63.4,0.3,0.0,3.6,Assabet Valley Regional Vocational Technical,"          $29,035,656.09",1092.2,"              $26,584.56","          $29,178,846.47",1092.8,26700.99,2023.0
Athol-Royalston - Athol High,6150505,14,540,485,243.0,14.5,413.0,45.0,55.0,4.6,23.0,57.1,6150000.0,4.6,2.2,21.1,70.2,0.2,0.0,1.7,Athol-Royalston,"          $28,132,998.00",1569.9,"              $17,920.25","          $32,176,065.18",1842.7,17461.37,2023.0
Atlantis Charter (District) - Atlantis Charter School,4910550,129,431,419,557.0,20.2,1247.0,51.7,48.2,19.0,17.5,57.3,4910000.0,6.9,2.3,19.2,64.0,0.2,0.1,7.3,Atlantis Charter (District),"          $20,454,702.00",1288.4,"              $15,876.67","          $20,454,702.00",1288.4,15876.67,2023.0
Attleboro - Attleboro High,160505,228,555,534,1090.0,18.0,1966.0,46.5,53.2,5.2,13.0,35.2,160000.0,10.9,4.7,18.4,59.3,0.2,0.1,6.4,Attleboro,"          $99,575,309.06",5912.2,"              $16,842.34","         $109,262,216.00",6313.2,17306.95,2023.0
Auburn - Auburn Senior High,170505,119,572,561,641.0,15.4,832.0,50.1,49.8,3.4,11.5,25.0,170000.0,5.5,6.9,12.1,73.0,0.1,0.0,2.4,Auburn,"          $42,145,085.14",2554.4,"              $16,499.02","          $43,641,167.09",2601.7,16774.1,2023.0
Avon - Avon Middle High School,180510,10,545,507,222.0,13.8,415.0,48.2,51.6,10.8,21.0,43.9,180000.0,42.4,4.1,14.0,33.5,0.7,0.0,5.3,Avon,"          $13,866,502.00",727.5,"              $19,060.48","          $15,048,069.59",767.8,19598.94,2023.0
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,51,554,490,200.0,17.0,425.0,44.0,55.5,3.1,16.2,29.2,6160000.0,6.1,4.0,15.8,70.1,0.9,0.5,2.6,Ayer Shirley School District,"          $32,042,979.18",1641.4,"              $19,521.74","          $37,038,728.96",1885.5,19643.98,2023.0
Barnstable - Barnstable High,200505,150,566,549,898.0,12.6,1643.0,46.7,53.0,18.7,16.2,51.1,200000.0,10.6,1.8,30.2,51.2,0.6,0.2,5.5,Barnstable,"         $101,740,367.20",4840.8,"              $21,017.26","         $113,238,824.10",5454.1,20762.15,2023.0
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,26,447,458,278.0,14.6,395.0,51.7,48.4,11.7,22.3,81.8,35020000.0,24.8,0.8,69.1,3.5,0.0,0.8,1.0,Baystate Academy Charter Public School (District),"           $9,211,962.95",391.8,"              $23,510.70","           $9,211,962.95",391.8,23510.7,2023.0
Bedford - Bedford High,230505,214,630,637,536.0,13.2,860.0,48.5,51.1,2.0,14.5,11.1,230000.0,6.9,17.6,9.9,61.5,0.0,0.1,4.1,Bedford,"          $54,877,288.97",2537.2,"              $21,629.07","          $60,293,724.87",2578.2,23385.98,2023.0
Belchertown - Belchertown High,240505,102,561,543,431.0,12.8,601.0,51.6,47.4,2.3,17.1,21.6,240000.0,1.8,1.5,7.5,85.0,0.0,0.3,3.8,Belchertown,"          $36,583,711.03",2116.2,"              $17,287.45","          $40,320,664.25",2308.7,17464.66,2023.0
Bellingham - Bellingham High School,250505,90,555,517,379.0,17.4,757.0,49.7,50.3,2.6,18.4,28.9,250000.0,2.5,3.7,11.5,79.1,0.4,0.0,2.8,Bellingham,"          $41,192,824.00",2016.2,"              $20,430.92","          $49,328,287.00",2344.4,21040.9,2023.0
Belmont - Belmont High,260505,351,644,656,473.0,21.1,1456.0,49.9,49.5,3.2,10.8,12.2,260000.0,3.4,22.4,6.3,60.9,0.1,0.1,6.7,Belmont,"          $75,491,668.00",4375.5,"              $17,253.27","          $88,463,818.86",4557.3,19411.45,2023.0
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,12,575,530,197.0,16.8,367.0,47.7,49.3,1.9,21.0,60.2,4140000.0,9.8,0.8,15.0,68.9,0.0,0.0,5.5,Berkshire Arts and Technology Charter Public (District),"           $7,852,224.31",363.3,"              $21,611.82","           $7,852,224.31",363.3,21611.82,2023.0
Berkshire Hills - Monument Mt Regional High,6180505,66,557,532,340.0,10.8,455.0,44.8,54.3,9.9,15.6,38.2,6180000.0,2.2,2.4,16.3,75.2,0.0,0.2,3.7,Berkshire Hills,"          $34,179,282.77",1175.3,"              $29,081.33","          $37,147,351.59",1278.9,29046.33,2023.0
Berlin-Boylston - Tahanto Regional High,6200505,66,587,581,324.0,15.7,549.0,49.5,49.9,2.9,14.6,16.9,6200000.0,2.4,4.4,8.0,79.4,0.2,0.2,5.5,Berlin-Boylston,"          $19,046,800.04",1055.7,"              $18,041.87","          $21,188,906.04",1121.7,18889.99,2023.0
Beverly - Beverly High,300505,276,552,521,604.0,18.9,1248.0,51.0,48.4,3.9,19.4,32.1,300000.0,3.4,2.2,18.3,72.8,0.1,0.1,3.1,Beverly,"          $79,686,437.94",4619.7,"              $17,249.27","          $88,951,266.84",4800.5,18529.58,2023.0
Billerica - Billerica Memorial High School,310505,218,559,551,726.0,19.3,1861.0,48.3,51.5,2.4,19.6,24.6,310000.0,7.5,10.8,11.5,66.0,0.4,0.2,3.7,Billerica,"          $92,887,337.25",4872.0,"              $19,065.55","         $103,126,447.60",5092.8,20249.46,2023.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,201,573,540,749.0,17.5,1252.0,43.7,55.4,0.6,13.2,17.2,8050000.0,3.0,2.0,11.8,80.8,0.0,0.0,2.5,Blackstone Valley Regional Vocational Technical,"          $29,250,651.53",1225.1,"              $23,876.13","          $29,262,101.53",1227.4,23840.72,2023.0
Blackstone-Millville - Blackstone Millville RHS,6220505,35,537,495,250.0,13.0,414.0,46.6,52.2,1.7,14.5,27.5,6220000.0,2.4,1.7,10.4,81.4,0.0,0.0,4.1,Blackstone-Millville,"          $27,378,402.00",1452.1,"              $18,854.35","          $30,799,636.78",1642.7,18749.4,2023.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,50,533,505,437.0,15.4,903.0,48.7,51.3,1.1,25.5,35.9,8060000.0,21.8,3.3,17.6,49.8,0.7,0.0,6.8,Blue Hills Regional Vocational Technical,"          $24,093,331.62",895.0,"              $26,919.92","          $24,101,256.62",896.2,26892.72,2023.0
Boston - Another Course To College,350541,77,406,410,111.0,17.1,275.0,42.6,56.7,19.6,36.4,78.2,350000.0,44.4,0.0,47.6,3.3,0.4,0.4,4.0,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Boston Arts Academy,350546,53,494,471,372.0,13.4,476.0,66.4,31.5,3.4,21.9,61.1,350000.0,34.5,1.7,45.6,13.9,0.2,0.0,4.2,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
Boston - Boston Community Leadership Academy,350558,53,430,429,315.0,13.9,640.0,49.5,50.2,40.5,32.2,83.9,350000.0,29.2,3.8,60.0,5.0,0.2,0.0,1.9,Boston,"       $1,567,511,179.00",47235.6,"              $33,184.95","       $1,937,971,768.00",60784.2,31882.82,2023.0
