School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Winchester - Winchester High School,3440505,381,647,656,645,16.6,1370,51.2,48.7,0.9,13.4,6.6,3440000,2.3,19.8,4.5,67.2,0.2,0,6,Winchester,"          $77,496,210.45",4304.8,"              $18,002.28","          $83,395,813.97",4385.8,"              $19,014.96",2023
Winthrop - Winthrop High School,3460505,80,545,552,226,18.6,622,51,48.9,10.6,13.2,35.7,3460000,1.8,1,24.3,70.3,1,0.2,1.6,Winthrop,"          $33,080,174.06",1950.7,"              $16,958.10","          $35,864,671.51",2004.8,"              $17,889.40",2023
Woburn - Woburn High,3470505,160,562,550,654,14.6,1260,52.1,47.5,11.9,16.2,39.4,3470000,9.9,5.7,19.5,60.2,0.9,0.2,3.7,Woburn,"          $94,093,579.73",4289.4,"              $21,936.30","         $105,328,116.50",4516.7,"              $23,319.71",2023
Worcester - Burncoat Senior High,3480503,222,449,435,657,13.6,1060,50.9,49,23.2,20.9,65.9,3480000,21.8,5.4,39.3,29.3,0.1,0.1,4.1,Worcester,"         $501,140,676.40",24319.6,"              $20,606.45","         $568,546,854.00",27234.8,"              $20,875.75",2023
Worcester - Claremont Academy,3480350,59,409,400,271,15.9,484,47.9,52.1,43.6,14.9,83.7,3480000,10.7,5.8,75.4,6.2,0.2,0.2,1.5,Worcester,"         $501,140,676.40",24319.6,"              $20,606.45","         $568,546,854.00",27234.8,"              $20,875.75",2023
Worcester - Doherty Memorial High,3480512,270,469,463,857,13.7,1374,47.2,52.7,19.1,12.9,56.7,3480000,15.9,5.7,35.8,37.3,0.3,0,5.1,Worcester,"         $501,140,676.40",24319.6,"              $20,606.45","         $568,546,854.00",27234.8,"              $20,875.75",2023
Worcester - North High,3480515,221,395,389,715,16.6,1403,47.8,51.8,38.2,18.2,79.7,3480000,21.7,4.6,52.3,17.2,0.1,0.1,4.1,Worcester,"         $501,140,676.40",24319.6,"              $20,606.45","         $568,546,854.00",27234.8,"              $20,875.75",2023
Worcester - South High Community,3480520,342,455,446,1106,17.2,1763,48.2,51.8,27.1,17.9,69.3,3480000,19.7,10.8,41.5,23.8,0,0,4.3,Worcester,"         $501,140,676.40",24319.6,"              $20,606.45","         $568,546,854.00",27234.8,"              $20,875.75",2023
Worcester - University Pk Campus School,3480285,38,444,439,122,17.5,236,44.9,55.1,23.7,12.3,75.9,3480000,14.4,9.8,62.3,9.8,0,0,3.8,Worcester,"         $501,140,676.40",24319.6,"              $20,606.45","         $568,546,854.00",27234.8,"              $20,875.75",2023
Worcester - Worcester Technical High,3480605,342,480,478,777,14.5,1415,53.9,46.2,9.7,16.1,64.3,3480000,18.9,6.3,42.4,28.3,0.4,0,3.7,Worcester,"         $501,140,676.40",24319.6,"              $20,606.45","         $568,546,854.00",27234.8,"              $20,875.75",2023
