School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,8720605,88,529,506,739,17.3,1586,52.3,46.6,4.9,16.4,42.1,8720000,41,1.4,15.3,37.4,0,0,4.9,Southeastern Regional Vocational Technical,"          $38,142,450.00",1551,"              $24,592.17","          $38,142,450.00",1552.9,"              $24,562.08",2023
Southern Berkshire - Mt Everett Regional,7650505,26,572,514,261,10.1,282,48.6,51.1,2.5,15.6,41.5,7650000,0.4,0.7,10.6,79.8,0.7,0,7.8,Southern Berkshire,"          $19,834,387.67",605.3,"              $32,767.86","          $21,040,861.50",750.5,"              $28,035.79",2023
Southern Worcester County Regional Vocational School District - Bay Path Regional Vocational Technical High School,8760605,92,530,503,1021,13.5,1184,44.1,55.9,1.4,12.2,32.6,8760000,1.3,0.9,13.9,80.8,0,0,3,Southern Worcester County Regional Vocational School District,"          $25,126,121.00",1146.6,"              $21,913.59","          $25,422,842.78",1200.2,"              $21,182.17",2023
Southwick-Tolland-Granville Regional School District - Southwick Regional School,7660505,50,554,539,332,14.6,623,51.4,48.6,1.9,19.1,31.8,7660000,1.6,1,6.6,87.8,0.2,0,2.9,Southwick-Tolland-Granville Regional School District,"          $25,289,725.27",1331.9,"              $18,987.71","          $28,098,961.45",1434,"              $19,594.81",2023
Spencer-E Brookfield - David Prouty High,7670505,37,566,544,186,17.2,342,45.6,53.8,3.8,16.7,46.8,7670000,3.8,2.6,18.1,69.9,0.6,0,5,Spencer-E Brookfield,"          $25,070,241.49",1404.1,"              $17,855.03","          $29,658,730.51",1687.3,"              $17,577.63",2023
Springfield - Conservatory of the Arts,2810475,43,406,378,206,10.6,297,67.7,32,6.4,26.9,82.5,2810000,18.9,0.3,69.7,9.8,0,0,1.4,Springfield,"         $602,987,697.90",23763.4,"              $25,374.64","         $708,947,250.70",29415.2,"              $24,101.39",2023
Springfield - High School Of Commerce,2810510,293,425,418,845,13.9,1079,47.7,51.5,14.6,23.1,83.1,2810000,16.5,1.2,72.1,8.2,0,0,2,Springfield,"         $602,987,697.90",23763.4,"              $25,374.64","         $708,947,250.70",29415.2,"              $24,101.39",2023
Springfield - John J Duggan Academy,2810320,67,415,418,673,14.3,831,46.1,53.7,8.7,25,76.3,2810000,24.7,2.4,58.8,11.2,0.1,0,2.8,Springfield,"         $602,987,697.90",23763.4,"              $25,374.64","         $708,947,250.70",29415.2,"              $24,101.39",2023
Springfield - Roger L. Putnam Vocational Technical Academy,2810620,280,440,423,1005,13.3,1362,54.9,45,8.8,16.1,74.1,2810000,16.3,2.5,72.5,6.8,0.1,0,1.8,Springfield,"         $602,987,697.90",23763.4,"              $25,374.64","         $708,947,250.70",29415.2,"              $24,101.39",2023
Springfield - Springfield Central High,2810500,315,451,443,1080,15.2,1982,44.4,55.5,14.2,20,77.6,2810000,21.6,2.5,65,7.6,0.1,0.1,3.1,Springfield,"         $602,987,697.90",23763.4,"              $25,374.64","         $708,947,250.70",29415.2,"              $24,101.39",2023
