School Name,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,      83,516,,513
Abington - Abington High,     106,549,,526
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,       1,,,
Acton-Boxborough - Acton-Boxborough Regional High,     401,656,,680
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,     159,592,,614
Agawam - Agawam High,      88,563,,552
Amesbury - Amesbury High,      64,563,,541
Amherst-Pelham - Amherst Regional High,     143,624,,611
Andover - Andover High,     409,611,,616
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,      10,522,,529
Arlington - Arlington High,     434,625,,620
Ashburnham-Westminster - Oakmont Regional High School,      76,597,,583
Ashland - Ashland High,     220,588,,604
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,      46,540,,510
Athol-Royalston - Athol High,      14,540,,485
Atlantis Charter (District) - Atlantis Charter School,     129,431,,419
Attleboro - Attleboro High,     228,555,,534
Attleboro - Attleboro Virtual Academy,       3,,,
Auburn - Auburn Senior High,     119,572,,561
Avon - Avon Middle High School,      10,545,,507
Ayer Shirley School District - Ayer Shirley Regional High School,      51,554,,490
Barnstable - Barnstable High,     150,566,,549
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,      26,447,,458
Bedford - Bedford High,     214,630,,637
Belchertown - Belchertown High,     102,561,,543
Bellingham - Bellingham High School,      90,555,,517
Belmont - Belmont High,     351,644,,656
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,      12,575,,530
Berkshire Hills - Monument Mt Regional High,      66,557,,532
Berlin-Boylston - Tahanto Regional High,      66,587,,581
Beverly - Beverly High,     276,552,,521
Billerica - Billerica Memorial High School,     218,559,,551
Blackstone Valley Regional Vocational Technical - Blackstone Valley,     201,573,,540
Blackstone-Millville - Blackstone Millville RHS,      35,537,,495
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,      50,533,,505
Boston - Another Course To College,      77,406,,410
Boston - Boston Arts Academy,      53,494,,471
Boston - Boston Collaborative High School,       1,,,
Boston - Boston Community Leadership Academy,      53,430,,429
Boston - Boston International High School & Newcomers Academy,      35,406,,406
Boston - Boston Latin Academy,     541,556,,567
Boston - Boston Latin School,     658,653,,657
Boston - Brighton High School,      20,443,,448
Boston - Burke High School,     114,396,,402
Boston - Charlestown High School,      85,412,,438
Boston - Community Academy of Science and Health,      87,406,,397
Boston - Dearborn 6-12 STEM Academy,       5,,,
Boston - East Boston High School,      84,456,,458
Boston - English High School,     147,406,,398
Boston - Excel High School,      67,431,,451
Boston - Fenway High School,      16,463,,457
Boston - Greater Egleston High School,       1,,,
Boston - Henderson K-12 Inclusion School Upper,      93,415,,404
Boston - Lyon High School,       5,,,
Boston - Madison Park Technical Vocational High School,      40,406,,404
Boston - Margarita Muniz Academy,      32,407,,388
Boston - New Mission High School,     175,432,,436
Boston - O'Bryant School of Math & Science,     402,534,,556
Boston - Quincy Upper School,      80,446,,441
Boston - Snowden International High School,      29,431,,437
Boston - TechBoston Academy,     183,417,,409
Boston Collegiate Charter (District) - Boston Collegiate Charter School,      68,478,,465
