unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05001480100,2021,480100,Arkansas County,Arkansas,117,3,64,50,0,805,38,80,287,157,88,125,30,2.6,54.7,42.7,0.0,4.7,9.9,35.7,19.5,10.9,15.5,3.7,464,54194,69687,1204,92,7.6,1112,92.4,878,72.9,223,18.5,0,0.0,0,0.0,0,0.0,0,0.0,11,0.9
05001480200,2021,480200,Arkansas County,Arkansas,92,5,37,48,2,923,19,94,383,182,101,100,44,5.4,40.2,52.2,2.2,2.1,10.2,41.5,19.7,10.9,10.8,4.8,456,75972,104436,1330,83,6.2,1247,93.8,1125,84.6,102,7.7,0,0.0,0,0.0,0,0.0,0,0.0,20,1.5
05001480300,2021,480300,Arkansas County,Arkansas,137,0,94,43,0,2068,130,151,941,346,180,195,125,0.0,68.6,31.4,0.0,6.3,7.3,45.5,16.7,8.7,9.4,6.0,1034,62679,83292,2916,97,3.3,2819,96.7,1984,68.0,741,25.4,14,0.5,0,0.0,0,0.0,0,0.0,80,2.7
05001480400,2021,480400,Arkansas County,Arkansas,179,58,47,74,0,1479,163,130,706,185,142,78,75,32.4,26.3,41.3,0.0,11.0,8.8,47.7,12.5,9.6,5.3,5.1,910,30682,53921,2159,21,1.0,2138,99.0,473,21.9,1608,74.5,13,0.6,8,0.4,0,0.0,0,0.0,36,1.7
05001480500,2021,480500,Arkansas County,Arkansas,384,11,87,245,41,2513,43,142,941,431,442,374,140,2.9,22.7,63.8,10.7,1.7,5.7,37.4,17.2,17.6,14.9,5.6,1396,67852,69980,3848,25,0.6,3823,99.4,2663,69.2,1093,28.4,0,0.0,0,0.0,0,0.0,0,0.0,67,1.7
05001480600,2021,480600,Arkansas County,Arkansas,135,20,45,58,12,1388,59,58,631,188,155,204,93,14.8,33.3,43.0,8.9,4.3,4.2,45.5,13.5,11.2,14.7,6.7,721,64766,70295,1892,132,7.0,1760,93.0,1699,89.8,30,1.6,0,0.0,0,0.0,0,0.0,0,0.0,31,1.6
05001480700,2021,480700,Arkansas County,Arkansas,172,41,0,131,0,1899,139,228,875,249,215,138,55,23.8,0.0,76.2,0.0,7.3,12.0,46.1,13.1,11.3,7.3,2.9,1132,40500,53181,2755,188,6.8,2567,93.2,1907,69.2,604,21.9,0,0.0,0,0.0,0,0.0,0,0.0,56,2.0
05001480800,2021,480800,Arkansas County,Arkansas,48,0,2,42,4,913,77,45,256,224,100,126,85,0.0,4.2,87.5,8.3,8.4,4.9,28.0,24.5,11.0,13.8,9.3,482,68750,80668,1169,0,0.0,1169,100.0,1126,96.3,32,2.7,8,0.7,0,0.0,0,0.0,0,0.0,3,0.3
05003960100,2021,960100,Ashley County,Arkansas,107,31,42,31,3,993,32,100,412,274,76,87,12,29.0,39.3,29.0,2.8,3.2,10.1,41.5,27.6,7.7,8.8,1.2,539,48125,58550,1495,115,7.7,1380,92.3,803,53.7,548,36.7,0,0.0,0,0.0,0,0.0,0,0.0,29,1.9
05003960200,2021,960200,Ashley County,Arkansas,211,50,42,59,60,1847,143,74,1194,223,111,83,19,23.7,19.9,28.0,28.4,7.7,4.0,64.6,12.1,6.0,4.5,1.0,912,50543,64178,2639,153,5.8,2486,94.2,2347,88.9,103,3.9,0,0.0,6,0.2,0,0.0,0,0.0,30,1.1
05003960300,2021,960300,Ashley County,Arkansas,347,100,122,125,0,2831,212,396,1259,366,154,264,180,28.8,35.2,36.0,0.0,7.5,14.0,44.5,12.9,5.4,9.3,6.4,1589,35982,60831,4238,470,11.1,3768,88.9,2944,69.5,767,18.1,3,0.1,0,0.0,0,0.0,27,0.6,27,0.6
05003960400,2021,960400,Ashley County,Arkansas,62,12,20,30,0,1119,4,48,652,223,94,47,51,19.4,32.3,48.4,0.0,0.4,4.3,58.3,19.9,8.4,4.2,4.6,560,44924,54751,1545,21,1.4,1524,98.6,1021,66.1,501,32.4,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1
05003960500,2021,960500,Ashley County,Arkansas,185,8,10,167,0,1830,150,153,1131,227,103,53,13,4.3,5.4,90.3,0.0,8.2,8.4,61.8,12.4,5.6,2.9,0.7,802,38365,44532,2605,5,0.2,2600,99.8,2069,79.4,511,19.6,0,0.0,20,0.8,0,0.0,0,0.0,0,0.0
05003960600,2021,960600,Ashley County,Arkansas,418,46,347,20,5,3716,132,387,1661,679,183,604,70,11.0,83.0,4.8,1.2,3.6,10.4,44.7,18.3,4.9,16.3,1.9,2246,38520,76175,5018,288,5.7,4730,94.3,2694,53.7,1944,38.7,0,0.0,0,0.0,0,0.0,0,0.0,92,1.8
05003960700,2021,960700,Ashley County,Arkansas,179,0,78,101,0,1075,95,62,514,201,74,85,44,0.0,43.6,56.4,0.0,8.8,5.8,47.8,18.7,6.9,7.9,4.1,591,48750,66581,1822,89,4.9,1733,95.1,1208,66.3,454,24.9,0,0.0,4,0.2,50,2.7,0,0.0,17,0.9
05005950100,2021,950100,Baxter County,Arkansas,155,6,45,104,0,3538,47,206,1274,887,297,631,196,3.9,29.0,67.1,0.0,1.3,5.8,36.0,25.1,8.4,17.8,5.5,2272,41445,55457,4733,245,5.2,4488,94.8,4360,92.1,6,0.1,68,1.4,46,1.0,0,0.0,1,0.0,7,0.1
05005950200,2021,950200,Baxter County,Arkansas,212,8,124,80,0,3558,88,436,1057,842,331,494,310,3.8,58.5,37.7,0.0,2.5,12.3,29.7,23.7,9.3,13.9,8.7,2127,46715,73152,4521,40,0.9,4481,99.1,4365,96.5,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,111,2.5
05005950300,2021,950300,Baxter County,Arkansas,645,89,398,138,20,3689,112,219,1150,1065,496,441,206,13.8,61.7,21.4,3.1,3.0,5.9,31.2,28.9,13.4,12.0,5.6,2329,38558,55089,5064,267,5.3,4797,94.7,4510,89.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,287,5.7
05005950400,2021,950400,Baxter County,Arkansas,395,70,181,144,0,2451,56,131,832,437,474,351,170,17.7,45.8,36.5,0.0,2.3,5.3,33.9,17.8,19.3,14.3,6.9,1518,39688,76692,3410,31,0.9,3379,99.1,3285,96.3,52,1.5,0,0.0,1,0.0,0,0.0,0,0.0,41,1.2
