unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
17001000100,2017,100,Adams County,Illinois,310,0,84,148,78,3378,17,238,1276,854,226,538,229,0.0,27.1,47.7,25.2,0.5,7.0,37.8,25.3,6.7,15.9,6.8,2126,48726,61411,4580,19,0.4,4561,99.6,4079,89.1,393,8.6,0,0.0,4,0.1,0,0.0,0,0.0,85,1.9
17001000201,2017,200,Adams County,Illinois,208,24,86,73,25,1318,15,80,435,413,112,169,94,11.5,41.3,35.1,12.0,1.1,6.1,33.0,31.3,8.5,12.8,7.1,838,41531,51530,1911,15,0.8,1896,99.2,1769,92.6,48,2.5,0,0.0,57,3.0,0,0.0,18,0.9,4,0.2
17001000202,2017,202,Adams County,Illinois,293,18,95,160,20,1579,9,76,608,397,152,170,167,6.1,32.4,54.6,6.8,0.6,4.8,38.5,25.1,9.6,10.8,10.6,986,42750,56570,2473,16,0.6,2457,99.4,2254,91.1,144,5.8,0,0.0,9,0.4,0,0.0,0,0.0,50,2.0
17001000400,2017,400,Adams County,Illinois,290,89,128,66,7,2402,109,234,1060,563,201,141,94,30.7,44.1,22.8,2.4,4.5,9.7,44.1,23.4,8.4,5.9,3.9,1332,29000,43558,3286,6,0.2,3280,99.8,2802,85.3,274,8.3,0,0.0,61,1.9,0,0.0,0,0.0,143,4.4
17001000500,2017,500,Adams County,Illinois,261,61,90,86,24,1456,48,116,652,403,102,97,38,23.4,34.5,33.0,9.2,3.3,8.0,44.8,27.7,7.0,6.7,2.6,851,35136,36388,2346,40,1.7,2306,98.3,1816,77.4,446,19.0,0,0.0,0,0.0,0,0.0,0,0.0,44,1.9
17001000600,2017,600,Adams County,Illinois,385,33,92,166,94,2541,0,150,453,736,190,539,473,8.6,23.9,43.1,24.4,0.0,5.9,17.8,29.0,7.5,21.2,18.6,1660,44852,72429,3761,4,0.1,3757,99.9,3357,89.3,226,6.0,0,0.0,37,1.0,35,0.9,57,1.5,45,1.2
17001000700,2017,700,Adams County,Illinois,210,25,62,102,21,921,52,133,319,237,24,76,80,11.9,29.5,48.6,10.0,5.6,14.4,34.6,25.7,2.6,8.3,8.7,791,17832,25822,1193,26,2.2,1167,97.8,975,81.7,166,13.9,15,1.3,11,0.9,0,0.0,0,0.0,0,0.0
17001000800,2017,800,Adams County,Illinois,244,62,77,105,0,1789,67,307,808,417,66,98,26,25.4,31.6,43.0,0.0,3.7,17.2,45.2,23.3,3.7,5.5,1.5,1183,24972,34112,2691,110,4.1,2581,95.9,2206,82.0,307,11.4,0,0.0,0,0.0,0,0.0,0,0.0,68,2.5
17001000900,2017,900,Adams County,Illinois,481,40,292,133,16,1625,53,99,597,439,154,170,113,8.3,60.7,27.7,3.3,3.3,6.1,36.7,27.0,9.5,10.5,7.0,1115,42848,46868,2756,18,0.7,2738,99.3,2566,93.1,85,3.1,0,0.0,0,0.0,0,0.0,0,0.0,87,3.2
17001001001,2017,1001,Adams County,Illinois,218,17,126,43,32,2317,26,86,872,601,253,370,109,7.8,57.8,19.7,14.7,1.1,3.7,37.6,25.9,10.9,16.0,4.7,1501,52282,56750,3435,172,5.0,3263,95.0,3203,93.2,33,1.0,15,0.4,12,0.3,0,0.0,0,0.0,0,0.0
17001001002,2017,1002,Adams County,Illinois,318,45,92,148,33,2524,96,104,932,701,188,280,223,14.2,28.9,46.5,10.4,3.8,4.1,36.9,27.8,7.4,11.1,8.8,1296,54944,65749,3623,130,3.6,3493,96.4,3227,89.1,174,4.8,0,0.0,47,1.3,0,0.0,0,0.0,45,1.2
17001001100,2017,1100,Adams County,Illinois,512,78,190,227,17,5933,125,162,1671,1285,562,1345,783,15.2,37.1,44.3,3.3,2.1,2.7,28.2,21.7,9.5,22.7,13.2,3584,56270,81178,8259,91,1.1,8168,98.9,7576,91.7,193,2.3,49,0.6,117,1.4,0,0.0,0,0.0,233,2.8
17001010100,2017,10100,Adams County,Illinois,238,47,68,111,12,3108,86,210,1223,732,294,439,124,19.7,28.6,46.6,5.0,2.8,6.8,39.4,23.6,9.5,14.1,4.0,1751,52568,63202,4319,84,1.9,4235,98.1,4168,96.5,37,0.9,0,0.0,11,0.3,0,0.0,0,0.0,19,0.4
17001010200,2017,10200,Adams County,Illinois,242,34,96,108,4,2528,103,263,982,512,328,222,118,14.0,39.7,44.6,1.7,4.1,10.4,38.8,20.3,13.0,8.8,4.7,1464,49202,56844,3550,25,0.7,3525,99.3,3363,94.7,0,0.0,66,1.9,33,0.9,0,0.0,0,0.0,63,1.8
17001010300,2017,10300,Adams County,Illinois,329,42,163,116,8,4025,149,274,1497,971,447,424,263,12.8,49.5,35.3,2.4,3.7,6.8,37.2,24.1,11.1,10.5,6.5,2130,56026,66733,5923,47,0.8,5876,99.2,5812,98.1,21,0.4,0,0.0,26,0.4,3,0.1,0,0.0,14,0.2
17001010400,2017,10400,Adams County,Illinois,252,27,122,94,9,2415,19,34,848,709,135,394,276,10.7,48.4,37.3,3.6,0.8,1.4,35.1,29.4,5.6,16.3,11.4,1279,64699,87322,3554,18,0.5,3536,99.5,3455,97.2,0,0.0,0,0.0,81,2.3,0,0.0,0,0.0,0,0.0
17001010500,2017,10500,Adams County,Illinois,105,0,36,47,22,2263,12,54,801,513,109,577,197,0.0,34.3,44.8,21.0,0.5,2.4,35.4,22.7,4.8,25.5,8.7,1292,75633,90881,3035,0,0.0,3035,100.0,3016,99.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,0.6
17001010600,2017,10600,Adams County,Illinois,631,58,102,399,72,4039,86,141,1058,996,431,772,555,9.2,16.2,63.2,11.4,2.1,3.5,26.2,24.7,10.7,19.1,13.7,2282,60144,82383,6092,167,2.7,5925,97.3,5827,95.7,88,1.4,0,0.0,5,0.1,0,0.0,0,0.0,5,0.1
17003957600,2017,957600,Alexander County,Illinois,222,14,155,53,0,1723,94,303,596,394,201,120,15,6.3,69.8,23.9,0.0,5.5,17.6,34.6,22.9,11.7,7.0,0.9,790,37868,44088,2413,3,0.1,2410,99.9,2000,82.9,360,14.9,14,0.6,4,0.2,0,0.0,0,0.0,32,1.3
17003957700,2017,957700,Alexander County,Illinois,48,1,23,24,0,1142,101,118,474,316,39,46,48,2.1,47.9,50.0,0.0,8.8,10.3,41.5,27.7,3.4,4.0,4.2,539,42014,53791,1588,16,1.0,1572,99.0,1314,82.7,242,15.2,1,0.1,7,0.4,0,0.0,0,0.0,8,0.5
17003957800,2017,957800,Alexander County,Illinois,134,44,18,72,0,862,60,105,211,250,87,102,47,32.8,13.4,53.7,0.0,7.0,12.2,24.5,29.0,10.1,11.8,5.5,508,23349,38705,1467,9,0.6,1458,99.4,568,38.7,868,59.2,0,0.0,0,0.0,0,0.0,0,0.0,22,1.5
17003957900,2017,957900,Alexander County,Illinois,101,38,63,0,0,898,46,169,325,113,126,106,13,37.6,62.4,0.0,0.0,5.1,18.8,36.2,12.6,14.0,11.8,1.4,595,25542,40723,1308,40,3.1,1268,96.9,308,23.5,873,66.7,28,2.1,0,0.0,0,0.0,0,0.0,59,4.5
17005951200,2017,951200,Bond County,Illinois,136,8,18,97,13,2134,51,148,896,392,243,302,102,5.9,13.2,71.3,9.6,2.4,6.9,42.0,18.4,11.4,14.2,4.8,1188,58313,73484,2880,121,4.2,2759,95.8,2607,90.5,97,3.4,4,0.1,15,0.5,0,0.0,0,0.0,36,1.3
17005951300,2017,951300,Bond County,Illinois,1275,92,203,980,0,4278,164,353,1393,1019,302,635,412,7.2,15.9,76.9,0.0,3.8,8.3,32.6,23.8,7.1,14.8,9.6,1874,50917,58158,6707,346,5.2,6361,94.8,5100,76.0,933,13.9,30,0.4,168,2.5,0,0.0,0,0.0,130,1.9
