unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
17001000100,2017,100,Adams County,Illinois,310,0,84,148,78,3378,17,238,1276,854,226,538,229,0.0,27.1,47.7,25.2,0.5,7.0,37.8,25.3,6.7,15.9,6.8
17001000201,2017,200,Adams County,Illinois,208,24,86,73,25,1318,15,80,435,413,112,169,94,11.5,41.3,35.1,12.0,1.1,6.1,33.0,31.3,8.5,12.8,7.1
17001000202,2017,202,Adams County,Illinois,293,18,95,160,20,1579,9,76,608,397,152,170,167,6.1,32.4,54.6,6.8,0.6,4.8,38.5,25.1,9.6,10.8,10.6
17001000400,2017,400,Adams County,Illinois,290,89,128,66,7,2402,109,234,1060,563,201,141,94,30.7,44.1,22.8,2.4,4.5,9.7,44.1,23.4,8.4,5.9,3.9
17001000500,2017,500,Adams County,Illinois,261,61,90,86,24,1456,48,116,652,403,102,97,38,23.4,34.5,33.0,9.2,3.3,8.0,44.8,27.7,7.0,6.7,2.6
17001000600,2017,600,Adams County,Illinois,385,33,92,166,94,2541,0,150,453,736,190,539,473,8.6,23.9,43.1,24.4,0.0,5.9,17.8,29.0,7.5,21.2,18.6
17001000700,2017,700,Adams County,Illinois,210,25,62,102,21,921,52,133,319,237,24,76,80,11.9,29.5,48.6,10.0,5.6,14.4,34.6,25.7,2.6,8.3,8.7
17001000800,2017,800,Adams County,Illinois,244,62,77,105,0,1789,67,307,808,417,66,98,26,25.4,31.6,43.0,0.0,3.7,17.2,45.2,23.3,3.7,5.5,1.5
17001000900,2017,900,Adams County,Illinois,481,40,292,133,16,1625,53,99,597,439,154,170,113,8.3,60.7,27.7,3.3,3.3,6.1,36.7,27.0,9.5,10.5,7.0
17001001001,2017,1001,Adams County,Illinois,218,17,126,43,32,2317,26,86,872,601,253,370,109,7.8,57.8,19.7,14.7,1.1,3.7,37.6,25.9,10.9,16.0,4.7
