unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
17001000100,2017,100,Adams County,Illinois,4580,19,0.4,4561,99.6,4079,89.1,393,8.6,0,0.0,4,0.1,0,0.0,0,0.0,85,1.9
17001000201,2017,200,Adams County,Illinois,1911,15,0.8,1896,99.2,1769,92.6,48,2.5,0,0.0,57,3.0,0,0.0,18,0.9,4,0.2
17001000202,2017,202,Adams County,Illinois,2473,16,0.6,2457,99.4,2254,91.1,144,5.8,0,0.0,9,0.4,0,0.0,0,0.0,50,2.0
17001000400,2017,400,Adams County,Illinois,3286,6,0.2,3280,99.8,2802,85.3,274,8.3,0,0.0,61,1.9,0,0.0,0,0.0,143,4.4
17001000500,2017,500,Adams County,Illinois,2346,40,1.7,2306,98.3,1816,77.4,446,19.0,0,0.0,0,0.0,0,0.0,0,0.0,44,1.9
17001000600,2017,600,Adams County,Illinois,3761,4,0.1,3757,99.9,3357,89.3,226,6.0,0,0.0,37,1.0,35,0.9,57,1.5,45,1.2
17001000700,2017,700,Adams County,Illinois,1193,26,2.2,1167,97.8,975,81.7,166,13.9,15,1.3,11,0.9,0,0.0,0,0.0,0,0.0
17001000800,2017,800,Adams County,Illinois,2691,110,4.1,2581,95.9,2206,82.0,307,11.4,0,0.0,0,0.0,0,0.0,0,0.0,68,2.5
17001000900,2017,900,Adams County,Illinois,2756,18,0.7,2738,99.3,2566,93.1,85,3.1,0,0.0,0,0.0,0,0.0,0,0.0,87,3.2
17001001001,2017,1001,Adams County,Illinois,3435,172,5.0,3263,95.0,3203,93.2,33,1.0,15,0.4,12,0.3,0,0.0,0,0.0,0,0.0
17001001002,2017,1002,Adams County,Illinois,3623,130,3.6,3493,96.4,3227,89.1,174,4.8,0,0.0,47,1.3,0,0.0,0,0.0,45,1.2
17001001100,2017,1100,Adams County,Illinois,8259,91,1.1,8168,98.9,7576,91.7,193,2.3,49,0.6,117,1.4,0,0.0,0,0.0,233,2.8
17001010100,2017,10100,Adams County,Illinois,4319,84,1.9,4235,98.1,4168,96.5,37,0.9,0,0.0,11,0.3,0,0.0,0,0.0,19,0.4
17001010200,2017,10200,Adams County,Illinois,3550,25,0.7,3525,99.3,3363,94.7,0,0.0,66,1.9,33,0.9,0,0.0,0,0.0,63,1.8
17001010300,2017,10300,Adams County,Illinois,5923,47,0.8,5876,99.2,5812,98.1,21,0.4,0,0.0,26,0.4,3,0.1,0,0.0,14,0.2
17001010400,2017,10400,Adams County,Illinois,3554,18,0.5,3536,99.5,3455,97.2,0,0.0,0,0.0,81,2.3,0,0.0,0,0.0,0,0.0
17001010500,2017,10500,Adams County,Illinois,3035,0,0.0,3035,100.0,3016,99.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,0.6
17001010600,2017,10600,Adams County,Illinois,6092,167,2.7,5925,97.3,5827,95.7,88,1.4,0,0.0,5,0.1,0,0.0,0,0.0,5,0.1
17003957600,2017,957600,Alexander County,Illinois,2413,3,0.1,2410,99.9,2000,82.9,360,14.9,14,0.6,4,0.2,0,0.0,0,0.0,32,1.3
17003957700,2017,957700,Alexander County,Illinois,1588,16,1.0,1572,99.0,1314,82.7,242,15.2,1,0.1,7,0.4,0,0.0,0,0.0,8,0.5
17003957800,2017,957800,Alexander County,Illinois,1467,9,0.6,1458,99.4,568,38.7,868,59.2,0,0.0,0,0.0,0,0.0,0,0.0,22,1.5
17003957900,2017,957900,Alexander County,Illinois,1308,40,3.1,1268,96.9,308,23.5,873,66.7,28,2.1,0,0.0,0,0.0,0,0.0,59,4.5
17005951200,2017,951200,Bond County,Illinois,2880,121,4.2,2759,95.8,2607,90.5,97,3.4,4,0.1,15,0.5,0,0.0,0,0.0,36,1.3
17005951300,2017,951300,Bond County,Illinois,6707,346,5.2,6361,94.8,5100,76.0,933,13.9,30,0.4,168,2.5,0,0.0,0,0.0,130,1.9
17005951400,2017,951400,Bond County,Illinois,3064,58,1.9,3006,98.1,2975,97.1,0,0.0,0,0.0,11,0.4,0,0.0,0,0.0,20,0.7
