unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
08001060000,2017,60000,Adams County,Colorado,1856,115492,134208
08001060100,2017,60100,Adams County,Colorado,2287,88292,105545
08001060200,2017,60200,Adams County,Colorado,1729,60361,83870
08001061200,2017,61200,Adams County,Colorado,626,117500,129087
08001988700,2017,988700,Adams County,Colorado,0,-666666666,-666666666
08003960000,2017,960000,Alamosa County,Colorado,632,46447,57239
08003960100,2017,960100,Alamosa County,Colorado,945,46146,61859
08003960200,2017,960200,Alamosa County,Colorado,2642,42500,53617
08003960300,2017,960300,Alamosa County,Colorado,1830,27959,38173
08005004951,2017,4951,Arapahoe County,Colorado,1310,47760,50232
08005004952,2017,4952,Arapahoe County,Colorado,1609,43220,54049
08005005551,2017,5551,Arapahoe County,Colorado,1154,47126,52377
08005005552,2017,5552,Arapahoe County,Colorado,1104,31543,40205
08005005553,2017,5553,Arapahoe County,Colorado,1477,54657,64261
08005005611,2017,5611,Arapahoe County,Colorado,1925,72548,100347
08005005612,2017,5612,Arapahoe County,Colorado,1574,80759,188137
08005005614,2017,5614,Arapahoe County,Colorado,1302,89128,92360
08005005619,2017,5619,Arapahoe County,Colorado,1811,88401,123096
08005005620,2017,5620,Arapahoe County,Colorado,1673,55480,63733
08005005621,2017,5621,Arapahoe County,Colorado,1218,115473,154182
08005005622,2017,5622,Arapahoe County,Colorado,962,101625,202280
08005005623,2017,5623,Arapahoe County,Colorado,1735,101454,126364
08005005624,2017,5624,Arapahoe County,Colorado,860,116875,136290
08005005625,2017,5625,Arapahoe County,Colorado,1226,76607,84517
08005005626,2017,5626,Arapahoe County,Colorado,1625,59243,73769
08005005627,2017,5627,Arapahoe County,Colorado,1827,104137,125591
08005005628,2017,5628,Arapahoe County,Colorado,2309,81699,95994
08005005629,2017,5629,Arapahoe County,Colorado,836,157500,197582
08005005630,2017,5630,Arapahoe County,Colorado,2191,100417,125012
08005005631,2017,5631,Arapahoe County,Colorado,1249,102477,123145
08005005632,2017,5632,Arapahoe County,Colorado,1213,112978,126504
08005005633,2017,5633,Arapahoe County,Colorado,1344,103958,138817
08005005634,2017,5634,Arapahoe County,Colorado,1666,64939,93732
08005005635,2017,5635,Arapahoe County,Colorado,2036,95709,116176
08005005636,2017,5636,Arapahoe County,Colorado,663,250001,373251
08005005700,2017,5700,Arapahoe County,Colorado,1701,49375,71919
08005005800,2017,5800,Arapahoe County,Colorado,1180,72372,100836
08005005951,2017,5951,Arapahoe County,Colorado,2402,36712,50118
08005005952,2017,5952,Arapahoe County,Colorado,1672,56544,97397
