unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
08087000500,2017,500,Morgan County,Colorado,360,77,167,111,5,1441,171,138,408,384,121,122,97,21.4,46.4,30.8,1.4,11.9,9.6,28.3,26.6,8.4,8.5,6.7
08087000600,2017,600,Morgan County,Colorado,626,158,311,122,35,3627,696,377,1102,750,193,355,154,25.2,49.7,19.5,5.6,19.2,10.4,30.4,20.7,5.3,9.8,4.2
08087000700,2017,700,Morgan County,Colorado,473,245,131,97,0,3613,200,383,1157,764,267,522,320,51.8,27.7,20.5,0.0,5.5,10.6,32.0,21.1,7.4,14.4,8.9
08087000800,2017,800,Morgan County,Colorado,118,25,48,45,0,1307,81,93,384,311,158,217,63,21.2,40.7,38.1,0.0,6.2,7.1,29.4,23.8,12.1,16.6,4.8
08089968000,2017,968000,Otero County,Colorado,68,1,8,54,5,1111,29,78,309,341,177,108,69,1.5,11.8,79.4,7.4,2.6,7.0,27.8,30.7,15.9,9.7,6.2
08089968100,2017,968100,Otero County,Colorado,363,51,80,196,36,1806,249,220,496,478,111,206,46,14.0,22.0,54.0,9.9,13.8,12.2,27.5,26.5,6.1,11.4,2.5
08089968200,2017,968200,Otero County,Colorado,236,93,51,92,0,1900,69,124,589,527,294,209,88,39.4,21.6,39.0,0.0,3.6,6.5,31.0,27.7,15.5,11.0,4.6
08089968300,2017,968300,Otero County,Colorado,237,18,108,94,17,2582,120,179,572,663,491,296,261,7.6,45.6,39.7,7.2,4.6,6.9,22.2,25.7,19.0,11.5,10.1
08089968400,2017,968400,Otero County,Colorado,51,3,33,15,0,763,49,73,243,195,92,82,29,5.9,64.7,29.4,0.0,6.4,9.6,31.8,25.6,12.1,10.7,3.8
08089968500,2017,968500,Otero County,Colorado,70,5,6,59,0,1100,40,43,276,386,117,168,70,7.1,8.6,84.3,0.0,3.6,3.9,25.1,35.1,10.6,15.3,6.4
08089968600,2017,968600,Otero County,Colorado,687,116,261,289,21,3021,255,273,974,805,167,343,204,16.9,38.0,42.1,3.1,8.4,9.0,32.2,26.6,5.5,11.4,6.8
08091967600,2017,967600,Ouray County,Colorado,220,22,48,107,43,3748,6,69,651,857,313,1092,760,10.0,21.8,48.6,19.5,0.2,1.8,17.4,22.9,8.4,29.1,20.3
08093000100,2017,100,Park County,Colorado,342,0,141,142,59,4897,90,70,1282,1570,615,883,387,0.0,41.2,41.5,17.3,1.8,1.4,26.2,32.1,12.6,18.0,7.9
08093000200,2017,200,Park County,Colorado,181,1,146,34,0,2744,10,93,815,597,210,754,265,0.6,80.7,18.8,0.0,0.4,3.4,29.7,21.8,7.7,27.5,9.7
