School Name,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,      81,527,,512
Abington - Abington High,     126,549,,521
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,       2,,,
Acton-Boxborough - Acton-Boxborough Regional High,     449,655,,681
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,     211,604,,634
Agawam - Agawam High,     106,549,,538
Amesbury - Amesbury High,     101,574,,566
Amherst-Pelham - Amherst Regional High,     127,633,,633
Andover - Andover High,     402,611,,619
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,      24,473,,488
Arlington - Arlington High,     386,626,,619
Ashburnham-Westminster - Oakmont Regional High School,      71,575,,565
Ashland - Ashland High,     226,593,,610
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,      70,534,,511
Athol-Royalston - Athol High,      11,495,,516
Atlantis Charter (District) - Atlantis Charter School,     136,441,,418
Attleboro - Attleboro High,     243,547,,531
Attleboro - Attleboro Virtual Academy,       4,,,
Auburn - Auburn Senior High,     134,553,,542
Avon - Avon Middle High School,      28,534,,526
Ayer Shirley School District - Ayer Shirley Regional High School,      67,550,,518
Barnstable - Barnstable High,     157,558,,550
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,      30,452,,443
Bedford - Bedford High,     216,618,,620
Belchertown - Belchertown High,     117,571,,559
Bellingham - Bellingham High School,      85,551,,531
Bellingham - Keough Memorial Academy,       3,,,
Belmont - Belmont High,     329,653,,662
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,      26,555,,535
Berkshire Hills - Monument Mt Regional High,      97,557,,539
Berlin-Boylston - Tahanto Regional High,      57,567,,563
Beverly - Beverly High,     287,546,,517
Billerica - Billerica Memorial High School,     230,535,,529
Blackstone Valley Regional Vocational Technical - Blackstone Valley,     290,565,,542
Blackstone-Millville - Blackstone Millville RHS,      46,547,,509
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,     102,517,,501
Boston - Another Course To College,      82,405,,395
Boston - Boston Arts Academy,      52,481,,466
Boston - Boston Community Leadership Academy,     149,429,,410
Boston - Boston International High School & Newcomers Academy,      60,410,,434
Boston - Boston Latin Academy,     512,557,,568
