unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
48021950503,2022,950503,Bastrop County,Texas,1601,72681,87913
48021950504,2022,950504,Bastrop County,Texas,1320,92875,108990
48021950505,2022,950504,Bastrop County,Texas,1518,61691,81788
48021950506,2022,950506,Bastrop County,Texas,1127,65956,79240
48021950601,2022,950601,Bastrop County,Texas,1494,81512,96009
48021950602,2022,950602,Bastrop County,Texas,860,72703,95439
48021950700,2022,950700,Bastrop County,Texas,1826,56190,87653
48021950803,2022,950803,Bastrop County,Texas,710,86667,76081
48021950804,2022,950804,Bastrop County,Texas,1682,70104,78125
48021950805,2022,950804,Bastrop County,Texas,1810,80833,98605
48021950806,2022,950806,Bastrop County,Texas,1233,60206,89616
48023950301,2022,950301,Baylor County,Texas,542,34375,68711
48023950302,2022,950302,Baylor County,Texas,935,54014,72621
48025950100,2022,950100,Bee County,Texas,580,62917,89700
48025950201,2022,950201,Bee County,Texas,346,86765,89892
48025950203,2022,950203,Bee County,Texas,709,53446,74349
48025950204,2022,950204,Bee County,Texas,1104,70056,94999
48025950300,2022,950300,Bee County,Texas,1958,62083,69080
48025950400,2022,950400,Bee County,Texas,689,41563,58861
48025950501,2022,950501,Bee County,Texas,1091,49427,76554
48025950502,2022,950502,Bee County,Texas,1226,28229,42004
48025950600,2022,950600,Bee County,Texas,860,46324,81353
48027020101,2022,20101,Bell County,Texas,1308,62984,79083
48027020102,2022,20102,Bell County,Texas,1192,88145,103314
48027020201,2022,20201,Bell County,Texas,2810,106957,133974
48027020203,2022,20203,Bell County,Texas,1601,79842,107241
48027020204,2022,20204,Bell County,Texas,1174,56415,89555
48027020301,2022,20301,Bell County,Texas,3216,97401,111370
48027020302,2022,20302,Bell County,Texas,1636,72351,90357
48027020401,2022,20401,Bell County,Texas,1483,48330,52682
48027020402,2022,20402,Bell County,Texas,999,49044,68107
48027020500,2022,20500,Bell County,Texas,1449,60551,69451
48027020600,2022,20600,Bell County,Texas,1041,73750,86287
48027020701,2022,20701,Bell County,Texas,762,19252,34514
48027020702,2022,20702,Bell County,Texas,615,32188,40853
48027020800,2022,20800,Bell County,Texas,1168,24600,44415
48027020900,2022,20900,Bell County,Texas,1092,33621,43265
48027021000,2022,21000,Bell County,Texas,1769,36892,46942
48027021101,2022,21101,Bell County,Texas,1514,58500,69607
48027021102,2022,21102,Bell County,Texas,1054,39432,55088
48027021201,2022,21201,Bell County,Texas,1545,57876,74818
48027021202,2022,21202,Bell County,Texas,1574,54442,64932
48027021203,2022,21203,Bell County,Texas,2076,46966,96998
48027021301,2022,21301,Bell County,Texas,2223,63125,85330
48027021302,2022,21302,Bell County,Texas,1106,74667,110112
48027021304,2022,21304,Bell County,Texas,2139,60632,77628
48027021305,2022,21305,Bell County,Texas,2222,102724,115678
48027021400,2022,21400,Bell County,Texas,1659,83884,114479
48027021501,2022,21501,Bell County,Texas,1235,42917,59932
48027021502,2022,21502,Bell County,Texas,1444,93549,106004
48027021601,2022,21601,Bell County,Texas,2116,42033,57286
48027021602,2022,21602,Bell County,Texas,547,31205,64573
