District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
GENTRY SCHOOL DISTRICT,GENTRY HIGH SCHOOL CONVERSION CHARTER,403703,105,18.7,30.50%,18.8,56.20%,19.9,41.00%,19,28.60%,21.00%,Arkansas,36.2575301,-94.4947558,1155 Pioneer Lane,72734,Benton County,Gentry,5007,"1155 Pioneer Lane, Gentry, Arkansas, 72734",21004,5007021004,2019,21004,Benton County,Arkansas,394,52,159,183,0,2937,52,123,922,697,283,657,203,13.2,40.4,46.4,0,1.8,4.2,31.4,23.7,9.6,22.4,6.9,1575,62717,65671,4301,611,14.2,3690,85.8,3317,77.1,15,0.3,61,1.4,33,0.8,0,0,0,0,264,6.1,18.7,19.9
GRAVETTE SCHOOL DISTRICT,GRAVETTE HIGH SCHOOL,404022,119,19.2,30.30%,18.9,58.00%,19.4,28.60%,19.8,26.90%,13.40%,Arkansas,36.4208184,-94.4351717,325 Lion Drive South,72736,Benton County,Gravette,5007,"325 Lion Drive South, Gravette, Arkansas, 72736",20905,5007020905,2019,20905,Benton County,Arkansas,198,0,69,129,0,1924,30,105,938,377,96,264,114,0,34.8,65.2,0,1.6,5.5,48.8,19.6,5,13.7,5.9,1019,67546,80938,2936,5,0.2,2931,99.8,2777,94.6,0,0,10,0.3,2,0.1,0,0,9,0.3,133,4.5,19.2,19.4
ROGERS SCHOOL DISTRICT,ROGERS HIGH SCHOOL,405048,497,19,29.00%,18.1,47.90%,19,31.60%,18.9,23.90%,16.10%,Arkansas,36.299969,-94.1467358,2300 South Dixieland Road,72758,Benton County,Rogers,5007,"2300 South Dixieland Road, Rogers, Arkansas, 72758",20405,5007020405,2019,20405,Benton County,Arkansas,596,10,44,340,202,2660,0,30,457,460,250,777,686,1.7,7.4,57,33.9,0,1.1,17.2,17.3,9.4,29.2,25.8,1706,103462,133533,4294,676,15.7,3618,84.3,3235,75.3,44,1,0,0,314,7.3,0,0,0,0,25,0.6,19,19
ROGERS SCHOOL DISTRICT,ROGERS HERITAGE HIGH SCHOOL,405052,405,18.2,24.20%,17.2,42.70%,18.1,25.90%,17.9,17.50%,10.40%,Arkansas,36.3237956,-94.1230579,1114 South 5th Street,72756,Benton County,Rogers,5007,"1114 South 5th Street, Rogers, Arkansas, 72756",20206,5007020206,2019,20206,Benton County,Arkansas,871,107,399,275,90,4177,957,668,1376,533,100,458,85,12.3,45.8,31.6,10.3,22.9,16,32.9,12.8,2.4,11,2,2468,55365,62027,7421,4526,61,2895,39,2107,28.4,146,2,62,0.8,206,2.8,264,3.6,14,0.2,96,1.3,18.2,18.1
ROGERS SCHOOL DISTRICT,ROGERS NEW TECHNOLOGY HIGH SCHOOL,405703,180,19.4,33.30%,20.1,62.20%,20.5,39.40%,20.3,30.00%,21.10%,Arkansas,36.3016266,-94.1192513,2922 South 1st Street,72758,Benton County,Rogers,5007,"2922 South 1st Street, Rogers, Arkansas, 72758",20206,5007020206,2019,20206,Benton County,Arkansas,871,107,399,275,90,4177,957,668,1376,533,100,458,85,12.3,45.8,31.6,10.3,22.9,16,32.9,12.8,2.4,11,2,2468,55365,62027,7421,4526,61,2895,39,2107,28.4,146,2,62,0.8,206,2.8,264,3.6,14,0.2,96,1.3,19.4,20.5
SILOAM SPRINGS SCHOOL DISTRICT,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,406703,293,18.7,24.60%,18.4,53.20%,19.5,32.80%,19.5,24.90%,14.70%,Arkansas,36.1909275,-94.5138466,700 North Progress Avenue,72761,Benton County,Siloam Springs,5007,"700 North Progress Avenue, Siloam Springs, Arkansas, 72761",21101,5007021101,2019,21101,Benton County,Arkansas,353,14,86,133,120,3236,313,278,1088,552,252,547,206,4,24.4,37.7,34,9.7,8.6,33.6,17.1,7.8,16.9,6.4,1795,56811,63818,4891,1081,22.1,3810,77.9,2721,55.6,9,0.2,481,9.8,183,3.7,6,0.1,96,2,314,6.4,18.7,19.5
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE HIGH SCHOOL,407027,94,19.5,31.90%,18.5,53.20%,19.8,35.10%,19.6,26.60%,20.20%,Arkansas,36.4566192,-94.135008,1925 West Pickens Road,72751,Benton County,Pea Ridge,5007,"1925 West Pickens Road, Pea Ridge, Arkansas, 72751",20103,5007020103,2019,20103,Benton County,Arkansas,331,46,80,205,0,2473,89,160,1171,481,181,301,90,13.9,24.2,61.9,0,3.6,6.5,47.4,19.5,7.3,12.2,3.6,1314,61905,75657,3669,198,5.4,3471,94.6,3168,86.3,137,3.7,67,1.8,0,0,34,0.9,0,0,65,1.8,19.5,19.8
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE MANUFACTURING & BUSINESS ACADEMY,407703,55,17.1,10.90%,17.5,41.80%,18.4,27.30%,17.7,14.50%,7.30%,Arkansas,36.4747135,-94.0899911,,N/A,Benton County,N/A,5007,,20103,5007020103,2019,20103,Benton County,Arkansas,331,46,80,205,0,2473,89,160,1171,481,181,301,90,13.9,24.2,61.9,0,3.6,6.5,47.4,19.5,7.3,12.2,3.6,1314,61905,75657,3669,198,5.4,3471,94.6,3168,86.3,137,3.7,67,1.8,0,0,34,0.9,0,0,65,1.8,17.1,18.4
ARKANSAS ARTS ACADEMY,ARKANSAS ARTS ACADEMY HIGH SCHOOL,440703,56,20.5,46.40%,23,80.40%,23.7,64.30%,21.9,42.90%,32.10%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,20.5,23.7
RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL AC,NORTHWEST ARKANSAS CLASSICAL ACADEMY HIGH,442703,15,22.1,60.00%,23.2,80.00%,23.7,60.00%,21.6,26.70%,26.70%,Arkansas,36.0148605,-94.2333355,,N/A,Washington County,N/A,5143,,11006,5143011006,2019,11006,Washington County,Arkansas,423,33,219,155,16,3964,143,156,1183,1004,253,868,357,7.8,51.8,36.6,3.8,3.6,3.9,29.8,25.3,6.4,21.9,9,2293,55848,75063,6300,451,7.2,5849,92.8,5482,87,12,0.2,103,1.6,78,1.2,0,0,0,0,174,2.8,22.1,23.7
HAAS HALL BENTONVILLE,HAAS HALL ACADEMY BENTONVILLE,443703,38,25,73.70%,28.7,97.40%,27,78.90%,25.4,76.30%,55.30%,Arkansas,36.3444024,-94.1981489,2600 Southeast J Street,72712,Benton County,Bentonville,5007,"2600 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2019,20503,Benton County,Arkansas,581,175,236,124,46,2644,67,211,534,415,156,873,388,30.1,40.6,21.3,7.9,2.5,8,20.2,15.7,5.9,33,14.7,1790,62500,68527,4195,642,15.3,3553,84.7,1686,40.2,213,5.1,18,0.4,1140,27.2,0,0,0,0,496,11.8,25,27
ALPENA SCHOOL DISTRICT,ALPENA HIGH SCHOOL,501002,40,17.5,20.00%,16.9,30.00%,16.5,20.00%,17.6,17.50%,7.50%,Arkansas,36.2916191,-93.2950719,300 South Denver Street,72611,Boone County,Alpena,5009,"300 South Denver Street, Alpena, Arkansas, 72611",790400,5009790400,2019,790400,Boone County,Arkansas,337,93,119,75,50,4692,175,299,1762,1296,252,643,265,27.6,35.3,22.3,14.8,3.7,6.4,37.6,27.6,5.4,13.7,5.6,2390,51279,70855,5888,137,2.3,5751,97.7,5600,95.1,0,0,43,0.7,58,1,0,0,0,0,50,0.8,17.5,16.5
BERGMAN SCHOOL DISTRICT,BERGMAN HIGH SCHOOL,502007,71,19.8,39.40%,19.4,52.10%,20.4,42.30%,20.2,32.40%,19.70%,Arkansas,36.3137275,-93.0172222,8949 Arkansas 7,72601,Boone County,Harrison,5009,"8949 Arkansas 7, Harrison, Arkansas, 72601",790400,5009790400,2019,790400,Boone County,Arkansas,337,93,119,75,50,4692,175,299,1762,1296,252,643,265,27.6,35.3,22.3,14.8,3.7,6.4,37.6,27.6,5.4,13.7,5.6,2390,51279,70855,5888,137,2.3,5751,97.7,5600,95.1,0,0,43,0.7,58,1,0,0,0,0,50,0.8,19.8,20.4
