District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
DERMOTT SCHOOL DISTRICT,DERMOTT HIGH SCHOOL,901003,17,15.5,5.90%,15.1,29.40%,14.9,5.90%,15.4,5.90%,0.00%,Arkansas,33.5232086,-91.4289779,525 East Speedway Street,71638,Chicot County,Dermott,5017,"525 East Speedway Street, Dermott, Arkansas, 71638",80200,5017080200,2019,80200,Chicot County,Arkansas,206,10,136,60,0,1573,100,255,603,341,62,169,43,4.9,66,29.1,0,6.4,16.2,38.3,21.7,3.9,10.7,2.7,942,29298,44862,2307,14,0.6,2293,99.4,550,23.8,1696,73.5,0,0,31,1.3,0,0,0,0,16,0.7,15.5,14.9
LAKESIDE SCHOOL DIST(CHICOT),LAKESIDE HIGH SCHOOL,903018,58,15.5,1.70%,13.7,10.30%,14.7,1.70%,14.9,0.00%,0.00%,Arkansas,33.3252057,-91.3104254,1110 South Lakeshore Drive,71653,Chicot County,Lake Village,5017,"1110 South Lakeshore Drive, Lake Village, Arkansas, 71653",80300,5017080300,2019,80300,Chicot County,Arkansas,267,69,118,80,0,1817,131,186,713,412,68,190,117,25.8,44.2,30,0,7.2,10.2,39.2,22.7,3.7,10.5,6.4,1080,40900,59269,2639,265,10,2374,90,1025,38.8,1288,48.8,0,0,32,1.2,0,0,0,0,29,1.1,15.5,14.7
ARKADELPHIA SCHOOL DISTRICT,ARKADELPHIA HIGH SCHOOL,1002010,114,18.5,23.70%,17.2,43.90%,18.8,29.80%,18.7,18.40%,8.80%,Arkansas,34.1229219,-93.0971477,401 High School Drive,71923,Clark County,Arkadelphia,5019,"401 High School Drive, Arkadelphia, Arkansas, 71923",953602,5019953602,2019,953602,Clark County,Arkansas,1791,20,147,1482,142,1848,70,119,404,364,165,334,392,1.1,8.2,82.7,7.9,3.8,6.4,21.9,19.7,8.9,18.1,21.2,1128,58723,70202,4317,185,4.3,4132,95.7,3177,73.6,738,17.1,28,0.6,61,1.4,0,0,2,0,126,2.9,18.5,18.8
GURDON SCHOOL DISTRICT,GURDON HIGH SCHOOL,1003018,36,15.9,2.80%,14.9,27.80%,16.5,13.90%,15.6,2.80%,0.00%,Arkansas,33.9082021,-93.1906511,7777 U.S. 67,71743,Clark County,Gurdon,5019,"7777 U.S. 67, Gurdon, Arkansas, 71743",953902,5019953902,2019,953902,Clark County,Arkansas,322,0,166,152,4,2138,129,144,681,590,197,345,52,0,51.6,47.2,1.2,6,6.7,31.9,27.6,9.2,16.1,2.4,1258,51042,53624,3340,347,10.4,2993,89.6,2070,62,884,26.5,15,0.4,0,0,0,0,0,0,24,0.7,15.9,16.5
CORNING SCHOOL DISTRICT,CORNING HIGH SCHOOL,1101004,48,17.8,22.90%,17.1,39.60%,18.6,22.90%,18.5,22.90%,8.30%,Arkansas,36.4186782,-90.5798737,500 Bobcat Lane,72422,Clay County,Corning,5021,"500 Bobcat Lane, Corning, Arkansas, 72422",950400,5021950400,2019,950400,Clay County,Arkansas,292,55,135,76,26,1967,162,204,754,402,178,130,137,18.8,46.2,26,8.9,8.2,10.4,38.3,20.4,9,6.6,7,1383,30268,41635,3000,122,4.1,2878,95.9,2821,94,0,0,0,0,0,0,0,0,0,0,57,1.9,17.8,18.6
PIGGOTT SCHOOL DISTRICT,PIGGOTT HIGH SCHOOL,1104018,70,16.4,10.00%,16.7,31.40%,17.1,20.00%,16.5,10.00%,2.90%,Arkansas,36.3814856,-90.1849826,533 East Main Street,72454,Clay County,Piggott,5021,"533 East Main Street, Piggott, Arkansas, 72454",950600,5021950600,2019,950600,Clay County,Arkansas,325,7,174,138,6,2447,106,203,1005,639,111,252,131,2.2,53.5,42.5,1.8,4.3,8.3,41.1,26.1,4.5,10.3,5.4,1568,37359,50289,3644,58,1.6,3586,98.4,3455,94.8,37,1,47,1.3,0,0,0,0,0,0,47,1.3,16.4,17.1
RECTOR SCHOOL DISTRICT,RECTOR HIGH SCHOOL,1106023,46,17.5,15.20%,16.3,37.00%,18.2,21.70%,18.1,10.90%,4.30%,Arkansas,36.2631972,-90.2981985,604 West 5th Street,72461,Clay County,Rector,5021,"604 West 5th Street, Rector, Arkansas, 72461",950500,5021950500,2019,950500,Clay County,Arkansas,100,42,30,28,0,1484,112,105,572,391,134,49,121,42,30,28,0,7.5,7.1,38.5,26.3,9,3.3,8.2,896,33167,44052,2095,0,0,2095,100,1986,94.8,0,0,0,0,0,0,0,0,0,0,109,5.2,17.5,18.2
CONCORD SCHOOL DISTRICT,CONCORD HIGH SCHOOL,1201002,32,20.2,37.50%,18.3,56.30%,18.8,31.30%,19.3,21.90%,12.50%,Arkansas,35.6633763,-91.8477224,10920 Heber Springs Road North,72523,Cleburne County,Concord,5023,"10920 Heber Springs Road North, Concord, Arkansas, 72523",480100,5023480100,2019,480100,Cleburne County,Arkansas,195,30,88,77,0,3130,175,263,1391,669,141,332,159,15.4,45.1,39.5,0,5.6,8.4,44.4,21.4,4.5,10.6,5.1,1855,45685,50895,3987,29,0.7,3958,99.3,3812,95.6,0,0,146,3.7,0,0,0,0,0,0,0,0,20.2,18.8
HEBER SPRINGS SCHOOL DISTRICT,HEBER SPRINGS HIGH SCHOOL,1202006,119,19.1,31.10%,19.1,49.60%,20.3,36.10%,19.6,26.90%,18.50%,Arkansas,35.4962133,-92.038822,1100 West Pine Street,72543,Cleburne County,Heber Springs,5023,"1100 West Pine Street, Heber Springs, Arkansas, 72543",480302,5023480302,2019,480302,Cleburne County,Arkansas,165,0,107,58,0,2310,24,137,849,580,213,284,223,0,64.8,35.2,0,1,5.9,36.8,25.1,9.2,12.3,9.7,1405,53974,86960,3089,112,3.6,2977,96.4,2873,93,10,0.3,26,0.8,60,1.9,0,0,0,0,8,0.3,19.1,20.3
QUITMAN SCHOOL DISTRICT,QUITMAN HIGH SCHOOL,1203011,60,18.4,21.70%,18.3,41.70%,19.7,30.00%,18.6,21.70%,11.70%,Arkansas,35.3794514,-92.222091,6275 Heber Springs Road West,72131,Cleburne County,Quitman,5023,"6275 Heber Springs Road West, Quitman, Arkansas, 72131",480502,5023480502,2019,480502,Cleburne County,Arkansas,200,41,87,51,21,2574,73,152,1134,557,180,329,149,20.5,43.5,25.5,10.5,2.8,5.9,44.1,21.6,7,12.8,5.8,1506,48370,69062,3347,49,1.5,3298,98.5,3194,95.4,0,0,0,0,6,0.2,0,0,0,0,98,2.9,18.4,19.7
WEST SIDE SCHOOL DIST(CLEBURNE),WEST SIDE HIGH SCHOOL,1204015,29,18.2,27.60%,19.9,62.10%,18.9,37.90%,19.5,27.60%,20.70%,Arkansas,35.5809027,-92.1662611,7295 Greers Ferry Road,72067,Cleburne County,Greers Ferry,5023,"7295 Greers Ferry Road, Greers Ferry, Arkansas, 72067",480203,5023480203,2019,480203,Cleburne County,Arkansas,156,51,81,24,0,1561,137,136,560,317,143,177,91,32.7,51.9,15.4,0,8.8,8.7,35.9,20.3,9.2,11.3,5.8,995,41359,58978,2062,19,0.9,2043,99.1,2007,97.3,3,0.1,7,0.3,13,0.6,0,0,0,0,13,0.6,18.2,18.9
WOODLAWN SCHOOL DISTRICT,WOODLAWN HIGH SCHOOL,1304015,46,18.4,26.10%,18.8,54.30%,19.2,37.00%,19.5,28.30%,13.00%,Arkansas,33.9677884,-92.0408499,6760 U.S. 63,71665,Cleveland County,Rison,5025,"6760 U.S. 63, Rison, Arkansas, 71665",970100,5025970100,2019,970100,Cleveland County,Arkansas,283,76,82,99,26,3380,43,405,1441,779,243,352,117,26.9,29,35,9.2,1.3,12,42.6,23,7.2,10.4,3.5,1747,45323,58783,4664,0,0,4664,100,4061,87.1,517,11.1,21,0.5,0,0,0,0,0,0,65,1.4,18.4,19.2
CLEVELAND COUNTY SCHOOL DISTRICT,RISON HIGH SCHOOL,1305010,64,19.8,40.60%,17.5,43.80%,19.7,32.80%,19.1,26.60%,18.80%,Arkansas,33.9552496,-92.1876937,700 Main Street,71665,Cleveland County,Rison,5025,"700 Main Street, Rison, Arkansas, 71665",970100,5025970100,2019,970100,Cleveland County,Arkansas,283,76,82,99,26,3380,43,405,1441,779,243,352,117,26.9,29,35,9.2,1.3,12,42.6,23,7.2,10.4,3.5,1747,45323,58783,4664,0,0,4664,100,4061,87.1,517,11.1,21,0.5,0,0,0,0,0,0,65,1.4,19.8,19.7
MAGNOLIA SCHOOL DISTRICT,MAGNOLIA HIGH SCHOOL,1402009,171,18,25.10%,18.1,45.00%,18.5,28.10%,18.9,30.40%,17.50%,Arkansas,33.2793107,-93.222648,1400 High School Drive,71753,Columbia County,Magnolia,5027,"1400 High School Drive, Magnolia, Arkansas, 71753",950401,5027950401,2019,950401,Columbia County,Arkansas,1712,11,69,1601,31,1924,9,137,536,462,95,331,354,0.6,4,93.5,1.8,0.5,7.1,27.9,24,4.9,17.2,18.4,1238,63043,118561,4318,286,6.6,4032,93.4,3155,73.1,663,15.4,35,0.8,159,3.7,0,0,13,0.3,7,0.2,18,18.5
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,EMERSON HIGH SCHOOL,1408002,22,18,22.70%,16.9,36.40%,16.2,18.20%,16.9,13.60%,9.10%,Arkansas,33.0979316,-93.1976136,212 Grayson Street,71740,Columbia County,Emerson,5027,"212 Grayson Street, Emerson, Arkansas, 71740",950100,5027950100,2019,950100,Columbia County,Arkansas,612,99,349,137,27,2819,163,202,1369,463,112,356,154,16.2,57,22.4,4.4,5.8,7.2,48.6,16.4,4,12.6,5.5,1577,44005,66670,4337,117,2.7,4220,97.3,2942,67.8,1193,27.5,0,0,1,0,0,0,0,0,84,1.9,18,16.2
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,BRADLEY HIGH SCHOOL,1408007,23,18.8,30.40%,18.3,56.50%,18.9,30.40%,18.9,13.00%,8.70%,Arkansas,33.0825353,-93.2181477,,N/A,Columbia County,N/A,5027,,950100,5027950100,2019,950100,Columbia County,Arkansas,612,99,349,137,27,2819,163,202,1369,463,112,356,154,16.2,57,22.4,4.4,5.8,7.2,48.6,16.4,4,12.6,5.5,1577,44005,66670,4337,117,2.7,4220,97.3,2942,67.8,1193,27.5,0,0,1,0,0,0,0,0,84,1.9,18.8,18.9
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,TAYLOR HIGH SCHOOL,1408019,20,19.1,25.00%,19.2,50.00%,18.6,25.00%,19.6,25.00%,10.00%,Arkansas,33.0990733,-93.4561398,506 East Pine Street,71861,Columbia County,Taylor,5027,"506 East Pine Street, Taylor, Arkansas, 71861",950302,5027950302,2019,950302,Columbia County,Arkansas,277,0,80,197,0,2219,70,195,1099,420,22,273,140,0,28.9,71.1,0,3.2,8.8,49.5,18.9,1,12.3,6.3,1139,44148,54081,3398,1,0,3397,100,2524,74.3,868,25.5,0,0,0,0,0,0,0,0,5,0.1,19.1,18.6
NEMO VISTA SCHOOL DISTRICT,NEMO VISTA HIGH SCHOOL,1503017,31,19.3,29.00%,17.7,51.60%,19.4,29.00%,19.1,25.80%,19.40%,Arkansas,35.3695343,-92.5621316,5690 Arkansas 9,72027,Conway County,Center Ridge,5029,"5690 Arkansas 9, Center Ridge, Arkansas, 72027",950100,5029950100,2019,950100,Conway County,Arkansas,298,48,83,92,75,3730,235,331,1577,544,471,449,123,16.1,27.9,30.9,25.2,6.3,8.9,42.3,14.6,12.6,12,3.3,2030,55889,67471,5134,116,2.3,5018,97.7,4677,91.1,276,5.4,14,0.3,0,0,0,0,0,0,51,1,19.3,19.4
WONDERVIEW SCHOOL DISTRICT,WONDERVIEW HIGH SCHOOL,1505026,29,16.6,3.40%,16.4,41.40%,17.9,24.10%,16.8,13.80%,3.40%,Arkansas,35.3284532,-92.73001,2436 Arkansas 95,72063,Conway County,Hattieville,5029,"2436 Arkansas 95, Hattieville, Arkansas, 72063",950200,5029950200,2019,950200,Conway County,Arkansas,189,28,67,80,14,2245,129,249,1010,361,210,197,89,14.8,35.4,42.3,7.4,5.7,11.1,45,16.1,9.4,8.8,4,1321,44520,61958,3067,26,0.8,3041,99.2,2633,85.8,124,4,69,2.2,0,0,0,0,0,0,215,7,16.6,17.9
SOUTH CONWAY COUNTY SCHOOL DISTRICT,MORRILTON SR. HIGH SCHOOL,1507036,170,17.5,16.50%,17.4,44.70%,17.7,20.00%,18.2,15.30%,7.10%,Arkansas,35.1400607,-92.7381672,,N/A,Conway County,N/A,5029,,950400,5029950400,2019,950400,Conway County,Arkansas,283,26,89,168,0,1612,72,113,647,345,166,211,58,9.2,31.4,59.4,0,4.5,7,40.1,21.4,10.3,13.1,3.6,949,42031,59095,2573,183,7.1,2390,92.9,2061,80.1,289,11.2,0,0,6,0.2,0,0,0,0,34,1.3,17.5,17.7
BAY SCHOOL DISTRICT,BAY HIGH SCHOOL,1601002,39,17.2,7.70%,18.6,61.50%,19,23.10%,18.9,28.20%,5.10%,Arkansas,35.7470474,-90.566101,700 School Street,72411,Craighead County,Bay,5031,"700 School Street, Bay, Arkansas, 72411",900,5031000900,2019,900,Craighead County,Arkansas,415,68,233,102,12,4422,168,363,2171,740,394,391,195,16.4,56.1,24.6,2.9,3.8,8.2,49.1,16.7,8.9,8.8,4.4,2505,51465,61561,6392,103,1.6,6289,98.4,5958,93.2,44,0.7,4,0.1,9,0.1,0,0,0,0,274,4.3,17.2,19
WESTSIDE CONS. SCH DIST(CRAIGH,WESTSIDE HIGH SCHOOL,1602055,115,17.7,20.90%,18.5,45.20%,18.6,23.50%,18.1,17.40%,13.00%,Arkansas,35.8562494,-90.8026742,1630 Arkansas 91,72404,Craighead County,Jonesboro,5031,"1630 Arkansas 91, Jonesboro, Arkansas, 72404",702,5031000702,2019,702,Craighead County,Arkansas,309,48,41,220,0,2270,47,95,936,403,285,332,172,15.5,13.3,71.2,0,2.1,4.2,41.2,17.8,12.6,14.6,7.6,1365,37908,56153,3623,10,0.3,3613,99.7,2404,66.4,1189,32.8,0,0,0,0,0,0,0,0,20,0.6,17.7,18.6
BROOKLAND SCHOOL DISTRICT,BROOKLAND HIGH SCHOOL,1603007,150,18.5,24.70%,18,43.30%,18.9,32.70%,19.1,27.30%,13.30%,Arkansas,35.8921839,-90.5446912,,N/A,Craighead County,N/A,5031,,1102,5031001102,2019,1102,Craighead County,Arkansas,181,7,46,116,12,2815,215,74,1018,595,252,449,212,3.9,25.4,64.1,6.6,7.6,2.6,36.2,21.1,9,16,7.5,1708,55156,63121,4096,19,0.5,4077,99.5,4070,99.4,0,0,0,0,7,0.2,0,0,0,0,0,0,18.5,18.9
BUFFALO IS. CENTRAL SCH. DIST.,BUFFALO IS. CENTRAL HS,1605063,61,18.6,26.20%,19.3,59.00%,19.8,41.00%,19.7,31.10%,14.80%,Arkansas,35.8711426,-90.3371889,,N/A,Craighead County,N/A,5031,,1000,5031001000,2019,1000,Craighead County,Arkansas,202,30,85,87,0,2979,381,307,1276,560,119,222,114,14.9,42.1,43.1,0,12.8,10.3,42.8,18.8,4,7.5,3.8,1610,43259,59856,3954,180,4.6,3774,95.4,3661,92.6,39,1,0,0,0,0,0,0,0,0,74,1.9,18.6,19.8
JONESBORO SCHOOL DISTRICT,THE ACADEMIES AT JONESBORO HIGH SCHOOL,1608703,402,17.6,17.90%,16.4,31.10%,17.6,21.60%,17.5,14.40%,10.40%,Arkansas,35.8247342,-90.7066673,South Main Street,72401,Craighead County,Jonesboro,5031,"South Main Street, Jonesboro, Arkansas, 72401",300,5031000300,2019,300,Craighead County,Arkansas,554,111,70,255,118,5016,125,272,1246,1241,291,941,900,20,12.6,46,21.3,2.5,5.4,24.8,24.7,5.8,18.8,17.9,2803,58069,87325,7011,110,1.6,6901,98.4,6073,86.6,638,9.1,0,0,46,0.7,0,0,0,0,144,2.1,17.6,17.6
NETTLETON SCHOOL DISTRICT,NETTLETON HIGH SCHOOL,1611042,231,18.1,20.30%,18,48.10%,18.5,25.50%,18.2,19.90%,13.40%,Arkansas,35.8123011,-90.648507,4201 Chieftan Lane,72401,Craighead County,Jonesboro,5031,"4201 Chieftan Lane, Jonesboro, Arkansas, 72401",401,5031000401,2019,401,Craighead County,Arkansas,292,49,110,100,33,4279,217,222,1475,1017,472,586,290,16.8,37.7,34.2,11.3,5.1,5.2,34.5,23.8,11,13.7,6.8,2457,52266,55737,5840,661,11.3,5179,88.7,4048,69.3,1017,17.4,0,0,34,0.6,0,0,0,0,80,1.4,18.1,18.5
VALLEY VIEW SCHOOL DISTRICT,VALLEY VIEW HIGH SCHOOL,1612048,169,19.9,32.50%,21.6,74.60%,21.7,46.20%,21.3,42.00%,23.70%,Arkansas,35.7692185,-90.7391739,2116 Yarbrough Drive,72404,Craighead County,Jonesboro,5031,"2116 Yarbrough Drive, Jonesboro, Arkansas, 72404",806,5031000806,2019,806,Craighead County,Arkansas,351,28,103,160,60,2717,18,77,498,441,306,810,567,8,29.3,45.6,17.1,0.7,2.8,18.3,16.2,11.3,29.8,20.9,1460,89000,165669,4040,48,1.2,3992,98.8,3842,95.1,119,2.9,0,0,0,0,0,0,24,0.6,7,0.2,19.9,21.7
RIVERSIDE SCHOOL DISTRICT,RIVERSIDE HIGH SCHOOL,1613021,50,16.3,6.00%,17.2,44.00%,17,16.00%,16.9,6.00%,2.00%,Arkansas,35.820115,-90.4541316,2007 Arkansas 18,72437,Craighead County,Lake City,5031,"2007 Arkansas 18, Lake City, Arkansas, 72437",900,5031000900,2019,900,Craighead County,Arkansas,415,68,233,102,12,4422,168,363,2171,740,394,391,195,16.4,56.1,24.6,2.9,3.8,8.2,49.1,16.7,8.9,8.8,4.4,2505,51465,61561,6392,103,1.6,6289,98.4,5958,93.2,44,0.7,4,0.1,9,0.1,0,0,0,0,274,4.3,16.3,17
ALMA SCHOOL DISTRICT,ALMA HIGH SCHOOL,1701002,229,18.7,24.90%,19,59.00%,19.5,35.40%,19.3,26.60%,14.00%,Arkansas,35.4758369,-94.2191523,101 East Main Street,72921,Crawford County,Alma,5033,"101 East Main Street, Alma, Arkansas, 72921",20602,5033020602,2019,20602,Crawford County,Arkansas,669,45,238,351,35,3934,92,373,1427,975,505,411,151,6.7,35.6,52.5,5.2,2.3,9.5,36.3,24.8,12.8,10.4,3.8,2505,36530,59628,7015,227,3.2,6788,96.8,6028,85.9,193,2.8,296,4.2,0,0,0,0,0,0,271,3.9,18.7,19.5
CEDARVILLE SCHOOL DISTRICT,CEDARVILLE HIGH SCHOOL,1702009,65,17.8,18.50%,17.2,38.50%,18.6,29.20%,18.2,15.40%,7.70%,Arkansas,35.7057498,-94.356513,,N/A,Crawford County,N/A,5033,,20205,5033020205,2019,20205,Crawford County,Arkansas,185,25,123,18,19,2381,141,359,773,571,278,187,72,13.5,66.5,9.7,10.3,5.9,15.1,32.5,24,11.7,7.9,3,1160,45811,59005,3567,206,5.8,3361,94.2,3048,85.4,0,0,21,0.6,88,2.5,0,0,0,0,204,5.7,17.8,18.6
MOUNTAINBURG SCHOOL DISTRICT,MOUNTAINBURG HIGH SCHOOL,1703013,60,17.7,18.30%,17.7,36.70%,18.6,26.70%,18.9,21.70%,15.00%,Arkansas,35.630561,-94.1717322,129 Highway 71 Southeast,72946,Crawford County,Mountainburg,5033,"129 Highway 71 Southeast, Mountainburg, Arkansas, 72946",20101,5033020101,2019,20101,Crawford County,Arkansas,153,61,86,6,0,1826,110,144,600,426,121,368,57,39.9,56.2,3.9,0,6,7.9,32.9,23.3,6.6,20.2,3.1,1078,48047,62916,2489,77,3.1,2412,96.9,2220,89.2,0,0,41,1.6,0,0,0,0,0,0,151,6.1,17.7,18.6
MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,MULBERRY HIGH SCHOOL,1704017,21,15.6,0.00%,15.5,33.30%,17.3,19.00%,16.8,9.50%,0.00%,Arkansas,35.500534,-94.0549468,203 West 5th Street,72947,Crawford County,Mulberry,5033,"203 West 5th Street, Mulberry, Arkansas, 72947",20402,5033020402,2019,20402,Crawford County,Arkansas,341,36,162,129,14,3279,222,395,1242,689,207,403,121,10.6,47.5,37.8,4.1,6.8,12,37.9,21,6.3,12.3,3.7,1877,45450,61722,4606,277,6,4329,94,3892,84.5,75,1.6,196,4.3,0,0,16,0.3,0,0,150,3.3,15.6,17.3
VAN BUREN SCHOOL DISTRICT,VAN BUREN HIGH SCHOOL,1705027,396,19.4,34.80%,18.7,57.80%,18.7,31.30%,19.4,30.30%,20.50%,Arkansas,35.459183,-94.3371879,Pointer Trail,72956,Crawford County,Van Buren,5033,"Pointer Trail, Van Buren, Arkansas, 72956",20301,5033020301,2019,20301,Crawford County,Arkansas,253,24,101,100,28,3154,109,188,1069,716,364,446,262,9.5,39.9,39.5,11.1,3.5,6,33.9,22.7,11.5,14.1,8.3,1748,53264,60933,4426,444,10,3982,90,3458,78.1,113,2.6,35,0.8,158,3.6,0,0,0,0,218,4.9,19.4,18.7
VAN BUREN SCHOOL DISTRICT,IZARD CENTER FOR LEARNING,1705035,14,14.4,0.00%,11.7,0.00%,12.5,0.00%,15.1,0.00%,0.00%,Arkansas,35.4239622,-94.2948884,,N/A,Crawford County,N/A,5033,,20501,5033020501,2019,20501,Crawford County,Arkansas,713,124,464,71,54,2644,188,701,894,375,240,232,14,17.4,65.1,10,7.6,7.1,26.5,33.8,14.2,9.1,8.8,0.5,1502,42500,54751,4581,1557,34,3024,66,2430,53,78,1.7,0,0,325,7.1,0,0,119,2.6,72,1.6,14.4,12.5
EARLE SCHOOL DISTRICT,EARLE HIGH SCHOOL,1802007,50,15.3,4.00%,13.2,10.00%,15.3,8.00%,15.4,4.00%,0.00%,Arkansas,35.2770661,-90.4487883,16432 U.S. 64,72331,Crittenden County,Earle,5035,"16432 U.S. 64, Earle, Arkansas, 72331",31100,5035031100,2019,31100,Crittenden County,Arkansas,161,14,79,68,0,1561,102,278,712,189,112,141,27,8.7,49.1,42.2,0,6.5,17.8,45.6,12.1,7.2,9,1.7,941,38512,42192,2444,15,0.6,2429,99.4,423,17.3,1731,70.8,0,0,0,0,0,0,0,0,275,11.3,15.3,15.3
WEST MEMPHIS SCHOOL DISTRICT,THE ACADEMIES OF WEST MEMPHIS CHARTER SCHOOL,1803703,276,17,12.70%,16.4,33.30%,17.1,17.80%,16.7,9.40%,5.10%,Arkansas,35.1476676,-90.1991158,500W West Broadway,72301,Crittenden County,West Memphis,5035,"500W West Broadway, West Memphis, Arkansas, 72301",30301,5035030301,2019,30301,Crittenden County,Arkansas,316,50,95,169,2,1750,105,102,628,491,141,152,131,15.8,30.1,53.5,0.6,6,5.8,35.9,28.1,8.1,8.7,7.5,1059,37585,48706,2765,46,1.7,2719,98.3,764,27.6,1858,67.2,0,0,6,0.2,0,0,0,0,91,3.3,17,17.1
MARION SCHOOL DISTRICT,MARION HIGH SCHOOL,1804015,268,18,25.00%,17.9,46.30%,18.5,25.00%,18.3,21.30%,12.70%,Arkansas,35.1951097,-90.1965686,1 Patriot Drive,72364,Crittenden County,Marion,5035,"1 Patriot Drive, Marion, Arkansas, 72364",30804,5035030804,2019,30804,Crittenden County,Arkansas,445,92,119,222,12,2566,84,136,654,856,211,357,268,20.7,26.7,49.9,2.7,3.3,5.3,25.5,33.4,8.2,13.9,10.4,1619,77551,76592,4510,183,4.1,4327,95.9,1706,37.8,2304,51.1,7,0.2,122,2.7,0,0,0,0,188,4.2,18,18.5
CROSS COUNTY SCHOOL DISTRICT,CROSS CNTY HIGH A NEW TECH SCH,1901703,41,17.8,22.00%,17.5,41.50%,17.1,22.00%,18.3,22.00%,9.80%,Arkansas,35.3440467,-90.7913227,,N/A,Cross County,N/A,5037,,950200,5037950200,2019,950200,Cross County,Arkansas,163,82,51,30,0,2329,128,316,933,548,115,202,87,50.3,31.3,18.4,0,5.5,13.6,40.1,23.5,4.9,8.7,3.7,1310,47750,59245,3203,33,1,3170,99,2734,85.4,57,1.8,0,0,0,0,0,0,8,0.2,371,11.6,17.8,17.1
WYNNE SCHOOL DISTRICT,WYNNE HIGH SCHOOL,1905017,178,17.7,15.70%,17.3,38.80%,18.4,24.70%,18.2,14.60%,7.30%,Arkansas,35.2291689,-90.7832421,800 East Jackson Avenue,72396,Cross County,Wynne,5037,"800 East Jackson Avenue, Wynne, Arkansas, 72396",950600,5037950600,2019,950600,Cross County,Arkansas,234,21,106,107,0,2775,288,124,951,536,224,373,279,9,45.3,45.7,0,10.4,4.5,34.3,19.3,8.1,13.4,10.1,1615,61563,72937,3922,47,1.2,3875,98.8,3345,85.3,400,10.2,0,0,0,0,0,0,0,0,130,3.3,17.7,18.4
FORDYCE SCHOOL DISTRICT,FORDYCE HIGH SCHOOL,2002007,39,15.4,2.60%,13.7,15.40%,14.8,7.70%,15.4,0.00%,0.00%,Arkansas,33.8194791,-92.4339971,100 Redbug Blvd,71742,Dallas County,Fordyce,5039,"100 Redbug Blvd, Fordyce, Arkansas, 71742",970300,5039970300,2019,970300,Dallas County,Arkansas,468,101,216,127,24,2410,120,201,975,754,164,174,22,21.6,46.2,27.1,5.1,5,8.3,40.5,31.3,6.8,7.2,0.9,1484,33643,42928,4028,83,2.1,3945,97.9,1526,37.9,2287,56.8,34,0.8,0,0,0,0,0,0,98,2.4,15.4,14.8
DUMAS SCHOOL DISTRICT,DUMAS HIGH SCHOOL,2104021,88,15.9,4.50%,16,28.40%,16.6,17.00%,15.9,5.70%,3.40%,Arkansas,33.8772133,-91.4701812,709 Dan Gill Drive,71639,Desha County,Dumas,5041,"709 Dan Gill Drive, Dumas, Arkansas, 71639",950200,5041950200,2019,950200,Desha County,Arkansas,289,25,140,110,14,2587,92,448,1073,461,42,325,146,8.7,48.4,38.1,4.8,3.6,17.3,41.5,17.8,1.6,12.6,5.6,1640,37161,50126,3985,530,13.3,3455,86.7,1483,37.2,1917,48.1,0,0,46,1.2,0,0,0,0,9,0.2,15.9,16.6
