school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
Clarksville High School,10-12,Clarksville School District,19.33,64.0,607.0,63.0,51.0,36.0,2.0,11.0,49.0,1, 607 ,64%,19.84,19.57,18.16,19.22,19.33, 71 , 67 ,33%,0,3601005,3601000,2019.0
Clinton High School,9-12,Clinton School District,18.94,50.0,417.0,63.0,91.0,6.0,0.0,3.0,9.0,1, 416 ,50%,19.54,17.74,18.8,19.15,18.94, 32 , 33 ,55%,0,7102006,7102000,2019.0
Concord High School,7-12,Concord School District,20.36,51.0,207.0,67.0,97.0,2.0,0.0,1.0,3.0,2, 136 ,51%,19.36,19.86,21.42,20.33,20.36, 32 , 20 ,20%,0,1201002,1201000,2019.0
Conway High School,10-12,Conway School District,20.56,67.0,2181.0,38.0,57.0,11.0,27.0,4.0,43.0,3," 2,181 ",67%,21.16,20.53,19.49,20.45,20.56, 762 ," 1,150 ",60%,0,2301006,2301000,2019.0
Corning High School,9-12,Corning School District,20.02,37.0,260.0,64.0,97.0,2.0,0.0,0.0,3.0,2, 259 ,37%,19.98,21.14,18.65,19.86,20.02, 40 , 22 ,9%,0,1101004,1101000,2019.0
Cossatot River High School,7-12,Cossatot River School District,18.3,47.0,397.0,72.0,61.0,29.0,1.0,9.0,39.0,4, 268 ,47%,18.93,17.19,16.96,19.48,18.3, 30 , 12 ,8%,0,5707023,5707000,2019.0
Cotter High School,7-12,Cotter School District,19.5,43.0,346.0,66.0,93.0,2.0,0.0,5.0,7.0,1, 214 ,43%,20.35,19.29,18.62,19.21,19.5, 27 , 32 ,34%,0,302007,302000,2019.0
County Line High School,7-12,County Line School District,19.03,43.0,211.0,67.0,90.0,1.0,0.0,9.0,10.0,1, 141 ,43%,19.7,17.7,18.7,19.3,19.03, 31 , 32 ,41%,0,2403012,2403000,2019.0
Creative Action Team School,K-12,Hope School District,12.67,12.0,41.0,88.0,17.0,20.0,61.0,2.0,83.0,4, 25 ,12%,11.0,11.67,13.67,13.67,12.67, N<10 , N/A ,,0,2903015,2903000,2019.0
Cross Cnty High A New Tech School,7-12,Cross County School District,18.14,47.0,265.0,72.0,89.0,2.0,8.0,1.0,11.0,2, 160 ,47%,19.49,17.51,17.03,17.91,18.14, 35 , 35 ,17%,0,1901703,1901000,2019.0
Crossett High School,9-12,Crossett School District,17.5,50.0,504.0,54.0,61.0,2.0,35.0,2.0,39.0,5, 504 ,50%,17.63,16.85,16.91,17.94,17.5, 81 , 93 ,19%,0,201006,201000,2019.0
Cutter-Morning Star High School,7-12,Cutter-Morning Star School District,18.88,42.0,323.0,72.0,81.0,7.0,3.0,9.0,19.0,3, 223 ,42%,19.74,17.55,17.81,19.74,18.88, N<10 , N<10 ,RV,0,2601002,2601000,2019.0
Danville High School,9-12,Danville School District,19.98,43.0,256.0,61.0,42.0,54.0,1.0,3.0,58.0,1, 256 ,43%,20.74,19.74,18.5,20.4,19.98, N/A , N/A ,,0,7503006,7503000,2019.0
