school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
Jacksonville High School,9-12,Jacksonville North Pulaski School District,17.33,37.0,1084.0,57.0,32.0,6.0,59.0,2.0,68.0,3," 1,084 ",37%,17.88,16.48,16.9,17.57,17.33, 117 , 93 ,32%,0,6004009,6004000,2019.0
Jacksonville Lighthouse College Prep Academy High,7-12,Jacksonville Lighthouse Charter,16.72,45.0,293.0,66.0,17.0,6.0,73.0,3.0,83.0,3, 179 ,45%,16.91,15.66,16.22,17.59,16.72, 70 , N<10 ,20%,1,6050703,6050700,2019.0
Jasper High School,7-12,Jasper School District,18.06,44.0,226.0,71.0,96.0,0.0,1.0,2.0,4.0,1, 156 ,44%,19.24,17.18,17.41,18.09,18.06, N<10 , N<10 ,11%,0,5102006,5102000,2019.0
Jessieville High School,9-12,Jessieville School District,19.44,39.0,272.0,66.0,89.0,6.0,2.0,3.0,11.0,3, 272 ,39%,19.88,18.83,18.25,20.12,19.44, 52 , 69 ,32%,0,2604030,2604000,2019.0
Joe T. Robinson High School,9-12,Pulaski County Special School District,18.62,46.0,702.0,31.0,53.0,8.0,36.0,4.0,47.0,3, 700 ,46%,19.69,17.82,17.33,18.88,18.62, 174 , 239 ,41%,0,6003127,6003000,2019.0
Junction City High School,7-12,Junction City School District,17.31,50.0,322.0,64.0,59.0,2.0,39.0,0.0,41.0,4, 212 ,50%,17.92,16.85,16.25,17.65,17.31, 28 , N<10 ,22%,0,7003028,7003000,2019.0
Kingston High School,7-12,Jasper School District,17.5,54.0,125.0,66.0,94.0,1.0,0.0,5.0,6.0,1, 82 ,54%,18.06,16.89,17.28,17.33,17.5, N<10 , N<10 ,11%,0,5102008,5102000,2019.0
KIPP Blytheville Collegiate High School,7-12,KIPP Delta Public Schools,17.94,44.0,156.0,86.0,9.0,4.0,81.0,5.0,91.0,5, 105 ,44%,16.53,17.29,17.82,19.41,17.94, 28 , 14 ,50%,1,5440706,5440700,2019.0
KIPP:Delta Collegiate High School,9-12,KIPP Delta Public Schools,18.23,47.0,195.0,88.0,3.0,2.0,95.0,1.0,97.0,5, 195 ,47%,18.14,18.16,16.89,18.8,18.23, 39 , 17 ,6%,1,5440703,5440700,2019.0
Kirby High School,7-12,Kirby School District,19.56,56.0,175.0,70.0,87.0,7.0,0.0,5.0,13.0,4, 110 ,56%,20.48,18.8,17.88,20.32,19.56, N<10 , 10 ,10%,0,5503011,5503000,2019.0
Lafayette County High School,7-12,Lafayette County School District,16.64,55.0,235.0,87.0,35.0,3.0,59.0,3.0,65.0,4, 154 ,55%,17.05,15.36,16.64,17.26,16.64, 22 , 18 ,RV,0,3704013,3704000,2019.0
Lake Hamilton High School,10-12,Lake Hamilton School District,19.78,65.0,974.0,46.0,77.0,13.0,3.0,7.0,23.0,3, 974 ,65%,20.33,19.2,18.83,20.14,19.78, 258 , 288 ,40%,0,2605034,2605000,2019.0
Lakeside High School,9-12,Lakeside School District (Chicot),16.27,43.0,257.0,78.0,13.0,12.0,73.0,1.0,87.0,5, 257 ,43%,15.9,15.9,15.65,17.14,16.27, 38 , 37 ,5%,0,903018,903000,2019.0
Lakeside High School,8-12,Lakeside School District (Garland),21.46,53.0,1348.0,35.0,72.0,12.0,8.0,8.0,28.0,3," 1,054 ",53%,22.38,20.99,20.09,21.6,21.46, 237 , 410 ,54%,0,2606044,2606000,2019.0
Lamar High School,8-12,Lamar School District,19.0,47.0,512.0,67.0,87.0,6.0,2.0,4.0,13.0,1, 403 ,47%,19.94,18.05,17.98,19.54,19.0, 39 , 26 ,62%,0,3604019,3604000,2019.0
Lavaca High School,9-12,Lavaca School District,18.96,55.0,238.0,45.0,83.0,8.0,1.0,9.0,17.0,1, 238 ,55%,19.22,18.51,18.87,18.84,18.96, 27 , 36 ,25%,0,6605057,6605000,2019.0
Lead Hill High School,7-12,Lead Hill School District,19.57,39.0,172.0,90.0,88.0,5.0,1.0,6.0,12.0,1, 126 ,39%,21.38,18.67,18.33,19.19,19.57, N<10 , N<10 ,RV,0,506032,506000,2019.0
Lee High School,7-12,Lee County School District,14.48,41.0,283.0,87.0,7.0,2.0,91.0,0.0,93.0,5, 175 ,41%,14.52,13.45,15.23,14.23,14.48, 14 , 10 ,RV,0,3904011,3904000,2019.0
Lincoln High School,9-12,Lincoln School District,18.38,47.0,353.0,66.0,78.0,9.0,2.0,11.0,22.0,1, 349 ,47%,19.15,17.47,17.4,19.07,18.38, 23 , 18 ,44%,0,7205706,7205000,2019.0
LISA Academy High,9-12,LISA Academy,19.14,42.0,435.0,62.0,17.0,31.0,44.0,8.0,83.0,3, 435 ,42%,19.7,18.57,18.52,19.16,19.14, 145 , 216 ,39%,1,6041703,6041700,2019.0
LISA Academy North High Charter School,9-12,LISA Academy,20.83,42.0,235.0,59.0,29.0,22.0,37.0,12.0,71.0,3, 235 ,42%,20.69,21.21,20.14,20.41,20.83, 79 , 102 ,26%,1,6041706,6041700,2019.0
Lonoke High School,9-12,Lonoke School District,18.26,47.0,525.0,64.0,65.0,7.0,23.0,4.0,35.0,3, 525 ,47%,18.3,17.38,18.09,18.66,18.26, 62 , 78 ,31%,0,4301029,4301000,2019.0
Magazine High School,7-12,Magazine School District,18.97,48.0,243.0,74.0,91.0,4.0,1.0,5.0,9.0,1, 168 ,48%,19.16,18.63,18.34,19.03,18.97, N<10 , 10 ,10%,0,4202008,4202000,2019.0
Magnet Cove High School,7-12,Magnet Cove School District,19.74,46.0,332.0,41.0,95.0,4.0,1.0,0.0,5.0,3, 223 ,46%,20.31,19.02,18.44,20.57,19.74, 40 , 46 ,41%,0,3003014,3003000,2019.0
Magnolia High School,10-12,Magnolia School District,17.94,61.0,587.0,63.0,40.0,4.0,51.0,4.0,60.0,4, 587 ,61%,18.12,17.42,17.2,18.53,17.94, 169 , 225 ,29%,0,1402009,1402000,2019.0
Malvern High School,9-12,Malvern School District,18.96,21.0,533.0,65.0,54.0,11.0,28.0,7.0,46.0,3, 533 ,21%,19.53,18.63,18.04,19.01,18.96, 157 , 131 ,14%,0,3004023,3004000,2019.0
Mammoth Spring High School,7-12,Mammoth Spring School District,19.04,40.0,228.0,72.0,97.0,1.0,0.0,2.0,3.0,2, 125 ,40%,20.16,18.64,17.28,19.56,19.04, N<10 , 10 ,10%,0,2501002,2501000,2019.0
Manila High School,9-12,Manila School District,20.19,44.0,323.0,51.0,91.0,8.0,0.0,1.0,9.0,2, 323 ,44%,20.06,19.37,20.12,20.65,20.19, 56 , 56 ,30%,0,4712044,4712000,2019.0
Mansfield High School,9-12,Mansfield School District,19.77,39.0,243.0,60.0,88.0,3.0,0.0,8.0,12.0,1, 243 ,39%,20.65,18.86,19.65,19.56,19.77, 17 , 40 ,38%,0,6606062,6606000,2019.0
Marion High School,10-12,Marion School District,18.65,64.0,948.0,69.0,39.0,5.0,53.0,3.0,61.0,2, 948 ,64%,19.24,18.41,17.53,18.71,18.65, 277 , 377 ,27%,0,1804015,1804000,2019.0
Marked Tree High School,7-12,Marked Tree School District,16.78,42.0,229.0,81.0,64.0,1.0,34.0,0.0,36.0,2, 149 ,42%,16.96,15.85,16.63,17.11,16.78, 31 , 31 ,19%,0,5604017,5604000,2019.0
Marmaduke High School,7-12,Marmaduke School District,19.06,35.0,339.0,56.0,97.0,2.0,0.0,1.0,3.0,2, 232 ,35%,19.51,18.38,17.26,20.38,19.06, 16 , N<10 ,44%,0,2803017,2803000,2019.0
Marshall High School,7-12,Searcy County School District,19.38,49.0,354.0,69.0,95.0,2.0,0.0,3.0,5.0,1, 228 ,49%,19.96,18.69,17.92,20.42,19.38, 16 , 12 ,17%,0,6502006,6502000,2019.0
Marvell-Elaine High School,7-12,Marvell-Elaine School District,16.17,46.0,167.0,96.0,7.0,2.0,90.0,1.0,93.0,5, 114 ,46%,17.25,14.88,14.92,16.92,16.17, 23 , 10 ,RV,0,5404032,5404000,2019.0
Maumelle Charter High School,6-12,Academics Plus Public Charter Schools,22.32,47.0,545.0,18.0,72.0,6.0,14.0,8.0,28.0,3, 259 ,47%,22.95,23.29,20.78,21.68,22.32, 118 , 176 ,24%,1,6040703,6040700,2019.0
Maumelle High School,9-12,Pulaski County Special School District,19.09,49.0,991.0,36.0,44.0,6.0,45.0,5.0,56.0,3, 991 ,49%,20.03,18.49,18.19,19.12,19.09, 209 , 256 ,44%,0,6003151,6003000,2019.0
Mayflower High School,9-12,Mayflower School District,17.44,52.0,355.0,54.0,79.0,5.0,13.0,4.0,21.0,3, 355 ,52%,17.78,16.67,16.87,17.77,17.44, 26 , 34 ,41%,0,2305026,2305000,2019.0
Maynard High School,7-12,Maynard School District,16.73,42.0,222.0,69.0,95.0,2.0,0.0,3.0,5.0,2, 154 ,42%,16.59,15.5,16.64,17.82,16.73, 39 , 11 ,9%,0,6102006,6102000,2019.0
McClellan Magnet High School,9-12,Little Rock School District,15.24,30.0,709.0,86.0,3.0,15.0,82.0,1.0,97.0,3, 709 ,30%,14.99,13.98,15.59,15.75,15.24, 100 , 118 ,6%,0,6001064,6001000,2019.0
McCrory High School,7-12,McCrory School District,20.86,56.0,287.0,58.0,82.0,1.0,15.0,1.0,18.0,2, 195 ,56%,20.95,20.25,20.36,21.25,20.86, 32 , 47 ,15%,0,7403013,7403000,2019.0
McGehee High School,7-12,McGehee School District,18.02,45.0,533.0,69.0,48.0,5.0,44.0,3.0,52.0,5, 330 ,45%,18.53,17.63,17.45,17.88,18.02, 78 , 54 ,19%,0,2105028,2105000,2019.0
Melbourne High School,7-12,Melbourne School District,19.53,42.0,400.0,54.0,96.0,2.0,1.0,1.0,4.0,2, 268 ,42%,19.74,19.81,18.49,19.7,19.53, 39 , 14 ,29%,0,3302006,3302000,2019.0
Mena High School,9-12,Mena School District,20.32,43.0,521.0,57.0,86.0,6.0,1.0,8.0,14.0,4, 521 ,43%,21.16,19.88,19.72,20.22,20.32, 98 , 83 ,25%,0,5703012,5703000,2019.0
Midland High School,7-12,Midland School District,17.92,42.0,245.0,66.0,94.0,4.0,1.0,1.0,6.0,2, 163 ,42%,18.97,17.36,16.33,17.92,17.92, 15 , 22 ,27%,0,3211035,3211000,2019.0
Mills University Studies High School,9-12,Pulaski County Special School District,15.79,43.0,623.0,58.0,18.0,17.0,62.0,3.0,82.0,3, 623 ,43%,15.96,14.5,15.77,16.34,15.79, 78 , 125 ,22%,0,6003125,6003000,2019.0
Miner Academy,6-12,Bauxite School District,16.6,57.0,16.0,50.0,88.0,13.0,0.0,0.0,13.0,3, 14 ,57%,17.6,15.6,15.6,17.0,16.6, N/A , N/A ,,0,6301703,6301000,2019.0
Mineral Springs High School,7-12,Mineral Springs School District,16.72,51.0,173.0,87.0,14.0,13.0,71.0,2.0,86.0,4, 111 ,51%,17.0,15.44,16.2,17.6,16.72, 22 , N<10 ,RV,0,3104006,3104000,2019.0
Monticello High School,9-12,Monticello School District,19.71,46.0,508.0,48.0,57.0,5.0,36.0,2.0,43.0,5, 508 ,46%,20.39,18.85,19.21,19.8,19.71, 70 , 63 ,30%,0,2203012,2203000,2019.0
Morrilton Sr. High School,9-12,South Conway County School District,18.98,46.0,680.0,68.0,73.0,7.0,16.0,5.0,27.0,1, 680 ,46%,19.57,18.87,17.81,18.98,18.98, 78 , 71 ,39%,0,1507036,1507000,2019.0
Mount Ida High School,7-12,Mount Ida School District,18.84,49.0,210.0,66.0,91.0,3.0,0.0,6.0,9.0,4, 143 ,49%,19.0,16.97,18.65,19.84,18.84, N<10 , N<10 ,78%,0,4902007,4902000,2019.0
Mountain Home Career Academies,9-12,Mountain Home School District,20.68,43.0,1300.0,39.0,90.0,5.0,1.0,5.0,10.0,1," 1,296 ",43%,21.6,20.46,18.92,21.13,20.68, 273 , 184 ,26%,0,303703,303000,2019.0
Mountain Pine High School,7-12,Mountain Pine School District,17.97,37.0,266.0,79.0,80.0,4.0,9.0,8.0,20.0,3, 185 ,37%,18.15,17.35,16.97,18.79,17.97, N<10 , N/A ,,0,2607047,2607000,2019.0
Mountain View High School,9-12,Mountain View School District,19.79,44.0,357.0,63.0,94.0,3.0,1.0,2.0,6.0,2, 357 ,44%,20.97,20.44,17.79,19.57,19.79, 82 , 66 ,36%,0,6901007,6901000,2019.0
Mountainburg High School,9-12,Mountainburg School District,18.13,47.0,201.0,68.0,93.0,3.0,0.0,4.0,7.0,1, 201 ,47%,18.79,17.68,17.21,18.26,18.13, 16 , 11 ,45%,0,1703013,1703000,2019.0
Mt. Judea K-12 School,K-12,Deer/Mt. Judea School District,19.46,44.0,174.0,86.0,97.0,1.0,1.0,1.0,3.0,1, 63 ,44%,19.15,20.77,17.46,19.54,19.46, N<10 , 10 ,RV,0,5106004,5106000,2019.0
Mt. Vernon/Enola High School,7-12,Mt. Vernon/Enola School District,19.48,46.0,248.0,58.0,96.0,0.0,2.0,2.0,4.0,3, 161 ,46%,20.21,18.45,19.06,19.76,19.48, 30 , 25 ,4%,0,2306030,2306000,2019.0
Mulberry High School,9-12,Mulberry/Pleasant View Bi-County Schools,18.14,34.0,126.0,56.0,96.0,1.0,1.0,2.0,4.0,1, 126 ,34%,18.91,17.73,17.27,18.36,18.14, 34 , 23 ,26%,0,1704017,1704000,2019.0
Murfreesboro High School,7-12,South Pike County School District,17.63,49.0,308.0,65.0,84.0,5.0,8.0,4.0,16.0,4, 197 ,49%,17.44,17.19,16.51,18.79,17.63, N/A , N/A ,,0,5504015,5504000,2019.0
Nashville High School,10-12,Nashville School District,18.62,71.0,414.0,70.0,51.0,24.0,21.0,4.0,49.0,4, 414 ,71%,18.55,18.53,18.15,18.48,18.62, 99 , 10 ,10%,0,3105011,3105000,2019.0
Nemo Vista High School,9-12,Nemo Vista School District,18.32,56.0,129.0,57.0,88.0,3.0,1.0,9.0,12.0,1, 129 ,56%,18.53,17.12,18.0,19.06,18.32, 19 , 23 ,35%,0,1503017,1503000,2019.0
Nettleton High School,9-12,Nettleton School District,18.96,36.0,985.0,64.0,41.0,9.0,46.0,4.0,59.0,2, 985 ,36%,19.46,18.33,18.16,19.23,18.96, 138 , 158 ,27%,0,1611042,1611000,2019.0
Nevada High  School,7-12,Nevada School District,17.18,54.0,182.0,75.0,53.0,2.0,40.0,5.0,47.0,4, 129 ,54%,17.54,16.68,16.43,17.21,17.18, 31 , 21 ,14%,0,5008014,5008000,2019.0
Newport High School,7-12,Newport School District,17.14,42.0,519.0,76.0,54.0,7.0,36.0,4.0,46.0,2, 332 ,42%,17.51,16.26,17.33,17.1,17.14, 72 , 49 ,35%,0,3403013,3403000,2019.0
Norfork High School,7-12,Norfork School District,19.57,43.0,214.0,73.0,98.0,1.0,0.0,1.0,2.0,1, 143 ,43%,20.33,18.48,18.67,20.14,19.57, N<10 , N<10 ,56%,0,304022,304000,2019.0
North Little Rock Center Of Excellence,9-12,North Little Rock School District,17.58,45.0,386.0,74.0,20.0,13.0,63.0,3.0,80.0,3, 386 ,45%,18.28,16.33,16.69,18.3,17.58, 132 , 157 ,20%,0,6002703,6002000,2019.0
North Little Rock High School,9-12,North Little Rock School District,18.36,42.0,2146.0,70.0,29.0,9.0,59.0,3.0,71.0,3," 2,141 ",42%,18.91,18.1,17.75,18.1,18.36, 445 , 483 ,41%,0,6002082,6002000,2019.0
Northside High School,10-12,Fort Smith School District,18.38,56.0,1820.0,75.0,28.0,47.0,12.0,13.0,72.0,1," 1,820 ",56%,18.77,17.3,17.95,18.95,18.38, 479 , 733 ,42%,0,6601024,6601000,2019.0
Northwest Arkansas Classical Academy High,7-12,Responsive Ed Solutions Northwest Arkansas Classical Academy,25.94,37.0,227.0,7.0,69.0,15.0,2.0,15.0,31.0,1, 108 ,37%,28.12,25.76,24.24,25.53,25.94, 19 , 45 ,60%,1,442703,442700,2019.0
Oark High School,7-12,Jasper School District,18.71,48.0,84.0,87.0,95.0,4.0,1.0,0.0,5.0,1, 58 ,48%,20.57,17.79,17.5,18.79,18.71, N/A , N/A ,,0,5102024,5102000,2019.0
Oden Schools,P-12,Ouachita River School District,18.71,67.0,149.0,79.0,91.0,3.0,0.0,7.0,9.0,4, 42 ,67%,19.82,17.06,17.82,19.47,18.71, N<10 , N<10 ,RV,0,5706009,5706000,2019.0
Omaha High School,7-12,Omaha School District,19.39,38.0,179.0,72.0,90.0,6.0,1.0,4.0,10.0,1, 108 ,38%,20.52,17.83,19.17,19.96,19.39, N/A , N/A ,,0,504023,504000,2019.0
Osceola High School,9-12,Osceola School District,15.31,46.0,331.0,88.0,10.0,3.0,84.0,3.0,90.0,2, 331 ,46%,15.03,13.6,15.38,16.58,15.31, 35 , 68 ,4%,0,4713051,4713000,2019.0
Ouachita High School,7-12,Ouachita School District,19.54,48.0,256.0,52.0,96.0,2.0,0.0,2.0,4.0,3, 165 ,48%,19.84,19.51,17.76,20.57,19.54, 25 , 25 ,12%,0,3005030,3005000,2019.0
Ozark Jr/Sr High School,8-12,Ozark School District,19.47,46.0,678.0,58.0,94.0,3.0,0.0,3.0,6.0,1, 536 ,46%,20.63,19.52,18.06,19.04,19.47, 37 , 39 ,51%,0,2404017,2404000,2019.0
Palestine-Wheatley Senior High,7-12,Palestine-Wheatley School District,19.24,42.0,371.0,86.0,87.0,2.0,11.0,0.0,13.0,2, 240 ,42%,19.41,19.61,18.22,18.98,19.24, N/A , N/A ,,0,6205028,6205000,2019.0
Pangburn High School,7-12,Pangburn School District,18.45,53.0,432.0,56.0,95.0,3.0,1.0,0.0,5.0,2, 278 ,53%,19.06,17.2,17.53,19.5,18.45, N<10 , N<10 ,67%,0,7309039,7309000,2019.0
Paragould High School,9-12,Paragould School District,19.02,42.0,901.0,59.0,85.0,6.0,4.0,5.0,15.0,2, 901 ,42%,19.67,19.03,17.75,18.85,19.02, 186 , 243 ,52%,0,2808043,2808000,2019.0
Paris High School,9-12,Paris School District,17.84,49.0,312.0,71.0,87.0,3.0,4.0,6.0,13.0,1, 311 ,49%,18.35,17.18,17.23,18.08,17.84, 33 , 28 ,32%,0,4203012,4203000,2019.0
Parkers Chapel High School,7-12,Parkers Chapel School District,20.21,59.0,333.0,32.0,85.0,2.0,11.0,2.0,15.0,4, 213 ,59%,20.54,20.11,19.63,20.02,20.21, 56 , 38 ,21%,0,7007040,7007000,2019.0
Parkview Magnet High School,9-12,Little Rock School District,18.9,51.0,1076.0,61.0,14.0,16.0,66.0,4.0,86.0,3," 1,076 ",51%,19.29,18.45,18.09,19.27,18.9, 354 , 445 ,32%,0,6001005,6001000,2019.0
Pea Ridge High School,9-12,Pea Ridge School District,19.08,46.0,701.0,32.0,89.0,8.0,0.0,3.0,11.0,1, 701 ,46%,19.92,18.33,18.49,18.96,19.08, 156 , 209 ,22%,0,407027,407000,2019.0
Perryville High School,7-12,Perryville School District,19.01,48.0,441.0,61.0,94.0,2.0,1.0,3.0,6.0,1, 291 ,48%,19.74,18.73,18.42,18.61,19.01, 41 , 26 ,27%,0,5303011,5303000,2019.0
Piggott High School,7-12,Piggott School District,17.13,53.0,380.0,54.0,94.0,3.0,2.0,2.0,6.0,2, 260 ,53%,18.3,16.28,16.17,17.47,17.13, 11 , 11 ,82%,0,1104018,1104000,2019.0
Pine Bluff High School,9-12,Pine Bluff School District,15.52,42.0,903.0,78.0,2.0,1.0,97.0,0.0,98.0,3, 903 ,42%,15.53,13.79,15.81,16.21,15.52, 122 , 143 ,7%,0,3505042,3505000,2019.0
Pocahontas High School,10-12,Pocahontas School District,21.59,69.0,434.0,50.0,87.0,3.0,1.0,9.0,13.0,2, 434 ,69%,21.42,21.19,21.26,21.75,21.59, 152 , 225 ,32%,0,6103010,6103000,2019.0
Polk County Virtual Academy,K-12,Mena School District,22.0,10.0,23.0,48.0,91.0,9.0,0.0,0.0,9.0,4, 10 ,10%,21.0,17.0,23.0,26.0,22.0, N/A , N/A ,,1,5703703,5703000,2019.0
Pottsville High School,10-12,Pottsville School District,21.45,69.0,365.0,36.0,90.0,7.0,2.0,1.0,10.0,1, 365 ,69%,22.68,22.41,19.2,20.85,21.45, 84 , 103 ,56%,0,5804014,5804000,2019.0
Poyen High School,7-12,Poyen School District,19.51,57.0,300.0,50.0,94.0,4.0,1.0,1.0,6.0,3, 196 ,57%,19.82,18.51,18.84,20.08,19.51, 18 , 19 ,16%,0,2703010,2703000,2019.0
Prairie Grove High School,9-12,Prairie Grove School District,20.35,44.0,620.0,35.0,87.0,5.0,2.0,6.0,13.0,1, 620 ,44%,20.82,20.07,19.62,20.25,20.35, 219 , 310 ,46%,0,7206703,7206000,2019.0
Premier High School of Little Rock,9-12,Responsive Ed Solutions Premier High School of Little Rock,13.85,22.0,95.0,82.0,5.0,2.0,92.0,1.0,95.0,3, 95 ,22%,14.77,12.46,14.0,13.69,13.85, N/A , N/A ,,1,6053703,6053700,2019.0
Premier High School of North Little Rock,9-12,Responsive Ed Solutions Premier High School of North Little Rock,15.57,10.0,70.0,86.0,14.0,4.0,80.0,1.0,86.0,3, 70 ,10%,14.86,14.71,15.86,16.14,15.57, N/A , N/A ,,1,6062703,6062700,2019.0
Prescott High School,9-12,Prescott School District,17.68,47.0,294.0,67.0,52.0,5.0,41.0,2.0,48.0,4, 294 ,47%,18.32,17.0,16.97,17.89,17.68, 50 , 43 ,14%,0,5006024,5006000,2019.0
Quitman High School,9-12,Quitman School District,20.62,52.0,229.0,51.0,96.0,2.0,0.0,1.0,4.0,2, 229 ,52%,21.14,20.32,19.09,21.0,20.62, 23 , 19 ,16%,0,1203011,1203000,2019.0
Rector High School,7-12,Rector School District,19.38,54.0,263.0,67.0,96.0,3.0,0.0,0.0,4.0,2, 166 ,54%,19.82,18.38,19.03,19.41,19.38, 54 , 54 ,11%,0,1106023,1106000,2019.0
Rison High School,9-12,Cleveland County School District,19.21,50.0,245.0,57.0,67.0,2.0,28.0,3.0,33.0,5, 245 ,50%,20.0,17.82,18.44,20.15,19.21, 48 , 58 ,14%,0,1305010,1305000,2019.0
River Valley Virtual Academy,K-12,Van Buren School District,18.43,50.0,50.0,66.0,78.0,8.0,6.0,8.0,22.0,1, 24 ,50%,20.0,18.0,17.57,18.29,18.43, N/A , N/A ,,0,1705703,1705000,2019.0
Rivercrest High School,7-12,Rivercrest School District,18.91,45.0,548.0,71.0,66.0,5.0,28.0,1.0,34.0,2, 352 ,45%,18.54,18.22,18.76,19.43,18.91, 42 , 32 ,19%,0,4706066,4706000,2019.0
Riverside High School,7-12,Riverside School District,19.56,46.0,357.0,55.0,90.0,7.0,1.0,2.0,10.0,2, 242 ,46%,20.67,19.56,17.94,19.22,19.56, N<10 , N<10 ,11%,0,1613021,1613000,2019.0
Riverview High School,9-12,Riverview School District,16.94,41.0,375.0,69.0,64.0,21.0,11.0,4.0,36.0,2, 375 ,41%,17.54,16.08,16.15,17.42,16.94, 22 , 26 ,31%,0,7307032,7307000,2019.0
Rogers Heritage High School,9-12,Rogers School District,19.04,46.0,2043.0,51.0,42.0,50.0,1.0,7.0,58.0,1," 2,039 ",46%,19.77,18.21,18.45,19.11,19.04, 660 , 780 ,41%,0,405052,405000,2019.0
Rogers High School,9-12,Rogers School District,19.43,48.0,2089.0,43.0,43.0,50.0,2.0,6.0,57.0,1," 2,083 ",48%,19.84,18.97,18.95,19.35,19.43, 681 , 895 ,49%,0,405048,405000,2019.0
Rogers New Technology High School,9-12,Rogers School District,20.2,50.0,645.0,55.0,47.0,47.0,1.0,5.0,53.0,1, 645 ,50%,21.28,20.1,18.6,20.31,20.2, 308 , 385 ,34%,0,405703,405000,2019.0
Rose Bud High School,7-12,Rose Bud School District,19.75,43.0,382.0,52.0,93.0,5.0,0.0,2.0,7.0,2, 253 ,43%,21.42,19.17,18.15,19.92,19.75, 75 , 38 ,21%,0,7310043,7310000,2019.0
Rural Special High School,7-12,Mountain View School District,22.7,40.0,90.0,67.0,97.0,2.0,0.0,1.0,3.0,2, 65 ,40%,23.7,23.2,20.4,22.7,22.7, N/A , N/A ,,0,6901012,6901000,2019.0
Russellville High School,10-12,Russellville School District,20.05,59.0,1188.0,48.0,62.0,25.0,8.0,5.0,38.0,1," 1,188 ",59%,20.69,19.59,19.01,20.33,20.05, 408 , 622 ,55%,0,5805024,5805000,2019.0
Salem High School,7-12,Salem School District,20.04,49.0,399.0,59.0,91.0,3.0,1.0,5.0,9.0,2, 259 ,49%,20.1,20.69,18.82,19.92,20.04, 24 , 23 ,30%,0,2502006,2502000,2019.0
School For The Deaf,K-12,Arkansas School For The Deaf,11.83,22.0,103.0,79.0,55.0,11.0,27.0,7.0,45.0,3, 36 ,22%,10.33,10.5,13.67,12.5,11.83, N/A , N/A ,,0,6092004,6092000,2019.0
Scranton High School,7-12,Scranton School District,19.2,49.0,195.0,58.0,89.0,4.0,1.0,6.0,11.0,1, 137 ,49%,19.4,18.0,18.54,20.11,19.2, 22 , 39 ,23%,0,4204019,4204000,2019.0
Searcy High School,9-12,Searcy School District,21.02,49.0,1072.0,42.0,72.0,10.0,11.0,7.0,28.0,2," 1,072 ",49%,21.69,21.2,19.57,21.08,21.02, 257 , 185 ,43%,0,7311052,7311000,2019.0
Sheridan High School,9-12,Sheridan School District,20.55,46.0,1225.0,40.0,90.0,4.0,2.0,4.0,10.0,3," 1,225 ",46%,21.29,20.14,19.4,20.77,20.55, 297 , 467 ,40%,0,2705021,2705000,2019.0
Shirley High School,7-12,Shirley School District,19.23,41.0,164.0,80.0,96.0,1.0,2.0,1.0,4.0,1, 111 ,41%,19.82,18.5,18.41,19.55,19.23, N<10 , N<10 ,89%,0,7104015,7104000,2019.0
Siloam Springs High School Conversion Charter,9-12,Siloam Springs School District,19.92,43.0,1336.0,43.0,55.0,30.0,1.0,13.0,45.0,1," 1,335 ",43%,20.53,18.82,19.88,19.85,19.92, 350 , 434 ,47%,0,406703,406000,2019.0
Sloan-Hendrix High School,7-12,Sloan-Hendrix School District,18.8,42.0,333.0,67.0,98.0,1.0,1.0,1.0,2.0,2, 220 ,42%,20.44,18.42,17.02,18.76,18.8, 40 , N<10 ,22%,0,3806019,3806000,2019.0
Smackover High School,9-12,Smackover-Norphlet School District,18.85,49.0,326.0,53.0,71.0,4.0,23.0,3.0,29.0,4, 326 ,49%,19.51,18.48,17.98,18.68,18.85, 61 , 54 ,20%,0,7008045,7008000,2019.0
South Side High School,7-12,South Side School District (Van Buren),19.07,47.0,241.0,57.0,93.0,1.0,0.0,5.0,7.0,1, 167 ,47%,19.43,18.31,18.45,19.52,19.07, 23 , 16 ,13%,0,7105019,7105000,2019.0
Southeast Arkansas Preparatory High School,9-12,Southeast Arkansas Preparatory High School,14.0,33.0,107.0,93.0,1.0,0.0,99.0,0.0,99.0,3, 107 ,33%,13.25,11.38,15.88,15.63,14.0, N/A , N/A ,,1,3543703,3543700,2019.0
Southside Charter High School,10-12,Southside School District (Independence),19.19,66.0,433.0,50.0,91.0,6.0,1.0,2.0,9.0,2, 433 ,66%,19.67,19.25,18.02,19.05,19.19, 50 , 15 ,53%,0,3209703,3209000,2019.0
Southside High School,10-12,Fort Smith School District,22.08,66.0,1342.0,42.0,61.0,12.0,6.0,21.0,39.0,1," 1,337 ",66%,22.82,22.42,20.58,21.94,22.08, 419 , 795 ,67%,0,6601025,6601000,2019.0
Sparkman High School,7-12,Harmony Grove School District (Ouachita),16.6,51.0,59.0,75.0,46.0,20.0,34.0,0.0,54.0,4, 43 ,51%,17.8,14.5,16.1,17.2,16.6, N<10 , 10 ,RV,0,5205012,5205000,2019.0
