District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
LONOKE SCHOOL DISTRICT,LONOKE HIGH SCHOOL,4301029,129,17.7,14.0%,17.2,39.5%,18.0,26.4%,18.1,15.5%,6.2%
ENGLAND SCHOOL DISTRICT,ENGLAND HIGH SCHOOL,4302018,56,16.4,5.4%,16.6,33.9%,18.1,23.2%,17.4,10.7%,5.4%
CARLISLE SCHOOL DISTRICT,CARLISLE HIGH SCHOOL,4303013,38,16.7,10.5%,16.4,31.6%,17.1,26.3%,17.3,10.5%,5.3%
CABOT SCHOOL DISTRICT,CABOT HIGH SCHOOL,4304005,683,20.0,36.5%,19.6,54.5%,20.3,38.7%,20.4,32.2%,22.0%
CABOT SCHOOL DISTRICT,ACADEMIC CENTER FOR EXCELLENCE,4304703,69,16.9,8.7%,15.5,27.5%,16.9,14.5%,16.8,8.7%,2.9%
HUNTSVILLE SCHOOL DISTRICT,HUNTSVILLE HIGH SCHOOL,4401003,129,19.0,31.8%,18.6,50.4%,19.1,29.5%,19.1,25.6%,14.0%
HUNTSVILLE SCHOOL DISTRICT,ST. PAUL HIGH SCHOOL,4401012,12,19.1,25.0%,19.1,50.0%,21.0,50.0%,21.6,50.0%,25.0%
FLIPPIN SCHOOL DISTRICT,FLIPPIN HIGH SCHOOL,4501002,34,17.4,11.8%,16.6,35.3%,18.3,20.6%,18.4,8.8%,2.9%
YELLVILLE-SUMMIT SCHOOL DISTRICT.,YELLVILLE-SUMMIT HIGH SCHOOL,4502006,65,18.0,29.2%,19.2,56.9%,18.4,27.7%,19.3,26.2%,12.3%
GENOA CENTRAL SCHOOL DISTRICT,GENOA CENTRAL HIGH SCHOOL,4602006,92,19.0,25.0%,18.2,51.1%,19.1,28.3%,19.2,21.7%,9.8%
FOUKE SCHOOL DISTRICT,FOUKE HIGH SCHOOL,4603010,73,17.4,17.8%,17.1,39.7%,18.2,24.7%,17.6,13.7%,11.0%
TEXARKANA SCHOOL DISTRICT,ARKANSAS HIGH SCHOOL,4605026,251,16.9,13.5%,16.8,35.9%,17.8,22.3%,16.9,14.7%,9.2%
ARMOREL SCHOOL DISTRICT,ARMOREL HIGH SCHOOL,4701002,36,18.1,19.4%,17.9,58.3%,18.1,30.6%,18.4,16.7%,0.0%
