,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
149,030262040260002,School,Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,UNIT,SMALL,HIGH SCHOOL,454.1,454.4,48.4,29.0,22.6,0.0
152,030680020260001,School,Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,471.2,471.2,42.4,33.3,24.2,0.0
157,030680030260001,School,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,462.1,448.2,57.0,30.0,13.0,0.0
162,030680120260001,School,Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,493.3,473.4,44.6,32.5,16.9,6.0
169,030680220260001,School,Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,471.3,452.8,46.2,41.0,12.8,0.0
172,040041000260001,School,Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,458.6,439.0,58.3,29.9,10.7,1.1
173,040041000260002,School,Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,500.2,472.4,45.5,29.1,21.6,3.8
183,040042000260003,School,North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,UNIT,MEDIUM,HIGH SCHOOL,465.3,455.6,45.6,38.9,15.6,0.0
190,041011220220002,School,Harlem High School,Harlem UD 122,Machesney Park,Winnebago,UNIT,LARGE,HIGH SCHOOL,474.3,457.8,50.1,30.5,16.5,2.9
216,041012050250001,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,495.6,470.5,54.8,18.0,18.0,9.2
217,041012050250002,School,Rockford East High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,444.5,421.8,69.0,23.5,7.1,0.3
218,041012050250003,School,Guilford High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,482.1,451.1,51.9,31.4,15.6,1.2
219,041012050250004,School,Jefferson High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,437.5,417.7,70.0,26.5,3.2,0.3
256,041012050253075,School,Roosevelt Center,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,,,,,,
