Unnamed: 0,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
44,1.07E+13,School,Waverly Junior/Senior High Sch,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,483.1,483.4,37.5,40.6,15.6,6.3,Illinois,40.6331249,-89.3985283,,N/A,Tazewell County,N/A,17179,,21701,17179021701,2020,21701,Tazewell County,Illinois,362,51,85,148,78,3930,28,89,1073,925,443,980,392,14.1,23.5,40.9,21.5,0.7,2.3,27.3,23.5,11.3,24.9,10,2346,80878,94334,5910,108,1.8,5802,98.2,5716,96.7,2,0,17,0.3,0,0,0,0,0,0,67,1.1,483.4,483.1
47,1.07E+13,School,Meredosia-Chambersburg High Sc,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,,,,,,,Illinois,39.8314704,-90.5543899,830 Main Street,62665,Morgan County,Meredosia,17137,"830 Main Street, Meredosia, Illinois, 62665",951400,17137951400,2020,951400,Morgan County,Illinois,179,36,87,56,0,1822,46,135,852,363,157,211,58,20.1,48.6,31.3,0,2.5,7.4,46.8,19.9,8.6,11.6,3.2,1063,50461,59629,2527,46,1.8,2481,98.2,2481,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1.07E+13,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,496.5,483.5,30.4,34.8,34.8,0,Illinois,39.8406508,-90.372008,2204 Concord Arenzville Road,62631,Morgan County,Concord,17137,"2204 Concord Arenzville Road, Concord, Illinois, 62631",951400,17137951400,2020,951400,Morgan County,Illinois,179,36,87,56,0,1822,46,135,852,363,157,211,58,20.1,48.6,31.3,0,2.5,7.4,46.8,19.9,8.6,11.6,3.2,1063,50461,59629,2527,46,1.8,2481,98.2,2481,98.2,0,0,0,0,0,0,0,0,0,0,0,0,483.5,496.5
54,1.07E+13,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,474.6,461.2,48.9,28.4,22.1,0.5,Illinois,39.750431,-90.24005,1211 North Diamond Street,62650,Morgan County,Jacksonville,17137,"1211 North Diamond Street, Jacksonville, Illinois, 62650",951700,17137951700,2020,951700,Morgan County,Illinois,156,20,103,33,0,1753,107,86,896,442,155,42,25,12.8,66,21.2,0,6.1,4.9,51.1,25.2,8.8,2.4,1.4,953,36771,50638,2299,67,2.9,2232,97.1,2043,88.9,165,7.2,22,1,0,0,0,0,0,0,2,0.1,461.2,474.6
64,1.08E+13,School,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,HIGH SCHOOL,410,392.5,87.5,12.5,0,0,Illinois,39.4410208,-90.8683035,501 East Quincy Street,62366,Pike County,Pleasant Hill,17149,"501 East Quincy Street, Pleasant Hill, Illinois, 62366",952600,17149952600,2020,952600,Pike County,Illinois,237,36,122,71,8,1957,20,153,834,443,143,257,107,15.2,51.5,30,3.4,1,7.8,42.6,22.6,7.3,13.1,5.5,1105,53750,67502,3094,10,0.3,3084,99.7,3029,97.9,6,0.2,3,0.1,14,0.5,0,0,0,0,32,1,392.5,410
67,1.08E+13,School,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,HIGH SCHOOL,437,422.5,70,25,5,0,Illinois,39.7728701,-90.7913227,,N/A,Pike County,N/A,17149,,952400,17149952400,2020,952400,Pike County,Illinois,329,91,171,64,3,2392,78,232,944,576,219,221,122,27.7,52,19.5,0.9,3.3,9.7,39.5,24.1,9.2,9.2,5.1,1402,47713,63299,3302,91,2.8,3211,97.2,3005,91,8,0.2,0,0,4,0.1,107,3.2,7,0.2,80,2.4,422.5,437
71,1.08E+13,School,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,HIGH SCHOOL,479.1,455.1,48.7,38.2,13.2,0,Illinois,39.6000518,-90.8053207,201 East Higbee Street,62363,Pike County,Pittsfield,17149,"201 East Higbee Street, Pittsfield, Illinois, 62363",952700,17149952700,2020,952700,Pike County,Illinois,314,41,159,82,32,3181,105,262,1134,891,260,373,156,13.1,50.6,26.1,10.2,3.3,8.2,35.6,28,8.2,11.7,4.9,1875,39508,59210,4337,59,1.4,4278,98.6,4124,95.1,108,2.5,0,0,24,0.6,0,0,0,0,22,0.5,455.1,479.1
75,1.08E+13,School,Western High School,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,HIGH SCHOOL,434.5,457,50,25,25,0,Illinois,39.6971968,-91.044325,401 McDonough Street,62312,Pike County,Barry,17149,"401 McDonough Street, Barry, Illinois, 62312",952500,17149952500,2020,952500,Pike County,Illinois,172,22,85,44,21,1875,36,50,894,474,171,171,79,12.8,49.4,25.6,12.2,1.9,2.7,47.7,25.3,9.1,9.1,4.2,1088,53625,61489,2757,23,0.8,2734,99.2,2694,97.7,0,0,0,0,8,0.3,0,0,3,0.1,29,1.1,457,434.5
79,1.09E+13,School,Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,HIGH SCHOOL,457.3,454.4,42.3,50,7.7,0,Illinois,39.6275071,-90.4595794,200 West Cross Street,62694,Scott County,Winchester,17171,"200 West Cross Street, Winchester, Illinois, 62694",970700,17171970700,2020,970700,Scott County,Illinois,220,21,81,91,27,2269,45,77,1092,337,236,352,130,9.5,36.8,41.4,12.3,2,3.4,48.1,14.9,10.4,15.5,5.7,1274,57833,67756,3188,19,0.6,3169,99.4,3127,98.1,21,0.7,8,0.3,0,0,0,0,0,0,13,0.4,454.4,457.3
82,1.09E+13,School,Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,HIGH SCHOOL,412.8,425.6,72.2,22.2,5.6,0,Illinois,39.7538879,-90.5361843,37-77 West Rockwood Street,62621,Scott County,Bluffs,17171,"37-77 West Rockwood Street, Bluffs, Illinois, 62621",970600,17171970600,2020,970600,Scott County,Illinois,128,16,60,39,13,1304,20,76,588,280,73,222,45,12.5,46.9,30.5,10.2,1.5,5.8,45.1,21.5,5.6,17,3.5,699,63958,73974,1794,39,2.2,1755,97.8,1679,93.6,0,0,0,0,22,1.2,30,1.7,0,0,24,1.3,425.6,412.8
