unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
25001010100,2017,10100,Barnstable County,Massachusetts,1772,47500,69510
25001010206,2017,10206,Barnstable County,Massachusetts,1503,59042,76210
25001010208,2017,10208,Barnstable County,Massachusetts,796,62844,65030
25001010304,2017,10304,Barnstable County,Massachusetts,1145,71250,85864
25001010306,2017,10306,Barnstable County,Massachusetts,1301,55694,73136
25001010400,2017,10400,Barnstable County,Massachusetts,1472,48442,69944
25001010500,2017,10500,Barnstable County,Massachusetts,1362,76087,96898
25001010600,2017,10600,Barnstable County,Massachusetts,1411,73625,97126
25001010700,2017,10700,Barnstable County,Massachusetts,1414,77083,140129
25001010800,2017,10800,Barnstable County,Massachusetts,2218,69846,99144
25001010900,2017,10900,Barnstable County,Massachusetts,2124,69248,97147
25001011002,2017,11002,Barnstable County,Massachusetts,1681,67756,87160
25001011100,2017,11100,Barnstable County,Massachusetts,2197,82148,99642
25001011200,2017,11200,Barnstable County,Massachusetts,1694,68603,82817
25001011300,2017,11300,Barnstable County,Massachusetts,1273,70054,96620
25001011400,2017,11400,Barnstable County,Massachusetts,1522,61422,90720
25001011500,2017,11500,Barnstable County,Massachusetts,1885,48911,63382
25001011600,2017,11600,Barnstable County,Massachusetts,1455,45225,62683
25001011700,2017,11700,Barnstable County,Massachusetts,913,67543,104742
25001011801,2017,11801,Barnstable County,Massachusetts,1319,68882,97352
25001011802,2017,11802,Barnstable County,Massachusetts,1692,66607,84609
25001012001,2017,12001,Barnstable County,Massachusetts,2532,58345,74208
25001012002,2017,12002,Barnstable County,Massachusetts,1433,47484,63503
25001012101,2017,12101,Barnstable County,Massachusetts,2300,73237,83488
25001012102,2017,12102,Barnstable County,Massachusetts,1423,65194,74850
25001012200,2017,12200,Barnstable County,Massachusetts,1999,99846,131959
25001012502,2017,12502,Barnstable County,Massachusetts,1599,58639,67952
25001012601,2017,12601,Barnstable County,Massachusetts,1242,65266,70639
25001012602,2017,12602,Barnstable County,Massachusetts,1830,45206,54830
25001012700,2017,12700,Barnstable County,Massachusetts,1887,82415,91809
25001012800,2017,12800,Barnstable County,Massachusetts,1633,63736,92300
25001012900,2017,12900,Barnstable County,Massachusetts,1583,76354,91860
25001013002,2017,13002,Barnstable County,Massachusetts,1290,72250,149131
25001013100,2017,13100,Barnstable County,Massachusetts,2203,80881,90542
25001013200,2017,13200,Barnstable County,Massachusetts,2086,71641,103410
25001013300,2017,13300,Barnstable County,Massachusetts,1421,71803,98228
25001013400,2017,13400,Barnstable County,Massachusetts,1562,88690,121604
25001013500,2017,13500,Barnstable County,Massachusetts,2543,95719,111651
25001013600,2017,13600,Barnstable County,Massachusetts,2247,90036,99758
25001013700,2017,13700,Barnstable County,Massachusetts,1865,74350,98531
25001013800,2017,13800,Barnstable County,Massachusetts,1955,78580,97597
25001013900,2017,13900,Barnstable County,Massachusetts,2300,71447,93249
25001014002,2017,14002,Barnstable County,Massachusetts,1928,67292,85380
25001014100,2017,14100,Barnstable County,Massachusetts,278,48750,60651
25001014300,2017,14300,Barnstable County,Massachusetts,1887,90687,114211
25001014402,2017,14402,Barnstable County,Massachusetts,2514,89028,104733
25001014500,2017,14500,Barnstable County,Massachusetts,2094,69104,80665
25001014600,2017,14600,Barnstable County,Massachusetts,1945,67644,85425
25001014700,2017,14700,Barnstable County,Massachusetts,1674,55761,79707
25001014800,2017,14800,Barnstable County,Massachusetts,1958,38182,69066
25001014900,2017,14900,Barnstable County,Massachusetts,1805,84461,134256
25001015001,2017,15001,Barnstable County,Massachusetts,1665,78878,90348
25001015002,2017,15002,Barnstable County,Massachusetts,1850,65481,71271
25001015100,2017,15100,Barnstable County,Massachusetts,1624,78929,94584
25001015200,2017,15200,Barnstable County,Massachusetts,1140,86786,122287
25001015300,2017,15300,Barnstable County,Massachusetts,1567,33979,51209
25001990000,2017,990000,Barnstable County,Massachusetts,0,-666666666,-666666666
25003900100,2017,900100,Berkshire County,Massachusetts,1828,21182,29817
25003900200,2017,900200,Berkshire County,Massachusetts,1987,31200,41651
25003900300,2017,900300,Berkshire County,Massachusetts,1232,45375,56552
25003900400,2017,900400,Berkshire County,Massachusetts,2128,46747,58031
25003900500,2017,900500,Berkshire County,Massachusetts,1381,79669,107903
25003900600,2017,900600,Berkshire County,Massachusetts,1648,21977,33317
25003900700,2017,900700,Berkshire County,Massachusetts,1195,60792,73454
25003900800,2017,900800,Berkshire County,Massachusetts,2011,81016,102007
25003900900,2017,900900,Berkshire County,Massachusetts,2220,62500,75863
25003901100,2017,901100,Berkshire County,Massachusetts,1612,59318,69734
25003911100,2017,911100,Berkshire County,Massachusetts,1184,76016,87831
25003912100,2017,912100,Berkshire County,Massachusetts,2921,60406,77169
25003913100,2017,913100,Berkshire County,Massachusetts,2390,68492,101867
25003914100,2017,914100,Berkshire County,Massachusetts,2263,66599,78377
25003920101,2017,920101,Berkshire County,Massachusetts,1448,78500,97181
25003920102,2017,920102,Berkshire County,Massachusetts,860,76932,111355
25003921300,2017,921300,Berkshire County,Massachusetts,2023,28528,55547
25003921400,2017,921400,Berkshire County,Massachusetts,761,37255,44969
25003921500,2017,921500,Berkshire County,Massachusetts,1408,42358,54856
25003922100,2017,922100,Berkshire County,Massachusetts,1296,41159,50152
25003922200,2017,922200,Berkshire County,Massachusetts,1646,60625,67503
25003922300,2017,922300,Berkshire County,Massachusetts,826,54167,70863
25003923100,2017,923100,Berkshire County,Massachusetts,1404,61512,75573
25003924100,2017,924100,Berkshire County,Massachusetts,919,54438,94849
25003925100,2017,925100,Berkshire County,Massachusetts,2666,56124,82952
25003926100,2017,926100,Berkshire County,Massachusetts,1454,73953,92970
25003931100,2017,931100,Berkshire County,Massachusetts,696,61397,72059
25003931300,2017,931300,Berkshire County,Massachusetts,659,56688,66779
25003931400,2017,931400,Berkshire County,Massachusetts,728,73889,94678
25003932200,2017,932200,Berkshire County,Massachusetts,1028,77857,88653
25003932300,2017,932300,Berkshire County,Massachusetts,871,62250,80403
