School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Cayuga H S,Cayuga ISD,536,547,<50,<25,50,<25,20.8,<25,62.5,Texas,31.9223523,-95.9237207,17750 North US Highway 287,75861,Anderson County,Bethel,48001,"17750 North US Highway 287, Bethel, Texas, 75861",951100,48001951100,2019,951100,Anderson County,Texas,257,13,102,105,37,3578,191,151,1236,1031,435,311,223,5.1,39.7,40.9,14.4,5.3,4.2,34.5,28.8,12.2,8.7,6.2,1841,56553,67093,4840,408,8.4,4432,91.6,3737,77.2,324,6.7,8,0.2,152,3.1,0,0,0,0,211,4.4,536
Elkhart H S,Elkhart ISD,555,520,<100,<50,38.8,<25,22.6,<25,41.9,Texas,31.6556921,-95.582224,9002 Texas 19,75839,Anderson County,Elkhart,48001,"9002 Texas 19, Elkhart, Texas, 75839",951002,48001951002,2019,951002,Anderson County,Texas,116,52,32,32,0,2314,88,142,963,530,204,266,121,44.8,27.6,27.6,0,3.8,6.1,41.6,22.9,8.8,11.5,5.2,1213,59113,69040,3326,312,9.4,3014,90.6,2719,81.7,265,8,0,0,13,0.4,0,0,16,0.5,1,0,555
Frankston H S,Frankston ISD,506,485,<25,<75,100,<25,8.2,<25,27.9,Texas,32.0616537,-95.5050231,100 Perry Street,75763,Anderson County,Frankston,48001,"100 Perry Street, Frankston, Texas, 75763",950100,48001950100,2019,950100,Anderson County,Texas,281,64,195,22,0,3389,119,177,1124,975,337,388,269,22.8,69.4,7.8,0,3.5,5.2,33.2,28.8,9.9,11.4,7.9,1779,59675,74859,4958,409,8.2,4549,91.8,3811,76.9,267,5.4,20,0.4,50,1,0,0,2,0,399,8,506
Neches H S,Neches ISD,536,529,<25,<25,72.7,<25,25,<25,50,Texas,31.8968767,-95.4987565,,N/A,Anderson County,N/A,48001,,950100,48001950100,2019,950100,Anderson County,Texas,281,64,195,22,0,3389,119,177,1124,975,337,388,269,22.8,69.4,7.8,0,3.5,5.2,33.2,28.8,9.9,11.4,7.9,1779,59675,74859,4958,409,8.2,4549,91.8,3811,76.9,267,5.4,20,0.4,50,1,0,0,2,0,399,8,536
Palestine H S,Palestine ISD,515,513,207,75,36.2,11,14.7,31,41.3,Texas,31.738417,-95.6055707,1600 Texas 256 Loop,75801,Anderson County,Palestine,48001,"1600 Texas 256 Loop, Palestine, Texas, 75801",950800,48001950800,2019,950800,Anderson County,Texas,570,22,339,162,47,4057,73,111,1782,788,367,480,456,3.9,59.5,28.4,8.2,1.8,2.7,43.9,19.4,9,11.8,11.2,2642,45587,58120,6049,890,14.7,5159,85.3,2992,49.5,1822,30.1,24,0.4,84,1.4,0,0,0,0,237,3.9,515
Westwood H S,Westwood ISD,519,505,<75,<50,41.7,<25,10,<25,30,Texas,31.7302275,-95.6802595,1820 Panther Boulevard,75803,Anderson County,Palestine,48001,"1820 Panther Boulevard, Palestine, Texas, 75803",950600,48001950600,2019,950600,Anderson County,Texas,524,257,213,54,0,3104,112,732,1210,753,109,144,44,49,40.6,10.3,0,3.6,23.6,39,24.3,3.5,4.6,1.4,1622,39936,62111,4704,404,8.6,4300,91.4,2963,63,1268,27,0,0,0,0,0,0,0,0,69,1.5,519
Slocum H S,Slocum ISD,539,517,<25,<25,90.9,<25,5,<25,45,Texas,31.6319962,-95.4622184,5765 Texas 294,75839,Anderson County,Elkhart,48001,"5765 Texas 294, Elkhart, Texas, 75839",951001,48001951001,2019,951001,Anderson County,Texas,633,95,316,206,16,2586,18,141,984,775,152,327,189,15,49.9,32.5,2.5,0.7,5.5,38.1,30,5.9,12.6,7.3,1479,52198,86137,4216,467,11.1,3749,88.9,3541,84,182,4.3,0,0,26,0.6,0,0,0,0,0,0,539
Andrews H S,Andrews ISD,516,511,<250,<75,28.2,<25,17.6,<50,36.8,Texas,32.3255514,-102.5680033,1400 Northwest Avenue K,79714,Andrews County,Andrews,48003,"1400 Northwest Avenue K, Andrews, Texas, 79714",950200,48003950200,2019,950200,Andrews County,Texas,493,21,215,246,11,4710,474,414,1389,1178,505,475,275,4.3,43.6,49.9,2.2,10.1,8.8,29.5,25,10.7,10.1,5.8,2540,75965,91068,7331,3791,51.7,3540,48.3,3274,44.7,57,0.8,0,0,57,0.8,26,0.4,0,0,126,1.7,516
Pineywoods Community Academy H S,Pineywoods Community Academy,510,477,<75,<50,81.8,<25,17.8,<25,26.7,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2019,950100,Runnels County,Texas,94,45,31,18,0,925,49,26,298,206,66,252,28,47.9,33,19.1,0,5.3,2.8,32.2,22.3,7.1,27.2,3,518,58182,84798,1210,172,14.2,1038,85.8,978,80.8,32,2.6,0,0,0,0,0,0,0,0,28,2.3,510
Hudson H S,Hudson ISD,538,540,196,130,66.3,35,26.9,64,49.2,Texas,31.3150453,-94.8274883,6735 Ted Trout Drive,75904,Angelina County,Lufkin,48005,"6735 Ted Trout Drive, Lufkin, Texas, 75904",102,48005000102,2019,102,Angelina County,Texas,210,10,112,35,53,3274,110,133,1005,744,453,659,170,4.8,53.3,16.7,25.2,3.4,4.1,30.7,22.7,13.8,20.1,5.2,1927,61298,85644,5083,289,5.7,4794,94.3,4526,89,147,2.9,5,0.1,85,1.7,0,0,21,0.4,10,0.2,538
Lufkin H S,Lufkin ISD,518,517,477,263,55.1,56,21.3,108,41.1,Texas,31.3355579,-94.6885604,309 South Medford Drive,75901,Angelina County,Lufkin,48005,"309 South Medford Drive, Lufkin, Texas, 75901",600,48005000600,2019,600,Angelina County,Texas,910,86,485,308,31,3688,649,482,1309,794,105,309,40,9.5,53.3,33.8,3.4,17.6,13.1,35.5,21.5,2.8,8.4,1.1,1691,39271,48134,6443,3831,59.5,2612,40.5,995,15.4,1495,23.2,0,0,77,1.2,0,0,0,0,45,0.7,518
Huntington H S,Huntington ISD,532,532,<125,<75,60.7,<25,21.5,<50,52.3,Texas,31.2637104,-94.5740147,952 South Gibson Street,75949,Angelina County,Huntington,48005,"952 South Gibson Street, Huntington, Texas, 75949",1101,48005001101,2019,1101,Angelina County,Texas,138,30,67,12,29,2700,49,247,1124,633,316,249,82,21.7,48.6,8.7,21,1.8,9.1,41.6,23.4,11.7,9.2,3,1267,61431,78957,3585,370,10.3,3215,89.7,3104,86.6,23,0.6,0,0,7,0.2,0,0,0,0,81,2.3,532
Diboll H S,Diboll ISD,516,518,<125,<50,42.7,<25,17,<25,40.4,Texas,31.1926292,-94.7681288,1000 Lumberjack Drive,75941,Angelina County,Diboll,48005,"1000 Lumberjack Drive, Diboll, Texas, 75941",1002,48005001002,2019,1002,Angelina County,Texas,268,13,172,83,0,2597,267,262,791,600,187,307,183,4.9,64.2,31,0,10.3,10.1,30.5,23.1,7.2,11.8,7,1350,57031,79819,3922,1336,34.1,2586,65.9,1949,49.7,507,12.9,0,0,64,1.6,0,0,4,0.1,62,1.6,516
Zavalla H S,Zavalla ISD,497,469,<50,<25,37.1,<25,7.7,<25,15.4,Texas,31.1434138,-94.356513,,N/A,Angelina County,N/A,48005,,1200,48005001200,2019,1200,Angelina County,Texas,146,79,28,39,0,1744,27,247,632,587,117,109,25,54.1,19.2,26.7,0,1.5,14.2,36.2,33.7,6.7,6.3,1.4,1020,35500,56888,2380,16,0.7,2364,99.3,2315,97.3,9,0.4,0,0,8,0.3,0,0,0,0,32,1.3,497
Central H S,Central ISD,525,520,89,48,53.9,11,22.9,19,39.6,Texas,31.4300897,-94.8123595,7622 U.S. 69,75969,Angelina County,Pollok,48005,"7622 U.S. 69, Pollok, Texas, 75969",103,48005000103,2019,103,Angelina County,Texas,330,0,24,214,92,2475,300,253,553,478,206,483,202,0,7.3,64.8,27.9,12.1,10.2,22.3,19.3,8.3,19.5,8.2,1021,85807,85162,3649,27,0.7,3622,99.3,3133,85.9,367,10.1,12,0.3,110,3,0,0,0,0,0,0,525
Rockport-Fulton H S,Aransas County ISD,526,496,<225,<125,46.1,<25,19,<50,35,Texas,28.0408019,-97.0450123,1801 Omohundro Street,78382,Aransas County,Rockport,48007,"1801 Omohundro Street, Rockport, Texas, 78382",950302,48007950302,2019,950302,Aransas County,Texas,258,40,0,120,98,2543,69,74,542,380,234,862,382,15.5,0,46.5,38,2.7,2.9,21.3,14.9,9.2,33.9,15,1270,102672,107000,3355,515,15.4,2840,84.6,2759,82.2,4,0.1,0,0,0,0,0,0,0,0,77,2.3,526
Archer City H S,Archer City ISD,549,530,<50,<25,46.4,<25,30.8,<25,53.8,Texas,33.5905926,-98.6354816,416-488 South Popular Street,76351,Archer County,Archer City,48009,"416-488 South Popular Street, Archer City, Texas, 76351",20300,48009020300,2019,20300,Archer County,Texas,344,19,127,168,30,2358,129,148,987,520,76,377,121,5.5,36.9,48.8,8.7,5.5,6.3,41.9,22.1,3.2,16,5.1,1396,56556,69926,3477,457,13.1,3020,86.9,2886,83,87,2.5,21,0.6,0,0,0,0,0,0,26,0.7,549
Holliday H S,Holliday ISD,586,560,74,25,33.8,13,52,18,72,Texas,33.8079075,-98.6885471,751 South College Avenue,76366,Archer County,Holliday,48009,"751 South College Avenue, Holliday, Texas, 76366",20200,48009020200,2019,20200,Archer County,Texas,230,30,60,140,0,1766,26,207,771,359,96,193,114,13,26.1,60.9,0,1.5,11.7,43.7,20.3,5.4,10.9,6.5,1024,50208,76799,2529,152,6,2377,94,2267,89.6,0,0,44,1.7,0,0,0,0,2,0.1,64,2.5,586
Charlotte H S,Charlotte ISD,475,493,<50,<25,25.6,<25,,<25,30,Texas,28.8622271,-98.7031993,70 Trojan Drive,78011,Atascosa County,Charlotte,48013,"70 Trojan Drive, Charlotte, Texas, 78011",960500,48013960500,2019,960500,Atascosa County,Texas,191,118,39,34,0,1583,318,182,566,303,53,135,26,61.8,20.4,17.8,0,20.1,11.5,35.8,19.1,3.3,8.5,1.6,877,41295,53947,2566,1819,70.9,747,29.1,733,28.6,14,0.5,0,0,0,0,0,0,0,0,0,0,475
Jourdanton H S,Jourdanton ISD,535,505,<125,<50,26.2,<25,10.7,<25,42.9,Texas,28.9102359,-98.5413105,200 Zanderson Avenue,78026,Atascosa County,Jourdanton,48013,"200 Zanderson Avenue, Jourdanton, Texas, 78026",960602,48013960602,2019,960602,Atascosa County,Texas,121,0,117,4,0,2302,115,125,1070,317,0,546,129,0,96.7,3.3,0,5,5.4,46.5,13.8,0,23.7,5.6,1280,69930,101338,3206,1072,33.4,2134,66.6,2033,63.4,12,0.4,0,0,0,0,0,0,0,0,89,2.8,535
Lytle H S,Lytle ISD,498,486,<125,<50,38.5,<25,14.3,<25,23.8,Texas,29.2372722,-98.806751,18975 West Farm to Market 2790 South,78052,Medina County,Lytle,48325,"18975 West Farm to Market 2790 South, Lytle, Texas, 78052",402,48325000402,2019,401,Medina County,Texas,464,76,213,175,0,3202,154,282,1385,704,209,346,122,16.4,45.9,37.7,0,4.8,8.8,43.3,22,6.5,10.8,3.8,1396,52195,81894,4566,2192,48,2374,52,2341,51.3,10,0.2,16,0.4,7,0.2,0,0,0,0,0,0,498
Pleasanton H S,Pleasanton ISD,509,497,221,130,58.8,9,6.9,39,30,Texas,28.9653314,-98.4939658,900 West Adams Street,78064,Atascosa County,Pleasanton,48013,"900 West Adams Street, Pleasanton, Texas, 78064",960102,48013960102,2019,960102,Atascosa County,Texas,387,48,180,159,0,2906,266,422,1057,458,164,410,129,12.4,46.5,41.1,0,9.2,14.5,36.4,15.8,5.6,14.1,4.4,1506,63472,80721,4600,3079,66.9,1521,33.1,1388,30.2,62,1.3,0,0,33,0.7,0,0,0,0,38,0.8,509
Poteet H S,Poteet ISD,495,469,<125,<50,38.1,<25,2.2,<25,13.3,Texas,29.0442153,-98.5666541,1000 Farm to Market Road 1470,78065,Atascosa County,Poteet,48013,"1000 Farm to Market Road 1470, Poteet, Texas, 78065",960300,48013960300,2019,960300,Atascosa County,Texas,264,27,137,100,0,2535,203,292,1172,441,137,200,90,10.2,51.9,37.9,0,8,11.5,46.2,17.4,5.4,7.9,3.6,1148,52422,61698,3631,3113,85.7,518,14.3,445,12.3,0,0,17,0.5,56,1.5,0,0,0,0,0,0,495
Bellville H S,Bellville ISD,555,560,170,91,53.5,33,36.3,55,60.4,Texas,29.9247536,-96.25175,850 Schumann Road,77418,Austin County,Bellville,48015,"850 Schumann Road, Bellville, Texas, 77418",760502,48015760502,2019,760502,Austin County,Texas,686,106,434,117,29,3665,340,245,1034,1008,220,629,189,15.5,63.3,17.1,4.2,9.3,6.7,28.2,27.5,6,17.2,5.2,2055,52670,63713,5594,1475,26.4,4119,73.6,3317,59.3,775,13.9,27,0.5,0,0,0,0,0,0,0,0,555
Sealy H S,Sealy ISD,516,512,175,80,45.7,20,25,31,38.8,Texas,29.76214,-96.174422,2372 Championship Drive,77474,Austin County,Sealy,48015,"2372 Championship Drive, Sealy, Texas, 77474",760302,48015760302,2019,760302,Austin County,Texas,461,98,205,112,46,3090,184,188,1204,957,101,334,122,21.3,44.5,24.3,10,6,6.1,39,31,3.3,10.8,3.9,1748,86012,99216,4777,1880,39.4,2897,60.6,2562,53.6,335,7,0,0,0,0,0,0,0,0,0,0,516
Brazos H S,Brazos ISD,520,507,<50,<50,61,<25,8,<25,40,Texas,29.6192408,-96.0359779,16621 Texas 36,77485,Austin County,Wallis,48015,"16621 Texas 36, Wallis, Texas, 77485",760100,48015760100,2019,760100,Austin County,Texas,128,8,76,44,0,1725,97,126,716,487,113,154,32,6.3,59.4,34.4,0,5.6,7.3,41.5,28.2,6.6,8.9,1.9,1019,38750,59286,2578,867,33.6,1711,66.4,1142,44.3,356,13.8,0,0,0,0,0,0,57,2.2,156,6.1,520
Muleshoe H S,Muleshoe ISD,449,452,<100,<100,98.9,<25,5.6,<25,14.6,Texas,34.2225009,-102.7314319,800 West 3rd Street,79347,Bailey County,Muleshoe,48017,"800 West 3rd Street, Muleshoe, Texas, 79347",950101,48017950101,2019,950101,Bailey County,Texas,524,165,336,23,0,2486,233,247,1137,347,181,207,134,31.5,64.1,4.4,0,9.4,9.9,45.7,14,7.3,8.3,5.4,1249,44042,62573,4294,2887,67.2,1407,32.8,1271,29.6,20,0.5,69,1.6,47,1.1,0,0,0,0,0,0,449
Medina School,Medina ISD,512,475,<25,<25,70.8,<25,5.9,<25,11.8,Texas,29.7994493,-99.2484194,1 Bobcat Lane,78055,Bandera County,Medina,48019,"1 Bobcat Lane, Medina, Texas, 78055",200,48019000200,2019,200,Bandera County,Texas,219,58,66,65,30,2420,69,82,939,646,133,321,230,26.5,30.1,29.7,13.7,2.9,3.4,38.8,26.7,5.5,13.3,9.5,1195,58971,83025,3169,390,12.3,2779,87.7,2693,85,82,2.6,4,0.1,0,0,0,0,0,0,0,0,512
Bandera H S,Bandera ISD,552,526,129,81,62.8,22,27.2,41,50.6,Texas,29.7334314,-99.0616893,474 Old San Antonio Road,78003,Bandera County,Bandera,48019,"474 Old San Antonio Road, Bandera, Texas, 78003",103,48019000103,2019,103,Bandera County,Texas,359,8,215,136,0,3164,234,315,1021,602,268,622,102,2.2,59.9,37.9,0,7.4,10,32.3,19,8.5,19.7,3.2,1469,53507,65825,4302,946,22,3356,78,3120,72.5,36,0.8,0,0,0,0,0,0,0,0,200,4.6,552
Bastrop H S,Bastrop ISD,537,514,312,159,51,37,23.3,73,45.9,Texas,30.1179864,-97.3115432,1614 Chambers Street,78602,Bastrop County,Bastrop,48021,"1614 Chambers Street, Bastrop, Texas, 78602",950401,48021950401,2019,950401,Bastrop County,Texas,689,0,472,104,113,3226,42,285,935,726,221,661,356,0,68.5,15.1,16.4,1.3,8.8,29,22.5,6.9,20.5,11,1919,50958,80300,4686,1091,23.3,3595,76.7,3267,69.7,255,5.4,20,0.4,53,1.1,0,0,0,0,0,0,537
Cedar Creek H S,Bastrop ISD,506,505,<275,<150,54.4,<50,17.7,<75,40.1,Texas,30.138126,-97.471385,793 Union Chapel Road,78612,Bastrop County,Cedar Creek,48021,"793 Union Chapel Road, Cedar Creek, Texas, 78612",950303,48021950303,2019,950303,Bastrop County,Texas,404,47,229,65,63,4305,658,279,1308,985,215,687,173,11.6,56.7,16.1,15.6,15.3,6.5,30.4,22.9,5,16,4,1908,69847,79688,7062,3056,43.3,4006,56.7,3545,50.2,314,4.4,0,0,0,0,0,0,0,0,147,2.1,506
Colorado River Collegiate Academy,Bastrop ISD,566,537,<50,<50,84.8,<25,33.3,<25,51.3,Texas,30.117392,-97.3154422,1600 Hill Street,78602,Bastrop County,Bastrop,48021,"1600 Hill Street, Bastrop, Texas, 78602",950401,48021950401,2019,950401,Bastrop County,Texas,689,0,472,104,113,3226,42,285,935,726,221,661,356,0,68.5,15.1,16.4,1.3,8.8,29,22.5,6.9,20.5,11,1919,50958,80300,4686,1091,23.3,3595,76.7,3267,69.7,255,5.4,20,0.4,53,1.1,0,0,0,0,0,0,566
Elgin H S,Elgin ISD,453,451,<300,<275,89.9,<25,6.4,<50,15.8,Texas,30.366256,-97.4041724,14000 County Line Road,78621,Travis County,Elgin,48453,"14000 County Line Road, Elgin, Texas, 78621",45800,48453045800,2019,45800,Travis County,Texas,135,43,7,85,0,1919,462,73,653,322,130,141,138,31.9,5.2,63,0,24.1,3.8,34,16.8,6.8,7.3,7.2,797,66853,74078,3442,2357,68.5,1085,31.5,729,21.2,153,4.4,0,0,44,1.3,0,0,0,0,159,4.6,453
Phoenix H S,Elgin ISD,383,368,<25,<25,39.1,<25,,<25,,Texas,30.3431045,-97.3732655,,N/A,Bastrop County,N/A,48021,,950202,48021950202,2019,950202,Bastrop County,Texas,654,188,364,102,0,4064,649,262,1616,709,104,419,305,28.7,55.7,15.6,0,16,6.4,39.8,17.4,2.6,10.3,7.5,1732,74537,86401,6249,2679,42.9,3570,57.1,2051,32.8,1501,24,0,0,18,0.3,0,0,0,0,0,0,383
