unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08069001608,2018,1607,Larimer County,Colorado,5852,309,5.3,5543,94.7,4974,85.0,19,0.3,0,0.0,400,6.8,0,0.0,16,0.3,134,2.3
08069001704,2018,1704,Larimer County,Colorado,9694,1166,12.0,8528,88.0,8193,84.5,41,0.4,40,0.4,60,0.6,72,0.7,14,0.1,108,1.1
08069001706,2018,1705,Larimer County,Colorado,6940,1052,15.2,5888,84.8,5663,81.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,224,3.2
08069001707,2018,1707,Larimer County,Colorado,6113,1136,18.6,4977,81.4,4621,75.6,87,1.4,73,1.2,44,0.7,0,0.0,0,0.0,152,2.5
08069001708,2018,1707,Larimer County,Colorado,4340,800,18.4,3540,81.6,2989,68.9,152,3.5,41,0.9,244,5.6,0,0.0,0,0.0,114,2.6
08069001709,2018,1709,Larimer County,Colorado,16569,1069,6.5,15500,93.5,14261,86.1,58,0.4,56,0.3,597,3.6,0,0.0,0,0.0,528,3.2
08069001804,2018,1804,Larimer County,Colorado,3967,426,10.7,3541,89.3,3389,85.4,0,0.0,16,0.4,63,1.6,9,0.2,7,0.2,57,1.4
08069001806,2018,1805,Larimer County,Colorado,7989,658,8.2,7331,91.8,7129,89.2,26,0.3,21,0.3,42,0.5,9,0.1,0,0.0,104,1.3
08069001807,2018,1807,Larimer County,Colorado,6046,528,8.7,5518,91.3,5333,88.2,0,0.0,0,0.0,80,1.3,0,0.0,0,0.0,105,1.7
08069001808,2018,1807,Larimer County,Colorado,4881,174,3.6,4707,96.4,4410,90.4,32,0.7,50,1.0,43,0.9,16,0.3,44,0.9,112,2.3
08069001809,2018,1809,Larimer County,Colorado,11504,1055,9.2,10449,90.8,9946,86.5,99,0.9,8,0.1,92,0.8,0,0.0,0,0.0,304,2.6
08069001901,2018,1901,Larimer County,Colorado,4676,621,13.3,4055,86.7,3814,81.6,72,1.5,14,0.3,26,0.6,0,0.0,0,0.0,129,2.8
08069001902,2018,1902,Larimer County,Colorado,4735,640,13.5,4095,86.5,4008,84.6,10,0.2,0,0.0,33,0.7,0,0.0,10,0.2,34,0.7
08069001903,2018,1903,Larimer County,Colorado,3725,27,0.7,3698,99.3,3606,96.8,16,0.4,0,0.0,38,1.0,0,0.0,0,0.0,38,1.0
08069002005,2018,2005,Larimer County,Colorado,5486,999,18.2,4487,81.8,4298,78.3,30,0.5,0,0.0,57,1.0,0,0.0,0,0.0,102,1.9
08069002007,2018,2007,Larimer County,Colorado,3518,332,9.4,3186,90.6,3133,89.1,11,0.3,20,0.6,0,0.0,0,0.0,0,0.0,22,0.6
08069002008,2018,2007,Larimer County,Colorado,4280,479,11.2,3801,88.8,3447,80.5,78,1.8,0,0.0,10,0.2,0,0.0,0,0.0,266,6.2
08069002010,2018,2010,Larimer County,Colorado,2660,157,5.9,2503,94.1,2451,92.1,11,0.4,6,0.2,0,0.0,0,0.0,0,0.0,35,1.3
08069002011,2018,2011,Larimer County,Colorado,5213,334,6.4,4879,93.6,4677,89.7,0,0.0,57,1.1,70,1.3,0,0.0,0,0.0,75,1.4
08069002300,2018,2300,Larimer County,Colorado,3264,177,5.4,3087,94.6,2762,84.6,15,0.5,35,1.1,159,4.9,0,0.0,0,0.0,116,3.6
08069002401,2018,2401,Larimer County,Colorado,1494,197,13.2,1297,86.8,1286,86.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.7
08069002402,2018,2402,Larimer County,Colorado,2776,124,4.5,2652,95.5,2575,92.8,0,0.0,0,0.0,0,0.0,5,0.2,0,0.0,72,2.6
08069002501,2018,2501,Larimer County,Colorado,10378,884,8.5,9494,91.5,8976,86.5,49,0.5,34,0.3,328,3.2,0,0.0,0,0.0,107,1.0
