unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08075966200,2018,966200,Logan County,Colorado,947,23,364,484,76,2400,113,185,1000,506,262,249,85,2.4,38.4,51.1,8.0,4.7,7.7,41.7,21.1,10.9,10.4,3.5,1371,41424,44435,3997,993,24.8,3004,75.2,2780,69.6,8,0.2,43,1.1,74,1.9,0,0.0,0,0.0,99,2.5
08075966300,2018,966300,Logan County,Colorado,391,0,72,313,6,3278,127,234,1061,699,348,557,252,0.0,18.4,80.1,1.5,3.9,7.1,32.4,21.3,10.6,17.0,7.7,1899,42259,55355,4618,743,16.1,3875,83.9,3731,80.8,9,0.2,0,0.0,77,1.7,0,0.0,7,0.2,51,1.1
08075966400,2018,966400,Logan County,Colorado,139,38,48,28,25,1567,30,120,527,400,256,177,57,27.3,34.5,20.1,18.0,1.9,7.7,33.6,25.5,16.3,11.3,3.6,618,58333,67076,2104,242,11.5,1862,88.5,1725,82.0,106,5.0,5,0.2,2,0.1,0,0.0,0,0.0,24,1.1
08077000200,2018,200,Mesa County,Colorado,263,23,39,178,23,1320,11,88,393,412,49,261,106,8.7,14.8,67.7,8.7,0.8,6.7,29.8,31.2,3.7,19.8,8.0,1118,26667,41186,2030,221,10.9,1809,89.1,1558,76.7,27,1.3,44,2.2,0,0.0,0,0.0,0,0.0,180,8.9
08077000300,2018,300,Mesa County,Colorado,124,33,21,65,5,1079,97,117,177,240,100,217,131,26.6,16.9,52.4,4.0,9.0,10.8,16.4,22.2,9.3,20.1,12.1,786,32188,43393,1475,409,27.7,1066,72.3,1040,70.5,0,0.0,8,0.5,0,0.0,0,0.0,5,0.3,13,0.9
08077000400,2018,400,Mesa County,Colorado,638,51,126,372,89,2343,70,233,569,635,238,435,163,8.0,19.7,58.3,13.9,3.0,9.9,24.3,27.1,10.2,18.6,7.0,1647,47535,62265,3600,807,22.4,2793,77.6,2581,71.7,15,0.4,0,0.0,16,0.4,20,0.6,0,0.0,161,4.5
08077000500,2018,500,Mesa County,Colorado,2122,22,99,1976,25,931,39,91,293,272,50,150,36,1.0,4.7,93.1,1.2,4.2,9.8,31.5,29.2,5.4,16.1,3.9,633,27250,34253,3155,545,17.3,2610,82.7,2356,74.7,58,1.8,4,0.1,45,1.4,64,2.0,4,0.1,79,2.5
08077000601,2018,601,Mesa County,Colorado,507,22,69,345,71,2919,116,121,703,945,276,385,373,4.3,13.6,68.0,14.0,4.0,4.1,24.1,32.4,9.5,13.2,12.8,1894,40947,48484,4477,940,21.0,3537,79.0,3422,76.4,51,1.1,0,0.0,15,0.3,0,0.0,0,0.0,49,1.1
08077000602,2018,602,Mesa County,Colorado,873,123,144,555,51,2861,113,240,741,658,275,593,241,14.1,16.5,63.6,5.8,3.9,8.4,25.9,23.0,9.6,20.7,8.4,2187,28324,36855,4429,758,17.1,3671,82.9,3470,78.3,8,0.2,70,1.6,26,0.6,0,0.0,0,0.0,97,2.2
08077000700,2018,700,Mesa County,Colorado,506,78,154,250,24,2673,126,281,707,540,150,513,356,15.4,30.4,49.4,4.7,4.7,10.5,26.4,20.2,5.6,19.2,13.3,1877,37114,49520,3945,845,21.4,3100,78.6,2723,69.0,106,2.7,57,1.4,55,1.4,0,0.0,0,0.0,159,4.0
