unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05001480100,2019,480100,Arkansas County,Arkansas,112,3,84,25,0,1042,49,107,373,236,97,169,11,2.7,75.0,22.3,0.0,4.7,10.3,35.8,22.6,9.3,16.2,1.1,610,50625,57288,1428,77,5.4,1351,94.6,1016,71.1,332,23.2,0,0.0,0,0.0,0,0.0,0,0.0,3,0.2
05001480200,2019,480200,Arkansas County,Arkansas,104,19,36,48,1,1092,24,76,460,218,68,151,95,18.3,34.6,46.2,1.0,2.2,7.0,42.1,20.0,6.2,13.8,8.7,619,60938,72662,1450,0,0.0,1450,100.0,1312,90.5,120,8.3,0,0.0,0,0.0,0,0.0,0,0.0,18,1.2
05001480300,2019,480300,Arkansas County,Arkansas,207,52,99,49,7,2107,182,218,823,348,126,235,175,25.1,47.8,23.7,3.4,8.6,10.3,39.1,16.5,6.0,11.2,8.3,1114,56098,78893,2950,122,4.1,2828,95.9,1736,58.8,1037,35.2,30,1.0,0,0.0,0,0.0,0,0.0,25,0.8
05001480400,2019,480400,Arkansas County,Arkansas,178,46,82,42,8,1578,150,212,709,318,102,79,8,25.8,46.1,23.6,4.5,9.5,13.4,44.9,20.2,6.5,5.0,0.5,1044,28792,44955,2296,38,1.7,2258,98.3,786,34.2,1464,63.8,0,0.0,8,0.3,0,0.0,0,0.0,0,0.0
05001480500,2019,480500,Arkansas County,Arkansas,342,18,133,156,35,2459,82,184,983,521,240,331,118,5.3,38.9,45.6,10.2,3.3,7.5,40.0,21.2,9.8,13.5,4.8,1572,48824,61751,3772,58,1.5,3714,98.5,2937,77.9,734,19.5,0,0.0,0,0.0,0,0.0,0,0.0,43,1.1
05001480600,2019,480600,Arkansas County,Arkansas,202,28,81,76,17,1359,42,93,561,221,218,181,43,13.9,40.1,37.6,8.4,3.1,6.8,41.3,16.3,16.0,13.3,3.2,761,60724,77002,1900,92,4.8,1808,95.2,1728,90.9,58,3.1,0,0.0,0,0.0,0,0.0,0,0.0,22,1.2
05001480700,2019,480700,Arkansas County,Arkansas,155,15,28,101,11,1765,206,194,639,373,171,126,56,9.7,18.1,65.2,7.1,11.7,11.0,36.2,21.1,9.7,7.1,3.2,1150,30942,47551,2638,185,7.0,2453,93.0,1723,65.3,685,26.0,0,0.0,0,0.0,0,0.0,0,0.0,45,1.7
05001480800,2019,480800,Arkansas County,Arkansas,88,5,32,39,12,1021,90,90,284,301,75,98,83,5.7,36.4,44.3,13.6,8.8,8.8,27.8,29.5,7.3,9.6,8.1,621,46853,62705,1480,0,0.0,1480,100.0,1259,85.1,206,13.9,0,0.0,0,0.0,0,0.0,0,0.0,15,1.0
05003960100,2019,960100,Ashley County,Arkansas,130,21,35,74,0,1128,51,148,424,289,56,113,47,16.2,26.9,56.9,0.0,4.5,13.1,37.6,25.6,5.0,10.0,4.2,633,36148,48343,1624,77,4.7,1547,95.3,848,52.2,684,42.1,0,0.0,0,0.0,0,0.0,0,0.0,15,0.9
05003960200,2019,960200,Ashley County,Arkansas,326,66,52,193,15,2059,124,132,1064,418,80,199,42,20.2,16.0,59.2,4.6,6.0,6.4,51.7,20.3,3.9,9.7,2.0,1091,49497,65605,2972,55,1.9,2917,98.1,2655,89.3,238,8.0,0,0.0,6,0.2,0,0.0,0,0.0,18,0.6
