unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
48001950100,2019,950100,Anderson County,Texas,205,17,165,16,7,3399,69,231,1137,1043,245,390,284,8.3,80.5,7.8,3.4,2.0,6.8,33.5,30.7,7.2,11.5,8.4,1790,58750,71909,4844,583,12.0,4261,88.0,3823,78.9,284,5.9,22,0.5,18,0.4,0,0.0,0,0.0,114,2.4
48001950401,2019,950401,Anderson County,Texas,634,274,229,117,14,4060,134,874,1494,1242,183,123,10,43.2,36.1,18.5,2.2,3.3,21.5,36.8,30.6,4.5,3.0,0.2,95,75938,71214,4838,1212,25.1,3626,74.9,1678,34.7,1882,38.9,9,0.2,0,0.0,0,0.0,14,0.3,43,0.9
48001950402,2019,950402,Anderson County,Texas,268,164,62,42,0,7213,669,1513,2813,1617,377,141,83,61.2,23.1,15.7,0.0,9.3,21.0,39.0,22.4,5.2,2.0,1.2,112,85921,77721,7511,1744,23.2,5767,76.8,2664,35.5,3063,40.8,9,0.1,7,0.1,9,0.1,0,0.0,15,0.2
48001950500,2019,950500,Anderson County,Texas,383,190,105,88,0,2889,235,226,1322,570,208,198,130,49.6,27.4,23.0,0.0,8.1,7.8,45.8,19.7,7.2,6.9,4.5,1584,36226,45225,4465,1718,38.5,2747,61.5,1613,36.1,1012,22.7,26,0.6,0,0.0,0,0.0,0,0.0,96,2.2
48001950600,2019,950600,Anderson County,Texas,448,124,256,68,0,3493,157,849,1329,749,188,188,33,27.7,57.1,15.2,0.0,4.5,24.3,38.0,21.4,5.4,5.4,0.9,1792,34821,61647,5148,165,3.2,4983,96.8,3384,65.7,1545,30.0,0,0.0,0,0.0,0,0.0,0,0.0,54,1.0
48001950700,2019,950700,Anderson County,Texas,279,57,169,53,0,1698,355,143,582,362,152,76,28,20.4,60.6,19.0,0.0,20.9,8.4,34.3,21.3,9.0,4.5,1.6,911,31559,36684,2783,962,34.6,1821,65.4,715,25.7,1054,37.9,13,0.5,5,0.2,0,0.0,0,0.0,34,1.2
48001950800,2019,950800,Anderson County,Texas,721,66,492,127,36,3306,41,190,1403,646,344,374,308,9.2,68.2,17.6,5.0,1.2,5.7,42.4,19.5,10.4,11.3,9.3,2080,46786,55195,5505,870,15.8,4635,84.2,2799,50.8,1410,25.6,33,0.6,252,4.6,0,0.0,0,0.0,141,2.6
48001950901,2019,950901,Anderson County,Texas,312,62,118,108,24,4654,250,553,1844,1193,369,256,189,19.9,37.8,34.6,7.7,5.4,11.9,39.6,25.6,7.9,5.5,4.1,1854,40946,52993,6501,1006,15.5,5495,84.5,4664,71.7,687,10.6,38,0.6,12,0.2,0,0.0,0,0.0,94,1.4
48001950902,2019,950902,Anderson County,Texas,289,78,79,132,0,3374,315,228,1390,823,227,364,27,27.0,27.3,45.7,0.0,9.3,6.8,41.2,24.4,6.7,10.8,0.8,1893,39421,51263,4501,529,11.8,3972,88.2,3281,72.9,598,13.3,10,0.2,0,0.0,0,0.0,0,0.0,83,1.8
48001951000,2019,951000,Anderson County,Texas,693,77,372,232,12,4774,176,340,1746,1351,404,473,284,11.1,53.7,33.5,1.7,3.7,7.1,36.6,28.3,8.5,9.9,5.9,2857,46229,58436,7276,936,12.9,6340,87.1,6091,83.7,237,3.3,0,0.0,10,0.1,0,0.0,2,0.0,0,0.0
