School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Waverly Junior/Senior High School,Waverly CUSD 6,445.2,424.8,21.0,21.0,Illinois,39.5926856,-89.9603042,201 North Miller Street,62692,Morgan County,Waverly,17137,"201 North Miller Street, Waverly, Illinois, 62692",952300,17137952300,2023.0,952300.0,Morgan County,Illinois,228.0,44.0,89.0,76.0,19.0,2211.0,33.0,106.0,993.0,491.0,139.0,272.0,177.0,19.3,39.0,33.3,8.3,1.5,4.8,44.9,22.2,6.3,12.3,8.0,1260.0,70476.0,94286.0,3337.0,143.0,4.3,3194.0,95.7,3112.0,93.3,33.0,1.0,0.0,0.0,14.0,0.4,0.0,0.0,0.0,0.0,35.0,1.0
Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,416.7,388.7,15.0,15.0,Illinois,39.8314704,-90.55438989999999,830 Main Street,62665,Morgan County,Meredosia,17137,"830 Main Street, Meredosia, Illinois, 62665",951400,17137951400,2023.0,951400.0,Morgan County,Illinois,152.0,65.0,64.0,23.0,0.0,1721.0,50.0,52.0,815.0,374.0,200.0,145.0,85.0,42.8,42.1,15.1,0.0,2.9,3.0,47.4,21.7,11.6,8.4,4.9,1011.0,61066.0,77558.0,2424.0,19.0,0.8,2405.0,99.2,2306.0,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,4.1
Triopia Jr-Sr High School,Triopia CUSD 27,476.2,491.0,29.0,30.0,Illinois,39.8406508,-90.372008,2204 Concord Arenzville Road,62631,Morgan County,Concord,17137,"2204 Concord Arenzville Road, Concord, Illinois, 62631",951400,17137951400,2023.0,951400.0,Morgan County,Illinois,152.0,65.0,64.0,23.0,0.0,1721.0,50.0,52.0,815.0,374.0,200.0,145.0,85.0,42.8,42.1,15.1,0.0,2.9,3.0,47.4,21.7,11.6,8.4,4.9,1011.0,61066.0,77558.0,2424.0,19.0,0.8,2405.0,99.2,2306.0,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,4.1
Jacksonville High School,Jacksonville SD 117,477.6,448.2,177.0,177.0,Illinois,39.750431,-90.24005000000001,1211 North Diamond Street,62650,Morgan County,Jacksonville,17137,"1211 North Diamond Street, Jacksonville, Illinois, 62650",951700,17137951700,2023.0,951700.0,Morgan County,Illinois,143.0,36.0,72.0,4.0,31.0,1900.0,86.0,129.0,1057.0,353.0,124.0,133.0,18.0,25.2,50.3,2.8,21.7,4.5,6.8,55.6,18.6,6.5,7.0,0.9,866.0,43162.0,61981.0,2716.0,145.0,5.3,2571.0,94.7,2350.0,86.5,171.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.8
Pleasant Hill High School,Pleasant Hill CUSD 3,438.3,422.3,31.0,31.0,Illinois,39.4410208,-90.8683035,501 East Quincy Street,62366,Pike County,Pleasant Hill,17149,"501 East Quincy Street, Pleasant Hill, Illinois, 62366",952600,17149952600,2023.0,952600.0,Pike County,Illinois,217.0,25.0,103.0,74.0,15.0,1655.0,30.0,89.0,657.0,363.0,167.0,292.0,57.0,11.5,47.5,34.1,6.9,1.8,5.4,39.7,21.9,10.1,17.6,3.4,938.0,65978.0,77468.0,2737.0,15.0,0.5,2722.0,99.5,2677.0,97.8,7.0,0.3,1.0,0.0,8.0,0.3,0.0,0.0,1.0,0.0,28.0,1.0
Griggsville-Perry High School,Griggsville-Perry CUSD 4,461.0,438.0,30.0,30.0,Illinois,39.7728701,-90.7913227,,N/A,Pike County,N/A,17149,,952400,17149952400,2023.0,952400.0,Pike County,Illinois,268.0,85.0,121.0,54.0,8.0,2021.0,53.0,135.0,881.0,428.0,242.0,174.0,108.0,31.7,45.1,20.1,3.0,2.6,6.7,43.6,21.2,12.0,8.6,5.3,1241.0,50665.0,68614.0,2855.0,93.0,3.3,2762.0,96.7,2540.0,89.0,20.0,0.7,0.0,0.0,5.0,0.2,97.0,3.4,0.0,0.0,100.0,3.5
Pittsfield High School,Pikeland CUSD 10,470.5,450.3,79.0,79.0,Illinois,39.6000518,-90.8053207,201 East Higbee Street,62363,Pike County,Pittsfield,17149,"201 East Higbee Street, Pittsfield, Illinois, 62363",952700,17149952700,2023.0,952700.0,Pike County,Illinois,250.0,37.0,135.0,52.0,26.0,3429.0,44.0,136.0,1370.0,823.0,282.0,604.0,170.0,14.8,54.0,20.8,10.4,1.3,4.0,40.0,24.0,8.2,17.6,5.0,2002.0,54932.0,69056.0,4628.0,87.0,1.9,4541.0,98.1,4407.0,95.2,42.0,0.9,0.0,0.0,27.0,0.6,0.0,0.0,0.0,0.0,65.0,1.4
Western High School,Western CUSD 12,493.3,463.7,27.0,27.0,Illinois,39.6971968,-91.044325,401 McDonough Street,62312,Pike County,Barry,17149,"401 McDonough Street, Barry, Illinois, 62312",952500,17149952500,2023.0,952500.0,Pike County,Illinois,172.0,28.0,100.0,27.0,17.0,1749.0,40.0,127.0,745.0,360.0,152.0,219.0,106.0,16.3,58.1,15.7,9.9,2.3,7.3,42.6,20.6,8.7,12.5,6.1,962.0,65000.0,72985.0,2521.0,50.0,2.0,2471.0,98.0,2432.0,96.5,3.0,0.1,0.0,0.0,8.0,0.3,0.0,0.0,5.0,0.2,23.0,0.9
Winchester High School,Winchester CUSD 1,460.3,443.6,33.0,33.0,Illinois,39.6275071,-90.4595794,200 West Cross Street,62694,Scott County,Winchester,17171,"200 West Cross Street, Winchester, Illinois, 62694",970700,17171970700,2023.0,970700.0,Scott County,Illinois,260.0,31.0,102.0,108.0,19.0,2155.0,16.0,124.0,998.0,312.0,234.0,380.0,91.0,11.9,39.2,41.5,7.3,0.7,5.8,46.3,14.5,10.9,17.6,4.2,1327.0,63917.0,81479.0,3133.0,15.0,0.5,3118.0,99.5,3053.0,97.4,0.0,0.0,3.0,0.1,14.0,0.4,0.0,0.0,0.0,0.0,48.0,1.5
Bluffs High School,Scott-Morgan CUSD 2,451.7,466.7,18.0,18.0,Illinois,39.7519902,-90.53512580000002,,62621,Scott County,Bluffs,17171,,970600,17171970600,2023.0,970600.0,Scott County,Illinois,116.0,12.0,66.0,32.0,6.0,1278.0,32.0,62.0,562.0,222.0,108.0,227.0,65.0,10.3,56.9,27.6,5.2,2.5,4.9,44.0,17.4,8.5,17.8,5.1,705.0,85288.0,94692.0,1714.0,56.0,3.3,1658.0,96.7,1584.0,92.4,51.0,3.0,1.0,0.1,7.0,0.4,0.0,0.0,0.0,0.0,15.0,0.9
Mulberry Grove Sr High School,Mulberry Grove CUSD 1,451.6,443.4,32.0,32.0,Illinois,38.924212,-89.27752749999999,801 West Wall Street,62262,Bond County,Mulberry Grove,17005,"801 West Wall Street, Mulberry Grove, Illinois, 62262",951200,17005951200,2023.0,951200.0,Bond County,Illinois,315.0,69.0,138.0,65.0,43.0,2027.0,34.0,94.0,702.0,422.0,300.0,246.0,229.0,21.9,43.8,20.6,13.7,1.7,4.6,34.6,20.8,14.8,12.1,11.3,1261.0,63098.0,80463.0,2767.0,78.0,2.8,2689.0,97.2,2553.0,92.3,22.0,0.8,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3.9
Bond Cty Comm Unit 2 High School,Bond County CUSD 2,495.2,472.9,122.0,123.0,Illinois,38.9011707,-89.39892359999999,1000 Illinois 140,62246,Bond County,Greenville,17005,"1000 Illinois 140, Greenville, Illinois, 62246",951400,17005951400,2023.0,951400.0,Bond County,Illinois,315.0,61.0,132.0,106.0,16.0,1914.0,32.0,129.0,725.0,457.0,198.0,189.0,184.0,19.4,41.9,33.7,5.1,1.7,6.7,37.9,23.9,10.3,9.9,9.6,1034.0,64028.0,85413.0,2894.0,53.0,1.8,2841.0,98.2,2684.0,92.7,45.0,1.6,66.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.6
Morrisonville High School,Morrisonville CUSD 1,447.8,403.5,23.0,23.0,Illinois,39.4226983,-89.457837,204 North Perrine Street,62546,Christian County,Morrisonville,17021,"204 North Perrine Street, Morrisonville, Illinois, 62546",959000,17021959000,2023.0,959000.0,Christian County,Illinois,286.0,49.0,111.0,107.0,19.0,3581.0,51.0,239.0,1490.0,655.0,270.0,657.0,219.0,17.1,38.8,37.4,6.6,1.4,6.7,41.6,18.3,7.5,18.3,6.1,1800.0,80577.0,96453.0,4902.0,161.0,3.3,4741.0,96.7,4596.0,93.8,31.0,0.6,0.0,0.0,11.0,0.2,0.0,0.0,53.0,1.1,50.0,1.0
Taylorville Sr High School,Taylorville CUSD 3,475.2,453.2,176.0,176.0,Illinois,39.60783,-89.20867729999999,,N/A,Christian County,N/A,17021,,958600,17021958600,2023.0,958600.0,Christian County,Illinois,183.0,18.0,82.0,35.0,48.0,1463.0,23.0,151.0,519.0,232.0,134.0,330.0,74.0,9.8,44.8,19.1,26.2,1.6,10.3,35.5,15.9,9.2,22.6,5.1,896.0,68571.0,74732.0,2212.0,20.0,0.9,2192.0,99.1,2159.0,97.6,2.0,0.1,1.0,0.0,12.0,0.5,0.0,0.0,0.0,0.0,18.0,0.8
Edinburg High School,Edinburg CUSD 4,493.1,402.3,13.0,13.0,Illinois,39.6708067,-89.3795835,,N/A,Christian County,N/A,17021,,958100,17021958100,2023.0,958100.0,Christian County,Illinois,193.0,24.0,100.0,31.0,38.0,1974.0,8.0,73.0,993.0,390.0,194.0,231.0,85.0,12.4,51.8,16.1,19.7,0.4,3.7,50.3,19.8,9.8,11.7,4.3,1103.0,80071.0,94333.0,2636.0,40.0,1.5,2596.0,98.5,2436.0,92.4,35.0,1.3,0.0,0.0,3.0,0.1,4.0,0.2,3.0,0.1,115.0,4.4
