tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone
803,Sevier County,Arkansas,62.1%,37.9%,26.1%,5.6%,1.0%,0.0%,3.5%,0.2%,1.4%,5807.0,3604,2203,1517,328,58,0,205,14,81
804,Sevier County,Arkansas,4.6%,95.4%,80.3%,8.2%,1.3%,0.0%,0.0%,1.2%,4.5%,2789.0,128,2661,2239,229,35,0,0,33,125
4701,Sharp County,Arkansas,0.2%,99.8%,92.1%,0.1%,0.8%,0.3%,0.2%,0.0%,6.5%,1984.0,4,1980,1828,1,15,5,3,0,128
4702.01,Sharp County,Arkansas,2.7%,97.3%,87.2%,0.7%,0.0%,0.9%,0.0%,0.0%,8.6%,2745.0,74,2671,2393,19,0,24,0,0,235
4702.02,Sharp County,Arkansas,2.7%,97.3%,90.9%,0.3%,0.0%,0.7%,0.0%,0.0%,5.4%,3053.0,82,2971,2775,8,1,21,0,0,166
4703,Sharp County,Arkansas,1.7%,98.3%,91.4%,0.7%,0.0%,0.7%,0.0%,0.0%,5.5%,3757.0,63,3694,3435,28,0,26,0,0,205
4704.01,Sharp County,Arkansas,0.8%,99.2%,95.6%,1.3%,0.0%,0.0%,0.0%,0.0%,2.3%,3152.0,24,3128,3014,42,0,0,0,0,72
4704.02,Sharp County,Arkansas,5.6%,94.4%,90.1%,0.3%,0.2%,0.8%,0.0%,0.0%,3.0%,2906.0,162,2744,2619,9,5,23,0,0,88
9501,Stone County,Arkansas,0.1%,99.9%,90.9%,0.0%,0.6%,0.2%,0.0%,0.0%,8.2%,4741.0,4,4737,4309,0,30,8,0,0,390
9502.01,Stone County,Arkansas,0.0%,100.0%,89.0%,0.0%,0.8%,0.0%,0.0%,0.0%,10.2%,1300.0,0,1300,1157,0,10,0,0,0,133
9502.03,Stone County,Arkansas,8.9%,91.1%,83.7%,0.0%,1.0%,1.3%,0.0%,0.0%,5.0%,2720.0,243,2477,2277,0,28,36,0,0,136
9502.04,Stone County,Arkansas,0.5%,99.5%,94.8%,0.4%,0.7%,0.0%,0.0%,0.0%,3.6%,3713.0,19,3694,3519,13,27,0,0,0,135
9501,Union County,Arkansas,1.9%,98.1%,47.4%,49.4%,0.0%,0.1%,0.0%,0.2%,0.9%,2853.0,54,2799,1353,1408,0,4,0,7,27
9502,Union County,Arkansas,4.2%,95.8%,81.0%,12.2%,0.1%,1.0%,0.0%,0.0%,1.5%,3489.0,146,3343,2826,425,3,35,0,0,54
9503,Union County,Arkansas,0.8%,99.2%,69.8%,24.8%,0.0%,0.0%,0.0%,0.0%,4.6%,2733.0,23,2710,1907,677,0,0,0,0,126
9504.01,Union County,Arkansas,4.6%,95.4%,77.1%,14.5%,0.0%,0.0%,0.0%,0.0%,3.8%,1840.0,84,1756,1419,267,0,0,0,0,70
9504.02,Union County,Arkansas,5.2%,94.8%,71.3%,18.9%,0.3%,0.0%,0.0%,0.0%,4.3%,3758.0,194,3564,2680,712,10,0,0,0,162
9505.01,Union County,Arkansas,6.8%,93.2%,86.3%,4.8%,0.3%,0.0%,0.0%,0.0%,1.8%,3273.0,221,3052,2826,158,9,0,0,0,59
9505.02,Union County,Arkansas,0.0%,100.0%,87.8%,11.9%,0.0%,0.0%,0.0%,0.0%,0.3%,2614.0,0,2614,2295,312,0,0,0,0,7
9506,Union County,Arkansas,3.2%,96.8%,45.1%,41.9%,0.0%,4.9%,0.0%,0.0%,4.9%,3427.0,109,3318,1546,1435,0,168,0,0,169
