tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone
105.17,Washington County,Arkansas,5.2%,94.8%,73.2%,1.2%,0.0%,1.9%,0.0%,0.0%,18.3%,5505.0,289,5216,4031,68,2,105,2,0,1008
105.18,Washington County,Arkansas,10.7%,89.3%,66.6%,0.5%,0.0%,4.4%,3.2%,0.0%,14.5%,4196.0,450,3746,2796,20,0,184,135,1,610
105.19,Washington County,Arkansas,13.2%,86.8%,71.5%,0.3%,0.0%,1.1%,0.0%,0.0%,13.9%,4827.0,635,4192,3452,13,0,55,0,0,672
105.20,Washington County,Arkansas,15.4%,84.6%,70.0%,3.6%,0.6%,3.5%,0.0%,0.0%,6.9%,3931.0,604,3327,2750,143,22,139,0,0,273
105.21,Washington County,Arkansas,19.7%,80.3%,73.7%,0.4%,0.9%,1.4%,0.0%,0.0%,3.8%,3537.0,697,2840,2607,15,32,51,0,0,135
106.01,Washington County,Arkansas,15.4%,84.6%,62.5%,8.0%,0.0%,8.4%,0.0%,0.0%,5.6%,3009.0,464,2545,1881,242,0,252,0,0,170
106.02,Washington County,Arkansas,9.3%,90.7%,65.5%,5.4%,0.6%,4.7%,0.0%,1.9%,12.7%,3834.0,357,3477,2510,206,23,179,0,71,488
107.03,Washington County,Arkansas,14.2%,85.8%,48.4%,18.8%,0.0%,1.1%,0.0%,0.4%,17.1%,3369.0,479,2890,1629,635,0,36,0,13,577
107.04,Washington County,Arkansas,3.4%,96.6%,64.8%,5.5%,1.3%,9.4%,0.2%,0.1%,15.4%,4533.0,153,4380,2939,248,57,425,10,3,698
107.05,Washington County,Arkansas,11.6%,88.4%,68.7%,8.8%,0.0%,0.0%,0.0%,1.5%,9.5%,3770.0,436,3334,2591,331,0,0,0,55,357
107.06,Washington County,Arkansas,1.8%,98.2%,78.2%,4.9%,0.0%,0.7%,0.0%,0.0%,14.2%,2164.0,40,2124,1693,107,0,16,0,0,308
110.02,Washington County,Arkansas,5.5%,94.5%,76.0%,0.0%,0.6%,0.4%,0.0%,0.6%,17.0%,5750.0,314,5436,4369,0,33,22,0,34,978
110.03,Washington County,Arkansas,4.2%,95.8%,87.1%,0.8%,0.4%,0.1%,0.0%,0.0%,7.4%,4693.0,198,4495,4087,37,20,6,0,0,345
110.04,Washington County,Arkansas,10.0%,90.0%,75.3%,0.0%,1.7%,2.9%,0.9%,1.0%,8.1%,4308.0,429,3879,3246,0,74,126,39,45,349
110.05,Washington County,Arkansas,5.8%,94.2%,78.9%,1.0%,1.6%,2.2%,0.0%,0.0%,10.5%,4011.0,231,3780,3165,40,63,89,0,1,422
110.06,Washington County,Arkansas,1.1%,98.9%,84.3%,4.1%,0.6%,1.0%,0.0%,0.7%,8.3%,6304.0,69,6235,5316,256,36,63,0,42,522
111.03,Washington County,Arkansas,2.2%,97.8%,82.4%,0.3%,0.3%,1.6%,0.0%,0.4%,12.8%,4559.0,102,4457,3756,13,14,72,0,18,584
111.04,Washington County,Arkansas,10.2%,89.8%,55.4%,10.2%,1.5%,1.1%,0.0%,0.0%,21.6%,4030.0,412,3618,2232,411,62,43,0,0,870
111.05,Washington County,Arkansas,17.7%,82.3%,61.5%,8.5%,0.4%,0.9%,0.9%,0.0%,10.1%,5064.0,896,4168,3114,432,19,48,45,0,510
111.06,Washington County,Arkansas,15.5%,84.5%,72.4%,0.1%,0.4%,0.5%,0.0%,1.5%,9.5%,3893.0,602,3291,2820,5,17,21,0,57,371
111.07,Washington County,Arkansas,3.8%,96.2%,77.6%,2.5%,0.8%,0.7%,0.0%,0.0%,14.5%,5313.0,202,5111,4122,135,45,38,0,0,771
112,Washington County,Arkansas,54.8%,45.2%,29.2%,3.0%,0.0%,0.9%,6.7%,0.0%,5.4%,2462.0,1350,1112,718,74,0,22,165,0,133
113.01,Washington County,Arkansas,3.6%,96.4%,73.2%,9.3%,1.6%,6.0%,0.0%,0.1%,6.3%,6893.0,248,6645,5043,642,108,413,0,6,433
113.02,Washington County,Arkansas,7.7%,92.3%,75.0%,3.9%,0.2%,2.5%,0.3%,1.6%,8.9%,3140.0,241,2899,2354,123,6,78,9,51,278
701,White County,Arkansas,6.1%,93.9%,86.0%,0.1%,0.1%,0.4%,0.0%,0.8%,6.5%,3320.0,202,3118,2856,4,3,14,0,26,215
702,White County,Arkansas,3.3%,96.7%,89.8%,0.0%,0.0%,2.1%,0.0%,0.0%,4.8%,5641.0,185,5456,5065,0,1,121,0,0,269
703,White County,Arkansas,3.1%,96.9%,94.1%,0.0%,0.0%,0.0%,0.0%,0.1%,2.7%,5012.0,157,4855,4714,0,1,0,0,6,134
704.01,White County,Arkansas,3.7%,96.3%,92.2%,1.6%,0.0%,0.0%,0.0%,0.0%,2.6%,5479.0,200,5279,5052,87,0,0,0,0,140
704.02,White County,Arkansas,5.4%,94.6%,73.6%,17.5%,0.0%,0.8%,0.0%,0.0%,2.8%,4258.0,231,4027,3133,744,0,32,0,0,118
705.01,White County,Arkansas,2.4%,97.6%,92.0%,0.2%,0.0%,0.0%,0.0%,0.0%,5.4%,3372.0,82,3290,3102,7,0,0,0,0,181
705.02,White County,Arkansas,4.0%,96.0%,87.6%,0.9%,0.0%,0.0%,0.0%,0.0%,7.6%,2686.0,108,2578,2352,23,0,0,0,0,203
706,White County,Arkansas,4.1%,95.9%,90.4%,0.4%,0.4%,0.0%,0.0%,0.0%,4.7%,3580.0,147,3433,3236,14,14,0,0,0,169
707,White County,Arkansas,9.8%,90.2%,77.7%,5.6%,0.0%,2.8%,0.0%,0.8%,3.3%,3776.0,371,3405,2934,213,0,105,0,30,123
708.01,White County,Arkansas,5.5%,94.5%,83.3%,8.3%,0.2%,0.2%,0.0%,0.0%,2.5%,3532.0,194,3338,2943,294,8,6,0,0,87
708.02,White County,Arkansas,12.9%,87.1%,66.3%,13.4%,0.1%,3.9%,0.0%,0.0%,3.4%,2668.0,345,2323,1768,358,2,104,0,0,91
709.01,White County,Arkansas,2.1%,97.9%,80.8%,7.7%,0.0%,1.3%,0.0%,0.0%,8.0%,4688.0,97,4591,3787,363,0,63,0,2,376
709.02,White County,Arkansas,3.9%,96.1%,88.9%,4.7%,0.0%,0.0%,0.0%,1.2%,1.5%,4607.0,178,4429,4094,215,0,0,0,53,67
710.01,White County,Arkansas,3.0%,97.0%,89.7%,2.4%,0.5%,0.0%,0.0%,0.0%,4.4%,3098.0,93,3005,2779,75,14,0,0,0,137
710.02,White County,Arkansas,3.1%,96.9%,88.5%,0.0%,0.0%,0.0%,0.0%,1.7%,6.7%,3850.0,118,3732,3409,0,0,0,0,64,259
711.01,White County,Arkansas,8.6%,91.4%,65.4%,18.7%,0.6%,0.0%,0.0%,0.0%,6.6%,3789.0,326,3463,2479,710,23,0,0,0,251
711.02,White County,Arkansas,9.3%,90.7%,81.7%,1.7%,0.0%,0.3%,0.0%,0.0%,6.9%,3117.0,291,2826,2547,53,0,10,0,0,216
712.01,White County,Arkansas,3.5%,96.5%,93.1%,0.3%,0.0%,1.3%,0.0%,0.6%,1.3%,5367.0,189,5178,4995,14,0,71,0,30,68
712.02,White County,Arkansas,3.2%,96.8%,87.4%,2.7%,0.0%,0.0%,0.0%,0.0%,6.7%,5555.0,179,5376,4855,149,0,0,0,0,372
4901,Woodruff County,Arkansas,0.4%,99.6%,74.1%,22.5%,0.0%,0.0%,0.1%,0.0%,2.9%,3883.0,14,3869,2879,873,0,0,3,0,114
4902,Woodruff County,Arkansas,1.0%,99.0%,61.6%,35.0%,0.0%,0.0%,0.8%,0.0%,1.5%,2274.0,22,2252,1400,797,1,0,19,0,35
9523.01,Yell County,Arkansas,33.6%,66.4%,56.0%,6.7%,0.8%,0.2%,0.0%,0.0%,2.6%,2709.0,911,1798,1518,182,22,5,0,0,71
9523.02,Yell County,Arkansas,39.6%,60.4%,56.7%,1.9%,0.0%,0.1%,0.0%,0.0%,1.7%,3007.0,1191,1816,1706,58,0,2,0,0,50
9524.01,Yell County,Arkansas,8.9%,91.1%,79.6%,2.1%,0.1%,5.4%,0.0%,0.2%,3.6%,2608.0,233,2375,2077,56,3,141,0,4,94
9524.02,Yell County,Arkansas,11.7%,88.3%,84.2%,0.0%,0.2%,2.1%,0.0%,0.0%,1.8%,5192.0,607,4585,4370,0,8,111,0,0,96
9525,Yell County,Arkansas,25.9%,74.1%,71.3%,1.2%,0.6%,0.0%,0.0%,0.3%,0.7%,4231.0,1096,3135,3018,49,25,0,0,14,29
9526,Yell County,Arkansas,7.2%,92.8%,90.5%,0.2%,0.0%,0.1%,0.0%,0.0%,2.0%,2448.0,176,2272,2216,4,0,2,0,0,50
