tract_number,tract_county,tract_state,total_households,Median income (dollars),Mean income (dollars)
9537,Clark County,Arkansas,"1,594","48,182","67,824"
9538,Clark County,Arkansas,"1,412","46,154","55,099"
9539.01,Clark County,Arkansas,859,"67,361","103,453"
9539.02,Clark County,Arkansas,"1,226","53,750","58,267"
9501,Clay County,Arkansas,814,"45,556","55,159"
9502,Clay County,Arkansas,832,"56,215","81,542"
9503,Clay County,Arkansas,742,"62,188","72,057"
9504,Clay County,Arkansas,"1,366","44,034","60,810"
9505,Clay County,Arkansas,862,"45,104","51,721"
9506,Clay County,Arkansas,"1,500","48,889","62,763"
4801,Cleburne County,Arkansas,"1,517","55,685","69,279"
4802.01,Cleburne County,Arkansas,800,"55,000","69,140"
4802.03,Cleburne County,Arkansas,905,"57,104","66,528"
4802.04,Cleburne County,Arkansas,391,"83,454","103,218"
4803.01,Cleburne County,Arkansas,982,"50,556","66,040"
4803.02,Cleburne County,Arkansas,"1,460","60,357","89,429"
4804,Cleburne County,Arkansas,"1,780","54,425","81,894"
4805.01,Cleburne County,Arkansas,"1,140","53,779","65,489"
4805.02,Cleburne County,Arkansas,"1,483","50,101","71,484"
9701,Cleveland County,Arkansas,"1,528","47,386","61,229"
9702,Cleveland County,Arkansas,"1,265","54,044","80,159"
9501,Columbia County,Arkansas,"1,494","65,720","94,086"
9502,Columbia County,Arkansas,"1,732","43,878","63,871"
9503.01,Columbia County,Arkansas,409,"56,146","68,353"
9503.02,Columbia County,Arkansas,"1,417","46,393","62,196"
9504.01,Columbia County,Arkansas,"1,059","68,620","79,142"
9504.02,Columbia County,Arkansas,935,"54,336","58,254"
9505,Columbia County,Arkansas,"1,315","22,458","37,659"
9501,Conway County,Arkansas,"1,944","64,362","76,469"
9502,Conway County,Arkansas,"1,311","57,153","72,493"
9503,Conway County,Arkansas,"2,048","43,241","62,257"
9504,Conway County,Arkansas,970,"48,929","69,852"
9505,Conway County,Arkansas,"1,267","48,569","64,540"
9506,Conway County,Arkansas,763,"50,529","70,642"
1.01,Craighead County,Arkansas,"1,704","35,488","58,474"
1.02,Craighead County,Arkansas,"1,406","45,521","76,867"
2,Craighead County,Arkansas,"1,883","40,870","56,042"
3,Craighead County,Arkansas,"2,789","58,693","85,792"
4.01,Craighead County,Arkansas,"2,433","63,894","66,413"
4.03,Craighead County,Arkansas,"1,996","52,500","66,499"
4.04,Craighead County,Arkansas,"2,227","46,889","55,959"
5.01,Craighead County,Arkansas,"3,375","102,658","113,978"
5.02,Craighead County,Arkansas,"2,834","42,861","55,267"
6.01,Craighead County,Arkansas,"2,456","34,390","50,328"
6.02,Craighead County,Arkansas,"1,537","20,701","34,067"
7.01,Craighead County,Arkansas,"1,565","90,663","109,394"
7.02,Craighead County,Arkansas,"1,426","61,250","72,122"
8.03,Craighead County,Arkansas,"2,046","144,043","133,165"
8.04,Craighead County,Arkansas,"1,091","102,354","154,803"
8.05,Craighead County,Arkansas,"1,766","48,500","68,308"
8.06,Craighead County,Arkansas,"1,499","121,635","179,229"
9,Craighead County,Arkansas,"2,455","58,382","70,936"
10,Craighead County,Arkansas,"1,504","52,074","68,817"
11.01,Craighead County,Arkansas,"1,791","87,452","141,133"
11.02,Craighead County,Arkansas,"1,827","67,891","81,373"
12,Craighead County,Arkansas,"1,747","48,668","63,588"
201.01,Crawford County,Arkansas,"1,115","66,161","76,441"
201.02,Crawford County,Arkansas,921,"62,399","70,478"
202.04,Crawford County,Arkansas,"2,359","70,484","85,338"
202.05,Crawford County,Arkansas,"1,338","57,708","73,579"
202.06,Crawford County,Arkansas,829,"51,542","58,500"
202.07,Crawford County,Arkansas,"1,598","61,881","83,113"
202.08,Crawford County,Arkansas,"1,436","58,040","63,903"
203.01,Crawford County,Arkansas,"1,601","68,187","74,963"
203.02,Crawford County,Arkansas,"1,646","64,346","89,624"
204.01,Crawford County,Arkansas,"2,049","58,854","74,674"
204.02,Crawford County,Arkansas,"1,707","60,509","75,068"
205.01,Crawford County,Arkansas,"1,522","60,852","65,096"
205.02,Crawford County,Arkansas,"1,596","44,398","55,889"
206.01,Crawford County,Arkansas,822,"70,833","100,927"
206.02,Crawford County,Arkansas,"2,455","61,433","79,425"
301.01,Crittenden County,Arkansas,796,"34,360","42,816"
301.02,Crittenden County,Arkansas,"1,111","35,168","50,082"
302.01,Crittenden County,Arkansas,"2,201","60,350","65,197"
302.02,Crittenden County,Arkansas,"1,439","75,991","91,180"
303.01,Crittenden County,Arkansas,"1,021","40,717","58,822"
303.02,Crittenden County,Arkansas,"1,148","20,161","33,466"
305.03,Crittenden County,Arkansas,600,"29,844","39,251"
306.01,Crittenden County,Arkansas,270,"27,292","51,865"
306.02,Crittenden County,Arkansas,"1,515","39,774","56,643"
307.01,Crittenden County,Arkansas,392,"69,565","74,794"
307.02,Crittenden County,Arkansas,364,"44,773","56,939"
307.03,Crittenden County,Arkansas,340,"43,949","62,662"
308.03,Crittenden County,Arkansas,697,"89,676","93,177"
308.04,Crittenden County,Arkansas,"1,749","76,633","80,440"
308.05,Crittenden County,Arkansas,"1,323","59,917","72,281"
308.06,Crittenden County,Arkansas,"1,288","110,583","170,171"
308.07,Crittenden County,Arkansas,466,"113,056","116,210"
310,Crittenden County,Arkansas,452,"65,000","87,053"
311,Crittenden County,Arkansas,632,"31,204","49,153"
312,Crittenden County,Arkansas,534,"45,000","59,593"
9501,Cross County,Arkansas,431,"26,509","33,008"
9502,Cross County,Arkansas,"1,263","39,531","75,566"
9503,Cross County,Arkansas,567,"61,484","81,773"
9504,Cross County,Arkansas,922,"77,763","80,723"
9505,Cross County,Arkansas,"1,686","36,690","45,174"
9506,Cross County,Arkansas,"1,655","63,906","90,123"
9701,Dallas County,Arkansas,471,"32,378","49,683"
9702,Dallas County,Arkansas,680,"66,429","81,239"
9703,Dallas County,Arkansas,"1,274","43,542","52,907"
9501,Desha County,Arkansas,661,"40,590","55,822"
9502,Desha County,Arkansas,"1,546","36,707","47,586"
9503,Desha County,Arkansas,665,"23,042","38,262"
9504,Desha County,Arkansas,"1,258","31,810","57,758"
9505,Desha County,Arkansas,620,"44,679","69,033"
4901,Drew County,Arkansas,843,"56,250","80,908"
4902,Drew County,Arkansas,"1,120","39,788","58,668"
4903,Drew County,Arkansas,"2,237","29,756","63,607"
4904,Drew County,Arkansas,"1,234","37,935","51,251"
4905,Drew County,Arkansas,"1,570","53,088","66,874"
301.01,Faulkner County,Arkansas,"1,143","70,972","90,375"
301.02,Faulkner County,Arkansas,"2,339","67,307","78,118"
301.03,Faulkner County,Arkansas,"1,202","93,929","133,420"
301.04,Faulkner County,Arkansas,"1,800","87,500","108,433"
302.01,Faulkner County,Arkansas,"1,155","76,583","84,281"
302.02,Faulkner County,Arkansas,"1,109","58,506","72,666"
303.01,Faulkner County,Arkansas,"2,178","75,560","78,805"
303.02,Faulkner County,Arkansas,"2,368","80,776","97,013"
303.03,Faulkner County,Arkansas,"1,969","66,448","80,341"
304.01,Faulkner County,Arkansas,"1,115","112,593","146,657"
304.02,Faulkner County,Arkansas,"1,590","83,690","88,612"
