tract_number,tract_county,tract_state,total_households,Median income (dollars),Mean income (dollars)
4801,Phillips County,Arkansas,970,"46,111","69,032"
4802.01,Phillips County,Arkansas,832,"55,045","67,384"
4802.02,Phillips County,Arkansas,681,"66,250","81,204"
4803,Phillips County,Arkansas,"1,804","33,000","45,178"
4804,Phillips County,Arkansas,628,"19,447","37,342"
4805,Phillips County,Arkansas,711,"24,583","34,639"
4806,Phillips County,Arkansas,553,"37,989","52,580"
9533,Pike County,Arkansas,"1,423","48,661","70,422"
9534,Pike County,Arkansas,837,"70,521","96,070"
9535,Pike County,Arkansas,"1,860","50,756","59,212"
4901,Poinsett County,Arkansas,"1,450","47,069","75,600"
4902,Poinsett County,Arkansas,581,"48,661","67,515"
4903,Poinsett County,Arkansas,"1,512","22,982","36,834"
4904,Poinsett County,Arkansas,"1,724","58,255","65,237"
4905.01,Poinsett County,Arkansas,"1,053","53,580","60,562"
4905.02,Poinsett County,Arkansas,"1,332","59,609","80,388"
4906,Poinsett County,Arkansas,531,"51,250","61,303"
4907,Poinsett County,Arkansas,848,"45,263","50,827"
9501,Polk County,Arkansas,"1,765","49,004","71,973"
9502.01,Polk County,Arkansas,839,"66,973","68,192"
9502.02,Polk County,Arkansas,"1,317","45,869","86,048"
9503,Polk County,Arkansas,"1,209","39,812","93,244"
9504,Polk County,Arkansas,"1,121","45,764","65,795"
9505,Polk County,Arkansas,800,"48,929","69,928"
9506,Polk County,Arkansas,833,"51,083","65,933"
9507,Pope County,Arkansas,"1,627","41,536","56,351"
9508,Pope County,Arkansas,"1,935","75,194","83,470"
9509.01,Pope County,Arkansas,"1,107","66,813","88,622"
9509.02,Pope County,Arkansas,"1,661","43,125","68,580"
9510,Pope County,Arkansas,"1,781","48,510","68,020"
9511,Pope County,Arkansas,"1,451","67,434","80,586"
9512.01,Pope County,Arkansas,"1,163","89,735","108,667"
9512.02,Pope County,Arkansas,"1,991","74,875","117,184"
9513.01,Pope County,Arkansas,509,"36,250","46,851"
9513.02,Pope County,Arkansas,"1,337","47,550","46,878"
9513.03,Pope County,Arkansas,"1,160","51,532","67,534"
9514,Pope County,Arkansas,"1,053","31,533","47,527"
9515.01,Pope County,Arkansas,"1,380","87,614","123,829"
9515.03,Pope County,Arkansas,"1,203","54,613","83,694"
9515.04,Pope County,Arkansas,"1,742","53,382","70,035"
9516.01,Pope County,Arkansas,"2,587","46,016","62,549"
9516.02,Pope County,Arkansas,386,"64,375","75,987"
4601,Prairie County,Arkansas,"1,442","39,506","68,932"
4602,Prairie County,Arkansas,"1,119","66,953","88,218"
4603,Prairie County,Arkansas,700,"63,750","66,501"
5,Pulaski County,Arkansas,825,"26,359","37,494"
11,Pulaski County,Arkansas,704,"38,333","56,859"
12,Pulaski County,Arkansas,425,"35,750","37,369"
13,Pulaski County,Arkansas,736,"38,750","49,488"
15.01,Pulaski County,Arkansas,"1,902","92,019","126,096"
15.02,Pulaski County,Arkansas,"2,206","76,010","138,175"
16,Pulaski County,Arkansas,"2,750","100,643","196,360"
18,Pulaski County,Arkansas,"2,135","32,321","41,313"
19,Pulaski County,Arkansas,"1,292","28,176","50,484"
20.01,Pulaski County,Arkansas,"2,297","46,995","46,600"
20.02,Pulaski County,Arkansas,"1,739","28,092","37,565"
21.02,Pulaski County,Arkansas,"1,842","36,460","52,236"
21.03,Pulaski County,Arkansas,"1,673","59,292","80,148"
21.04,Pulaski County,Arkansas,"2,291","116,197","130,696"
22.03,Pulaski County,Arkansas,"2,179","44,713","71,387"
22.06,Pulaski County,Arkansas,"1,939","62,798","70,658"
22.08,Pulaski County,Arkansas,893,"63,886","69,460"
22.09,Pulaski County,Arkansas,"1,555","55,717","70,077"
22.10,Pulaski County,Arkansas,829,"136,875","141,784"
22.11,Pulaski County,Arkansas,"2,626","71,643","106,253"
24.03,Pulaski County,Arkansas,"1,667","37,893","47,826"
24.05,Pulaski County,Arkansas,"2,266","62,203","73,787"
24.06,Pulaski County,Arkansas,"1,140","50,217","70,730"
24.07,Pulaski County,Arkansas,"1,078","76,383","85,663"
24.09,Pulaski County,Arkansas,"1,514","46,814","54,424"
24.10,Pulaski County,Arkansas,"1,536","26,875","44,833"
25,Pulaski County,Arkansas,890,"51,563","62,165"
26,Pulaski County,Arkansas,483,"30,602","45,048"
27,Pulaski County,Arkansas,"2,459","26,880","34,055"
28,Pulaski County,Arkansas,846,"12,188","25,277"
29,Pulaski County,Arkansas,567,"32,745","35,716"
30.01,Pulaski County,Arkansas,"1,317","40,880","62,502"
30.02,Pulaski County,Arkansas,"1,354","26,711","35,130"
31,Pulaski County,Arkansas,496,"18,657","26,283"
32.02,Pulaski County,Arkansas,"2,607","47,030","73,831"
32.07,Pulaski County,Arkansas,"1,005","66,875","68,480"
32.08,Pulaski County,Arkansas,"2,209","37,011","47,009"
33.03,Pulaski County,Arkansas,"2,337","88,806","105,647"
33.05,Pulaski County,Arkansas,"1,795","60,375","71,850"
33.06,Pulaski County,Arkansas,"1,581","53,924","60,481"
33.07,Pulaski County,Arkansas,947,"52,484","78,967"
33.08,Pulaski County,Arkansas,"1,975","84,922","107,276"
34.03,Pulaski County,Arkansas,"1,181","60,408","95,137"
34.04,Pulaski County,Arkansas,"1,879","54,470","98,727"
34.05,Pulaski County,Arkansas,756,"22,946","44,421"
34.06,Pulaski County,Arkansas,"1,846","69,716","76,504"
36.04,Pulaski County,Arkansas,"2,552","64,643","89,783"
36.05,Pulaski County,Arkansas,"2,510","47,330","64,277"
36.06,Pulaski County,Arkansas,"1,175","38,224","38,994"
36.07,Pulaski County,Arkansas,"1,866","43,640","53,131"
36.08,Pulaski County,Arkansas,"2,157","45,925","58,571"
36.09,Pulaski County,Arkansas,"1,744","56,116","74,769"
37.03,Pulaski County,Arkansas,"2,504","104,028","124,941"
37.04,Pulaski County,Arkansas,"1,549","66,209","71,723"
37.07,Pulaski County,Arkansas,"1,551","64,625","97,150"
37.11,Pulaski County,Arkansas,"2,334","77,589","92,966"
37.12,Pulaski County,Arkansas,"1,810","97,500","113,084"
37.13,Pulaski County,Arkansas,"1,925","97,079","106,329"
37.14,Pulaski County,Arkansas,"2,137","73,781","90,513"
38,Pulaski County,Arkansas,"1,865","51,438","67,245"
39,Pulaski County,Arkansas,"1,993","75,216","81,993"
40.01,Pulaski County,Arkansas,799,"69,403","68,259"
40.04,Pulaski County,Arkansas,"1,369","60,566","102,009"
40.05,Pulaski County,Arkansas,868,"42,007","56,177"
40.06,Pulaski County,Arkansas,"1,209","34,619","61,585"
40.07,Pulaski County,Arkansas,844,"37,708","70,071"
41.03,Pulaski County,Arkansas,"1,670","36,164","41,529"
41.04,Pulaski County,Arkansas,980,"62,857","78,913"
41.05,Pulaski County,Arkansas,"2,367","51,125","59,885"
41.06,Pulaski County,Arkansas,"2,183","44,688","67,247"
41.07,Pulaski County,Arkansas,"1,244","45,054","51,522"
41.08,Pulaski County,Arkansas,"2,299","43,109","58,188"
42.01,Pulaski County,Arkansas,"1,317","101,458","177,574"
42.02,Pulaski County,Arkansas,"1,769","121,156","194,237"
42.05,Pulaski County,Arkansas,"2,231","68,446","93,930"
42.13,Pulaski County,Arkansas,"2,184","182,833","251,862"
42.14,Pulaski County,Arkansas,"1,493","90,865","128,844"
42.15,Pulaski County,Arkansas,"1,957","103,147","161,659"
42.18,Pulaski County,Arkansas,"1,822","62,000","91,125"
42.19,Pulaski County,Arkansas,"2,109","123,090","173,876"
42.20,Pulaski County,Arkansas,"2,718","61,362","80,569"
42.22,Pulaski County,Arkansas,"1,302","62,432","75,425"
42.23,Pulaski County,Arkansas,"1,403","96,083","175,786"
42.24,Pulaski County,Arkansas,"2,518","149,615","177,423"
42.25,Pulaski County,Arkansas,"1,602","80,668","111,581"
42.26,Pulaski County,Arkansas,"1,684","46,511","57,514"
42.27,Pulaski County,Arkansas,510,"72,656","84,736"
42.28,Pulaski County,Arkansas,"1,142","81,042","130,335"
42.29,Pulaski County,Arkansas,"1,667","192,770","232,215"
43.02,Pulaski County,Arkansas,"2,131","55,581","70,354"
43.06,Pulaski County,Arkansas,"2,688","73,812","108,771"
43.07,Pulaski County,Arkansas,"3,122","54,888","60,430"
43.08,Pulaski County,Arkansas,"1,321","81,488","97,083"
43.09,Pulaski County,Arkansas,"1,531","88,429","91,045"
43.10,Pulaski County,Arkansas,"1,640","78,409","98,784"
43.11,Pulaski County,Arkansas,"1,490","148,542","181,410"
44,Pulaski County,Arkansas,"1,323","96,898","145,292"
45,Pulaski County,Arkansas,748,"36,154","51,933"
46,Pulaski County,Arkansas,"1,231","27,435","46,104"
47,Pulaski County,Arkansas,"1,520","48,796","80,090"
48.01,Pulaski County,Arkansas,"1,215","62,772","76,471"
49.01,Pulaski County,Arkansas,"1,347","80,988","116,247"
49.02,Pulaski County,Arkansas,"1,441","137,042","203,951"
9801,Pulaski County,Arkansas,0,-,-
9802,Pulaski County,Arkansas,39,-,"19,269"
9803,Pulaski County,Arkansas,907,"55,927","83,572"
9804,Pulaski County,Arkansas,258,"26,522","42,321"
9601,Randolph County,Arkansas,"1,622","46,635","58,912"
9602.01,Randolph County,Arkansas,879,"78,224","89,626"
9602.02,Randolph County,Arkansas,"1,404","58,718","79,461"
9603.01,Randolph County,Arkansas,"1,617","44,821","63,997"
9603.02,Randolph County,Arkansas,"1,549","41,573","59,450"
9601,St. Francis County,Arkansas,830,"43,036","54,292"
9602.01,St. Francis County,Arkansas,773,"44,578","60,803"
9602.02,St. Francis County,Arkansas,"1,200","53,333","74,991"
9603,St. Francis County,Arkansas,904,"50,058","69,116"
9604,St. Francis County,Arkansas,"1,516","28,568","60,170"
9605,St. Francis County,Arkansas,"1,224","46,596","54,690"
9606,St. Francis County,Arkansas,"1,434","34,943","45,645"
101.01,Saline County,Arkansas,"1,727","53,295","61,375"
101.04,Saline County,Arkansas,"1,527","87,708","105,908"
101.05,Saline County,Arkansas,"2,325","80,841","108,641"
101.06,Saline County,Arkansas,"1,296","66,768","80,711"
101.07,Saline County,Arkansas,"2,705","61,938","75,650"
103.01,Saline County,Arkansas,"2,274","61,364","84,317"
103.02,Saline County,Arkansas,"1,620","72,387","101,615"
103.03,Saline County,Arkansas,"1,557","114,375","121,011"
104.05,Saline County,Arkansas,"1,822","83,571","95,624"
104.06,Saline County,Arkansas,"1,966","63,942","81,235"
104.07,Saline County,Arkansas,"1,873","73,527","91,207"
104.08,Saline County,Arkansas,"3,087","68,580","85,728"
104.09,Saline County,Arkansas,"1,143","68,153","82,184"
104.10,Saline County,Arkansas,"1,038","74,353","88,255"
104.11,Saline County,Arkansas,"2,102","94,500","125,512"
105.07,Saline County,Arkansas,"1,497","83,194","110,729"
105.08,Saline County,Arkansas,"2,024","76,364","86,094"
105.09,Saline County,Arkansas,"1,923","96,813","124,121"
105.11,Saline County,Arkansas,"2,583","88,705","112,554"
105.12,Saline County,Arkansas,"1,196","98,182","102,787"
105.13,Saline County,Arkansas,"1,145","86,382","84,217"
105.14,Saline County,Arkansas,"1,027","84,990","90,690"
105.15,Saline County,Arkansas,"1,251","74,844","91,042"
105.16,Saline County,Arkansas,"1,002","78,913","95,262"
105.17,Saline County,Arkansas,"1,613","81,059","105,420"
105.18,Saline County,Arkansas,"1,224","110,096","122,876"
105.19,Saline County,Arkansas,"1,854","87,700","90,082"
105.20,Saline County,Arkansas,701,"68,125","63,213"
106.01,Saline County,Arkansas,"1,471","49,847","58,839"
106.02,Saline County,Arkansas,"1,016","53,077","62,112"
9501,Scott County,Arkansas,"1,557","48,150","62,936"
9502,Scott County,Arkansas,"1,493","41,801","49,217"
9503,Scott County,Arkansas,877,"50,346","60,571"
9701,Searcy County,Arkansas,842,"43,938","55,230"
9702,Searcy County,Arkansas,"1,405","31,670","48,707"
9703,Searcy County,Arkansas,805,"50,506","58,357"
1,Sebastian County,Arkansas,"2,181","36,956","45,134"
2,Sebastian County,Arkansas,"1,941","47,121","56,486"
3,Sebastian County,Arkansas,877,"42,201","52,273"
4,Sebastian County,Arkansas,"1,268","29,842","42,014"
5.01,Sebastian County,Arkansas,"1,763","35,754","45,975"
5.02,Sebastian County,Arkansas,"1,006","50,333","65,761"
6,Sebastian County,Arkansas,"2,339","47,730","97,380"
7,Sebastian County,Arkansas,"2,010","43,500","56,039"
8,Sebastian County,Arkansas,"1,862","34,333","55,139"
10.01,Sebastian County,Arkansas,"2,100","37,444","50,948"
10.02,Sebastian County,Arkansas,"1,041","98,284","110,332"
11.01,Sebastian County,Arkansas,"1,896","49,408","76,743"
11.02,Sebastian County,Arkansas,"1,457","62,339","79,714"
12.01,Sebastian County,Arkansas,"1,472","58,258","92,496"
12.02,Sebastian County,Arkansas,"1,150","41,250","54,496"
13.01,Sebastian County,Arkansas,"1,052","96,809","116,107"
13.05,Sebastian County,Arkansas,"2,037","66,924","96,975"
13.06,Sebastian County,Arkansas,"1,843","104,100","272,565"
13.07,Sebastian County,Arkansas,"1,592","57,011","103,134"
13.08,Sebastian County,Arkansas,"1,976","52,917","72,444"
13.09,Sebastian County,Arkansas,841,"44,604","59,183"
13.10,Sebastian County,Arkansas,"2,057","62,409","83,567"
13.11,Sebastian County,Arkansas,"1,535","105,066","124,488"
13.12,Sebastian County,Arkansas,"1,712","57,372","86,950"
101.01,Sebastian County,Arkansas,"2,311","71,678","93,058"
101.02,Sebastian County,Arkansas,"2,114","83,077","86,501"
102.01,Sebastian County,Arkansas,"2,097","65,605","101,624"
102.02,Sebastian County,Arkansas,"1,660","62,262","80,559"
103.01,Sebastian County,Arkansas,"2,380","60,909","108,099"
103.03,Sebastian County,Arkansas,"1,068","45,962","57,077"
103.04,Sebastian County,Arkansas,"1,313","59,773","90,477"
801,Sevier County,Arkansas,"1,181","48,902","64,895"
802,Sevier County,Arkansas,"1,359","52,292","78,760"
803,Sevier County,Arkansas,"2,128","52,259","60,832"
804,Sevier County,Arkansas,"1,029","52,829","70,388"
4701,Sharp County,Arkansas,781,"42,208","68,811"
4702.01,Sharp County,Arkansas,"1,082","35,700","53,605"
4702.02,Sharp County,Arkansas,"1,272","36,409","46,783"
4703,Sharp County,Arkansas,"1,494","40,833","58,244"
4704.01,Sharp County,Arkansas,"1,141","63,875","114,302"
4704.02,Sharp County,Arkansas,"1,040","48,235","60,434"
9501,Stone County,Arkansas,"1,708","44,040","56,804"
9502.01,Stone County,Arkansas,557,"32,083","50,930"
9502.03,Stone County,Arkansas,914,"33,227","62,331"
9502.04,Stone County,Arkansas,"1,783","35,893","46,455"
9501,Union County,Arkansas,"1,398","36,110","65,928"
9502,Union County,Arkansas,"1,503","48,301","64,618"
9503,Union County,Arkansas,"1,080","58,362","71,197"
9504.01,Union County,Arkansas,731,"34,950","60,311"
9504.02,Union County,Arkansas,"1,433","67,617","99,337"
9505.01,Union County,Arkansas,"1,290","67,750","112,210"
9505.02,Union County,Arkansas,"1,021","66,525","85,088"
9506,Union County,Arkansas,"1,397","51,716","74,629"
9507,Union County,Arkansas,"1,755","50,286","60,176"
9508,Union County,Arkansas,"1,337","59,515","96,061"
9509,Union County,Arkansas,881,"29,876","40,594"
9510,Union County,Arkansas,"1,299","36,380","52,675"
4601,Van Buren County,Arkansas,"1,530","43,250","58,728"
4602,Van Buren County,Arkansas,"1,325","38,787","52,636"
4603.01,Van Buren County,Arkansas,984,"47,950","73,039"
4603.03,Van Buren County,Arkansas,837,"49,699","60,198"
4603.04,Van Buren County,Arkansas,840,"44,531","58,649"
4604,Van Buren County,Arkansas,"1,599","54,013","63,932"
101.01,Washington County,Arkansas,"1,750","67,500","85,622"
101.07,Washington County,Arkansas,"2,624","108,160","133,891"
101.08,Washington County,Arkansas,"2,136","132,586","205,867"
101.09,Washington County,Arkansas,"1,217","95,704","103,988"
101.10,Washington County,Arkansas,"2,123","59,672","109,209"
101.11,Washington County,Arkansas,964,"76,739","113,220"
101.12,Washington County,Arkansas,981,"89,561","118,063"
101.13,Washington County,Arkansas,"2,809","101,278","155,725"
101.14,Washington County,Arkansas,"1,696","52,388","72,559"
101.15,Washington County,Arkansas,"1,683","111,563","131,357"
102.01,Washington County,Arkansas,"1,353","37,101","55,801"
102.02,Washington County,Arkansas,987,"52,796","55,928"
103.03,Washington County,Arkansas,"2,267","72,316","94,861"
103.04,Washington County,Arkansas,"1,842","49,299","77,136"
103.05,Washington County,Arkansas,"1,680","78,051","92,564"
103.06,Washington County,Arkansas,"1,277","57,068","109,284"
103.07,Washington County,Arkansas,"1,799","47,578","114,265"
104.01,Washington County,Arkansas,"2,334","53,990","76,320"
104.02,Washington County,Arkansas,"1,681","63,537","72,875"
104.04,Washington County,Arkansas,918,"29,569","36,270"
104.05,Washington County,Arkansas,"1,901","87,063","102,856"
105.01,Washington County,Arkansas,"2,930","89,107","137,652"
105.08,Washington County,Arkansas,"2,986","80,313","101,440"
105.10,Washington County,Arkansas,"1,654","73,778","87,378"
105.11,Washington County,Arkansas,"2,721","92,705","131,009"
105.12,Washington County,Arkansas,"2,011","58,453","80,073"
105.13,Washington County,Arkansas,"1,216","62,642","76,186"
105.14,Washington County,Arkansas,"1,362","63,021","88,853"
105.15,Washington County,Arkansas,"2,740","100,102","125,713"
105.16,Washington County,Arkansas,"2,324","71,311","71,889"
105.17,Washington County,Arkansas,"2,234","113,684","143,135"
105.18,Washington County,Arkansas,"1,667","100,134","150,156"
105.19,Washington County,Arkansas,"1,599","85,069","123,044"
105.20,Washington County,Arkansas,"1,506","86,634","119,828"
105.21,Washington County,Arkansas,"1,588","65,388","69,049"
106.01,Washington County,Arkansas,"1,382","38,391","56,711"
106.02,Washington County,Arkansas,"2,102","32,128","45,292"
107.03,Washington County,Arkansas,"1,592","30,842","34,672"
107.04,Washington County,Arkansas,"1,944","24,557","31,992"
107.05,Washington County,Arkansas,"1,795","58,527","69,496"
107.06,Washington County,Arkansas,954,"72,262","108,314"
110.02,Washington County,Arkansas,"2,118","62,283","74,399"
110.03,Washington County,Arkansas,"1,816","65,313","80,449"
110.04,Washington County,Arkansas,"1,588","56,458","73,334"
110.05,Washington County,Arkansas,"1,574","74,890","87,851"
110.06,Washington County,Arkansas,"2,356","81,932","95,377"
111.03,Washington County,Arkansas,"1,702","69,815","90,822"
111.04,Washington County,Arkansas,"1,658","27,794","44,195"
111.05,Washington County,Arkansas,"1,807","36,427","47,487"
111.06,Washington County,Arkansas,"1,302","95,208","97,503"
111.07,Washington County,Arkansas,"1,940","64,638","82,457"
112,Washington County,Arkansas,964,"71,094","82,325"
113.01,Washington County,Arkansas,791,"28,594","50,868"
113.02,Washington County,Arkansas,"1,522","28,771","48,670"
701,White County,Arkansas,"1,343","39,875","55,962"
702,White County,Arkansas,"2,045","55,709","65,181"
703,White County,Arkansas,"1,818","60,278","64,093"
704.01,White County,Arkansas,"2,052","71,004","80,078"
704.02,White County,Arkansas,"1,665","35,677","51,506"
705.01,White County,Arkansas,"1,199","58,194","84,696"
705.02,White County,Arkansas,966,"42,992","79,576"
706,White County,Arkansas,"1,384","47,500","57,364"
707,White County,Arkansas,"1,589","54,340","79,626"
708.01,White County,Arkansas,502,"31,653","47,674"
708.02,White County,Arkansas,"1,223","34,649","44,957"
709.01,White County,Arkansas,"1,635","79,408","105,141"
709.02,White County,Arkansas,"1,816","91,204","120,981"
710.01,White County,Arkansas,"1,352","58,339","83,939"
710.02,White County,Arkansas,"1,455","75,263","82,515"
711.01,White County,Arkansas,"1,555","26,903","39,757"
711.02,White County,Arkansas,"1,186","55,813","58,758"
712.01,White County,Arkansas,"1,970","66,250","101,227"
712.02,White County,Arkansas,"2,190","49,883","61,788"
4901,Woodruff County,Arkansas,"1,682","44,138","63,951"
4902,Woodruff County,Arkansas,"1,071","53,647","66,607"
9523.01,Yell County,Arkansas,"1,018","48,150","60,050"
9523.02,Yell County,Arkansas,"1,207","61,637","66,305"
9524.01,Yell County,Arkansas,953,"65,607","71,178"
9524.02,Yell County,Arkansas,"2,146","72,132","76,240"
9525,Yell County,Arkansas,"1,619","47,766","56,642"
9526,Yell County,Arkansas,"1,110","53,013","65,930"
