School Name,District Name,County,Latitude,Longitude,Tract,Normalized Tract,Unique ID,Grades,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11,Number of Students in grade 11 that took the ACT,% Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
Ashdown High School,Ashdown,LITTLE RIVER,33.6654002,-94.1140836,30104,301.04,30104LITTLE,9-12,6%,39%,13%,7%,3%,396,68%,63%,6%,25%,6%,37%,4,97,91,94%,15.7,15.9,16.3,17.5,0,LITTLE RIVER,4101004,4101000,0.059,0.941,0.552,0.342,0.003,0,0,0,0.044,2543,151,2392,1403,870,8,0,0,0,111,0.091,0.142,0.767,0,0.025,0.057,0.264,0.325,0.032,0.225,0.071,253,23,36,194,0,1589,39,91,420,517,51,358,113,909,39738,65086
Atkins High School,Atkins,POPE,35.2453482,-92.941787,951100,9511.00,951100POPE,9-12,21%,61%,40%,30%,9%,335,66%,93%,2%,1%,3%,7%,1,78,43,55%,18.5,18.6,19.3,19.7,0,POPE,5801002,5801000,0.002,0.998,0.951,0.013,0,0,0,0,0.034,3619,6,3613,3443,47,0,0,0,0,123,0.188,0.058,0.442,0.312,0.044,0.059,0.377,0.312,0.076,0.079,0.054,138,26,8,61,43,2773,121,163,1045,865,210,218,151,1451,67434,80586
Augusta High School,Augusta,WOODRUFF,35.283595,-91.355537,490200,4902.00,490200WOODRUFF,7-12,RV,14%,11%,7%,RV,151,85%,37%,1%,56%,6%,63%,2,29,28,97%,14.9,13,15.5,15.4,0,WOODRUFF,7401003,7401000,0.01,0.99,0.616,0.35,0,0,0.008,0,0.015,2274,22,2252,1400,797,1,0,19,0,35,0.167,0.384,0.448,0,0.021,0.13,0.46,0.124,0.105,0.068,0.092,203,34,78,91,0,1612,34,209,741,200,170,109,149,1071,53647,66607
Bald Knob High School,Bald Knob,WHITE,35.3168149,-91.5718281,70600,706.00,70600WHITE,9-12,13%,43%,28%,15%,5%,336,55%,89%,5%,1%,5%,11%,2,83,40,48%,17.2,16.8,18.4,17.8,0,WHITE,7301003,7301000,0.041,0.959,0.904,0.004,0.004,0,0,0,0.047,3580,147,3433,3236,14,14,0,0,0,169,0.244,0.452,0.256,0.048,0.033,0.136,0.506,0.127,0.075,0.072,0.051,270,66,122,69,13,2413,80,327,1222,307,180,174,123,1384,47500,57364
Barton High School,Barton,PHILLIPS,34.5523289,-90.7673009,480202,4802.02,480202PHILLIPS,7-12,6%,18%,9%,9%,3%,308,85%,54%,4%,40%,3%,46%,5,39,34,87%,15.9,14.1,14.5,17.3,0,PHILLIPS,5401003,5401000,0.012,0.988,0.621,0.307,0.002,0,0,0,0.058,1974,24,1950,1225,607,3,0,0,0,115,0.046,0.318,0.636,0,0.022,0.093,0.359,0.235,0.096,0.14,0.056,151,7,48,96,0,1338,29,124,480,314,129,187,75,681,66250,81204
Batesville High School Charter,Batesville,INDEPENDENCE,35.7549833,-91.6239899,490500,4905.00,490500INDEPENDENCE,9-12,21%,45%,35%,29%,14%,997,46%,60%,29%,5%,6%,40%,2,235,161,69%,18.2,17.8,19.5,19.4,0,INDEPENDENCE,3201703,3201000,0.149,0.851,0.775,0.031,0,0.017,0,0.026,0.002,3329,497,2832,2580,102,0,56,0,87,7,0.262,0.5,0.238,0,0.021,0.051,0.358,0.154,0.067,0.204,0.144,164,43,82,39,0,2329,50,119,834,358,157,475,336,1357,69526,103519
Bauxite High School,Bauxite,SALINE,34.5535477,-92.5108387,10602,106.02,10602SALINE,9-12,10%,30%,21%,17%,7%,549,30%,89%,6%,3%,2%,11%,3,144,138,96%,16.5,15.3,17.2,17.5,0,SALINE,6301002,6301000,0.066,0.934,0.745,0.134,0,0,0,0,0.054,2506,166,2340,1868,336,0,0,0,0,136,0,0.581,0.419,0,0,0.113,0.447,0.183,0.086,0.137,0.034,74,0,43,31,0,1688,0,190,754,309,145,232,58,1016,53077,62112
Bay High School,Bay,CRAIGHEAD,35.7470474,-90.566101,900,9.00,900CRAIGHEAD,7-12,10%,52%,31%,14%,3%,229,49%,94%,2%,3%,0%,6%,2,33,29,88%,16.6,17.8,18.2,18.8,0,CRAIGHEAD,1601002,1601000,0.014,0.986,0.905,0.033,0.002,0,0,0,0.046,6130,84,6046,5547,204,14,0,0,0,281,0.046,0.471,0.401,0.081,0.031,0.075,0.43,0.204,0.111,0.089,0.059,431,20,203,173,35,4100,128,307,1764,838,454,366,243,2455,58382,70936
Bearden High School,Bearden,OUACHITA,33.7309841,-92.6212832,950102,9501.02,950102OUACHITA,7-12,6%,31%,17%,17%,6%,231,71%,57%,4%,30%,9%,43%,4,40,36,90%,16.2,16.4,18,17.4,0,OUACHITA,5201002,5201000,0.015,0.985,0.641,0.33,0,0,0,0,0.014,2817,42,2775,1805,931,0,0,0,0,39,0.525,0.23,0.246,0,0.024,0.104,0.517,0.198,0.058,0.072,0.027,122,64,28,30,0,1954,46,203,1011,387,113,141,53,1023,48569,67278
Beebe High School,Beebe,WHITE,35.0642972,-91.8927462,71202,712.02,71202WHITE,9-12,22%,51%,26%,24%,10%,"1,055",46%,82%,9%,4%,5%,18%,2,278,228,82%,18.3,18.1,18.7,19,0,WHITE,7302010,7302000,0.032,0.968,0.874,0.027,0,0,0,0,0.067,5555,179,5376,4855,149,0,0,0,0,372,0.377,0.526,0.097,0,0.046,0.026,0.392,0.236,0.149,0.124,0.028,175,66,92,17,0,3847,177,100,1507,906,574,476,107,2190,49883,61788
Belle Point Alternative Center,Fort Smith,SEBASTIAN,35.3729158,-94.4172264,800,8.00,800SEBASTIAN,6-12,N<10,N<10,N<10,N<10,N<10,73,75%,37%,22%,23%,18%,63%,1,12,N<10,N<10,N<10,N<10,N<10,N<10,0,SEBASTIAN,6601005,6601000,0.224,0.776,0.571,0.09,0.003,0.015,0,0,0.097,4201,941,3260,2398,378,13,62,0,0,409,0.144,0.308,0.507,0.041,0.025,0.148,0.296,0.291,0.05,0.105,0.087,617,89,190,313,25,2599,64,384,769,756,129,272,225,1862,34333,55139
Benton High School,Benton,SALINE,34.5654181,-92.5743607,10101,101.01,10101SALINE,10-12,36%,63%,45%,38%,25%,"1,298",33%,72%,12%,9%,7%,28%,3,472,405,86%,20,20.2,20.7,20.9,0,SALINE,6302012,6302000,0.063,0.937,0.862,0.065,0.001,0.001,0,0,0.009,3762,237,3525,3242,243,5,2,0,0,33,0.165,0.556,0.212,0.067,0.021,0.128,0.37,0.246,0.085,0.11,0.04,448,74,249,95,30,2655,56,340,982,654,226,291,106,1727,53295,61375
