School Name,District Name,County,Latitude,Longitude,Tract,Normalized Tract,Unique ID,Grades,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11,Number of Students in grade 11 that took the ACT,% Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
Bryant High School,Bryant,SALINE,34.600728,-92.4919453,10107,101.07,10107SALINE,10-12,25%,53%,37%,25%,18%,"2,290",39%,54%,18%,23%,5%,46%,3,800,694,87%,18.3,18.6,19.2,19.2,0,SALINE,6303022,6303000,0.043,0.957,0.771,0.101,0.005,0.026,0,0.002,0.052,6082,260,5822,4689,613,31,161,0,13,315,0.066,0.341,0.505,0.088,0.025,0.043,0.383,0.181,0.107,0.18,0.081,662,44,226,334,58,3594,90,154,1378,650,384,646,292,2705,61938,75650
Buffalo Island Central High School,Buffalo Island Central,CRAIGHEAD,35.8887051,-90.3512309,1000,10.00,1000CRAIGHEAD,7-12,9%,46%,26%,11%,3%,325,55%,78%,19%,1%,2%,22%,2,44,35,80%,17.2,17.3,18.3,16.9,0,CRAIGHEAD,1605065,1605000,0.076,0.924,0.889,0.002,0,0.003,0,0,0.03,3840,290,3550,3413,9,1,12,0,0,115,0.201,0.262,0.491,0.047,0.072,0.064,0.455,0.169,0.045,0.122,0.074,279,56,73,137,13,2625,188,167,1194,443,119,321,193,1504,52074,68817
Cabot High School,Cabot,LONOKE,34.9722833,-92.0113661,20202,202.02,20202LONOKE,10-12,31%,65%,42%,37%,20%,"2,187",38%,82%,8%,3%,7%,18%,3,754,688,91%,19.4,20,20.3,20.6,0,LONOKE,4304005,4304000,0.079,0.921,0.782,0.078,0,0,0,0,0.061,3339,265,3074,2611,260,0,0,0,0,203,0,0.591,0.409,0,0.019,0.055,0.453,0.209,0.112,0.106,0.046,137,0,81,56,0,2196,42,121,994,459,246,232,102,1271,61359,76759
Caddo Academy,Caddo Hills,MONTGOMERY,34.4083399,-93.7029002,953200,9532.00,953200MONTGOMERY,7-12,2%,36%,26%,7%,2%,254,82%,78%,17%,0%,5%,22%,4,51,42,82%,16.3,16,17.5,17.5,0,MONTGOMERY,4901703,4901000,0.059,0.941,0.872,0.009,0.008,0.022,0,0,0.029,3428,203,3225,2988,32,28,77,0,0,100,0.345,0.256,0.323,0.076,0.039,0.063,0.421,0.236,0.082,0.119,0.04,223,77,57,72,17,2526,99,158,1064,597,206,301,101,1395,55793,67041
Calico Rock High School,Calico Rock,IZARD,36.1226593,-92.1263721,960300,9603.00,960300IZARD,7-12,9%,32%,27%,14%,9%,185,61%,97%,2%,0%,1%,3%,2,27,22,81%,15.7,16,18.1,17.5,0,IZARD,3301002,3301000,0.055,0.945,0.715,0.067,0,0.003,0.003,0,0.157,3093,171,2922,2210,208,1,8,9,0,486,0.266,0.468,0.26,0.006,0.096,0.148,0.422,0.16,0.035,0.111,0.028,173,46,81,45,1,2647,255,391,1118,423,92,293,75,1020,45000,51049
Camden Fairview High School,Camden Fairview,OUACHITA,33.5513511,-92.8530052,950600,9506.00,950600OUACHITA,9-12,RV,12%,6%,2%,RV,693,70%,28%,2%,63%,6%,72%,4,194,165,85%,14,12.4,14.2,15,0,OUACHITA,5204023,5204000,0.08,0.92,0.318,0.574,0,0.003,0,0,0.025,3306,263,3043,1051,1898,0,10,0,0,84,0.157,0.25,0.568,0.025,0.038,0.124,0.414,0.239,0.06,0.087,0.038,324,51,81,184,8,2255,86,280,934,539,135,196,85,1345,50364,48366
Carlisle High School,Carlisle,LONOKE,34.7794609,-91.7317962,20400,204.00,20400LONOKE,7-12,3%,23%,21%,23%,3%,281,58%,81%,7%,8%,4%,19%,3,43,39,91%,16.2,14.9,17.6,17.6,0,LONOKE,4303013,4303000,0.005,0.995,0.861,0.089,0.002,0,0,0,0.043,2931,14,2917,2524,261,7,0,0,0,125,0.369,0.569,0.062,0,0.022,0.075,0.498,0.159,0.068,0.104,0.074,130,48,74,8,0,2054,45,155,1023,326,140,213,152,1102,48115,68227
Cave City High Career & Collegiate Preparatory School,Cave City,SHARP,35.9417534,-91.5483762,470401,4704.01,470401SHARP,9-12,13%,38%,22%,18%,8%,359,75%,92%,4%,2%,2%,8%,2,97,79,81%,17.1,17.1,17.9,18.5,0,SHARP,6802703,6802000,0.008,0.992,0.956,0.013,0,0,0,0,0.023,3152,24,3128,3014,42,0,0,0,0,72,0.087,0.581,0.315,0.017,0.056,0.099,0.445,0.201,0.092,0.064,0.044,241,21,140,76,4,2133,119,211,949,428,197,136,93,1141,63875,114302
Cedar Ridge High School,Cedar Ridge,INDEPENDENCE,35.7199993,-91.4455801,490400,4904.00,490400INDEPENDENCE,6-12,8%,34%,18%,16%,5%,359,68%,91%,5%,2%,2%,9%,2,59,38,64%,16.8,16.3,16.9,17.6,0,INDEPENDENCE,3212027,3212000,0.033,0.967,0.892,0.012,0,0,0,0,0.064,4426,144,4282,3946,53,1,0,0,0,282,0.159,0.385,0.433,0.023,0.032,0.116,0.38,0.265,0.106,0.078,0.023,439,70,169,190,10,3081,99,358,1172,815,326,241,70,1880,43869,58274
Cedarville High School,Cedarville,CRAWFORD,35.5699845,-94.3672114,20206,202.06,20206CRAWFORD,9-12,13%,31%,24%,18%,8%,243,69%,86%,4%,0%,10%,14%,1,68,62,91%,17.1,15.1,17.7,18,0,CRAWFORD,1702009,1702000,0.016,0.984,0.889,0,0.012,0.008,0,0,0.076,1733,28,1705,1540,0,20,14,0,0,131,0,0.179,0.821,0,0.099,0.108,0.4,0.185,0.083,0.082,0.042,84,0,15,69,0,1370,135,148,548,254,114,113,58,829,51542,58500
Centerpoint Academy Of Agriculture & Skilled Trade,Centerpoint,PIKE,34.0284833,-93.9486199,950100,9501.00,950100PIKE,11-12,N<10,N<10,N<10,N<10,N<10,18,67%,100%,0%,0%,0%,0%,4,9,N<10,N<10,N<10,N<10,N<10,N<10,0,PIKE,5502703,5502000,Error With ID: 950100PIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centerpoint High School,Centerpoint,PIKE,34.0265019,-93.9476887,950100,9501.00,950100PIKE,6-12,9%,56%,29%,25%,3%,523,69%,75%,23%,1%,1%,25%,4,72,68,94%,16.8,18.2,19.1,19.5,0,PIKE,5502013,5502000,Error With ID: 950100PIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central High School,Little Rock,PULASKI,34.7367998,-92.2986873,4500,45.00,4500PULASKI,9-12,28%,52%,41%,30%,22%,"2,260",54%,29%,9%,49%,13%,71%,3,566,453,80%,18.7,18.7,20.6,19.5,0,PULASKI,6001001,6001000,0.017,0.983,0.113,0.822,0.004,0.018,0,0,0.025,2118,37,2081,240,1740,9,38,0,0,54,0.052,0.076,0.848,0.024,0.03,0.072,0.347,0.278,0.032,0.172,0.069,580,30,44,492,14,1217,37,88,422,338,39,209,84,748,36154,51933
Charleston High School,Charleston,FRANKLIN,35.2941544,-94.046352,950302,9503.02,950302FRANKLIN,7-12,24%,68%,35%,22%,14%,418,47%,89%,5%,0%,5%,11%,1,59,37,63%,18.6,18.8,19.7,20,0,FRANKLIN,2402007,2402000,0,1,0.834,0.005,0.003,0.011,0,0,0.147,3190,0,3190,2659,17,9,36,0,0,469,0.237,0.265,0.329,0.169,0.015,0.085,0.367,0.179,0.133,0.171,0.049,219,52,58,72,37,2156,33,183,792,387,287,369,105,1285,59896,72769
Clarendon High School,Clarendon,MONROE,34.6952361,-91.3060175,950200,9502.00,950200MONROE,7-12,3%,24%,12%,3%,RV,194,91%,30%,8%,51%,11%,70%,5,36,34,94%,15,13.4,15.4,15.6,0,MONROE,4802010,4802000,0.021,0.979,0.694,0.236,0,0,0,0.003,0.047,2258,47,2211,1566,532,0,0,0,6,107,0.167,0.54,0.278,0.016,0.071,0.091,0.31,0.231,0.099,0.154,0.044,126,21,68,35,2,1501,106,136,466,347,149,231,66,826,48611,68595
Clarksville High School,Clarksville,JOHNSON,36.5297706,-87.3611694,952000,9520.00,952000JOHNSON,10-12,12%,52%,27%,17%,10%,576,67%,51%,36%,1%,11%,49%,1,192,147,77%,16.7,18.1,18.8,18.1,0,JOHNSON,3601005,3601000,0.177,0.823,0.658,0.019,0,0.093,0,0,0.053,3836,678,3158,2526,71,0,356,0,0,205,0.307,0.229,0.416,0.048,0.067,0.151,0.468,0.173,0.019,0.083,0.039,332,102,76,138,16,2517,169,381,1178,435,48,209,97,1753,30892,39488
Clinton High School,Clinton,VAN BUREN,35.5875399,-92.4601382,460200,4602.00,460200VAN,9-12,24%,48%,36%,30%,17%,418,62%,92%,5%,1%,2%,8%,1,102,83,81%,18.1,17.1,19.8,19.4,0,VAN BUREN,7102006,7102000,0.107,0.893,0.884,0.006,0.002,0,0,0,0.001,3192,342,2850,2822,19,5,0,0,0,4,0.201,0.377,0.085,0.337,0.055,0.066,0.498,0.217,0.041,0.092,0.031,199,40,75,17,67,2231,123,147,1110,485,91,205,70,1325,38787,52636
Concord High School,Concord,CLEBURNE,35.6633763,-91.8477224,480100,4801.00,480100CLEBURNE,7-12,13%,50%,28%,6%,RV,184,51%,96%,4%,1%,0%,4%,2,32,32,100%,16.4,17.1,18.2,17.8,0,CLEBURNE,1201002,1201000,0.017,0.983,0.941,0.001,0.017,0.004,0,0,0.02,3735,62,3673,3514,2,65,16,0,0,76,0.261,0.28,0.46,0,0.047,0.102,0.408,0.184,0.069,0.128,0.061,211,55,59,97,0,2831,133,289,1156,522,194,363,174,1517,55685,69279
Conway High School,Conway,FAULKNER,35.0920373,-92.4491828,30701,307.01,30701FAULKNER,10-12,26%,51%,37%,33%,17%,"2,248",46%,53%,13%,28%,6%,47%,3,766,598,78%,18.8,18.5,19.8,19.7,0,FAULKNER,2301006,2301000,0.098,0.902,0.694,0.159,0.003,0.007,0,0.002,0.037,3829,374,3455,2659,609,13,26,0,8,140,0.022,0.179,0.76,0.039,0.049,0.058,0.344,0.165,0.073,0.189,0.122,1676,37,300,1274,65,1732,85,101,595,286,127,327,211,1241,45938,52356
Corning High School,Corning,CLAY,36.4186782,-90.5798737,950400,9504.00,950400CLAY,9-12,9%,39%,30%,24%,9%,225,65%,92%,3%,1%,3%,8%,2,53,33,62%,16.5,16.9,18.2,17.8,0,CLAY,1101004,1101000,0.011,0.989,0.913,0,0.008,0,0,0,0.069,3151,34,3117,2876,0,24,0,0,0,217,0.071,0.482,0.335,0.112,0.044,0.072,0.476,0.154,0.056,0.118,0.08,197,14,95,66,22,2215,97,159,1054,342,123,262,178,1366,44034,60810
Cossatot River High School,Cossatot River,POLK,34.3832364,-94.3869121,950500,9505.00,950500POLK,7-12,14%,53%,28%,19%,5%,385,72%,62%,30%,0%,8%,38%,4,61,58,95%,17.5,17.8,18.6,18.9,0,POLK,5707023,5707000,0.027,0.973,0.831,0,0.022,0,0.02,0.025,0.074,2122,58,2064,1763,0,47,0,43,53,158,0.237,0.48,0.283,0,0.053,0.114,0.411,0.243,0.057,0.089,0.032,152,36,73,43,0,1463,78,167,601,356,84,130,47,800,48929,69928
Cotter High School,Cotter,BAXTER,36.2789437,-92.5212095,950900,9509.00,950900BAXTER,7-12,17%,50%,40%,27%,14%,324,65%,94%,3%,1%,2%,6%,1,54,52,96%,17.6,18.2,19.2,19.5,0,BAXTER,302007,302000,0.015,0.985,0.926,0.004,0,0.002,0,0.001,0.052,5596,86,5510,5181,23,0,10,0,5,291,0.232,0.363,0.392,0.013,0.009,0.097,0.381,0.244,0.137,0.081,0.051,311,72,113,122,4,4066,36,394,1548,991,558,331,208,2440,46944,59383
County Line High School,County Line,FRANKLIN,35.307318,-93.9167499,950200,9502.00,950200FRANKLIN,7-12,13%,44%,26%,35%,9%,242,68%,87%,2%,2%,10%,13%,1,31,23,74%,18,16.7,18,19.8,0,FRANKLIN,2403012,2403000,Error With ID: 950200FRANKLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Cnty High A New Tech School,Cross County,CROSS,35.2998913,-90.8294002,950200,9502.00,950200CROSS,7-12,5%,41%,21%,10%,2%,312,72%,84%,3%,12%,1%,16%,2,52,42,81%,16,16,17.8,17.7,0,CROSS,1901703,1901000,0.009,0.991,0.92,0.02,0.009,0.003,0,0,0.038,3069,28,3041,2822,62,29,10,0,0,118,0.071,0.252,0.646,0.031,0.046,0.094,0.498,0.203,0.044,0.095,0.02,254,18,64,164,8,2255,104,211,1123,458,100,215,44,1263,39531,75566
Crossett High School,Crossett,ASHLEY,33.1240976,-91.9611917,960600,9606.00,960600ASHLEY,9-12,3%,16%,15%,6%,2%,483,49%,58%,4%,35%,2%,42%,5,114,95,83%,15.2,13.9,16.2,15.8,0,ASHLEY,201006,201000,0.023,0.977,0.55,0.397,0,0,0,0,0.031,5015,115,4900,2758,1989,0,0,0,0,153,0.048,0.622,0.268,0.062,0.026,0.044,0.47,0.184,0.054,0.182,0.04,503,24,313,135,31,3683,97,163,1730,679,199,669,146,2256,45172,64869
Cutter-Morning Star High School,Cutter-Morning Star,GARLAND,34.5031471,-92.9905242,11601,116.01,11601GARLAND,7-12,4%,48%,30%,8%,2%,316,69%,72%,13%,4%,12%,28%,3,59,50,85%,16.1,16.5,18.4,17.3,0,GARLAND,2601002,2601000,0.114,0.886,0.739,0.079,0,0.023,0,0,0.046,4930,560,4370,3643,389,0,112,0,0,226,0.07,0.557,0.342,0.03,0.015,0.028,0.25,0.202,0.104,0.249,0.152,558,39,311,191,17,3251,50,90,812,658,338,810,493,1982,70732,94115
Danville High School,Danville,YELL,35.0526252,-93.3912744,952500,9525.00,952500YELL,9-12,7%,41%,21%,14%,7%,234,73%,44%,52%,1%,3%,56%,1,63,58,92%,16.2,16.8,16.8,18.1,0,YELL,7503006,7503000,0.259,0.741,0.713,0.012,0.006,0,0,0.003,0.007,4231,1096,3135,3018,49,25,0,0,14,29,0.241,0.37,0.291,0.097,0.054,0.174,0.375,0.24,0.053,0.082,0.021,381,92,141,111,37,2852,155,497,1069,684,152,235,60,1619,47766,56642
Dardanelle High School,Dardanelle,YELL,35.2074294,-93.1571745,952301,9523.01,952301YELL,9-12,37%,74%,52%,41%,19%,666,67%,53%,40%,3%,4%,47%,1,179,81,45%,20.6,20.9,21.4,22,0,YELL,7504011,7504000,0.336,0.664,0.56,0.067,0.008,0.002,0,0,0.026,2709,911,1798,1518,182,22,5,0,0,71,0.047,0.401,0.228,0.325,0.125,0.162,0.391,0.14,0.048,0.064,0.069,342,16,137,78,111,1738,217,282,679,244,84,112,120,1018,48150,60050
Decatur High School,Decatur,BENTON,36.3357841,-94.4606995,21003,210.03,21003BENTON,9-12,7%,24%,21%,10%,RV,175,71%,41%,44%,2%,14%,59%,1,40,29,73%,15.6,14.6,15.8,16.1,0,BENTON,402009,402000,0.18,0.82,0.501,0.03,0.018,0.03,0.05,0,0.19,2722,489,2233,1365,82,50,83,136,0,517,0.268,0.459,0.274,0,0.046,0.128,0.443,0.14,0.081,0.123,0.038,157,42,72,43,0,1830,85,235,811,257,148,225,69,937,61205,71026
Deer K-12 School,Deer/Mt. Judea,NEWTON,35.8987234,-93.0375914,180200,1802.00,180200NEWTON,K-12,N<10,N<10,N<10,N<10,N<10,166,68%,86%,4%,1%,9%,14%,1,13,N<10,N<10,N<10,N<10,N<10,N<10,0,NEWTON,5106003,5106000,0.024,0.976,0.914,0,0.018,0,0,0,0.043,3488,85,3403,3189,0,63,0,0,0,151,0,0.364,0.608,0.028,0.046,0.095,0.466,0.206,0.075,0.087,0.025,250,0,91,152,7,2680,124,255,1248,553,200,234,66,1552,46270,66989
DeQueen High School,DeQueen,SEVIER,34.028774,-94.358886,80200,802.00,80200SEVIER,10-12,9%,35%,17%,11%,6%,522,71%,29%,63%,2%,6%,71%,4,182,175,96%,16.5,16.3,16.9,17.3,0,SEVIER,6701003,6701000,0.297,0.703,0.587,0.013,0.034,0.012,0,0.01,0.047,3867,1150,2717,2269,50,130,45,0,40,183,0.012,0.301,0.617,0.071,0.141,0.093,0.302,0.267,0.058,0.083,0.057,326,4,98,201,23,2539,358,236,766,677,146,212,144,1359,52292,78760
Dermott High School,Dermott,CHICOT,33.5232086,-91.4289779,80200,802.00,80200CHICOT,7-12,RV,23%,8%,RV,RV,144,94%,1%,3%,96%,0%,99%,5,15,13,87%,13.3,12.5,13.9,15.4,0,CHICOT,901003,901000,0,1,0.227,0.765,0,0.004,0,0,0.004,2173,1,2172,494,1662,0,8,0,0,8,0.053,0.638,0.309,0,0.058,0.117,0.418,0.225,0.02,0.149,0.012,152,8,97,47,0,1372,79,161,573,309,28,205,17,889,25518,43304
Des Arc High School,Des Arc,PRAIRIE,34.977855,-91.4990196,460100,4601.00,460100PRAIRIE,7-12,20%,49%,27%,15%,7%,264,70%,86%,5%,8%,1%,14%,5,44,41,93%,18.4,17.4,18.2,17.3,0,PRAIRIE,5901002,5901000,0.033,0.967,0.868,0.06,0,0,0,0,0.039,3473,116,3357,3015,207,0,0,0,0,135,0.173,0.298,0.44,0.089,0.072,0.093,0.483,0.123,0.097,0.078,0.053,225,39,67,99,20,2664,193,249,1286,329,258,207,142,1442,39506,68932
DeWitt High School,DeWitt,ARKANSAS,34.2772634,-91.3494126,480600,4806.00,480600ARKANSAS,9-12,22%,44%,33%,28%,13%,350,57%,74%,5%,15%,5%,26%,5,101,82,81%,18.1,16.9,19,19.9,0,ARKANSAS,101004,101000,0.054,0.946,0.905,0.025,0,0,0,0,0.016,1695,92,1603,1534,42,0,0,0,0,27,0.102,0.49,0.381,0.027,0.041,0.044,0.476,0.188,0.078,0.099,0.073,147,15,72,56,4,1260,52,56,600,237,98,125,92,659,71227,79408
Dierks High School,Dierks,HOWARD,34.1190901,-94.0304333,950100,9501.00,950100HOWARD,7-12,11%,22%,28%,11%,6%,239,75%,88%,10%,0%,1%,12%,4,35,36,103%,16.7,15.1,17.7,18,0,HOWARD,3102002,3102000,0.002,0.998,0.935,0.023,0.002,0,0,0,0.038,3951,6,3945,3696,90,9,0,0,0,150,0.183,0.64,0.134,0.044,0.034,0.098,0.399,0.179,0.066,0.15,0.074,367,67,235,49,16,2688,92,263,1073,481,177,403,199,1769,32852,60469
Don Tyson School Of Innovation,Springdale,WASHINGTON,36.1601029,-94.0845611,10109,101.09,10109WASHINGTON,K-12,26%,62%,42%,35%,19%,"2,022",61%,42%,48%,2%,9%,58%,1,285,255,89%,18.7,19.8,20.5,20.3,0,WASHINGTON,7207703,7207000,0.056,0.944,0.848,0.001,0.014,0.002,0,0.001,0.078,3223,179,3044,2734,3,44,7,0,3,253,0.152,0.504,0.344,0,0.029,0.061,0.325,0.121,0.066,0.249,0.149,125,19,63,43,0,2306,67,141,749,279,153,574,343,1217,95704,103988
Dover High School,Dover,POPE,35.3971901,-93.1164735,950902,9509.02,950902POPE,9-12,18%,51%,33%,26%,13%,400,48%,92%,3%,2%,4%,8%,1,121,108,89%,17.3,18.3,18.3,19.2,0,POPE,5802006,5802000,0.066,0.934,0.863,0.017,0.002,0,0,0,0.052,4073,267,3806,3517,69,9,0,0,0,211,0.119,0.468,0.373,0.04,0.046,0.108,0.333,0.26,0.101,0.124,0.027,126,15,59,47,5,2926,134,317,975,762,295,364,79,1661,43125,68580
Drew Central High School,Drew Central,DREW,33.5912894,-91.807627,490300,4903.00,490300DREW,9-12,6%,25%,19%,14%,3%,326,65%,68%,6%,22%,4%,32%,5,69,65,94%,16.4,15.2,17,17.3,0,DREW,2202005,2202000,0.007,0.993,0.717,0.242,0,0.021,0,0,0.012,5632,39,5593,4037,1365,0,121,0,0,70,0.101,0.162,0.614,0.122,0.014,0.064,0.367,0.128,0.058,0.229,0.139,1380,139,224,848,169,3287,45,212,1207,421,191,753,458,2237,29756,63607
Driven Virtual Academy,Pulaski County Special,PULASKI,34.7538615,-92.2236667,2600,26.00,2600PULASKI,K-12,13%,33%,20%,13%,13%,218,40%,41%,8%,42%,9%,59%,3,23,15,65%,16.1,16,17.5,17.9,0,PULASKI,6003703,6003000,0,1,0.13,0.87,0,0,0,0,0,988,0,988,128,860,0,0,0,0,0,0,1,0,0,0.029,0.105,0.419,0.375,0.006,0.051,0.014,21,0,21,0,0,863,25,91,362,324,5,44,12,483,30602,45048
Dumas High School,Dumas,DESHA,33.8772133,-91.4701812,950200,9502.00,950200DESHA,9-12,8%,18%,3%,3%,RV,310,74%,13%,16%,67%,4%,87%,5,69,62,90%,15.1,13.3,14.9,15.6,0,DESHA,2104021,2104000,0.102,0.898,0.37,0.521,0.003,0,0.002,0,0.002,3808,390,3418,1410,1983,10,0,7,0,8,0.095,0.633,0.25,0.023,0.084,0.123,0.374,0.261,0.031,0.074,0.052,264,25,167,66,6,2481,209,305,929,647,78,183,130,1546,36707,47586
Earle High School,Earle,CRITTENDEN,35.2770661,-90.4487883,31100,311.00,31100CRITTENDEN,7-12,4%,8%,4%,4%,RV,186,94%,1%,1%,94%,4%,99%,2,28,24,86%,13.5,11.7,13.4,16.3,0,CRITTENDEN,1802007,1802000,0.012,0.988,0.139,0.709,0,0,0,0,0.14,1610,20,1590,224,1141,0,0,0,0,225,0.256,0.381,0.364,0,0.1,0.198,0.439,0.12,0.026,0.104,0.013,176,45,67,64,0,1007,101,199,442,121,26,105,13,632,31204,49153
East Poinsett Co. High School,East Poinsett County,POINSETT,35.6083508,-90.3404851,490100,4901.00,490100POINSETT,7-12,9%,34%,26%,11%,6%,274,77%,71%,8%,15%,6%,29%,2,35,35,100%,16.3,16.6,18,17,0,POINSETT,5608037,5608000,0.052,0.948,0.796,0.063,0.009,0,0.001,0,0.078,3798,197,3601,3023,241,35,0,4,0,298,0.285,0.162,0.397,0.156,0.073,0.101,0.434,0.179,0.052,0.133,0.027,365,104,59,145,57,2670,196,271,1160,478,140,354,71,1450,47069,75600
El Dorado High School,El Dorado,UNION,33.1998926,-92.6937606,950900,9509.00,950900UNION,9-12,17%,41%,27%,23%,11%,"1,220",58%,36%,12%,46%,6%,64%,4,328,280,85%,17.1,17.1,18.2,18.8,0,UNION,7001012,7001000,0.002,0.998,0.223,0.755,0,0,0,0,0.021,2298,4,2294,512,1734,0,0,0,0,48,0.25,0.621,0.129,0,0.024,0.185,0.457,0.216,0.048,0.064,0.007,116,29,72,15,0,1554,37,287,710,335,75,99,11,881,29876,40594
Elkins High School,Elkins,WASHINGTON,36.0042193,-94.014391,11106,111.06,11106WASHINGTON,9-12,16%,45%,32%,24%,10%,435,39%,82%,7%,2%,9%,18%,1,107,71,66%,17.4,17,19.1,19.2,0,WASHINGTON,7201002,7201000,0.155,0.845,0.724,0.001,0.004,0.005,0,0.015,0.095,3893,602,3291,2820,5,17,21,0,57,371,0.125,0.28,0.573,0.022,0.052,0.041,0.377,0.197,0.136,0.147,0.05,361,45,101,207,8,2504,130,102,944,494,341,369,124,1302,95208,97503
Emerson High School,Emerson-Taylor-Bradley,COLUMBIA,33.0979316,-93.1976136,950100,9501.00,950100COLUMBIA,7-12,4%,42%,23%,4%,4%,149,50%,66%,5%,25%,4%,34%,4,28,26,93%,16.2,16.5,18.2,18,0,COLUMBIA,1408002,1408000,0.023,0.977,0.749,0.194,0.006,0.013,0,0,0.014,4349,102,4247,3257,843,28,56,0,0,63,0.067,0.259,0.36,0.314,0.039,0.074,0.409,0.19,0.057,0.165,0.065,328,22,85,118,103,2721,106,202,1114,516,156,450,177,1494,65720,94086
England High School,England,LONOKE,34.5426933,-91.9543822,20700,207.00,20700LONOKE,7-12,16%,28%,22%,13%,6%,279,75%,49%,8%,36%,7%,51%,3,40,32,80%,16.5,15.3,15.5,17.2,0,LONOKE,4302018,4302000,0.044,0.956,0.694,0.214,0.003,0,0,0,0.045,2640,116,2524,1831,565,8,0,0,0,120,0,0.48,0.41,0.11,0.045,0.05,0.395,0.272,0.032,0.136,0.068,100,0,48,41,11,1869,85,94,739,509,60,254,128,1133,48324,66294
Eureka Springs High School,Eureka Springs,CARROLL,36.3812141,-93.7346801,950100,9501.00,950100CARROLL,9-12,38%,64%,48%,30%,24%,220,60%,86%,10%,2%,2%,14%,1,56,50,89%,19.8,20,21.6,21,0,CARROLL,802007,802000,0.042,0.958,0.88,0.002,0.015,0,0,0.006,0.055,2954,125,2829,2600,7,43,0,0,18,161,0.114,0.394,0.462,0.03,0.008,0.043,0.258,0.316,0.088,0.191,0.096,132,15,52,61,4,2349,19,100,607,743,207,448,225,1372,45000,66141
Farmington High School,Farmington,WASHINGTON,36.026242,-94.24674,11006,110.06,11006WASHINGTON,10-12,13%,47%,37%,24%,11%,679,28%,77%,11%,3%,9%,23%,1,226,196,87%,17.4,17.8,20.1,19.1,0,WASHINGTON,7202012,7202000,0.011,0.989,0.843,0.041,0.006,0.01,0,0.007,0.083,6304,69,6235,5316,256,36,63,0,42,522,0.19,0.459,0.28,0.071,0.011,0.03,0.299,0.225,0.074,0.224,0.137,353,67,162,99,25,4243,45,128,1268,954,315,950,583,2356,81932,95377
Fayetteville High School,Fayetteville,WASHINGTON,36.0578962,-94.1741336,11301,113.01,11301WASHINGTON,9-12,35%,62%,51%,39%,28%,"2,599",30%,62%,14%,11%,13%,38%,1,617,533,86%,19.7,20.5,22.3,20.9,0,WASHINGTON,7203020,7203000,0.036,0.964,0.732,0.093,0.016,0.06,0,0.001,0.063,6893,248,6645,5043,642,108,413,0,6,433,0.002,0.074,0.905,0.019,0,0.022,0.247,0.193,0,0.408,0.13,6472,16,481,5855,120,368,0,8,91,71,0,150,48,791,28594,50868
Fayetteville Virtual Academy A District Conversion Charter School,Fayetteville,WASHINGTON,36.0618562,-94.1579584,11302,113.02,11302WASHINGTON,K-12,33%,60%,53%,47%,33%,129,9%,88%,2%,5%,5%,12%,1,20,15,75%,18.6,21.1,24.7,21.5,0,WASHINGTON,7203703,7203000,0.077,0.923,0.75,0.039,0.002,0.025,0.003,0.016,0.089,3140,241,2899,2354,123,6,78,9,51,278,0.048,0.131,0.765,0.056,0.015,0.06,0.266,0.211,0.089,0.278,0.081,1384,67,181,1059,77,1638,25,98,435,345,146,456,133,1522,28771,48670
