school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
Cabot High School,10-12,Cabot School District,31,65,42,37,20,2187.0,38.0,82.0,8.0,3.0,7.0,18.0,3,754,688.0,91.0,19.4,20.0,20.3,20.6,0,LONOKE,4304005,4304000,2023.0
Caddo Academy,7-12,Caddo Hills School District,2,36,26,7,2,254.0,82.0,78.0,17.0,0.0,5.0,22.0,4,51,42.0,82.0,16.3,16.0,17.5,17.5,0,MONTGOMERY,4901703,4901000,2023.0
Calico Rock High School,7-12,Calico Rock School District,9,32,27,14,9,185.0,61.0,97.0,2.0,0.0,1.0,3.0,2,27,22.0,81.0,15.7,16.0,18.1,17.5,0,IZARD,3301002,3301000,2023.0
Camden Fairview High School,9-12,Camden Fairview School District,RV,12,6,2,RV,693.0,70.0,28.0,2.0,63.0,6.0,72.0,4,194,165.0,85.0,14.0,12.4,14.2,15.0,0,OUACHITA,5204023,5204000,2023.0
Carlisle High School,7-12,Carlisle School District,3,23,21,23,3,281.0,58.0,81.0,7.0,8.0,4.0,19.0,3,43,39.0,91.0,16.2,14.9,17.6,17.6,0,LONOKE,4303013,4303000,2023.0
Cave City High Career & Collegiate Preparatory School,9-12,Cave City School District,13,38,22,18,8,359.0,75.0,92.0,4.0,2.0,2.0,8.0,2,97,79.0,81.0,17.1,17.1,17.9,18.5,0,SHARP,6802703,6802000,2023.0
Cedar Ridge High School,6-12,Cedar Ridge School District,8,34,18,16,5,359.0,68.0,91.0,5.0,2.0,2.0,9.0,2,59,38.0,64.0,16.8,16.3,16.9,17.6,0,INDEPENDENCE,3212027,3212000,2023.0
Cedarville High School,9-12,Cedarville School District,13,31,24,18,8,243.0,69.0,86.0,4.0,0.0,10.0,14.0,1,68,62.0,91.0,17.1,15.1,17.7,18.0,0,CRAWFORD,1702009,1702000,2023.0
Centerpoint High School,6-12,Centerpoint School District,9,56,29,25,3,523.0,69.0,75.0,23.0,1.0,1.0,25.0,4,72,68.0,94.0,16.8,18.2,19.1,19.5,0,PIKE,5502013,5502000,2023.0
Central High School,7-12,Helena/ West Helena School District,RV,12,6,RV,RV,436.0,96.0,2.0,0.0,96.0,2.0,98.0,5,71,65.0,92.0,13.9,12.8,14.4,14.3,0,PHILLIPS,5403019,5403000,2023.0
Central High School,9-12,Little Rock School District,28,52,41,30,22,2260.0,54.0,29.0,9.0,49.0,13.0,71.0,3,566,453.0,80.0,18.7,18.7,20.6,19.5,0,PULASKI,6001001,6001000,2023.0
Charleston High School,7-12,Charleston School District,24,68,35,22,14,418.0,47.0,89.0,5.0,0.0,5.0,11.0,1,59,37.0,63.0,18.6,18.8,19.7,20.0,0,FRANKLIN,2402007,2402000,2023.0
Clarendon High School,7-12,Clarendon School District,3,24,12,3,RV,194.0,91.0,30.0,8.0,51.0,11.0,70.0,5,36,34.0,94.0,15.0,13.4,15.4,15.6,0,MONROE,4802010,4802000,2023.0
Clarksville High School,10-12,Clarksville School District,12,52,27,17,10,576.0,67.0,51.0,36.0,1.0,11.0,49.0,1,192,147.0,77.0,16.7,18.1,18.8,18.1,0,JOHNSON,3601005,3601000,2023.0
Clinton High School,9-12,Clinton School District,24,48,36,30,17,418.0,62.0,92.0,5.0,1.0,2.0,8.0,1,102,83.0,81.0,18.1,17.1,19.8,19.4,0,VAN BUREN,7102006,7102000,2023.0
Concord High School,7-12,Concord School District,13,50,28,6,RV,184.0,51.0,96.0,4.0,1.0,0.0,4.0,2,32,32.0,100.0,16.4,17.1,18.2,17.8,0,CLEBURNE,1201002,1201000,2023.0
Conway High School,10-12,Conway School District,26,51,37,33,17,2248.0,46.0,53.0,13.0,28.0,6.0,47.0,3,766,598.0,78.0,18.8,18.5,19.8,19.7,0,FAULKNER,2301006,2301000,2023.0
Corning High School,9-12,Corning School District,9,39,30,24,9,225.0,65.0,92.0,3.0,1.0,3.0,8.0,2,53,33.0,62.0,16.5,16.9,18.2,17.8,0,CLAY,1101004,1101000,2023.0
Cossatot River High School,7-12,Cossatot River School District,14,53,28,19,5,385.0,72.0,62.0,30.0,0.0,8.0,38.0,4,61,58.0,95.0,17.5,17.8,18.6,18.9,0,POLK,5707023,5707000,2023.0
Cotter High School,7-12,Cotter School District,17,50,40,27,14,324.0,65.0,94.0,3.0,1.0,2.0,6.0,1,54,52.0,96.0,17.6,18.2,19.2,19.5,0,BAXTER,302007,302000,2023.0
County Line High School,7-12,County Line School District,13,44,26,35,9,242.0,68.0,87.0,2.0,2.0,10.0,13.0,1,31,23.0,74.0,18.0,16.7,18.0,19.8,0,FRANKLIN,2403012,2403000,2023.0
Cross Cnty High A New Tech School,7-12,Cross County School District,5,41,21,10,2,312.0,72.0,84.0,3.0,12.0,1.0,16.0,2,52,42.0,81.0,16.0,16.0,17.8,17.7,0,CROSS,1901703,1901000,2023.0
Crossett High School,9-12,Crossett School District,3,16,15,6,2,483.0,49.0,58.0,4.0,35.0,2.0,42.0,5,114,95.0,83.0,15.2,13.9,16.2,15.8,0,ASHLEY,201006,201000,2023.0
Cutter-Morning Star High School,7-12,Cutter-Morning Star School District,4,48,30,8,2,316.0,69.0,72.0,13.0,4.0,12.0,28.0,3,59,50.0,85.0,16.1,16.5,18.4,17.3,0,GARLAND,2601002,2601000,2023.0
Danville High School,9-12,Danville School District,7,41,21,14,7,234.0,73.0,44.0,52.0,1.0,3.0,56.0,1,63,58.0,92.0,16.2,16.8,16.8,18.1,0,YELL,7503006,7503000,2023.0
Dardanelle High School,9-12,Dardanelle School District,37,74,52,41,19,666.0,67.0,53.0,40.0,3.0,4.0,47.0,1,179,81.0,45.0,20.6,20.9,21.4,22.0,0,YELL,7504011,7504000,2023.0
Decatur High School,9-12,Decatur School District,7,24,21,10,RV,175.0,71.0,41.0,44.0,2.0,14.0,59.0,1,40,29.0,73.0,15.6,14.6,15.8,16.1,0,BENTON,402009,402000,2023.0
DeQueen High School,10-12,DeQueen School District,9,35,17,11,6,522.0,71.0,29.0,63.0,2.0,6.0,71.0,4,182,175.0,96.0,16.5,16.3,16.9,17.3,0,SEVIER,6701003,6701000,2023.0
Dermott High School,7-12,Dermott School District,RV,23,8,RV,RV,144.0,94.0,1.0,3.0,96.0,0.0,99.0,5,15,13.0,87.0,13.3,12.5,13.9,15.4,0,CHICOT,901003,901000,2023.0
Des Arc High School,7-12,Des Arc School District,20,49,27,15,7,264.0,70.0,86.0,5.0,8.0,1.0,14.0,5,44,41.0,93.0,18.4,17.4,18.2,17.3,0,PRAIRIE,5901002,5901000,2023.0
DeWitt High School,9-12,DeWitt School District,22,44,33,28,13,350.0,57.0,74.0,5.0,15.0,5.0,26.0,5,101,82.0,81.0,18.1,16.9,19.0,19.9,0,ARKANSAS,101004,101000,2023.0
Dierks High School,7-12,Dierks School District,11,22,28,11,6,239.0,75.0,88.0,10.0,0.0,1.0,12.0,4,35,36.0,103.0,16.7,15.1,17.7,18.0,0,HOWARD,3102002,3102000,2023.0
Don Tyson School Of Innovation,K-12,Springdale School District,26,62,42,35,19,2022.0,61.0,42.0,48.0,2.0,9.0,58.0,1,285,255.0,89.0,18.7,19.8,20.5,20.3,0,WASHINGTON,7207703,7207000,2023.0
Dover High School,9-12,Dover School District,18,51,33,26,13,400.0,48.0,92.0,3.0,2.0,4.0,8.0,1,121,108.0,89.0,17.3,18.3,18.3,19.2,0,POPE,5802006,5802000,2023.0
Drew Central High School,9-12,Drew Central School District,6,25,19,14,3,326.0,65.0,68.0,6.0,22.0,4.0,32.0,5,69,65.0,94.0,16.4,15.2,17.0,17.3,0,DREW,2202005,2202000,2023.0
Driven Virtual Academy,K-12,Pulaski County Special School District,13,33,20,13,13,218.0,40.0,41.0,8.0,42.0,9.0,59.0,3,23,15.0,65.0,16.1,16.0,17.5,17.9,0,PULASKI,6003703,6003000,2023.0
Dumas High School,9-12,Dumas School District,8,18,3,3,RV,310.0,74.0,13.0,16.0,67.0,4.0,87.0,5,69,62.0,90.0,15.1,13.3,14.9,15.6,0,DESHA,2104021,2104000,2023.0
Earle High School,7-12,Earle School District,4,8,4,4,RV,186.0,94.0,1.0,1.0,94.0,4.0,99.0,2,28,24.0,86.0,13.5,11.7,13.4,16.3,0,CRITTENDEN,1802007,1802000,2023.0
East Poinsett Co. High School,7-12,East Poinsett Co. School District,9,34,26,11,6,274.0,77.0,71.0,8.0,15.0,6.0,29.0,2,35,35.0,100.0,16.3,16.6,18.0,17.0,0,POINSETT,5608037,5608000,2023.0
El Dorado High School,9-12,El Dorado School District,17,41,27,23,11,1220.0,58.0,36.0,12.0,46.0,6.0,64.0,4,328,280.0,85.0,17.1,17.1,18.2,18.8,0,UNION,7001012,7001000,2023.0
Elkins High School,9-12,Elkins School District,16,45,32,24,10,435.0,39.0,82.0,7.0,2.0,9.0,18.0,1,107,71.0,66.0,17.4,17.0,19.1,19.2,0,WASHINGTON,7201002,7201000,2023.0
Emerson High School,7-12,Emerson-Taylor-Bradley School District,4,42,23,4,4,149.0,50.0,66.0,5.0,25.0,4.0,34.0,4,28,26.0,93.0,16.2,16.5,18.2,18.0,0,COLUMBIA,1408002,1408000,2023.0
England High School,7-12,England School District,16,28,22,13,6,279.0,75.0,49.0,8.0,36.0,7.0,51.0,3,40,32.0,80.0,16.5,15.3,15.5,17.2,0,LONOKE,4302018,4302000,2023.0
ESTEM High School,10-12,ESTEM Public Charter School,19,47,29,25,16,561.0,57.0,19.0,11.0,63.0,7.0,81.0,3,191,178.0,93.0,17.9,18.1,18.8,19.5,1,PULASKI,6047703,6047700,2023.0
Eureka Springs High School,9-12,Eureka Springs School District,38,64,48,30,24,220.0,60.0,86.0,10.0,2.0,2.0,14.0,1,56,50.0,89.0,19.8,20.0,21.6,21.0,0,CARROLL,802007,802000,2023.0
Farmington High School,10-12,Farmington School District,13,47,37,24,11,679.0,28.0,77.0,11.0,3.0,9.0,23.0,1,226,196.0,87.0,17.4,17.8,20.1,19.1,0,WASHINGTON,7202012,7202000,2023.0
Fayetteville High School,9-12,Fayetteville School District,35,62,51,39,28,2599.0,30.0,62.0,14.0,11.0,13.0,38.0,1,617,533.0,86.0,19.7,20.5,22.3,20.9,0,WASHINGTON,7203020,7203000,2023.0
Fayetteville Virtual Academy A District Conversion Charter School,K-12,Fayetteville School District,33,60,53,47,33,129.0,9.0,88.0,2.0,5.0,5.0,12.0,1,20,15.0,75.0,18.6,21.1,24.7,21.5,0,WASHINGTON,7203703,7203000,2023.0
Flippin High School,9-12,Flippin School District,17,41,29,22,10,242.0,69.0,91.0,3.0,1.0,6.0,10.0,1,74,69.0,93.0,17.0,16.9,17.9,18.4,0,MARION,4501002,4501000,2023.0
Fordyce High School,7-12,Fordyce School District,2,20,6,6,RV,354.0,45.0,37.0,5.0,57.0,1.0,63.0,4,57,51.0,89.0,15.3,14.0,15.6,15.7,0,DALLAS,2002007,2002000,2023.0
Foreman High School,7-12,Foreman School District,9,23,18,9,9,221.0,68.0,75.0,10.0,10.0,5.0,25.0,4,28,22.0,79.0,16.2,14.5,15.9,15.9,0,LITTLE RIVER,4102010,4102000,2023.0
Forrest City High School,9-12,Forrest City School District,2,11,5,3,2,568.0,73.0,4.0,2.0,94.0,1.0,96.0,2,163,134.0,82.0,14.6,12.3,13.7,14.9,0,ST FRANCIS,6201011,6201000,2023.0
Fouke High School,9-12,Fouke School District,5,39,16,8,4,335.0,61.0,96.0,2.0,0.0,1.0,4.0,4,100,101.0,101.0,16.5,16.5,17.6,17.3,0,MILLER,4603010,4603000,2023.0
Fountain Lake Charter High School,9-12,Fountain Lake School District,23,53,26,29,11,359.0,41.0,84.0,9.0,1.0,6.0,16.0,3,83,73.0,88.0,18.7,18.1,18.6,19.9,0,GARLAND,2602703,2602000,2023.0
Future School Of Fort Smith,9-12,Future School Of Fort Smith,2,28,17,5,RV,219.0,73.0,54.0,20.0,13.0,13.0,46.0,1,67,60.0,90.0,14.5,15.2,15.7,15.6,1,SEBASTIAN,6640703,6640700,2023.0
Genoa Central High School,10-12,Genoa Central School District,27,39,25,21,12,263.0,27.0,96.0,2.0,0.0,2.0,4.0,4,108,97.0,90.0,19.1,16.8,18.6,18.8,0,MILLER,4602006,4602000,2023.0
Gentry High School,9-12,Gentry School District,16,49,31,31,11,538.0,52.0,61.0,21.0,0.0,18.0,39.0,1,119,74.0,62.0,17.5,17.8,19.2,19.7,0,BENTON,403017,403000,2023.0
Glen Rose High School,9-12,Glen Rose School District,22,46,35,19,11,301.0,41.0,88.0,6.0,0.0,6.0,12.0,3,70,54.0,77.0,18.4,18.2,19.6,19.8,0,HOT SPRING,3002009,3002000,2023.0
Gosnell High School,7-12,Gosnell School District,16,44,28,21,15,606.0,73.0,59.0,9.0,27.0,5.0,41.0,2,91,61.0,67.0,17.1,18.7,18.6,19.2,0,MISSISSIPPI,4708031,4708000,2023.0
Gravette High School,9-12,Gravette School District,30,65,46,38,25,625.0,34.0,82.0,7.0,1.0,10.0,18.0,1,146,132.0,90.0,19.3,19.6,20.8,20.7,0,BENTON,404022,404000,2023.0
Green Forest High School,9-12,Green Forest School District,6,20,12,10,4,434.0,74.0,38.0,48.0,0.0,14.0,62.0,1,119,82.0,69.0,15.6,14.7,16.7,16.0,0,CARROLL,803012,803000,2023.0
Greenbrier High School,10-12,Greenbrier School District,32,66,45,39,25,814.0,33.0,90.0,4.0,2.0,3.0,10.0,3,298,283.0,95.0,19.4,20.0,20.7,21.0,0,FAULKNER,2303017,2303000,2023.0
Greene Cty Tech High School,10-12,Greene County Tech School District,14,38,30,21,10,807.0,40.0,91.0,4.0,2.0,3.0,9.0,2,250,214.0,86.0,17.2,16.5,18.7,18.4,0,GREENE,2807008,2807000,2023.0
Greenland High School,9-12,Greenland School District,12,47,21,21,9,249.0,68.0,86.0,8.0,0.0,6.0,14.0,1,74,43.0,58.0,16.7,17.1,17.9,18.9,0,WASHINGTON,7204028,7204000,2023.0
Greenwood High School,9-12,Greenwood School District,41,70,53,44,30,1181.0,24.0,81.0,6.0,1.0,12.0,19.0,1,302,271.0,90.0,20.8,21.2,21.7,21.7,0,SEBASTIAN,6602043,6602000,2023.0
Gurdon High School,7-12,Gurdon School District,5,24,19,10,5,251.0,76.0,49.0,22.0,26.0,3.0,51.0,4,48,21.0,44.0,15.5,15.4,16.9,16.4,0,CLARK,1003018,1003000,2023.0
Guy-Perkins High School,7-12,Guy-Perkins School District,19,39,23,35,8,150.0,65.0,85.0,2.0,10.0,3.0,15.0,3,32,26.0,81.0,16.9,15.5,18.2,18.9,0,FAULKNER,2304022,2304000,2023.0
Haas Hall Academy,7-12,Haas Hall Academy,76,93,76,76,59,499.0,9.0,63.0,9.0,3.0,24.0,37.0,1,72,54.0,75.0,24.8,27.4,25.8,25.3,1,WASHINGTON,7240703,7240700,2023.0
Haas Hall Academy At The Lane,7-12,Haas Hall Academy,49,80,67,51,39,256.0,13.0,63.0,20.0,2.0,16.0,38.0,1,47,39.0,83.0,21.6,24.0,24.1,22.8,1,WASHINGTON,7240709,7240700,2023.0
Haas Hall Academy Jones Center,7-12,Haas Hall Academy,58,77,58,50,31,157.0,25.0,46.0,41.0,1.0,12.0,54.0,1,28,26.0,93.0,22.3,22.6,23.1,22.3,1,WASHINGTON,7240706,7240700,2023.0
Haas Hall Bentonville,7-12,Haas Hall Academy,64,89,76,69,58,443.0,2.0,47.0,8.0,5.0,40.0,53.0,1,58,45.0,78.0,25.2,27.1,27.4,25.4,1,WASHINGTON,7240712,7240700,2023.0
Hackett High School,7-12,Hackett School District,8,68,41,22,8,327.0,64.0,87.0,5.0,0.0,8.0,13.0,1,66,37.0,56.0,17.3,19.8,19.9,18.9,0,SEBASTIAN,6603048,6603000,2023.0
Hamburg High School,9-12,Hamburg School District,13,35,25,13,8,511.0,60.0,56.0,23.0,20.0,2.0,44.0,5,139,134.0,96.0,16.6,15.4,17.1,17.4,0,ASHLEY,203018,203000,2023.0
Hampton High School,7-12,Hampton School District,13,44,22,9,4,256.0,71.0,67.0,5.0,27.0,0.0,33.0,4,48,23.0,48.0,15.9,16.2,16.5,16.9,0,CALHOUN,701002,701000,2023.0
Har-Ber High School,10-12,Springdale School District,21,49,30,23,14,2306.0,60.0,40.0,45.0,3.0,12.0,60.0,1,763,642.0,84.0,17.7,18.3,18.6,19.1,0,WASHINGTON,7207062,7207000,2023.0
Harmony Grove High School,7-12,Harmony Grove School District (Ouachita),5,36,23,16,2,421.0,37.0,78.0,5.0,14.0,4.0,22.0,4,68,64.0,94.0,16.2,16.1,18.1,18.3,0,OUACHITA,5205029,5205000,2023.0
Harmony Grove High School,10-12,Harmony Grove School District (Saline),13,46,33,27,6,306.0,26.0,89.0,5.0,3.0,3.0,11.0,3,101,90.0,89.0,17.7,17.7,18.5,18.7,0,SALINE,6304030,6304000,2023.0
Harrisburg High School,6-12,Harrisburg School District,5,37,26,11,3,523.0,70.0,89.0,6.0,3.0,2.0,11.0,2,79,65.0,82.0,16.4,15.8,17.5,17.4,0,POINSETT,5602009,5602000,2023.0
Harrison High School,9-12,Harrison School District,26,61,39,27,18,841.0,45.0,90.0,5.0,0.0,4.0,10.0,1,224,202.0,90.0,18.5,19.3,20.6,19.7,0,BOONE,503019,503000,2023.0
Hazen High School,7-12,Hazen School District,10,46,18,13,5,252.0,67.0,81.0,2.0,14.0,2.0,19.0,5,47,39.0,83.0,17.3,17.1,17.9,18.1,0,PRAIRIE,5903012,5903000,2023.0
Heber Springs High School,9-12,Heber Springs School District,32,69,46,29,20,478.0,33.0,90.0,6.0,0.0,3.0,10.0,2,122,96.0,79.0,19.7,20.6,20.0,20.2,0,CLEBURNE,1202006,1202000,2023.0
Hector High School,7-12,Hector School District,9,33,27,18,9,324.0,72.0,94.0,4.0,0.0,2.0,6.0,1,54,33.0,61.0,16.2,16.8,17.5,19.6,0,POPE,5803010,5803000,2023.0
Hermitage High School,7-12,Hermitage School District,5,24,7,2,2,202.0,69.0,59.0,27.0,14.0,0.0,41.0,5,43,41.0,95.0,15.8,14.6,15.0,16.7,0,BRADLEY,601007,601000,2023.0
Highland High School,9-12,Highland School District,20,44,26,23,9,515.0,70.0,94.0,4.0,1.0,2.0,6.0,2,113,90.0,80.0,18.1,17.5,18.4,19.1,0,SHARP,6804010,6804000,2023.0
