Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
31,Bentonville High School,12-Sep,Bentonville School District,0.449,0.772,0.579,0.473,0.335,3424,0.1279,0.7351,0.1127,0.0234,0.13,0.26,1,836,789,0.943779904,21.2,22.4,22.6,21.8,0,BENTON,401003,401000,Arkansas,36.3517242,-94.1954077,1801 Southeast J Street,72712,Benton County,Bentonville,5007,"1801 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2023,20503,Benton County,Arkansas,469,130,174,95,70,2744,218,68,578,514,172,744,450,27.7,37.1,20.3,14.9,7.9,2.5,21.1,18.7,6.3,27.1,16.4,1936,61684,76147,4329,901,20.8,3428,79.2,1758,40.6,97,2.2,7,0.2,833,19.2,220,5.1,23,0.5,490,11.3,21.2,22.6
32,Bentonville West High School,12-Sep,Bentonville School District,0.33,0.596,0.401,0.308,0.208,2522,0.2006,0.6499,0.1701,0.0496,0.13,0.35,1,639,591,0.924882629,19.5,19.3,20,20.1,0,BENTON,401019,401000,Arkansas,36.3775561,-94.2963597,1351 Gamble Road,72719,Benton County,Centerton,5007,"1351 Gamble Road, Centerton, Arkansas, 72719",20906,5007020906,2023,20906,Benton County,Arkansas,498,41,200,257,0,3757,40,136,946,1002,274,999,360,8.2,40.2,51.6,0,1.1,3.6,25.2,26.7,7.3,26.6,9.6,2129,94803,115043,6121,858,14,5263,86,4123,67.4,70,1.1,34,0.6,228,3.7,0,0,0,0,808,13.2,19.5,20
33,Bergman High School,12-Sep,Bergman School District,0.194,0.507,0.299,0.224,0.134,276,0.5217,0.9239,0.0543,0,0.02,0.08,1,71,67,0.943661972,17.7,19,19.2,19,0,BOONE,502007,502000,Arkansas,36.3137275,-93.0172222,8949 Arkansas 7,72601,Boone County,Harrison,5009,"8949 Arkansas 7, Harrison, Arkansas, 72601",790400,5009790400,2023,790400,Boone County,Arkansas,247,71,96,18,62,4685,138,196,1822,1153,414,609,353,28.7,38.9,7.3,25.1,2.9,4.2,38.9,24.6,8.8,13,7.5,2408,61773,80456,5993,122,2,5871,98,5642,94.1,10,0.2,23,0.4,0,0,0,0,0,0,196,3.3,17.7,19.2
34,Berryville High School,12-Sep,Berryville School District,0.094,0.41,0.333,0.179,0.06,553,0.6872,0.5895,0.3146,0.0054,0.09,0.41,1,130,117,0.9,16.6,16.7,18,17.9,0,CARROLL,801002,801000,Arkansas,36.3699834,-93.5773979,602 West College Avenue,72616,Carroll County,Berryville,5015,"602 West College Avenue, Berryville, Arkansas, 72616",950301,5015950301,2023,950301,Carroll County,Arkansas,191,13,137,23,18,2470,463,278,887,271,167,284,120,6.8,71.7,12,9.4,18.7,11.3,35.9,11,6.8,11.5,4.9,1510,48377,82161,3410,853,25,2557,75,2048,60.1,0,0,0,0,14,0.4,0,0,0,0,495,14.5,16.6,18
35,Bigelow High School,12-Jul,East End School District,0.054,0.378,0.216,0.081,0.054,308,0.6039,0.8182,0.1104,0.0292,0.04,0.18,1,53,37,0.698113208,16.4,16.5,17.8,18.1,0,PERRY,5301002,5301000,Arkansas,34.9981436,-92.6326964,101 Panther Drive,72016,Perry County,Bigelow,5105,"101 Panther Drive, Bigelow, Arkansas, 72016",952700,5105952700,2023,952700,Perry County,Arkansas,331,138,116,65,12,3705,146,179,1751,717,213,508,191,41.7,35,19.6,3.6,3.9,4.8,47.3,19.4,5.7,13.7,5.2,1897,61422,79337,5047,14,0.3,5033,99.7,4738,93.9,138,2.7,5,0.1,5,0.1,0,0,0,0,147,2.9,16.4,17.8
37,Blevins High School,12-Jul,Blevins School District,RV,0.37,0.185,0.222,RV,196,0.8776,0.6735,0.102,0.1735,0.05,0.33,4,29,27,0.931034483,16,16.9,18,18.3,0,HEMPSTEAD,2901002,2901000,Arkansas,33.8747387,-93.5722025,5954 Arkansas 29,71825,Hempstead County,Blevins,5057,"5954 Arkansas 29, Blevins, Arkansas, 71825",480102,5057480102,2023,480102,Hempstead County,Arkansas,211,4,59,143,5,1640,69,103,551,427,86,215,189,1.9,28,67.8,2.4,4.2,6.3,33.6,26,5.2,13.1,11.5,847,51985,73762,2469,16,0.6,2453,99.4,1709,69.2,611,24.7,11,0.4,0,0,0,0,4,0.2,118,4.8,16,18
38,Blytheville High School,12-Sep,Blytheville School District,0.015,0.076,0.045,0.03,RV,411,0.7421,0.0973,0.0511,0.8394,0.01,0.9,2,104,66,0.634615385,13.6,12.3,13.9,15.2,0,MISSISSIPPI,4702014,4702000,Arkansas,35.933475,-89.9132768,600 North 10th Street,72315,Mississippi County,Blytheville,5093,"600 North 10th Street, Blytheville, Arkansas, 72315",10100,5093010100,2023,10100,Mississippi County,Arkansas,89,21,31,37,0,1041,19,126,579,252,2,18,45,23.6,34.8,41.6,0,1.8,12.1,55.6,24.2,0.2,1.7,4.3,576,27174,39502,1641,64,3.9,1577,96.1,375,22.9,1125,68.6,0,0,0,0,0,0,68,4.1,9,0.5,13.6,13.9
39,Booneville High School,12-Oct,Booneville School District,0.155,0.5,0.293,0.19,0.069,266,0.6692,0.8571,0.0714,0.0038,0.07,0.14,1,72,58,0.805555556,17.1,17.7,18.7,18.9,0,LOGAN,4201002,4201000,Arkansas,35.1469868,-93.9091176,945 North Plum Street,72927,Logan County,Booneville,5083,"945 North Plum Street, Booneville, Arkansas, 72927",950500,5083950500,2023,950500,Logan County,Arkansas,549,103,137,309,0,2430,72,213,1065,636,183,161,100,18.8,25,56.3,0,3,8.8,43.8,26.2,7.5,6.6,4.1,1612,49874,56881,3874,101,2.6,3773,97.4,3484,89.9,207,5.3,8,0.2,0,0,0,0,7,0.2,67,1.7,17.1,18.7
40,Bradford High School,12-Jul,Bradford School District,0.087,0.304,0.174,0.087,0.087,200,0.805,0.96,0.01,0.025,0.01,0.04,2,35,23,0.657142857,16.3,15.1,16.2,16.9,0,WHITE,7303015,7303000,Arkansas,35.4256095,-91.4598312,504 West Main Street,72020,White County,Bradford,5145,"504 West Main Street, Bradford, Arkansas, 72020",70100,5145070100,2023,70100,White County,Arkansas,379,67,222,84,6,2238,55,154,1167,468,203,139,52,17.7,58.6,22.2,1.6,2.5,6.9,52.1,20.9,9.1,6.2,2.3,1343,39875,55962,3320,202,6.1,3118,93.9,2856,86,4,0.1,3,0.1,14,0.4,0,0,26,0.8,215,6.5,16.3,16.2
41,Bradley High School,12-Jul,Emerson-Taylor-Bradley School District,0.048,0.286,0.048,0.095,RV,144,0.7083,0.6736,0.0139,0.3056,0.01,0.33,4,23,21,0.913043478,15.5,14.5,17.1,16.3,0,COLUMBIA,1408007,1408000,Arkansas,33.0825353,-93.2181477,,N/A,Columbia County,N/A,5027,,950100,5027950100,2023,950100,Columbia County,Arkansas,328,22,85,118,103,2721,106,202,1114,516,156,450,177,6.7,25.9,36,31.4,3.9,7.4,40.9,19,5.7,16.5,6.5,1494,65720,94086,4349,102,2.3,4247,97.7,3257,74.9,843,19.4,28,0.6,56,1.3,0,0,0,0,63,1.4,15.5,17.1
42,Brinkley High School,12-Jul,Brinkley School District,RV,0.25,0.208,0.083,RV,167,0.7545,0.2575,0.012,0.6886,0.04,0.74,5,26,24,0.923076923,14.6,14.8,15.6,15.3,0,MONROE,4801003,4801000,Arkansas,34.877241,-91.1944922,100 Tigers Dr,72021,Monroe County,Brinkley,5095,"100 Tigers Dr, Brinkley, Arkansas, 72021",950100,5095950100,2023,950100,Monroe County,Arkansas,143,32,30,75,6,2171,170,214,1058,409,27,212,81,22.4,21,52.4,4.2,7.8,9.9,48.7,18.8,1.2,9.8,3.7,1343,37998,44494,2951,0,0,2951,100,1327,45,1543,52.3,0,0,52,1.8,0,0,0,0,29,1,14.6,15.6
43,Brookland High School,12-Oct,Brookland School District,0.1,0.5,0.35,0.2,0.081,630,0.2778,0.8937,0.0508,0.0365,0.02,0.11,2,193,160,0.829015544,16.8,18,19.6,18.6,0,CRAIGHEAD,1603007,1603000,Arkansas,35.8921839,-90.5446912,,N/A,Craighead County,N/A,5031,,1102,5031001102,2023,1102,Craighead County,Arkansas,253,0,81,92,80,3229,286,109,1480,529,304,301,220,0,32,36.4,31.6,8.9,3.4,45.8,16.4,9.4,9.3,6.8,1827,67891,81373,4841,81,1.7,4760,98.3,4362,90.1,100,2.1,7,0.1,14,0.3,0,0,0,0,277,5.7,16.8,19.6
44,Bryant High School,12-Oct,Bryant School District,0.245,0.527,0.367,0.252,0.182,2290,0.3895,0.5415,0.1803,0.2328,0.05,0.46,3,800,694,0.8675,18.3,18.6,19.2,19.2,0,SALINE,6303022,6303000,Arkansas,34.600728,-92.4919453,200 Northwest 4th Street,72022,Saline County,Bryant,5125,"200 Northwest 4th Street, Bryant, Arkansas, 72022",10107,5125010107,2023,10107,Saline County,Arkansas,662,44,226,334,58,3594,90,154,1378,650,384,646,292,6.6,34.1,50.5,8.8,2.5,4.3,38.3,18.1,10.7,18,8.1,2705,61938,75650,6082,260,4.3,5822,95.7,4689,77.1,613,10.1,31,0.5,161,2.6,0,0,13,0.2,315,5.2,18.3,19.2
45,Buffalo Island Central High School,12-Jul,Buffalo Is. Central School District,0.086,0.457,0.257,0.114,0.029,325,0.5538,0.7846,0.1908,0.0062,0.02,0.22,2,44,35,0.795454545,17.2,17.3,18.3,16.9,0,CRAIGHEAD,1605065,1605000,Arkansas,35.8887051,-90.3512309,803 Drew Avenue,72447,Craighead County,Monette,5031,"803 Drew Avenue, Monette, Arkansas, 72447",1000,5031001000,2023,1000,Craighead County,Arkansas,279,56,73,137,13,2625,188,167,1194,443,119,321,193,20.1,26.2,49.1,4.7,7.2,6.4,45.5,16.9,4.5,12.2,7.4,1504,52074,68817,3840,290,7.6,3550,92.4,3413,88.9,9,0.2,1,0,12,0.3,0,0,0,0,115,3,17.2,18.3
46,Cabot High School,12-Oct,Cabot School District,0.305,0.651,0.424,0.374,0.203,2187,0.3841,0.8203,0.0773,0.0297,0.07,0.18,3,754,688,0.912466844,19.4,20,20.3,20.6,0,LONOKE,4304005,4304000,Arkansas,34.9722833,-92.0113661,401 North Lincoln Street,72023,Lonoke County,Cabot,5085,"401 North Lincoln Street, Cabot, Arkansas, 72023",20202,5085020202,2023,20202,Lonoke County,Arkansas,137,0,81,56,0,2196,42,121,994,459,246,232,102,0,59.1,40.9,0,1.9,5.5,45.3,20.9,11.2,10.6,4.6,1271,61359,76759,3339,265,7.9,3074,92.1,2611,78.2,260,7.8,0,0,0,0,0,0,0,0,203,6.1,19.4,20.3
47,Caddo Academy,12-Jul,Caddo Hills School District,0.024,0.357,0.262,0.071,0.024,254,0.8228,0.7795,0.1732,0,0.05,0.22,4,51,42,0.823529412,16.3,16,17.5,17.5,0,MONTGOMERY,4901703,4901000,Arkansas,34.4083399,-93.7029002,,N/A,Montgomery County,N/A,5097,,953200,5097953200,2023,953200,Montgomery County,Arkansas,223,77,57,72,17,2526,99,158,1064,597,206,301,101,34.5,25.6,32.3,7.6,3.9,6.3,42.1,23.6,8.2,11.9,4,1395,55793,67041,3428,203,5.9,3225,94.1,2988,87.2,32,0.9,28,0.8,77,2.2,0,0,0,0,100,2.9,16.3,17.5
48,Calico Rock High School,12-Jul,Calico Rock School District,0.091,0.318,0.273,0.136,0.091,185,0.6108,0.9676,0.0216,0,0.01,0.03,2,27,22,0.814814815,15.7,16,18.1,17.5,0,IZARD,3301002,3301000,Arkansas,36.1226593,-92.1263721,1 Pirate Place,72519,Izard County,Calico Rock,5065,"1 Pirate Place, Calico Rock, Arkansas, 72519",960300,5065960300,2023,960300,Izard County,Arkansas,173,46,81,45,1,2647,255,391,1118,423,92,293,75,26.6,46.8,26,0.6,9.6,14.8,42.2,16,3.5,11.1,2.8,1020,45000,51049,3093,171,5.5,2922,94.5,2210,71.5,208,6.7,1,0,8,0.3,9,0.3,0,0,486,15.7,15.7,18.1
49,Camden Fairview High School,12-Sep,Camden Fairview School District,RV,0.115,0.061,0.024,RV,693,0.7042,0.2814,0.0245,0.6291,0.06,0.72,4,194,165,0.850515464,14,12.4,14.2,15,0,OUACHITA,5204023,5204000,Arkansas,33.5513511,-92.8530052,1750 Cash Road Southwest,71701,Ouachita County,Camden,5103,"1750 Cash Road Southwest, Camden, Arkansas, 71701",950600,5103950600,2023,950600,Ouachita County,Arkansas,324,51,81,184,8,2255,86,280,934,539,135,196,85,15.7,25,56.8,2.5,3.8,12.4,41.4,23.9,6,8.7,3.8,1345,50364,48366,3306,263,8,3043,92,1051,31.8,1898,57.4,0,0,10,0.3,0,0,0,0,84,2.5,14,14.2
50,Carlisle High School,12-Jul,Carlisle School District,0.026,0.231,0.205,0.231,0.026,281,0.5836,0.8078,0.0712,0.0819,0.04,0.19,3,43,39,0.906976744,16.2,14.9,17.6,17.6,0,LONOKE,4303013,4303000,Arkansas,34.7794609,-91.7317962,145 Raborn Road,72024,Lonoke County,Carlisle,5085,"145 Raborn Road, Carlisle, Arkansas, 72024",20400,5085020400,2023,20400,Lonoke County,Arkansas,130,48,74,8,0,2054,45,155,1023,326,140,213,152,36.9,56.9,6.2,0,2.2,7.5,49.8,15.9,6.8,10.4,7.4,1102,48115,68227,2931,14,0.5,2917,99.5,2524,86.1,261,8.9,7,0.2,0,0,0,0,0,0,125,4.3,16.2,17.6
51,Cave City High Career & Collegiate Preparatory School,12-Sep,Cave City School District,0.127,0.38,0.215,0.177,0.076,359,0.7493,0.9248,0.0362,0.0167,0.02,0.08,2,97,79,0.81443299,17.1,17.1,17.9,18.5,0,SHARP,6802703,6802000,Arkansas,35.9486873,-91.5596117,,N/A,Sharp County,N/A,5135,,470402,5135470402,2023,470402,Sharp County,Arkansas,214,30,107,77,0,1926,169,290,785,343,101,204,34,14,50,36,0,8.8,15.1,40.8,17.8,5.2,10.6,1.8,1040,48235,60434,2906,162,5.6,2744,94.4,2619,90.1,9,0.3,5,0.2,23,0.8,0,0,0,0,88,3,17.1,17.9
52,Cedar Ridge High School,12-Jun,Cedar Ridge School District,0.079,0.342,0.184,0.158,0.053,359,0.6825,0.9109,0.0474,0.0195,0.02,0.09,2,59,38,0.644067797,16.8,16.3,16.9,17.6,0,INDEPENDENCE,3212027,3212000,Arkansas,35.7199993,-91.4455801,1500 North Hill Street,72562,Independence County,Newark,5063,"1500 North Hill Street, Newark, Arkansas, 72562",490400,5063490400,2023,490400,Independence County,Arkansas,439,70,169,190,10,3081,99,358,1172,815,326,241,70,15.9,38.5,43.3,2.3,3.2,11.6,38,26.5,10.6,7.8,2.3,1880,43869,58274,4426,144,3.3,4282,96.7,3946,89.2,53,1.2,1,0,0,0,0,0,0,0,282,6.4,16.8,16.9
53,Cedarville High School,12-Sep,Cedarville School District,0.129,0.306,0.242,0.177,0.081,243,0.6872,0.8601,0.0412,0,0.1,0.14,1,68,62,0.911764706,17.1,15.1,17.7,18,0,CRAWFORD,1702009,1702000,Arkansas,35.7057498,-94.356513,,N/A,Crawford County,N/A,5033,,20205,5033020205,2023,20205,Crawford County,Arkansas,180,78,64,23,15,2510,35,478,761,602,242,140,252,43.3,35.6,12.8,8.3,1.4,19,30.3,24,9.6,5.6,10,1338,57708,73579,3987,308,7.7,3679,92.3,3269,82,0,0,13,0.3,156,3.9,0,0,0,0,241,6,17.1,17.7
54,Centerpoint Academy Of Agriculture & Skilled Trade,12-Nov,Centerpoint School District,N<10,N<10,N<10,N<10,N<10,18,0.6667,1,0,0,0,0,4,9,N<10,N<10,N<10,N<10,N<10,N<10,0,PIKE,5502703,5502000,Arkansas,34.2874409,-93.5117152,755 Arkansas 8,71921,Pike County,Amity,5109,"755 Arkansas 8, Amity, Arkansas, 71921",953300,5109953300,2023,953300,Pike County,Arkansas,411,13,158,182,58,2396,321,111,741,619,166,307,131,3.2,38.4,44.3,14.1,13.4,4.6,30.9,25.8,6.9,12.8,5.5,1423,48661,70422,3510,624,17.8,2886,82.2,2726,77.7,73,2.1,0,0,0,0,0,0,0,0,87,2.5,,
55,Centerpoint High School,12-Jun,Centerpoint School District,0.088,0.559,0.294,0.25,0.029,523,0.6941,0.7514,0.2294,0.0076,0.01,0.25,4,72,68,0.944444444,16.8,18.2,19.1,19.5,0,PIKE,5502013,5502000,Arkansas,34.2874409,-93.5117152,755 Arkansas 8,71921,Pike County,Amity,5109,"755 Arkansas 8, Amity, Arkansas, 71921",953300,5109953300,2023,953300,Pike County,Arkansas,411,13,158,182,58,2396,321,111,741,619,166,307,131,3.2,38.4,44.3,14.1,13.4,4.6,30.9,25.8,6.9,12.8,5.5,1423,48661,70422,3510,624,17.8,2886,82.2,2726,77.7,73,2.1,0,0,0,0,0,0,0,0,87,2.5,16.8,19.1
56,Central High School,12-Jul,Helena/ West Helena School District,RV,0.123,0.062,RV,RV,436,0.9564,0.0183,0.0046,0.9587,0.02,0.98,5,71,65,0.915492958,13.9,12.8,14.4,14.3,0,PHILLIPS,5403019,5403000,Arkansas,34.5440852,-90.6273814,103 School Road,72390,Phillips County,Helena-West Helena,5107,"103 School Road, Helena-West Helena, Arkansas, 72390",480300,5107480300,2023,480300,Phillips County,Arkansas,353,138,107,76,32,2800,287,264,845,557,555,227,65,39.1,30.3,21.5,9.1,10.3,9.4,30.2,19.9,19.8,8.1,2.3,1804,33000,45178,4944,0,0,4944,100,1129,22.8,3782,76.5,0,0,0,0,0,0,0,0,33,0.7,13.9,14.4
57,Central High School,12-Sep,Little Rock School District,0.276,0.517,0.406,0.302,0.219,2260,0.5389,0.2938,0.0907,0.4854,0.13,0.71,3,566,453,0.800353357,18.7,18.7,20.6,19.5,0,PULASKI,6001001,6001000,Arkansas,34.7367998,-92.2986873,1500 S Little Rock Nine Way,72202,Pulaski County,Little Rock,5119,"1500 S Little Rock Nine Way, Little Rock, Arkansas, 72202",4500,5119004500,2023,4500,Pulaski County,Arkansas,580,30,44,492,14,1217,37,88,422,338,39,209,84,5.2,7.6,84.8,2.4,3,7.2,34.7,27.8,3.2,17.2,6.9,748,36154,51933,2118,37,1.7,2081,98.3,240,11.3,1740,82.2,9,0.4,38,1.8,0,0,0,0,54,2.5,18.7,20.6
58,Charleston High School,12-Jul,Charleston School District,0.243,0.676,0.351,0.216,0.135,418,0.4737,0.8923,0.0502,0.0048,0.05,0.11,1,59,37,0.627118644,18.6,18.8,19.7,20,0,FRANKLIN,2402007,2402000,Arkansas,35.2941544,-94.046352,305 Dale Bumpers Drive,72933,Franklin County,Charleston,5047,"305 Dale Bumpers Drive, Charleston, Arkansas, 72933",950302,5047950302,2023,950302,Franklin County,Arkansas,219,52,58,72,37,2156,33,183,792,387,287,369,105,23.7,26.5,32.9,16.9,1.5,8.5,36.7,17.9,13.3,17.1,4.9,1285,59896,72769,3190,0,0,3190,100,2659,83.4,17,0.5,9,0.3,36,1.1,0,0,0,0,469,14.7,18.6,19.7
59,Clarendon High School,12-Jul,Clarendon School District,0.029,0.235,0.118,0.029,RV,194,0.9072,0.3041,0.0773,0.5052,0.11,0.7,5,36,34,0.944444444,15,13.4,15.4,15.6,0,MONROE,4802010,4802000,Arkansas,34.6952361,-91.3060175,320 North 7th Street,72029,Monroe County,Clarendon,5095,"320 North 7th Street, Clarendon, Arkansas, 72029",950200,5095950200,2023,950200,Monroe County,Arkansas,126,21,68,35,2,1501,106,136,466,347,149,231,66,16.7,54,27.8,1.6,7.1,9.1,31,23.1,9.9,15.4,4.4,826,48611,68595,2258,47,2.1,2211,97.9,1566,69.4,532,23.6,0,0,0,0,0,0,6,0.3,107,4.7,15,15.4
60,Clarksville High School,12-Oct,Clarksville School District,0.122,0.524,0.272,0.17,0.102,576,0.6719,0.5139,0.3611,0.0122,0.11,0.49,1,192,147,0.765625,16.7,18.1,18.8,18.1,0,JOHNSON,3601005,3601000,Arkansas,35.492719,-93.5205641,,N/A,Johnson County,N/A,5071,,951900,5071951900,2023,951900,Johnson County,Arkansas,850,0,314,518,18,2409,216,89,686,478,255,480,205,0,36.9,60.9,2.1,9,3.7,28.5,19.8,10.6,19.9,8.5,1254,69569,89229,3996,960,24,3036,76,2496,62.5,207,5.2,10,0.3,156,3.9,34,0.9,34,0.9,99,2.5,16.7,18.8
61,Clinton High School,12-Sep,Clinton School District,0.241,0.482,0.361,0.301,0.169,418,0.6244,0.9211,0.0502,0.0072,0.02,0.08,1,102,83,0.81372549,18.1,17.1,19.8,19.4,0,VAN BUREN,7102006,7102000,Arkansas,35.5837245,-92.4999918,,N/A,Van Buren County,N/A,5141,,460200,5141460200,2023,460200,Van Buren County,Arkansas,199,40,75,17,67,2231,123,147,1110,485,91,205,70,20.1,37.7,8.5,33.7,5.5,6.6,49.8,21.7,4.1,9.2,3.1,1325,38787,52636,3192,342,10.7,2850,89.3,2822,88.4,19,0.6,5,0.2,0,0,0,0,0,0,4,0.1,18.1,19.8
62,Concord High School,12-Jul,Concord School District,0.125,0.5,0.281,0.063,RV,184,0.5109,0.9565,0.038,0.0054,0,0.04,2,32,32,1,16.4,17.1,18.2,17.8,0,CLEBURNE,1201002,1201000,Arkansas,35.6633763,-91.8477224,10920 Heber Springs Road North,72523,Cleburne County,Concord,5023,"10920 Heber Springs Road North, Concord, Arkansas, 72523",480100,5023480100,2023,480100,Cleburne County,Arkansas,211,55,59,97,0,2831,133,289,1156,522,194,363,174,26.1,28,46,0,4.7,10.2,40.8,18.4,6.9,12.8,6.1,1517,55685,69279,3735,62,1.7,3673,98.3,3514,94.1,2,0.1,65,1.7,16,0.4,0,0,0,0,76,2,16.4,18.2
63,Conway High School,12-Oct,Conway School District,0.261,0.505,0.365,0.326,0.166,2248,0.46,0.5271,0.1303,0.2807,0.06,0.47,3,766,598,0.780678851,18.8,18.5,19.8,19.7,0,FAULKNER,2301006,2301000,Arkansas,35.0588005,-92.4208713,,N/A,Faulkner County,N/A,5045,,31006,5045031006,2023,31006,Faulkner County,Arkansas,460,6,104,179,171,2503,28,71,755,313,122,756,458,1.3,22.6,38.9,37.2,1.1,2.8,30.2,12.5,4.9,30.2,18.3,1778,59904,89652,3745,98,2.6,3647,97.4,2439,65.1,967,25.8,103,2.8,11,0.3,0,0,18,0.5,109,2.9,18.8,19.8
64,Corning High School,12-Sep,Corning School District,0.091,0.394,0.303,0.242,0.091,225,0.6533,0.9244,0.0311,0.0133,0.03,0.08,2,53,33,0.622641509,16.5,16.9,18.2,17.8,0,CLAY,1101004,1101000,Arkansas,36.4186782,-90.5798737,500 Bobcat Lane,72422,Clay County,Corning,5021,"500 Bobcat Lane, Corning, Arkansas, 72422",950400,5021950400,2023,950400,Clay County,Arkansas,197,14,95,66,22,2215,97,159,1054,342,123,262,178,7.1,48.2,33.5,11.2,4.4,7.2,47.6,15.4,5.6,11.8,8,1366,44034,60810,3151,34,1.1,3117,98.9,2876,91.3,0,0,24,0.8,0,0,0,0,0,0,217,6.9,16.5,18.2
65,Cossatot River High School,12-Jul,Cossatot River School District,0.138,0.534,0.276,0.19,0.052,385,0.7195,0.6234,0.2987,0.0026,0.08,0.38,4,61,58,0.950819672,17.5,17.8,18.6,18.9,0,POLK,5707023,5707000,Arkansas,34.3832364,-94.3869121,6330 U.S. 71,71937,Polk County,Cove,5113,"6330 U.S. 71, Cove, Arkansas, 71937",950500,5113950500,2023,950500,Polk County,Arkansas,152,36,73,43,0,1463,78,167,601,356,84,130,47,23.7,48,28.3,0,5.3,11.4,41.1,24.3,5.7,8.9,3.2,800,48929,69928,2122,58,2.7,2064,97.3,1763,83.1,0,0,47,2.2,0,0,43,2,53,2.5,158,7.4,17.5,18.6
66,Cotter High School,12-Jul,Cotter School District,0.173,0.5,0.404,0.269,0.135,324,0.6543,0.9444,0.034,0.0062,0.02,0.06,1,54,52,0.962962963,17.6,18.2,19.2,19.5,0,BAXTER,302007,302000,Arkansas,36.2789437,-92.5212095,181 Mabel,72626,Baxter County,Cotter,5005,"181 Mabel, Cotter, Arkansas, 72626",950900,5005950900,2023,950900,Baxter County,Arkansas,311,72,113,122,4,4066,36,394,1548,991,558,331,208,23.2,36.3,39.2,1.3,0.9,9.7,38.1,24.4,13.7,8.1,5.1,2440,46944,59383,5596,86,1.5,5510,98.5,5181,92.6,23,0.4,0,0,10,0.2,0,0,5,0.1,291,5.2,17.6,19.2
67,County Line High School,12-Jul,County Line School District,0.13,0.435,0.261,0.348,0.087,242,0.6777,0.8678,0.0165,0.0207,0.1,0.13,1,31,23,0.741935484,18,16.7,18,19.8,0,FRANKLIN,2403012,2403000,Arkansas,35.307318,-93.9167499,Arkansas 22,72928,Logan County,Branch,5083,"Arkansas 22, Branch, Arkansas, 72928",950200,5083950200,2023,950200,Logan County,Arkansas,211,20,55,108,28,2604,91,166,1219,576,134,322,96,9.5,26.1,51.2,13.3,3.5,6.4,46.8,22.1,5.1,12.4,3.7,1436,66250,92907,3690,75,2,3615,98,2992,81.1,69,1.9,1,0,68,1.8,0,0,0,0,485,13.1,18,18
68,Cross Cnty High A New Tech School,12-Jul,Cross County School District,0.048,0.405,0.214,0.095,0.024,312,0.7244,0.8429,0.0288,0.1154,0.01,0.16,2,52,42,0.807692308,16,16,17.8,17.7,0,CROSS,1901703,1901000,Arkansas,35.3440467,-90.7913227,,N/A,Cross County,N/A,5037,,950200,5037950200,2023,950200,Cross County,Arkansas,254,18,64,164,8,2255,104,211,1123,458,100,215,44,7.1,25.2,64.6,3.1,4.6,9.4,49.8,20.3,4.4,9.5,2,1263,39531,75566,3069,28,0.9,3041,99.1,2822,92,62,2,29,0.9,10,0.3,0,0,0,0,118,3.8,16,17.8
