Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
11,Arkansas Connections Academy High,K-12,Arkansas Connections Academy,0.072,0.471,0.326,0.188,0.058,3804,0.3144,0.6953,0.0754,0.1367,0.09,0.3,1,549,138,0.25136612,16,17.7,19,18.2,1,BENTON,444703,444700,Arkansas,36.383142,-94.170508,1009 Beau Terre Drive,72712,Benton County,Bentonville,5007,"1009 Beau Terre Drive, Bentonville, Arkansas, 72712",20102,5007020102,2023,20102,Benton County,Arkansas,241,61,98,66,16,5418,144,333,1614,1036,431,1328,532,25.3,40.7,27.4,6.6,2.7,6.1,29.8,19.1,8,24.5,9.8,2852,105026,130423,7798,981,12.6,6817,87.4,5712,73.2,68,0.9,34,0.4,78,1,0,0,355,4.6,570,7.3,16,19
12,Arkansas Consolidated High School-Alexander,12-May,Division Of Youth Services School System,RV,RV,RV,RV,RV,123,0.9187,0.3415,0.0244,0.5935,0.04,0.66,3,18,12,0.666666667,13.3,11.3,12.1,14.5,0,PULASKI,6094001,6094000,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,13.3,12.1
13,Arkansas Consolidated High School-Dermott,12-Sep,Division Of Youth Services School System,N<10,N<10,N<10,N<10,N<10,25,0.92,0.48,0.08,0.44,0,0.52,3,8,N<10,N<10,N<10,N<10,N<10,N<10,0,PULASKI,6094002,6094000,Arkansas,33.524958,-91.436095,,71638,Chicot County,Dermott,5017,,80200,5017080200,2023,80200,Chicot County,Arkansas,152,8,97,47,0,1372,79,161,573,309,28,205,17,5.3,63.8,30.9,0,5.8,11.7,41.8,22.5,2,14.9,1.2,889,25518,43304,2173,1,0,2172,100,494,22.7,1662,76.5,0,0,8,0.4,0,0,0,0,8,0.4,,
14,Arkansas Consolidated High School-Harrisburg,12-Jul,Division Of Youth Services School System,N<10,N<10,N<10,N<10,N<10,32,0.8438,0.4688,0.0625,0.4375,0.03,0.53,3,0,N<10,N<10,N<10,N<10,N<10,N<10,0,PULASKI,6094006,6094000,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,,
15,Arkansas Consolidated High School-Mansfield,12-Jul,Division Of Youth Services School System,N<10,N<10,N<10,N<10,N<10,39,0.7949,0.4615,0.0256,0.4872,0.03,0.54,3,2,N<10,N<10,N<10,N<10,N<10,N<10,0,PULASKI,6094005,6094000,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,,
16,Arkansas High School,12-Sep,Texarkana School District,0.095,0.423,0.205,0.136,0.05,1108,0.5894,0.3186,0.065,0.556,0.06,0.68,4,283,220,0.777385159,15.8,16.6,16.9,17.3,0,MILLER,4605026,4605000,Arkansas,33.4377803,-94.0292036,1500 Jefferson Avenue,71854,Miller County,Texarkana,5091,"1500 Jefferson Avenue, Texarkana, Arkansas, 71854",20702,5091020702,2023,20702,Miller County,Arkansas,313,12,200,89,12,2367,59,51,845,662,182,314,254,3.8,63.9,28.4,3.8,2.5,2.2,35.7,28,7.7,13.3,10.7,1635,48692,68107,3453,21,0.6,3432,99.4,1633,47.3,1740,50.4,0,0,0,0,0,0,0,0,59,1.7,15.8,16.9
17,Arkansas Virtual Academy High School,12-Sep,Arkansas Virtual Academy,0.104,0.522,0.418,0.194,0.045,1872,0.5192,0.7014,0.0662,0.1683,0.06,0.3,3,489,67,0.137014315,17,18.5,20.9,18.9,1,PULASKI,6043703,6043700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,17,20.9
18,Armorel High School,12-Jul,Armorel School District,0.179,0.464,0.357,0.286,0.179,197,0.5025,0.8579,0.0508,0.066,0.03,0.14,2,31,28,0.903225806,17.9,17.6,19.1,20,0,MISSISSIPPI,4701002,4701000,Arkansas,35.9171821,-89.79941,7 S Main St,72310,Mississippi County,Armorel,5093,"7 S Main St, Armorel, Arkansas, 72310",10700,5093010700,2023,10700,Mississippi County,Arkansas,326,2,151,154,19,2564,129,127,995,529,244,373,167,0.6,46.3,47.2,5.8,5,5,38.8,20.6,9.5,14.5,6.5,1543,88393,102654,3903,105,2.7,3798,97.3,3588,91.9,35,0.9,5,0.1,58,1.5,0,0,0,0,112,2.9,17.9,19.1
19,Ashdown High School,12-Sep,Ashdown School District,0.055,0.385,0.132,0.066,0.033,396,0.6818,0.6313,0.0606,0.2525,0.06,0.37,4,97,91,0.93814433,15.7,15.9,16.3,17.5,0,LITTLE RIVER,4101004,4101000,Arkansas,33.6836358,-94.1104449,,N/A,Little River County,N/A,5081,,30104,5081030104,2023,30104,Little River County,Arkansas,253,23,36,194,0,1589,39,91,420,517,51,358,113,9.1,14.2,76.7,0,2.5,5.7,26.4,32.5,3.2,22.5,7.1,909,39738,65086,2543,151,5.9,2392,94.1,1403,55.2,870,34.2,8,0.3,0,0,0,0,0,0,111,4.4,15.7,16.3
20,Atkins High School,12-Sep,Atkins School District,0.209,0.605,0.395,0.302,0.093,335,0.6627,0.9284,0.0239,0.0149,0.03,0.07,1,78,43,0.551282051,18.5,18.6,19.3,19.7,0,POPE,5801002,5801000,Arkansas,35.2453482,-92.941787,403 Avenue 3 Northwest,72823,Pope County,Atkins,5115,"403 Avenue 3 Northwest, Atkins, Arkansas, 72823",951100,5115951100,2023,951100,Pope County,Arkansas,138,26,8,61,43,2773,121,163,1045,865,210,218,151,18.8,5.8,44.2,31.2,4.4,5.9,37.7,31.2,7.6,7.9,5.4,1451,67434,80586,3619,6,0.2,3613,99.8,3443,95.1,47,1.3,0,0,0,0,0,0,0,0,123,3.4,18.5,19.3
