tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
302.01,Crittenden County,Arkansas,1.5%,98.5%,67.7%,21.7%,0.0%,0.0%,0.0%,0.0%,9.0%,5298.0,82,5216,3588,1150,0,0,0,0,478,7.7%,45.1%,41.6%,5.5%,2.3%,3.9%,47.3%,22.7%,3.5%,18.2%,2.2%,543,42,245,226,30,3622,83,143,1712,821,127,658,78,"2,201","60,350","65,197"
302.02,Crittenden County,Arkansas,0.2%,99.8%,66.7%,29.3%,0.2%,2.5%,0.0%,0.0%,1.0%,3312.0,7,3305,2209,971,8,83,0,0,34,18.9%,29.7%,41.6%,9.8%,1.3%,8.0%,24.3%,25.9%,8.6%,22.2%,9.6%,286,54,85,119,28,2436,32,196,592,630,210,541,235,"1,439","75,991","91,180"
303.01,Crittenden County,Arkansas,2.4%,97.6%,21.3%,74.2%,0.4%,0.0%,0.0%,0.0%,1.7%,2743.0,66,2677,584,2035,10,0,0,0,48,20.2%,63.4%,13.6%,2.8%,4.7%,9.8%,42.2%,20.4%,8.8%,12.5%,1.7%,317,64,201,43,9,1729,81,169,729,352,153,216,29,"1,021","40,717","58,822"
303.02,Crittenden County,Arkansas,1.0%,99.0%,9.2%,87.7%,0.0%,0.0%,0.0%,0.0%,2.0%,2867.0,29,2838,265,2515,0,0,0,0,58,0.0%,68.0%,32.0%,0.0%,5.9%,14.0%,42.8%,19.8%,10.2%,5.9%,1.5%,266,0,181,85,0,1786,105,250,764,353,182,106,26,"1,148","20,161","33,466"
305.03,Crittenden County,Arkansas,7.4%,92.6%,1.4%,86.7%,0.0%,0.6%,0.0%,0.0%,3.9%,1732.0,128,1604,25,1502,0,10,0,0,67,0.0%,42.9%,57.1%,0.0%,4.9%,13.7%,49.6%,20.4%,4.3%,6.0%,1.0%,56,0,24,32,0,1072,53,147,532,219,46,64,11,600,"29,844","39,251"
306.01,Crittenden County,Arkansas,0.3%,99.7%,25.1%,70.0%,0.0%,0.0%,0.0%,0.3%,4.2%,597.0,2,595,150,418,0,0,0,2,25,12.1%,57.6%,25.8%,4.5%,7.4%,16.4%,41.4%,15.0%,9.3%,9.3%,1.2%,66,8,38,17,3,408,30,67,169,61,38,38,5,270,"27,292","51,865"
306.02,Crittenden County,Arkansas,0.9%,99.1%,44.2%,50.5%,0.0%,0.3%,0.0%,0.0%,4.2%,3540.0,33,3507,1563,1786,0,9,0,0,149,7.2%,53.1%,24.7%,15.1%,1.3%,14.6%,43.6%,18.4%,7.1%,10.6%,4.4%,292,21,155,72,44,2234,29,327,975,411,158,236,98,"1,515","39,774","56,643"
307.01,Crittenden County,Arkansas,9.3%,90.7%,55.2%,24.4%,0.0%,1.0%,0.0%,0.0%,10.0%,1170.0,109,1061,646,286,0,12,0,0,117,5.2%,24.7%,70.1%,0.0%,4.1%,13.3%,47.9%,23.9%,5.0%,4.8%,1.0%,97,5,24,68,0,735,30,98,352,176,37,35,7,392,"69,565","74,794"
307.02,Crittenden County,Arkansas,1.6%,98.4%,21.6%,58.3%,0.0%,1.0%,0.0%,0.0%,17.5%,1008.0,16,992,218,588,0,10,0,0,176,0.0%,72.5%,17.4%,10.1%,10.6%,21.3%,25.9%,20.6%,6.1%,13.5%,2.0%,69,0,50,12,7,606,64,129,157,125,37,82,12,364,"44,773","56,939"
307.03,Crittenden County,Arkansas,18.5%,81.5%,58.7%,14.3%,0.0%,0.0%,0.0%,0.0%,8.5%,1055.0,195,860,619,151,0,0,0,0,90,48.4%,34.7%,16.8%,0.0%,9.1%,19.4%,38.8%,15.2%,9.5%,5.3%,2.6%,95,46,33,16,0,757,69,147,294,115,72,40,20,340,"43,949","62,662"
308.03,Crittenden County,Arkansas,1.9%,98.1%,63.8%,26.9%,0.2%,0.0%,0.0%,0.0%,7.2%,1798.0,34,1764,1148,483,3,0,0,0,130,16.7%,26.3%,43.0%,14.0%,0.0%,5.0%,32.7%,37.8%,6.3%,10.1%,8.0%,114,19,30,49,16,1205,0,60,394,456,76,122,97,697,"89,676","93,177"
308.04,Crittenden County,Arkansas,6.5%,93.5%,36.0%,48.0%,0.0%,1.5%,0.0%,0.0%,8.0%,4469.0,292,4177,1607,2145,0,67,0,0,358,13.7%,26.3%,50.1%,9.9%,3.8%,3.6%,36.8%,27.8%,9.6%,5.2%,13.2%,335,46,88,168,33,2736,104,98,1007,761,264,141,361,"1,749","76,633","80,440"
308.05,Crittenden County,Arkansas,0.7%,99.3%,59.3%,32.3%,0.8%,2.7%,0.0%,0.0%,4.2%,3345.0,23,3322,1983,1081,27,90,0,0,141,1.1%,58.1%,38.9%,1.9%,2.5%,6.1%,29.2%,24.8%,14.7%,14.6%,8.2%,365,4,212,142,7,2075,51,126,605,515,304,303,171,"1,323","59,917","72,281"
308.06,Crittenden County,Arkansas,5.2%,94.8%,56.1%,32.0%,0.0%,1.0%,0.0%,0.0%,5.7%,3930.0,204,3726,2205,1257,0,39,0,0,225,9.7%,30.7%,39.0%,20.7%,1.7%,5.2%,22.4%,25.8%,11.7%,25.6%,7.6%,300,29,92,117,62,2356,40,122,527,607,276,604,180,"1,288","110,583","170,171"
308.07,Crittenden County,Arkansas,3.5%,96.5%,45.5%,41.4%,0.0%,0.0%,0.0%,0.0%,9.6%,1649.0,58,1591,750,682,0,0,0,0,159,23.5%,49.6%,21.8%,5.0%,3.8%,6.6%,32.0%,26.0%,8.3%,13.8%,9.5%,119,28,59,26,6,1040,40,69,333,270,86,143,99,466,"113,056","116,210"
310.0,Crittenden County,Arkansas,5.6%,94.4%,59.5%,21.9%,0.0%,0.0%,0.0%,0.0%,13.1%,1185.0,66,1119,705,259,0,0,0,0,155,25.9%,37.6%,27.1%,9.4%,13.8%,21.1%,34.1%,13.9%,4.5%,7.0%,5.7%,85,22,32,23,8,829,114,175,283,115,37,58,47,452,"65,000","87,053"
311.0,Crittenden County,Arkansas,1.2%,98.8%,13.9%,70.9%,0.0%,0.0%,0.0%,0.0%,14.0%,1610.0,20,1590,224,1141,0,0,0,0,225,25.6%,38.1%,36.4%,0.0%,10.0%,19.8%,43.9%,12.0%,2.6%,10.4%,1.3%,176,45,67,64,0,1007,101,199,442,121,26,105,13,632,"31,204","49,153"
312.0,Crittenden County,Arkansas,2.2%,97.8%,3.7%,79.4%,0.5%,0.8%,0.0%,0.0%,13.4%,1577.0,35,1542,59,1252,8,12,0,0,211,6.3%,56.8%,36.8%,0.0%,15.9%,13.9%,43.2%,16.9%,4.5%,2.0%,3.5%,95,6,54,35,0,993,158,138,429,168,45,20,35,534,"45,000","59,593"
9501.0,Cross County,Arkansas,0.0%,100.0%,43.5%,46.7%,0.0%,0.0%,0.0%,0.0%,9.8%,899.0,0,899,391,420,0,0,0,0,88,13.2%,72.5%,14.3%,0.0%,13.7%,25.7%,29.9%,22.8%,4.8%,3.1%,0.0%,91,12,66,13,0,619,85,159,185,141,30,19,0,431,"26,509","33,008"
9502.0,Cross County,Arkansas,0.9%,99.1%,92.0%,2.0%,0.9%,0.3%,0.0%,0.0%,3.8%,3069.0,28,3041,2822,62,29,10,0,0,118,7.1%,25.2%,64.6%,3.1%,4.6%,9.4%,49.8%,20.3%,4.4%,9.5%,2.0%,254,18,64,164,8,2255,104,211,1123,458,100,215,44,"1,263","39,531","75,566"
9503.0,Cross County,Arkansas,0.1%,99.9%,80.3%,0.0%,0.0%,0.0%,0.0%,0.0%,19.6%,1518.0,2,1516,1219,0,0,0,0,0,297,5.8%,55.3%,38.8%,0.0%,3.7%,4.8%,51.2%,24.3%,2.5%,11.2%,2.4%,103,6,57,40,0,1061,39,51,543,258,26,119,25,567,"61,484","81,773"
9504.0,Cross County,Arkansas,0.2%,99.8%,93.4%,2.2%,0.0%,0.0%,0.0%,0.0%,4.2%,2617.0,6,2611,2444,57,0,0,0,0,110,32.4%,22.5%,45.1%,0.0%,0.7%,5.7%,44.7%,25.5%,10.8%,8.1%,4.5%,142,46,32,64,0,1817,12,104,812,464,196,148,81,922,"77,763","80,723"
9505.0,Cross County,Arkansas,6.9%,93.1%,40.0%,44.5%,0.4%,0.0%,0.0%,0.0%,8.2%,4570.0,317,4253,1828,2034,16,0,0,0,375,7.0%,53.1%,33.9%,5.9%,5.3%,20.4%,46.0%,14.9%,4.8%,7.3%,1.4%,286,20,152,97,17,2930,154,597,1349,437,140,213,40,"1,686","36,690","45,174"
9506.0,Cross County,Arkansas,0.3%,99.7%,81.8%,12.4%,0.0%,0.0%,0.0%,0.0%,5.4%,4008.0,14,3994,3278,498,0,0,0,0,218,5.9%,68.9%,25.2%,0.0%,7.7%,6.2%,29.5%,16.0%,12.0%,15.8%,12.9%,286,17,197,72,0,2778,213,172,819,444,334,439,357,"1,655","63,906","90,123"
9701.0,Dallas County,Arkansas,0.7%,99.3%,72.7%,25.4%,0.0%,0.0%,0.0%,0.0%,1.2%,994.0,7,987,723,252,0,0,0,0,12,17.1%,68.3%,14.6%,0.0%,1.5%,3.7%,60.5%,18.2%,5.9%,7.9%,2.3%,82,14,56,12,0,784,12,29,474,143,46,62,18,471,"32,378","49,683"
9702.0,Dallas County,Arkansas,1.0%,99.0%,82.4%,14.9%,0.0%,0.3%,0.0%,0.0%,1.4%,1817.0,18,1799,1497,271,0,5,0,0,26,1.5%,54.4%,22.1%,22.1%,3.8%,10.0%,45.1%,16.1%,9.9%,10.2%,4.9%,68,1,37,15,15,1515,57,151,684,244,150,155,74,680,"66,429","81,239"
9703.0,Dallas County,Arkansas,1.9%,98.1%,31.1%,63.7%,0.0%,0.0%,0.0%,0.0%,3.3%,3540.0,67,3473,1100,2256,0,0,0,0,117,12.9%,76.1%,5.8%,5.2%,2.3%,8.8%,46.4%,24.4%,9.3%,7.0%,1.8%,309,40,235,18,16,2300,53,203,1067,561,213,161,42,"1,274","43,542","52,907"
9501.0,Desha County,Arkansas,1.8%,98.2%,80.9%,17.1%,0.0%,0.0%,0.0%,0.1%,0.0%,1358.0,25,1333,1099,232,0,0,0,2,0,29.7%,12.5%,40.6%,17.2%,7.4%,13.3%,44.9%,14.5%,4.3%,9.4%,6.2%,128,38,16,52,22,1020,75,136,458,148,44,96,63,661,"40,590","55,822"
9502.0,Desha County,Arkansas,10.2%,89.8%,37.0%,52.1%,0.3%,0.0%,0.2%,0.0%,0.2%,3808.0,390,3418,1410,1983,10,0,7,0,8,9.5%,63.3%,25.0%,2.3%,8.4%,12.3%,37.4%,26.1%,3.1%,7.4%,5.2%,264,25,167,66,6,2481,209,305,929,647,78,183,130,"1,546","36,707","47,586"
9503.0,Desha County,Arkansas,2.5%,97.5%,5.3%,91.7%,0.5%,0.0%,0.0%,0.0%,0.0%,1312.0,33,1279,69,1203,7,0,0,0,0,0.0%,4.5%,89.5%,6.0%,12.2%,17.1%,43.9%,12.4%,10.0%,2.1%,2.4%,133,0,6,119,8,960,117,164,421,119,96,20,23,665,"23,042","38,262"
9504.0,Desha County,Arkansas,9.8%,90.2%,40.7%,47.6%,0.0%,0.0%,0.0%,0.0%,1.9%,2989.0,292,2697,1218,1422,0,0,0,0,57,9.6%,69.2%,6.4%,14.7%,15.6%,10.5%,43.8%,18.2%,2.4%,5.7%,3.9%,156,15,108,10,23,1972,307,207,864,359,47,112,76,"1,258","31,810","57,758"
9505.0,Desha County,Arkansas,1.6%,98.4%,59.1%,33.7%,0.0%,0.0%,0.0%,0.3%,5.3%,1574.0,25,1549,930,531,0,0,0,4,84,0.0%,43.3%,31.3%,25.4%,3.1%,9.9%,38.4%,16.4%,6.4%,14.6%,11.1%,67,0,29,21,17,1070,33,106,411,176,69,156,119,620,"44,679","69,033"
4901.0,Drew County,Arkansas,3.3%,96.7%,79.2%,14.9%,0.0%,0.0%,0.0%,0.0%,2.6%,2172.0,72,2100,1721,323,0,0,0,0,56,27.0%,45.6%,12.1%,15.3%,6.9%,12.5%,45.7%,13.0%,2.2%,14.8%,5.0%,248,67,113,30,38,1481,102,185,677,192,32,219,74,843,"56,250","80,908"
4902.0,Drew County,Arkansas,0.0%,100.0%,51.6%,43.5%,0.0%,0.0%,0.0%,0.0%,4.9%,2274.0,0,2274,1173,989,0,0,0,0,112,21.6%,23.2%,55.2%,0.0%,2.9%,13.3%,28.7%,27.3%,8.8%,9.3%,9.7%,250,54,58,138,0,1574,45,210,452,430,139,146,152,"1,120","39,788","58,668"
4903.0,Drew County,Arkansas,0.7%,99.3%,71.7%,24.2%,0.0%,2.1%,0.0%,0.0%,1.2%,5632.0,39,5593,4037,1365,0,121,0,0,70,10.1%,16.2%,61.4%,12.2%,1.4%,6.4%,36.7%,12.8%,5.8%,22.9%,13.9%,1380,139,224,848,169,3287,45,212,1207,421,191,753,458,"2,237","29,756","63,607"
4904.0,Drew County,Arkansas,4.9%,95.1%,45.2%,41.9%,0.0%,0.0%,0.0%,0.0%,8.0%,3026.0,148,2878,1368,1269,0,0,0,0,241,18.0%,27.8%,54.2%,0.0%,5.8%,4.7%,39.5%,27.9%,7.5%,10.8%,3.9%,284,51,79,154,0,2069,119,97,818,577,155,223,80,"1,234","37,935","51,251"
4905.0,Drew County,Arkansas,11.1%,88.9%,69.9%,15.5%,0.0%,0.0%,0.0%,0.0%,3.4%,4039.0,447,3592,2825,628,0,0,0,0,139,23.4%,63.6%,12.0%,1.0%,7.5%,7.9%,41.4%,17.8%,7.5%,14.9%,2.9%,209,49,133,25,2,2557,193,203,1059,456,192,380,74,"1,570","53,088","66,874"
301.01,Faulkner County,Arkansas,1.4%,98.6%,88.7%,5.5%,1.5%,0.0%,0.0%,0.0%,3.0%,3002.0,41,2961,2662,164,44,0,0,0,91,12.3%,38.0%,40.8%,8.9%,2.1%,4.8%,44.2%,25.3%,6.1%,9.9%,7.5%,179,22,68,73,16,2091,44,101,925,530,127,208,156,"1,143","70,972","90,375"
301.02,Faulkner County,Arkansas,5.8%,94.2%,91.6%,1.9%,0.0%,0.0%,0.0%,0.0%,0.7%,6526.0,381,6145,5978,124,0,0,0,0,43,13.1%,23.1%,37.7%,26.1%,0.7%,0.8%,41.3%,17.9%,13.1%,16.6%,9.7%,567,74,131,214,148,4108,27,31,1698,734,539,680,399,"2,339","67,307","78,118"
301.03,Faulkner County,Arkansas,5.1%,94.9%,87.7%,0.6%,0.4%,0.2%,0.0%,2.0%,4.0%,3665.0,188,3477,3213,23,14,8,0,72,147,21.5%,33.9%,39.1%,5.6%,2.0%,4.1%,32.1%,22.8%,5.2%,21.8%,12.0%,233,50,79,91,13,2251,46,92,722,514,116,490,271,"1,202","93,929","133,420"
301.04,Faulkner County,Arkansas,0.0%,100.0%,97.5%,0.9%,0.0%,0.0%,0.2%,0.0%,1.5%,5048.0,0,5048,4920,44,0,0,10,0,74,4.9%,37.9%,53.7%,3.6%,2.7%,1.6%,38.1%,26.8%,5.9%,16.8%,8.2%,391,19,148,210,14,3210,87,50,1222,861,189,538,263,"1,800","87,500","108,433"
302.01,Faulkner County,Arkansas,1.3%,98.7%,91.2%,0.0%,1.3%,1.7%,0.0%,0.0%,4.4%,2963.0,38,2925,2703,0,40,51,0,0,131,14.1%,61.8%,9.2%,14.8%,1.8%,5.0%,39.1%,22.0%,6.4%,17.8%,7.8%,304,43,188,28,45,2103,38,105,823,463,135,374,165,"1,155","76,583","84,281"
302.02,Faulkner County,Arkansas,1.5%,98.5%,95.6%,0.0%,0.7%,0.0%,0.0%,0.0%,2.2%,2548.0,39,2509,2435,0,17,0,0,1,56,24.3%,36.5%,39.2%,0.0%,8.1%,12.3%,32.4%,18.4%,8.1%,12.2%,8.5%,181,44,66,71,0,1785,145,219,579,329,145,217,151,"1,109","58,506","72,666"
303.01,Faulkner County,Arkansas,6.5%,93.5%,82.4%,7.5%,0.0%,0.7%,0.0%,0.0%,2.9%,5658.0,368,5290,4664,424,0,38,0,0,164,8.9%,46.9%,33.0%,11.2%,0.5%,1.9%,32.0%,25.5%,14.4%,20.3%,5.5%,652,58,306,215,73,3760,19,71,1202,958,540,765,205,"2,178","75,560","78,805"
303.02,Faulkner County,Arkansas,0.9%,99.1%,96.7%,0.0%,0.3%,0.0%,0.0%,0.8%,1.2%,6604.0,60,6544,6389,1,20,0,0,53,81,0.0%,18.1%,66.7%,15.2%,1.3%,3.3%,29.2%,27.2%,13.4%,15.1%,10.5%,441,0,80,294,67,4522,61,149,1320,1229,605,683,475,"2,368","80,776","97,013"
303.03,Faulkner County,Arkansas,5.7%,94.3%,87.4%,0.5%,0.0%,0.4%,0.0%,1.0%,5.0%,5122.0,290,4832,4479,24,0,21,0,50,258,13.1%,76.9%,7.8%,2.2%,4.7%,3.3%,39.6%,22.6%,6.5%,16.2%,7.2%,268,35,206,21,6,3395,158,111,1344,766,219,551,246,"1,969","66,448","80,341"
304.01,Faulkner County,Arkansas,4.1%,95.9%,83.6%,10.6%,0.5%,0.0%,0.0%,0.0%,1.2%,3129.0,127,3002,2616,333,16,0,0,0,37,21.3%,35.5%,39.6%,3.6%,0.2%,2.0%,19.1%,31.3%,4.3%,24.6%,18.5%,169,36,60,67,6,2210,5,45,422,692,95,543,408,"1,115","112,593","146,657"
304.02,Faulkner County,Arkansas,2.8%,97.2%,88.0%,7.4%,0.0%,0.0%,0.0%,0.0%,1.8%,4435.0,124,4311,3902,330,0,0,0,0,79,15.6%,38.4%,43.8%,2.3%,0.9%,0.3%,38.7%,21.1%,7.9%,21.3%,9.9%,352,55,135,154,8,2964,27,8,1147,624,234,631,293,"1,590","83,690","88,612"
304.03,Faulkner County,Arkansas,5.8%,94.2%,63.4%,24.5%,0.0%,1.9%,0.0%,0.0%,4.4%,3724.0,216,3508,2362,913,0,69,0,0,164,7.0%,57.7%,6.6%,28.7%,5.3%,5.7%,32.1%,23.8%,6.4%,19.7%,7.1%,286,20,165,19,82,2747,146,156,881,655,175,540,194,"1,508","58,095","75,980"
304.04,Faulkner County,Arkansas,14.2%,85.8%,66.4%,14.7%,0.0%,0.0%,0.0%,0.0%,4.6%,2345.0,334,2011,1558,345,0,0,0,0,108,11.4%,64.5%,24.1%,0.0%,0.3%,4.5%,39.1%,25.9%,5.5%,19.0%,5.8%,166,19,107,40,0,1635,5,73,639,423,90,310,95,"1,077","60,146","73,249"
305.02,Faulkner County,Arkansas,16.6%,83.4%,62.9%,9.1%,0.0%,3.3%,0.0%,0.0%,8.1%,5289.0,876,4413,3325,482,0,177,0,0,429,5.4%,16.6%,56.9%,21.2%,0.4%,3.4%,27.2%,27.5%,6.0%,29.8%,5.4%,1196,64,198,681,253,2701,12,93,736,744,163,806,147,"2,145","51,250","60,509"
305.03,Faulkner County,Arkansas,4.9%,95.1%,70.7%,21.8%,0.0%,0.9%,0.0%,0.0%,1.7%,5338.0,264,5074,3776,1163,0,46,0,0,89,0.0%,5.3%,70.2%,24.5%,0.9%,0.8%,29.8%,15.5%,7.2%,24.2%,21.6%,931,0,49,654,228,3165,28,26,942,492,227,767,683,"2,392","51,868","93,358"
305.04,Faulkner County,Arkansas,2.1%,97.9%,77.5%,15.2%,0.0%,2.2%,0.0%,0.5%,2.5%,7039.0,146,6893,5455,1073,0,152,0,38,175,4.3%,17.9%,42.1%,35.6%,0.5%,1.7%,7.8%,20.9%,9.0%,26.0%,34.1%,508,22,91,214,181,4367,23,73,340,911,395,1134,1491,"2,584","84,306","123,122"
306.0,Faulkner County,Arkansas,1.1%,98.9%,79.4%,13.7%,0.0%,0.1%,0.0%,0.0%,5.7%,5661.0,62,5599,4494,776,0,5,0,0,324,12.5%,8.4%,69.5%,9.7%,2.0%,4.8%,21.7%,16.4%,14.4%,18.5%,22.1%,610,76,51,424,59,3738,74,180,812,613,539,693,827,"2,075","86,226","103,618"
307.01,Faulkner County,Arkansas,9.8%,90.2%,69.4%,15.9%,0.3%,0.7%,0.0%,0.2%,3.7%,3829.0,374,3455,2659,609,13,26,0,8,140,2.2%,17.9%,76.0%,3.9%,4.9%,5.8%,34.4%,16.5%,7.3%,18.9%,12.2%,1676,37,300,1274,65,1732,85,101,595,286,127,327,211,"1,241","45,938","52,356"
307.02,Faulkner County,Arkansas,10.5%,89.5%,54.0%,29.6%,0.0%,0.1%,0.3%,2.6%,2.8%,4049.0,424,3625,2188,1197,0,6,13,106,115,5.6%,31.4%,39.2%,23.8%,2.2%,5.3%,36.0%,32.8%,4.4%,11.0%,8.4%,770,43,242,302,183,2483,54,131,893,815,109,273,208,"1,770","50,546","59,020"
308.0,Faulkner County,Arkansas,4.3%,95.7%,71.3%,17.2%,0.1%,4.1%,0.0%,0.1%,2.9%,6271.0,271,6000,4474,1081,5,254,0,6,180,0.0%,12.9%,77.8%,9.3%,3.9%,1.6%,22.6%,25.6%,9.8%,18.2%,18.4%,3647,1,470,2837,339,2140,84,34,483,548,209,389,393,"1,845","50,972","66,336"
309.0,Faulkner County,Arkansas,14.4%,85.6%,52.2%,29.4%,0.0%,0.0%,0.0%,0.0%,3.9%,3499.0,505,2994,1828,1029,0,0,0,0,137,8.8%,23.4%,57.7%,10.1%,4.5%,9.2%,41.1%,19.6%,5.2%,16.7%,3.6%,875,77,205,505,88,1848,84,170,759,363,96,309,67,"1,474","28,797","39,013"
310.01,Faulkner County,Arkansas,5.3%,94.7%,67.4%,23.7%,0.0%,1.7%,0.0%,0.0%,1.9%,4780.0,254,4526,3224,1131,0,79,0,0,92,3.9%,13.8%,29.1%,53.2%,2.9%,4.5%,15.2%,21.5%,6.9%,28.9%,20.1%,690,27,95,201,367,2933,84,132,445,630,203,849,590,"1,881","61,236","97,102"
310.03,Faulkner County,Arkansas,15.9%,84.1%,56.0%,17.2%,0.0%,3.9%,0.0%,0.0%,7.0%,2893.0,459,2434,1620,498,0,113,0,0,203,6.6%,10.0%,60.0%,23.4%,3.7%,5.4%,28.9%,27.2%,11.4%,10.6%,12.7%,717,47,72,430,168,1672,62,91,484,455,190,178,212,"1,370","37,087","56,923"
310.06,Faulkner County,Arkansas,2.6%,97.4%,65.1%,25.8%,2.8%,0.3%,0.0%,0.5%,2.9%,3745.0,98,3647,2439,967,103,11,0,18,109,1.3%,22.6%,38.9%,37.2%,1.1%,2.8%,30.2%,12.5%,4.9%,30.2%,18.3%,460,6,104,179,171,2503,28,71,755,313,122,756,458,"1,778","59,904","89,652"
310.07,Faulkner County,Arkansas,7.1%,92.9%,69.6%,14.8%,0.0%,6.3%,0.0%,0.0%,2.3%,3799.0,268,3531,2643,562,0,239,0,0,87,0.3%,11.4%,61.7%,26.6%,3.4%,2.4%,11.9%,16.1%,2.3%,42.4%,21.6%,1203,4,137,742,320,1975,67,47,236,317,45,837,426,"1,760","49,750","70,375"
310.08,Faulkner County,Arkansas,4.8%,95.2%,80.4%,7.3%,0.0%,0.0%,0.0%,0.0%,7.5%,4797.0,231,4566,3856,351,0,0,0,0,359,2.9%,22.0%,67.8%,7.4%,6.1%,0.4%,16.8%,18.9%,8.7%,29.9%,19.3%,596,17,131,404,44,3187,194,12,535,601,276,954,615,"2,181","72,819","123,501"
311.01,Faulkner County,Arkansas,9.7%,90.3%,78.1%,3.7%,0.0%,0.0%,0.3%,0.0%,8.1%,5135.0,497,4638,4013,190,0,0,17,0,418,20.9%,42.1%,36.0%,1.0%,4.5%,6.0%,45.4%,18.5%,7.3%,14.2%,4.1%,406,85,171,146,4,3596,161,217,1631,664,264,511,148,"2,034","55,862","65,773"
311.02,Faulkner County,Arkansas,0.3%,99.7%,78.1%,18.6%,0.2%,0.5%,0.0%,0.0%,2.4%,5108.0,14,5094,3989,948,10,24,0,0,123,7.8%,35.1%,37.6%,19.5%,11.5%,2.8%,35.2%,20.7%,4.1%,17.6%,8.2%,359,28,126,135,70,3629,416,102,1279,751,148,637,296,"1,783","61,932","77,761"
9501.0,Franklin County,Arkansas,5.2%,94.8%,89.5%,0.0%,0.0%,1.6%,0.0%,0.6%,3.0%,3379.0,175,3204,3023,1,1,55,0,21,103,6.5%,69.4%,21.5%,2.7%,10.7%,6.4%,32.6%,18.8%,15.5%,11.7%,4.3%,186,12,129,40,5,2187,233,140,714,411,339,255,95,"1,217","58,531","71,961"
9502.01,Franklin County,Arkansas,1.6%,98.4%,83.7%,0.4%,0.0%,0.0%,0.0%,0.0%,14.3%,3423.0,54,3369,2865,12,1,0,0,0,491,24.3%,65.0%,9.8%,0.9%,4.0%,7.5%,45.8%,25.0%,6.7%,5.7%,5.3%,214,52,139,21,2,2464,98,185,1128,617,164,141,131,"1,344","53,278","60,681"
9502.02,Franklin County,Arkansas,3.4%,96.6%,92.4%,0.3%,1.7%,0.0%,0.0%,0.0%,2.3%,3564.0,120,3444,3292,10,60,0,0,0,82,16.0%,45.2%,19.2%,19.6%,5.4%,8.5%,43.1%,23.9%,11.4%,3.0%,4.8%,250,40,113,48,49,2600,140,220,1120,621,296,78,125,"1,449","48,176","51,247"
9503.01,Franklin County,Arkansas,5.4%,94.6%,79.0%,0.1%,2.2%,1.9%,0.0%,0.2%,11.2%,3664.0,199,3465,2893,3,80,71,0,7,411,20.7%,54.5%,20.7%,4.1%,2.9%,9.5%,48.6%,17.9%,10.3%,8.8%,2.1%,363,75,198,75,15,2689,77,255,1307,480,277,237,56,"1,583","39,110","73,056"
9503.02,Franklin County,Arkansas,0.0%,100.0%,83.4%,0.5%,0.3%,1.1%,0.0%,0.0%,14.7%,3190.0,0,3190,2659,17,9,36,0,0,469,23.7%,26.5%,32.9%,16.9%,1.5%,8.5%,36.7%,17.9%,13.3%,17.1%,4.9%,219,52,58,72,37,2156,33,183,792,387,287,369,105,"1,285","59,896","72,769"
5501.01,Fulton County,Arkansas,4.8%,95.2%,92.1%,0.1%,0.0%,0.0%,0.0%,0.0%,3.1%,3639.0,174,3465,3350,3,0,0,0,0,112,23.9%,47.2%,28.9%,0.0%,3.5%,10.2%,42.5%,21.1%,5.2%,10.6%,7.0%,159,38,75,46,0,2659,93,271,1129,561,138,282,185,"1,452","36,370","54,243"
5501.02,Fulton County,Arkansas,0.5%,99.5%,92.8%,0.0%,0.0%,0.0%,0.0%,0.0%,6.7%,2189.0,10,2179,2032,0,0,0,0,0,147,38.6%,21.1%,32.5%,7.9%,1.3%,10.5%,39.3%,26.5%,8.4%,10.4%,3.6%,114,44,24,37,9,1673,21,175,658,444,141,174,60,868,"40,375","55,144"
5502.01,Fulton County,Arkansas,0.7%,99.3%,90.6%,0.8%,0.0%,0.1%,0.0%,0.0%,7.8%,3126.0,23,3103,2832,24,0,4,0,0,243,19.1%,42.1%,38.8%,0.0%,6.6%,3.2%,38.1%,28.0%,7.7%,10.7%,5.6%,183,35,77,71,0,2479,164,80,945,695,190,265,140,"1,284","37,214","50,613"
