tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree",total_households,Median income (dollars),Mean income (dollars)
9606.0,Ashley County,Arkansas,2.3%,97.7%,55.0%,39.7%,0.0%,0.0%,0.0%,0.0%,3.1%,5015.0,115,4900,2758,1989,0,0,0,0,153,4.8%,62.2%,26.8%,6.2%,2.6%,4.4%,47.0%,18.4%,5.4%,18.2%,4.0%,503,24,313,135,31,3683,97,163,1730,679,199,669,146,"2,256","45,172","64,869"
9607.0,Ashley County,Arkansas,3.4%,96.6%,65.6%,27.3%,0.0%,0.2%,3.0%,0.0%,0.5%,1691.0,58,1633,1110,461,0,3,50,0,9,0.0%,45.9%,54.1%,0.0%,4.4%,8.3%,48.2%,19.5%,6.6%,7.2%,5.8%,74,0,34,40,0,1155,51,96,557,225,76,83,67,577,"54,125","82,595"
9501.0,Baxter County,Arkansas,4.4%,95.6%,91.3%,0.0%,1.5%,1.6%,0.0%,0.0%,1.2%,4478.0,198,4280,4088,1,65,70,0,1,55,50.5%,14.2%,35.3%,0.0%,3.1%,6.6%,31.9%,26.3%,7.6%,17.8%,6.6%,218,110,31,77,0,3430,106,228,1095,901,262,610,228,"2,346","44,662","61,754"
9502.0,Baxter County,Arkansas,3.1%,96.9%,93.0%,0.1%,0.0%,0.0%,0.0%,0.0%,3.8%,4601.0,141,4460,4280,4,0,0,0,0,176,0.0%,71.7%,28.3%,0.0%,4.3%,11.0%,32.6%,24.7%,11.7%,11.3%,4.5%,226,0,162,64,0,3594,153,395,1172,887,421,405,161,"2,217","40,493","58,010"
9503.0,Baxter County,Arkansas,4.3%,95.7%,87.7%,0.0%,0.0%,1.9%,0.0%,0.0%,6.1%,5221.0,222,4999,4581,0,0,100,0,0,318,12.7%,52.4%,29.4%,5.5%,2.9%,5.8%,27.9%,29.7%,15.2%,12.3%,6.2%,622,79,326,183,34,3801,112,222,1061,1128,576,467,235,"2,458","42,383","64,983"
9504.0,Baxter County,Arkansas,1.6%,98.4%,91.0%,1.8%,0.7%,0.4%,0.4%,0.0%,4.0%,3345.0,55,3290,3043,61,24,15,13,0,134,21.5%,25.7%,52.8%,0.0%,2.4%,5.1%,35.4%,17.2%,16.8%,15.8%,7.4%,413,89,106,218,0,2380,56,122,842,409,401,375,175,"1,491","44,492","88,179"
9505.0,Baxter County,Arkansas,3.4%,96.6%,92.9%,1.3%,0.2%,0.1%,0.0%,0.0%,2.1%,5294.0,182,5112,4919,70,10,3,0,0,110,4.1%,53.2%,41.3%,1.4%,1.7%,9.9%,35.2%,22.0%,10.0%,14.7%,6.5%,293,12,156,121,4,3821,65,378,1344,841,383,562,248,"2,146","48,404","64,722"
9506.0,Baxter County,Arkansas,2.2%,97.8%,93.7%,0.0%,0.0%,0.0%,0.0%,0.0%,4.1%,3751.0,82,3669,3515,0,0,0,0,0,154,15.9%,56.1%,28.0%,0.0%,2.7%,6.2%,39.1%,22.9%,7.8%,15.8%,5.6%,107,17,60,30,0,3195,85,197,1248,733,248,506,178,"1,755","62,518","108,931"
9507.0,Baxter County,Arkansas,2.4%,97.6%,95.9%,0.0%,0.3%,0.0%,0.2%,0.0%,1.2%,3497.0,85,3412,3353,0,11,0,6,0,42,52.4%,35.4%,12.2%,0.0%,5.3%,4.7%,42.6%,19.7%,9.1%,15.0%,3.6%,82,43,29,10,0,2969,156,140,1266,584,271,444,108,"1,685","50,193","57,335"
9508.01,Baxter County,Arkansas,1.3%,98.7%,86.1%,0.0%,0.2%,1.7%,0.0%,0.0%,10.7%,4361.0,56,4305,3754,0,9,75,0,0,467,15.1%,77.6%,5.3%,2.0%,2.7%,7.3%,32.4%,30.1%,11.1%,11.8%,4.6%,152,23,118,8,3,3446,93,251,1118,1036,382,407,159,"1,979","52,005","68,101"
9508.02,Baxter County,Arkansas,2.5%,97.5%,95.3%,0.0%,1.4%,0.0%,0.0%,0.0%,0.8%,2006.0,50,1956,1912,0,28,0,0,0,16,39.3%,28.1%,32.6%,0.0%,5.9%,9.1%,30.8%,28.7%,10.2%,14.4%,0.8%,89,35,25,29,0,1455,86,133,448,417,149,210,12,772,"47,128","53,467"
9509.0,Baxter County,Arkansas,1.5%,98.5%,92.6%,0.4%,0.0%,0.2%,0.0%,0.1%,5.2%,5596.0,86,5510,5181,23,0,10,0,5,291,23.2%,36.3%,39.2%,1.3%,0.9%,9.7%,38.1%,24.4%,13.7%,8.1%,5.1%,311,72,113,122,4,4066,36,394,1548,991,558,331,208,"2,440","46,944","59,383"
201.02,Benton County,Arkansas,12.6%,87.4%,73.2%,0.9%,0.4%,1.0%,0.0%,4.6%,7.3%,7798.0,981,6817,5712,68,34,78,0,355,570,25.3%,40.7%,27.4%,6.6%,2.7%,6.1%,29.8%,19.1%,8.0%,24.5%,9.8%,241,61,98,66,16,5418,144,333,1614,1036,431,1328,532,"2,852","105,026","130,423"
201.03,Benton County,Arkansas,11.2%,88.8%,66.8%,6.3%,0.1%,1.3%,0.0%,0.0%,14.3%,4777.0,534,4243,3191,302,5,62,0,0,683,12.7%,50.5%,36.8%,0.0%,4.5%,6.5%,37.2%,24.7%,10.5%,11.7%,4.9%,315,40,159,116,0,3250,147,210,1208,804,341,381,159,"1,737","78,750","94,727"
201.04,Benton County,Arkansas,6.4%,93.6%,69.7%,1.0%,0.8%,0.0%,0.1%,1.4%,20.6%,1861.0,120,1741,1298,18,14,0,1,26,384,19.5%,45.1%,35.4%,0.0%,2.5%,7.6%,42.7%,14.0%,7.6%,22.1%,3.6%,82,16,37,29,0,1323,33,100,565,185,101,292,47,631,"65,341","84,071"
