School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Hoffman Estates High School,Township HSD 211,505.7,527.5,460,460,Illinois,42.0529247,-88.1075151,1100 West Higgins Road,60169,Cook County,Hoffman Estates,17031,"1100 West Higgins Road, Hoffman Estates, Illinois, 60169",804706,17031804706,2019,804706,Cook County,Illinois,123,5,24,65,29,1535,32,37,300,258,147,543,218,4.1,19.5,52.8,23.6,2.1,2.4,19.5,16.8,9.6,35.4,14.2,686,113750,130557,2170,293,13.5,1877,86.5,1376,63.4,36,1.7,0,0,343,15.8,0,0,6,0.3,116,5.3
Disney II Magnet HS,City of Chicago SD 299,524.4,481.1,120,120,Illinois,41.9521904,-87.7206118,3900 North Lawndale Avenue,60618,Cook County,Chicago,17031,"3900 North Lawndale Avenue, Chicago, Illinois, 60618",160900,17031160900,2019,160900,Cook County,Illinois,187,0,58,108,21,1930,0,1,374,254,148,716,437,0,31,57.8,11.2,0,0.1,19.4,13.2,7.7,37.1,22.6,1093,90875,110432,2653,766,28.9,1887,71.1,1399,52.7,56,2.1,0,0,308,11.6,0,0,0,0,124,4.7
East High School,Aurora East USD 131,445.5,439.5,871,871,Illinois,41.7445318,-88.2972337,500 Tomcat Lane,60505,Kane County,Aurora,17089,"500 Tomcat Lane, Aurora, Illinois, 60505",854302,17089854302,2019,854302,Kane County,Illinois,807,78,274,383,72,3256,501,556,1114,648,153,164,120,9.7,34,47.5,8.9,15.4,17.1,34.2,19.9,4.7,5,3.7,1606,60298,75859,5517,4004,72.6,1513,27.4,1060,19.2,281,5.1,0,0,21,0.4,0,0,0,0,151,2.7
Pleasant Hill High School,Pleasant Hill CUSD 3,490,454.7,17,17,Illinois,39.4410208,-90.8683035,501 East Quincy Street,62366,Pike County,Pleasant Hill,17149,"501 East Quincy Street, Pleasant Hill, Illinois, 62366",952600,17149952600,2019,952600,Pike County,Illinois,237,36,122,71,8,1957,20,153,834,443,143,257,107,15.2,51.5,30,3.4,1,7.8,42.6,22.6,7.3,13.1,5.5,1105,53750,67502,3094,10,0.3,3084,99.7,3029,97.9,6,0.2,3,0.1,14,0.5,0,0,0,0,32,1
Manual High School,Peoria SD 150,390.8,378.5,144,144,Illinois,40.6801782,-89.6343006,811 South Griswold Street,61605,Peoria County,Peoria,17143,"811 South Griswold Street, Peoria, Illinois, 61605",600,17143000600,2019,600,Peoria County,Illinois,414,7,193,153,61,1714,68,245,675,324,162,167,73,1.7,46.6,37,14.7,4,14.3,39.4,18.9,9.5,9.7,4.3,1194,35042,39446,2813,230,8.2,2583,91.8,944,33.6,1502,53.4,0,0,0,0,0,0,0,0,137,4.9
Dunlap High School,Dunlap CUSD 323,552,567,304,304,Illinois,40.8547012,-89.6750033,5220 Legion Hall Road,61525,Peoria County,Dunlap,17143,"5220 Legion Hall Road, Dunlap, Illinois, 61525",3900,17143003900,2019,3900,Peoria County,Illinois,345,62,81,179,23,4655,120,159,567,860,494,1215,1240,18,23.5,51.9,6.7,2.6,3.4,12.2,18.5,10.6,26.1,26.6,2457,121250,163095,7606,212,2.8,7394,97.2,5771,75.9,191,2.5,34,0.4,1215,16,2,0,0,0,181,2.4
Harlan Community Academy HS,City of Chicago SD 299,400.3,380,101,101,Illinois,41.7183438,-87.6209035,9652 South Michigan Avenue,60628,Cook County,Chicago,17031,"9652 South Michigan Avenue, Chicago, Illinois, 60628",490500,17031490500,2019,490500,Cook County,Illinois,222,0,34,170,18,1405,32,81,261,443,70,308,210,0,15.3,76.6,8.1,2.3,5.8,18.6,31.5,5,21.9,14.9,713,58295,71605,2025,23,1.1,2002,98.9,39,1.9,1907,94.2,0,0,27,1.3,0,0,0,0,29,1.4
Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,478.9,478.4,62,62,Illinois,39.3001022,-87.9878768,401 East Main Street,62420,Clark County,Casey,17023,"401 East Main Street, Casey, Illinois, 62420",60300,17023060300,2019,60300,Clark County,Illinois,544,75,213,173,83,3616,103,239,1487,693,474,369,251,13.8,39.2,31.8,15.3,2.8,6.6,41.1,19.2,13.1,10.2,6.9,2439,46515,61092,5284,71,1.3,5213,98.7,5122,96.9,41,0.8,9,0.2,0,0,0,0,0,0,41,0.8
Noble St Chtr-Hansberry College Prep - Silver,City of Chicago SD 299,466.8,459.7,115,115,Illinois,41.7343941,-87.6510999,8748 South Aberdeen Street,60620,Cook County,Chicago,17031,"8748 South Aberdeen Street, Chicago, Illinois, 60620",711400,17031711400,2019,711400,Cook County,Illinois,197,69,74,40,14,1664,40,114,601,468,198,200,43,35,37.6,20.3,7.1,2.4,6.9,36.1,28.1,11.9,12,2.6,845,42044,54174,2586,130,5,2456,95,3,0.1,2421,93.6,0,0,0,0,0,0,0,0,32,1.2
Tuscola High School,Tuscola CUSD 301,492.6,484.6,69,69,Illinois,39.7956964,-88.274153,500 South Prairie Street,61953,Douglas County,Tuscola,17041,"500 South Prairie Street, Tuscola, Illinois, 61953",952200,17041952200,2019,952200,Douglas County,Illinois,409,70,125,161,53,3088,67,229,857,722,469,504,240,17.1,30.6,39.4,13,2.2,7.4,27.8,23.4,15.2,16.3,7.8,1992,57423,73687,4481,184,4.1,4297,95.9,4100,91.5,10,0.2,0,0,95,2.1,17,0.4,0,0,75,1.7
