School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Normal Community High School,McLean County USD 5,527.1,534,521,521,Illinois,40.5331469,-88.9148899,3900 East Raab Road,61761,McLean County,Normal,17113,"3900 East Raab Road, Normal, Illinois, 61761",5102,17113005102,2019,5102,McLean County,Illinois,359,59,99,158,43,4665,33,126,1375,929,367,1274,561,16.4,27.6,44,12,0.7,2.7,29.5,19.9,7.9,27.3,12,2647,92148,113404,6806,136,2,6670,98,6364,93.5,131,1.9,0,0,109,1.6,0,0,25,0.4,41,0.6
Legacy Acad of Excellence Charter Sch,Rockford SD 205,378,328,,,Illinois,42.222763,-89.1280212,4029 Prairie Road,61102,Winnebago County,Rockford,17201,"4029 Prairie Road, Rockford, Illinois, 61102",3711,17201003711,2019,3711,Winnebago County,Illinois,318,85,88,124,21,2837,48,255,1105,693,287,319,130,26.7,27.7,39,6.6,1.7,9,38.9,24.4,10.1,11.2,4.6,1592,65969,79142,3921,457,11.7,3464,88.3,3176,81,71,1.8,8,0.2,103,2.6,0,0,0,0,106,2.7
Young Magnet High School,City of Chicago SD 299,637.4,655.4,462,462,Illinois,41.8773193,-87.6631127,211 South Laflin Street,60607,Cook County,Chicago,17031,"211 South Laflin Street, Chicago, Illinois, 60607",833100,17031833100,2019,833100,Cook County,Illinois,483,0,219,198,66,6107,130,219,314,371,33,2751,2289,0,45.3,41,13.7,2.1,3.6,5.1,6.1,0.5,45,37.5,4007,131852,156812,7573,345,4.6,7228,95.4,4665,61.6,712,9.4,0,0,1685,22.3,0,0,39,0.5,127,1.7
SIU Charter Sch of East St Louis,East St Louis SD 189,405.9,380.5,37,37,Illinois,38.6216237,-90.1633555,601 James R Thompson Boulevard,62201,St. Clair County,East St. Louis,17163,"601 James R Thompson Boulevard, East St. Louis, Illinois, 62201",504502,17163504502,2019,504502,St. Clair County,Illinois,141,54,87,0,0,871,143,65,268,244,121,9,21,38.3,61.7,0,0,16.4,7.5,30.8,28,13.9,1,2.4,468,17391,25474,1242,5,0.4,1237,99.6,30,2.4,1196,96.3,0,0,0,0,0,0,0,0,11,0.9
Paw Paw Jr/Sr High School,Paw Paw CUSD 271,451.4,448.6,,,Illinois,41.691404,-88.977816,511 Chapman Street,61353,Lee County,Paw Paw,17103,"511 Chapman Street, Paw Paw, Illinois, 61353",900,17103000900,2019,900,Lee County,Illinois,224,47,87,85,5,2304,40,141,896,647,228,222,130,21,38.8,37.9,2.2,1.7,6.1,38.9,28.1,9.9,9.6,5.6,1358,58100,72035,3332,118,3.5,3214,96.5,3122,93.7,43,1.3,34,1,8,0.2,0,0,0,0,7,0.2
Schurz High School,City of Chicago SD 299,429.5,423.5,352,352,Illinois,41.9474441,-87.7352682,3601 North Milwaukee Avenue,60641,Cook County,Chicago,17031,"3601 North Milwaukee Avenue, Chicago, Illinois, 60641",161100,17031161100,2019,161100,Cook County,Illinois,105,31,8,25,41,1384,16,59,181,217,37,547,327,29.5,7.6,23.8,39,1.2,4.3,13.1,15.7,2.7,39.5,23.6,749,137292,191571,2040,389,19.1,1651,80.9,1347,66,119,5.8,0,0,117,5.7,0,0,0,0,68,3.3
Wheeling High School,Township HSD 214,485,493.8,432,432,Illinois,42.1259362,-87.9386557,900 South Elmhurst Road,60090,Cook County,Wheeling,17031,"900 South Elmhurst Road, Wheeling, Illinois, 60090",802504,17031802504,2019,802504,Cook County,Illinois,437,19,138,195,85,4646,397,266,1292,1000,332,923,436,4.3,31.6,44.6,19.5,8.5,5.7,27.8,21.5,7.1,19.9,9.4,2036,83958,98709,6627,2712,40.9,3915,59.1,2796,42.2,22,0.3,0,0,718,10.8,0,0,239,3.6,140,2.1
Evanston Twp High School,Evanston Twp HSD 202,540.1,540.7,793,793,Illinois,42.0463103,-87.7007442,1600 Dodge Avenue,60201,Cook County,Evanston,17031,"1600 Dodge Avenue, Evanston, Illinois, 60201",809600,17031809600,2019,809600,Cook County,Illinois,299,60,68,120,51,2152,186,180,454,161,162,607,402,20.1,22.7,40.1,17.1,8.6,8.4,21.1,7.5,7.5,28.2,18.7,1233,43715,102519,3150,762,24.2,2388,75.8,984,31.2,1021,32.4,0,0,108,3.4,0,0,0,0,275,8.7
Mount Vernon High School,Mt Vernon Twp HSD 201,460.6,451.1,263,263,Illinois,38.3172714,-88.9031201,850-900 Broadway Street,62864,Jefferson County,Mount Vernon,17081,"850-900 Broadway Street, Mount Vernon, Illinois, 62864",51000,17081051000,2019,51000,Jefferson County,Illinois,174,41,111,22,0,839,60,124,226,155,238,32,4,23.6,63.8,12.6,0,7.2,14.8,26.9,18.5,28.4,3.8,0.5,553,28750,52454,1465,159,10.9,1306,89.1,689,47,569,38.8,0,0,15,1,0,0,0,0,33,2.3
New Athens High School,New Athens CUSD 60,490,456.4,45,45,Illinois,38.3187893,-89.8678368,501 Hanft Street,62264,St. Clair County,New Athens,17163,"501 Hanft Street, New Athens, Illinois, 62264",504001,17163504001,2019,504001,St. Clair County,Illinois,275,35,86,147,7,3776,41,227,1142,810,553,676,327,12.7,31.3,53.5,2.5,1.1,6,30.2,21.5,14.6,17.9,8.7,2002,82179,106405,5188,28,0.5,5160,99.5,5041,97.2,18,0.3,0,0,75,1.4,0,0,0,0,26,0.5
Glenbard South High School,Glenbard Twp HSD 87,525.2,529.4,280,280,Illinois,41.8315479,-88.0709094,23W200 Butterfield Road,60137,DuPage County,Glen Ellyn,17043,"23W200 Butterfield Road, Glen Ellyn, Illinois, 60137",842710,17043842710,2019,842710,DuPage County,Illinois,471,0,100,293,78,2332,31,61,500,430,187,729,394,0,21.2,62.2,16.6,1.3,2.6,21.4,18.4,8,31.3,16.9,1611,70302,92668,3480,248,7.1,3232,92.9,2524,72.5,274,7.9,0,0,292,8.4,0,0,0,0,142,4.1
Prairie Ridge High School,CHSD 155,543.2,562.9,341,341,Illinois,42.2703909,-88.3145925,6000 Dvorak Drive,60012,McHenry County,Crystal Lake,17111,"6000 Dvorak Drive, Crystal Lake, Illinois, 60012",870813,17111870813,2019,870812,McHenry County,Illinois,380,60,67,104,149,3285,18,39,780,699,515,695,539,15.8,17.6,27.4,39.2,0.5,1.2,23.7,21.3,15.7,21.2,16.4,1790,92105,112448,4415,217,4.9,4198,95.1,4170,94.5,22,0.5,0,0,0,0,0,0,3,0.1,3,0.1
Back of The Yards IB HS,City of Chicago SD 299,475,490.7,270,270,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2019,310600,Cook County,Illinois,519,0,139,277,103,3541,365,275,700,290,88,1159,664,0,26.8,53.4,19.8,10.3,7.8,19.8,8.2,2.5,32.7,18.8,2116,66074,77026,4780,2605,54.5,2175,45.5,1653,34.6,211,4.4,0,0,311,6.5,0,0,0,0,0,0
Ridgewood Comm High School,Ridgewood CHSD 234,490.8,473,209,209,Illinois,41.9613366,-87.8151834,7500 West Montrose Avenue,60706,Cook County,Norridge,17031,"7500 West Montrose Avenue, Norridge, Illinois, 60706",810502,17031810502,2019,810502,Cook County,Illinois,414,11,74,289,40,4404,397,175,1623,741,322,762,384,2.7,17.9,69.8,9.7,9,4,36.9,16.8,7.3,17.3,8.7,2075,83068,87004,5900,888,15.1,5012,84.9,4416,74.8,101,1.7,7,0.1,463,7.8,0,0,0,0,25,0.4
Beecher High School,Beecher CUSD 200U,512.4,481.8,88,88,Illinois,41.3451874,-87.6230343,538 Miller Street,60401,Will County,Beecher,17197,"538 Miller Street, Beecher, Illinois, 60401",883902,17197883902,2019,883902,Will County,Illinois,522,54,174,225,69,4289,91,225,1783,924,499,473,294,10.3,33.3,43.1,13.2,2.1,5.2,41.6,21.5,11.6,11,6.9,2250,94912,95942,6303,550,8.7,5753,91.3,5707,90.5,20,0.3,4,0.1,0,0,0,0,0,0,22,0.3
Central High School,Central CUSD 301,533.1,540.2,289,289,Illinois,40.6331249,-89.3985283,,N/A,Tazewell County,N/A,17179,,21701,17179021701,2019,21701,Tazewell County,Illinois,362,51,85,148,78,3930,28,89,1073,925,443,980,392,14.1,23.5,40.9,21.5,0.7,2.3,27.3,23.5,11.3,24.9,10,2346,80878,94334,5910,108,1.8,5802,98.2,5716,96.7,2,0,17,0.3,0,0,0,0,0,0,67,1.1
Air Force Acad High School,City of Chicago SD 299,443.4,434.2,53,53,Illinois,41.827898,-87.632968,3630 South Wells Street,60609,Cook County,Chicago,17031,"3630 South Wells Street, Chicago, Illinois, 60609",340600,17031340600,2019,340600,Cook County,Illinois,208,72,98,38,0,481,16,180,132,29,82,16,26,34.6,47.1,18.3,0,3.3,37.4,27.4,6,17,3.3,5.4,425,13207,21927,1036,0,0,1036,100,53,5.1,943,91,0,0,0,0,0,0,0,0,40,3.9
Dupo High School,Dupo CUSD 196,467.9,462.3,61,61,Illinois,38.5058944,-90.1682271,,N/A,St. Clair County,N/A,17163,,503101,17163503101,2019,503101,St. Clair County,Illinois,165,57,38,32,38,1673,49,151,674,422,114,128,135,34.5,23,19.4,23,2.9,9,40.3,25.2,6.8,7.7,8.1,867,69856,87326,2866,8,0.3,2858,99.7,2745,95.8,66,2.3,0,0,0,0,0,0,0,0,47,1.6
Lewistown Jr/Sr High School,Lewistown CUSD 97,482.1,448.8,56,56,Illinois,40.3496353,-90.1120696,,N/A,Fulton County,N/A,17057,,953700,17057953700,2019,953700,Fulton County,Illinois,195,0,48,61,86,1879,44,151,739,490,167,190,98,0,24.6,31.3,44.1,2.3,8,39.3,26.1,8.9,10.1,5.2,1099,54120,62740,2487,47,1.9,2440,98.1,2406,96.7,3,0.1,16,0.6,0,0,0,0,0,0,15,0.6
Streamwood High School,SD U-46,471.9,464.4,464,464,Illinois,42.030531,-88.197101,701 West Schaumburg Road,60107,Cook County,Streamwood,17031,"701 West Schaumburg Road, Streamwood, Illinois, 60107",804316,17031804316,2019,804316,Cook County,Illinois,371,27,187,129,28,3603,107,81,1092,669,237,1021,396,7.3,50.4,34.8,7.5,3,2.2,30.3,18.6,6.6,28.3,11,1599,96518,122875,4963,1170,23.6,3793,76.4,2643,53.3,6,0.1,96,1.9,1031,20.8,0,0,17,0.3,0,0
Heyworth Jr-Sr High School,Heyworth CUSD 4,495.3,480.7,76,76,Illinois,40.3452065,-88.9796776,,N/A,McLean County,N/A,17113,,5401,17113005401,2019,5401,McLean County,Illinois,274,47,46,159,22,3953,38,73,726,594,291,1620,611,17.2,16.8,58,8,1,1.8,18.4,15,7.4,41,15.5,2096,116696,138140,6212,74,1.2,6138,98.8,5612,90.3,114,1.8,0,0,303,4.9,0,0,0,0,109,1.8
Amandla Charter School,Amandla Charter School,389.1,375.9,70,70,Illinois,41.7692066,-87.6909357,6820 South Washtenaw Avenue,60629,Cook County,Chicago,17031,"6820 South Washtenaw Avenue, Chicago, Illinois, 60629",660900,17031660900,2019,660900,Cook County,Illinois,419,89,123,207,0,2943,6,422,1032,1087,221,126,49,21.2,29.4,49.4,0,0.2,14.3,35.1,36.9,7.5,4.3,1.7,1492,39016,50830,4883,725,14.8,4158,85.2,149,3.1,3823,78.3,0,0,21,0.4,0,0,0,0,165,3.4
Noble St Chtr-Comer College Prep,City of Chicago SD 299,463.4,452.3,191,191,Illinois,41.7652098,-87.6040574,7131 South South Chicago Avenue,60619,Cook County,Chicago,17031,"7131 South South Chicago Avenue, Chicago, Illinois, 60619",841800,17031841800,2019,841800,Cook County,Illinois,132,68,15,26,23,1533,79,97,327,550,129,236,115,51.5,11.4,19.7,17.4,5.2,6.3,21.3,35.9,8.4,15.4,7.5,912,40000,50013,2502,81,3.2,2421,96.8,25,1,2373,94.8,0,0,0,0,0,0,7,0.3,16,0.6
Austin College and Career Academy High School,City of Chicago SD 299,384.7,383.1,58,58,Illinois,41.8853945,-87.7629756,231 North Pine Avenue,60644,Cook County,Chicago,17031,"231 North Pine Avenue, Chicago, Illinois, 60644",251900,17031251900,2019,251900,Cook County,Illinois,414,155,168,30,61,3056,143,264,988,1135,345,128,53,37.4,40.6,7.2,14.7,4.7,8.6,32.3,37.1,11.3,4.2,1.7,1998,22939,42099,4763,228,4.8,4535,95.2,163,3.4,4345,91.2,0,0,0,0,0,0,0,0,27,0.6
Pontiac High School,Pontiac Twp HSD 90,481.7,483.6,144,144,Illinois,40.9097631,-88.5951751,,N/A,Livingston County,N/A,17105,,960200,17105960200,2019,960200,Livingston County,Illinois,244,10,143,73,18,2076,46,130,811,570,168,236,115,4.1,58.6,29.9,7.4,2.2,6.3,39.1,27.5,8.1,11.4,5.5,1220,66250,83316,3109,49,1.6,3060,98.4,3034,97.6,0,0,0,0,3,0.1,0,0,0,0,23,0.7
Edinburg High School,Edinburg CUSD 4,442,431,10,10,Illinois,39.6708067,-89.3795835,,N/A,Christian County,N/A,17021,,958100,17021958100,2019,958100,Christian County,Illinois,163,30,56,32,45,2074,6,93,1049,434,218,197,77,18.4,34.4,19.6,27.6,0.3,4.5,50.6,20.9,10.5,9.5,3.7,1134,67929,76849,2834,0,0,2834,100,2733,96.4,34,1.2,0,0,3,0.1,0,0,0,0,64,2.3
Eisenhower High School,Decatur SD 61,418.6,404.8,258,258,Illinois,39.8292995,-88.9346727,1200 South 16th Street,62521,Macon County,Decatur,17115,"1200 South 16th Street, Decatur, Illinois, 62521",1200,17115001200,2019,1200,Macon County,Illinois,345,165,137,43,0,1780,65,44,748,503,129,221,70,47.8,39.7,12.5,0,3.7,2.5,42,28.3,7.2,12.4,3.9,1132,47431,57980,2806,92,3.3,2714,96.7,1767,63,791,28.2,0,0,12,0.4,43,1.5,60,2.1,41,1.5
Midland High School,Midland CUSD 7,521.6,499.6,55,55,Illinois,41.0271682,-89.2899093,1830 Illinois 17,61375,Marshall County,Varna,17123,"1830 Illinois 17, Varna, Illinois, 61375",961100,17123961100,2019,961100,Marshall County,Illinois,220,65,84,65,6,1856,24,180,616,534,143,279,80,29.5,38.2,29.5,2.7,1.3,9.7,33.2,28.8,7.7,15,4.3,1126,52589,64484,2719,99,3.6,2620,96.4,2522,92.8,0,0,0,0,0,0,0,0,0,0,98,3.6
Altamont High School,Altamont CUSD 10,472.1,474.9,47,47,Illinois,39.0590516,-88.7408097,7 South Ewing Street,62411,Effingham County,Altamont,17049,"7 South Ewing Street, Altamont, Illinois, 62411",950300,17049950300,2019,950300,Effingham County,Illinois,273,44,145,71,13,3007,62,115,905,857,533,393,142,16.1,53.1,26,4.8,2.1,3.8,30.1,28.5,17.7,13.1,4.7,1744,53370,74527,4115,4,0.1,4111,99.9,4106,99.8,0,0,5,0.1,0,0,0,0,0,0,0,0
Spry Community Links High School,City of Chicago SD 299,422.2,421.9,32,32,Illinois,41.8476535,-87.6998179,2400 South Marshall Boulevard,60623,Cook County,Chicago,17031,"2400 South Marshall Boulevard, Chicago, Illinois, 60623",301100,17031301100,2019,301100,Cook County,Illinois,160,33,51,60,16,1381,455,141,434,114,38,92,107,20.6,31.9,37.5,10,32.9,10.2,31.4,8.3,2.8,6.7,7.7,744,33850,43532,2148,1835,85.4,313,14.6,249,11.6,64,3,0,0,0,0,0,0,0,0,0,0
YCCS-Olive Harvey Mid College HS,City of Chicago SD 299,387.3,369.8,44,44,Illinois,41.8003514,-87.7271397,5101 South Keeler Avenue,60632,Cook County,Chicago,17031,"5101 South Keeler Avenue, Chicago, Illinois, 60632",570500,17031570500,2019,570500,Cook County,Illinois,354,68,146,105,35,1623,263,198,661,273,87,101,40,19.2,41.2,29.7,9.9,16.2,12.2,40.7,16.8,5.4,6.2,2.5,739,43380,60463,2497,1971,78.9,526,21.1,469,18.8,0,0,0,0,57,2.3,0,0,0,0,0,0
Westinghouse High School,City of Chicago SD 299,521,527.2,271,271,Illinois,41.8894272,-87.7073059,3223 West Franklin Boulevard,60624,Cook County,Chicago,17031,"3223 West Franklin Boulevard, Chicago, Illinois, 60624",836700,17031836700,2019,836700,Cook County,Illinois,102,39,5,58,0,1665,86,207,424,424,211,175,138,38.2,4.9,56.9,0,5.2,12.4,25.5,25.5,12.7,10.5,8.3,1041,35260,54259,2337,595,25.5,1742,74.5,112,4.8,1630,69.7,0,0,0,0,0,0,0,0,0,0
Johnsburg High School,Johnsburg CUSD 12,505.2,505.8,149,149,Illinois,42.402942,-88.234422,2002 West Ringwood Road,60051,McHenry County,Johnsburg,17111,"2002 West Ringwood Road, Johnsburg, Illinois, 60051",870703,17111870703,2019,870703,McHenry County,Illinois,499,59,154,157,129,3563,28,88,1266,694,261,814,412,11.8,30.9,31.5,25.9,0.8,2.5,35.5,19.5,7.3,22.8,11.6,1815,125288,130874,5286,84,1.6,5202,98.4,4972,94.1,27,0.5,0,0,86,1.6,0,0,0,0,117,2.2
Steeleville High School,Steeleville CUSD 138,499.4,490.3,35,35,Illinois,38.0004543,-89.6603744,701 South Sparta Street,62288,Randolph County,Steeleville,17157,"701 South Sparta Street, Steeleville, Illinois, 62288",951100,17157951100,2019,951100,Randolph County,Illinois,330,58,129,141,2,2446,138,140,913,698,265,167,125,17.6,39.1,42.7,0.6,5.6,5.7,37.3,28.5,10.8,6.8,5.1,1482,51318,64924,3752,264,7,3488,93,3358,89.5,108,2.9,4,0.1,8,0.2,0,0,0,0,10,0.3
Hall High School,Hall HSD 502,481.3,486,104,104,Illinois,41.3265515,-89.2124076,800 West Erie Street,61362,Bureau County,Spring Valley,17011,"800 West Erie Street, Spring Valley, Illinois, 61362",965200,17011965200,2019,965200,Bureau County,Illinois,294,38,133,84,39,2515,135,220,802,660,161,365,172,12.9,45.2,28.6,13.3,5.4,8.7,31.9,26.2,6.4,14.5,6.8,1532,52123,63056,3484,632,18.1,2852,81.9,2695,77.4,48,1.4,35,1,33,0.9,0,0,0,0,41,1.2
Bolingbrook High School,Valley View CUSD 365U,484.8,491.9,853,853,Illinois,41.6894043,-88.0888701,365 Raider Way,60440,Will County,Bolingbrook,17197,"365 Raider Way, Bolingbrook, Illinois, 60440",880124,17197880124,2019,880124,Will County,Illinois,295,0,110,89,96,2263,9,9,475,452,69,827,422,0,37.3,30.2,32.5,0.4,0.4,21,20,3,36.5,18.6,1029,117250,117915,3662,1323,36.1,2339,63.9,1364,37.2,358,9.8,35,1,530,14.5,0,0,3,0.1,49,1.3
Illini Central High School,Illini Central CUSD 189,478.6,426.8,37,37,Illinois,40.1859176,-89.7379958,,N/A,Mason County,N/A,17125,,956700,17125956700,2019,956700,Mason County,Illinois,174,127,17,23,7,1304,17,40,578,275,111,196,87,73,9.8,13.2,4,1.3,3.1,44.3,21.1,8.5,15,6.7,742,70000,98832,1818,28,1.5,1790,98.5,1741,95.8,4,0.2,3,0.2,17,0.9,0,0,0,0,25,1.4
Mt Zion High School,Mt Zion CUSD 3,520.2,522.1,212,212,Illinois,39.7672987,-88.8760485,315 South Henderson Street,62549,Macon County,Mount Zion,17115,"315 South Henderson Street, Mount Zion, Illinois, 62549",2500,17115002500,2019,2500,Macon County,Illinois,401,53,55,247,46,4734,19,104,1517,1317,496,1017,264,13.2,13.7,61.6,11.5,0.4,2.2,32,27.8,10.5,21.5,5.6,2665,77527,99580,7026,67,1,6959,99,6536,93,198,2.8,0,0,17,0.2,0,0,30,0.4,178,2.5
Paris Cooperative High School,Paris Cooperative High School,484.2,472.8,142,142,Illinois,39.6450685,-87.7020821,14040 East 1200th Road,61944,Edgar County,Paris,17045,"14040 East 1200th Road, Paris, Illinois, 61944",70300,17045070300,2019,70300,Edgar County,Illinois,187,15,100,56,16,2744,142,166,1211,567,282,315,61,8,53.5,29.9,8.6,5.2,6,44.1,20.7,10.3,11.5,2.2,1699,42349,53106,3626,0,0,3626,100,3618,99.8,3,0.1,0,0,0,0,3,0.1,0,0,2,0.1
Springfield High School,Springfield SD 186,516.8,509.8,275,275,Illinois,39.8008387,-89.6611048,101 South Lewis Street,62704,Sangamon County,Springfield,17167,"101 South Lewis Street, Springfield, Illinois, 62704",1300,17167001300,2019,1300,Sangamon County,Illinois,131,23,37,71,0,1191,14,20,363,160,91,293,250,17.6,28.2,54.2,0,1.2,1.7,30.5,13.4,7.6,24.6,21,869,44577,49103,1772,137,7.7,1635,92.3,967,54.6,552,31.2,0,0,32,1.8,0,0,0,0,84,4.7
DePue High School,DePue USD 103,423.3,414.2,24,24,Illinois,41.3225888,-89.3069923,204 Pleasant Street,61322,Bureau County,DePue,17011,"204 Pleasant Street, DePue, Illinois, 61322",965000,17011965000,2019,965000,Bureau County,Illinois,282,14,124,140,4,2596,173,253,1039,492,253,255,131,5,44,49.6,1.4,6.7,9.7,40,19,9.7,9.8,5,1402,66190,79699,3814,1141,29.9,2673,70.1,2464,64.6,24,0.6,24,0.6,67,1.8,0,0,20,0.5,74,1.9
Woodland High School,Woodland CUSD 5,459,478.2,39,39,Illinois,41.0606875,-88.8178214,5800 East 3000 North Road,61364,Livingston County,Streator,17105,"5800 East 3000 North Road, Streator, Illinois, 61364",960300,17105960300,2019,960300,Livingston County,Illinois,182,9,71,75,27,2390,21,152,1191,454,248,235,89,4.9,39,41.2,14.8,0.9,6.4,49.8,19,10.4,9.8,3.7,1387,54172,68165,2952,55,1.9,2897,98.1,2798,94.8,44,1.5,0,0,0,0,0,0,0,0,55,1.9
Noble St Chtr-DRW Trading College Prep,City of Chicago SD 299,429.5,427.4,77,77,Illinois,41.8997931,-87.6624966,North Noble Street,60642,Cook County,Chicago,17031,"North Noble Street, Chicago, Illinois, 60642",842300,17031842300,2019,842300,Cook County,Illinois,89,0,59,10,20,2770,35,20,182,330,156,1380,667,0,66.3,11.2,22.5,1.3,0.7,6.6,11.9,5.6,49.8,24.1,1487,147056,159528,3123,293,9.4,2830,90.6,2131,68.2,449,14.4,0,0,209,6.7,0,0,0,0,41,1.3
Mendota Twp High School,Mendota Twp HSD 280,483.7,491.2,125,125,Illinois,41.566809,-89.1378186,2300 West Main Street,61342,LaSalle County,Mendota,17099,"2300 West Main Street, Mendota, Illinois, 61342",961900,17099961900,2019,961900,LaSalle County,Illinois,445,37,177,174,57,2989,100,179,977,576,413,451,293,8.3,39.8,39.1,12.8,3.3,6,32.7,19.3,13.8,15.1,9.8,1853,64219,87168,4290,689,16.1,3601,83.9,3506,81.7,15,0.3,0,0,50,1.2,0,0,0,0,30,0.7
Elmwood Park High School,Elmwood Park CUSD 401,490.7,490.1,210,210,Illinois,41.9223095,-87.8297199,8201 West Fullerton Avenue,60707,Cook County,Elmwood Park,17031,"8201 West Fullerton Avenue, Elmwood Park, Illinois, 60707",811100,17031811100,2019,811100,Cook County,Illinois,531,49,118,303,61,4566,263,287,1921,950,400,501,244,9.2,22.2,57.1,11.5,5.8,6.3,42.1,20.8,8.8,11,5.3,2405,53934,62343,6604,1941,29.4,4663,70.6,4582,69.4,3,0,0,0,0,0,0,0,68,1,10,0.2
Cairo Jr/Sr High School,Cairo USD 1,419.3,400,14,14,Illinois,37.0596808,-89.341667,,N/A,Alexander County,N/A,17003,,957700,17003957700,2019,957700,Alexander County,Illinois,67,12,30,25,0,1176,52,91,467,377,70,71,48,17.9,44.8,37.3,0,4.4,7.7,39.7,32.1,6,6,4.1,593,46382,56696,1854,0,0,1854,100,1530,82.5,309,16.7,6,0.3,0,0,0,0,0,0,9,0.5
Pearl City High School,Pearl City CUSD 200,496.4,490.7,28,28,Illinois,42.2558456,-89.8317729,,N/A,Stephenson County,N/A,17177,,400,17177000400,2019,400,Stephenson County,Illinois,147,18,35,83,11,1911,66,59,651,432,215,340,148,12.2,23.8,56.5,7.5,3.5,3.1,34.1,22.6,11.3,17.8,7.7,1089,67882,78633,2888,98,3.4,2790,96.6,2655,91.9,106,3.7,0,0,0,0,0,0,9,0.3,20,0.7
Chicago Academy High School,City of Chicago SD 299,468.7,452.4,141,141,Illinois,41.9429669,-87.7769852,3400 North Austin Avenue,60634,Cook County,Chicago,17031,"3400 North Austin Avenue, Chicago, Illinois, 60634",171100,17031171100,2019,171100,Cook County,Illinois,334,79,68,108,79,2835,243,159,916,679,147,487,204,23.7,20.4,32.3,23.7,8.6,5.6,32.3,24,5.2,17.2,7.2,1265,77009,93105,4113,1975,48,2138,52,1824,44.3,55,1.3,0,0,250,6.1,0,0,0,0,9,0.2
Ottawa Township High School,Ottawa Twp HSD 140,491,472.9,271,271,Illinois,41.3454502,-88.8372553,211 East Main Street,61350,LaSalle County,Ottawa,17099,"211 East Main Street, Ottawa, Illinois, 61350",962300,17099962300,2019,962300,LaSalle County,Illinois,731,358,99,244,30,5416,83,885,1858,1305,497,492,296,49,13.5,33.4,4.1,1.5,16.3,34.3,24.1,9.2,9.1,5.5,2296,75091,91660,7234,576,8,6658,92,5329,73.7,1184,16.4,0,0,23,0.3,0,0,0,0,122,1.7
Douglass Academy High School,City of Chicago SD 299,400,372.7,15,15,Illinois,41.8905747,-87.7671581,543 North Waller Avenue,60644,Cook County,Chicago,17031,"543 North Waller Avenue, Chicago, Illinois, 60644",251400,17031251400,2019,251400,Cook County,Illinois,182,73,56,17,36,3016,132,321,1483,446,249,234,151,40.1,30.8,9.3,19.8,4.4,10.6,49.2,14.8,8.3,7.8,5,2051,18740,37082,3894,221,5.7,3673,94.3,523,13.4,3087,79.3,0,0,0,0,0,0,17,0.4,46,1.2
Salt Fork High School,Salt Fork Community Unit District  512,473,467,64,64,Illinois,40.0661911,-87.7093711,701 West Vermilion Street,61817,Vermilion County,Catlin,17183,"701 West Vermilion Street, Catlin, Illinois, 61817",10702,17183010702,2019,10702,Vermilion County,Illinois,277,43,79,121,34,2004,48,69,602,502,240,326,217,15.5,28.5,43.7,12.3,2.4,3.4,30,25,12,16.3,10.8,1234,52750,64720,2758,70,2.5,2688,97.5,2647,96,34,1.2,0,0,0,0,0,0,0,0,7,0.3
McHenry High School-West Campus,McHenry CHSD 156,497.4,498.5,343,343,Illinois,42.3357757,-88.2897531,4724 West Crystal Lake Road,60050,McHenry County,McHenry,17111,"4724 West Crystal Lake Road, McHenry, Illinois, 60050",870605,17111870605,2019,870604,McHenry County,Illinois,597,180,59,264,94,4433,279,199,1319,1086,484,772,294,30.2,9.9,44.2,15.7,6.3,4.5,29.8,24.5,10.9,17.4,6.6,2539,59555,75926,6296,926,14.7,5370,85.3,5189,82.4,0,0,16,0.3,123,2,0,0,0,0,42,0.7
