School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
Madison Senior High School,Madison CUSD 12,396.5,379.8,48.0,48.0
Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,473.4,431.9,67.0,67.0
Rockridge High School,Rockridge CUSD 300,502.1,491.4,92.0,92.0
Galatia High School,Galatia CUSD 1,448.7,430.7,30.0,30.0
Woodlawn High School,Woodlawn Unit School District 209,498.9,489.4,36.0,36.0
Lowpoint-Washburn Jr Sr High Sch,Lowpoint-Washburn CUSD 21,479.4,458.8,33.0,33.0
South Fork Jr Sr High School,South Fork SD 14,454.7,388.9,19.0,19.0
Peotone High School,Peotone CUSD 207U,504.0,476.8,132.0,132.0
Fenger Academy High School,City of Chicago SD 299,392.2,372.1,76.0,76.0
Cambridge Jr/Sr High School,Cambridge CUSD 227,487.7,456.7,30.0,30.0
Neuqua Valley High School,Indian Prairie CUSD 204,592.4,611.9,859.0,859.0
East Alton-Wood River High Sch,East Alton-Wood River CHSD 14,454.7,435.8,125.0,125.0
Wauconda High School,Wauconda CUSD 118,506.1,493.2,316.0,316.0
Southeastern Jr/Sr High School,Southeastern CUSD 337,471.3,457.5,40.0,40.0
Dongola High School,Dongola USD 66,421.6,377.6,25.0,25.0
Seneca High School,Seneca Twp HSD 160,490.8,494.8,99.0,99.0
River Ridge High School,River Ridge CUSD 210,500.6,545.3,34.0,34.0
Hamilton Jr/Sr High Sch,Hamilton CCSD 328,482.1,468.3,42.0,42.0
Jefferson High School,Rockford SD 205,437.9,425.1,333.0,333.0
Corliss High School,City of Chicago SD 299,402.4,394.6,70.0,70.0
Northwestern High School,Northwestern CUSD 2,470.0,461.6,25.0,25.0
Normal Community High School,McLean County USD 5,527.1,534.0,521.0,521.0
Legacy Acad of Excellence Charter Sch,Rockford SD 205,378.0,328.0,,
Young Magnet High School,City of Chicago SD 299,637.4,655.4,462.0,462.0
SIU Charter Sch of East St Louis,East St Louis SD 189,405.9,380.5,37.0,37.0
Paw Paw Jr/Sr High School,Paw Paw CUSD 271,451.4,448.6,,
Schurz High School,City of Chicago SD 299,429.5,423.5,352.0,352.0
Wheeling High School,Township HSD 214,485.0,493.8,432.0,432.0
Evanston Twp High School,Evanston Twp HSD 202,540.1,540.7,793.0,793.0
Mount Vernon High School,Mt Vernon Twp HSD 201,460.6,451.1,263.0,263.0
New Athens High School,New Athens CUSD 60,490.0,456.4,45.0,45.0
Glenbard South High School,Glenbard Twp HSD 87,525.2,529.4,280.0,280.0
Prairie Ridge High School,CHSD 155,543.2,562.9,341.0,341.0
Back of The Yards IB HS,City of Chicago SD 299,475.0,490.7,270.0,270.0
Ridgewood Comm High School,Ridgewood CHSD 234,490.8,473.0,209.0,209.0
Beecher High School,Beecher CUSD 200U,512.4,481.8,88.0,88.0
Central High School,Central CUSD 301,533.1,540.2,289.0,289.0
Air Force Acad High School,City of Chicago SD 299,443.4,434.2,53.0,53.0
