School Name,District Name,Reading/Writing Score,Math Score,Tests Taken,# Students SAT ELA Participation
North Mac Elementary,North Mac CUSD 34,,,,
Liberty Intermediate School,Bourbonnais SD 53,,,,
Bright Futures Pre-K Prog,Galesburg CUSD 205,,,,
H R McCall Elem School,Waukegan CUSD 60,,,,
Wilson Elem School,Chicago Heights SD 170,,,,
Albert Einstein Elem School,Schaumburg CCSD 54,,,,
Morrisonville Elem School,Morrisonville CUSD 1,,,,
Avon Center Elem School,Grayslake CCSD 46,,,,
Elmwood Elem School,Naperville CUSD 203,,,,
Alcott Humanities High School,City of Chicago SD 299,470.8,461.3,75,75
Posen Elem School,Posen-Robbins ESD 143-5,,,,
North Boone High School,North Boone CUSD 200,477.9,468.5,123,123
Harlem Middle School,Harlem UD 122,,,,
Mascoutah Elem School,Mascoutah CUD 19,,,,
Saratoga Elem School,Saratoga CCSD 60C,,,,
Armstrong High School,Armstrong Twp HSD 225,467.9,440.6,33,33
Gordon Gregory Middle School,Indian Prairie CUSD 204,,,,
Dwight High School,Dwight Twp HSD 230,503.5,508.7,55,55
Cooper Elem Dual Language Academy,City of Chicago SD 299,,,,
Woodbine Elem School,Cicero SD 99,,,,
Costello School,Lyons SD 103,,,,
Haines Elem School,New Lenox SD 122,,,,
Jonesboro Elem School,County of Union Sch Dist No43,,,,
Benton Cons High School,Benton Cons HSD 103,475,476.7,139,139
Eberhart Elem School,City of Chicago SD 299,,,,
Riverdale Elem School,Riverdale CUSD 100,,,,
Sarah Adams Elementary School,Lake Zurich CUSD 95,,,,
Colona Grade School,Colona SD 190,,,,
Stark County Elem Sch,Stark County CUSD 100,,,,
Bryan Middle School,Elmhurst SD 205,,,,
Hope Learning Academy,City of Chicago SD 299,,,,
Grand Prairie Elem School,Plainfield SD 202,,,,
Main Street Elementary School,Shelbyville CUSD 4,,,,
Carlyle Elementary School,Carlyle CUSD 1,,,,
Sandridge Elem School,Sandridge SD 172,,,,
Washington Elem School,Champaign CUSD 4,,,,
Wagoner Elem,CCSD 168,,,,
Stone Creek School,Kinnikinnick CCSD 131,,,,
Washington School,Monticello CUSD 25,,,,
Garfield Elem School,SD U-46,,,,
Tilton Elem School,Rochelle CCSD 231,,,,
Churchill Jr High School,Galesburg CUSD 205,,,,
