unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
17001000100,2022,100,Adams County,Illinois,2377,61595,82549
17001000201,2022,200,Adams County,Illinois,887,44583,63617
17001000202,2022,202,Adams County,Illinois,991,66472,69326
17001000400,2022,400,Adams County,Illinois,1331,42413,48826
17001000500,2022,500,Adams County,Illinois,818,39167,50455
17001000600,2022,600,Adams County,Illinois,1931,70479,99507
17001000700,2022,700,Adams County,Illinois,729,17644,30999
17001000800,2022,800,Adams County,Illinois,1102,29577,43089
17001000900,2022,900,Adams County,Illinois,1242,43548,63569
17001001001,2022,1001,Adams County,Illinois,1325,64375,69774
17001001002,2022,1002,Adams County,Illinois,1174,62300,75960
17001001100,2022,1100,Adams County,Illinois,3332,77200,99352
17001010100,2022,10100,Adams County,Illinois,1788,74432,84826
17001010200,2022,10200,Adams County,Illinois,1540,57885,70563
17001010301,2022,10301,Adams County,Illinois,971,90781,91633
17001010302,2022,10302,Adams County,Illinois,1065,73125,82611
17001010400,2022,10400,Adams County,Illinois,1279,85995,107126
17001010500,2022,10500,Adams County,Illinois,1219,94557,108118
17001010600,2022,10600,Adams County,Illinois,2389,79040,104233
17003957600,2022,957600,Alexander County,Illinois,554,50658,68349
17003957700,2022,957700,Alexander County,Illinois,529,52375,55022
17003957800,2022,957800,Alexander County,Illinois,362,41429,43738
17003957900,2022,957900,Alexander County,Illinois,282,24128,36584
17005951200,2022,951200,Bond County,Illinois,1250,70946,81199
17005951300,2022,951300,Bond County,Illinois,2333,50734,64379
17005951400,2022,951400,Bond County,Illinois,1029,57135,73603
17005951500,2022,951500,Bond County,Illinois,1608,72500,93287
17007010101,2022,10101,Boone County,Illinois,1515,69882,88173
17007010102,2022,10102,Boone County,Illinois,1447,47625,59934
17007010200,2022,10200,Boone County,Illinois,2384,44630,66260
17007010300,2022,10300,Boone County,Illinois,2830,62944,71880
17007010400,2022,10400,Boone County,Illinois,2451,69820,91514
17007010501,2022,10501,Boone County,Illinois,1568,177426,203828
17007010502,2022,10502,Boone County,Illinois,1814,82955,105749
17007010601,2022,10601,Boone County,Illinois,1276,99583,112105
17007010603,2022,10603,Boone County,Illinois,2058,137284,145021
17007010604,2022,10604,Boone County,Illinois,1681,89781,93487
17009970400,2022,970400,Brown County,Illinois,992,70455,78378
17009970500,2022,970500,Brown County,Illinois,1074,61250,73584
17011964700,2022,964700,Bureau County,Illinois,1139,67228,86151
17011964800,2022,964800,Bureau County,Illinois,1270,66406,76605
17011964900,2022,964900,Bureau County,Illinois,1110,51917,66714
17011965000,2022,965000,Bureau County,Illinois,1446,67278,92177
17011965100,2022,965100,Bureau County,Illinois,1601,67056,83207
17011965200,2022,965200,Bureau County,Illinois,1561,59052,71710
17011965300,2022,965300,Bureau County,Illinois,1319,66033,77369
17011965400,2022,965400,Bureau County,Illinois,1743,58470,91773
17011965500,2022,965500,Bureau County,Illinois,1507,69403,85178
17011965600,2022,965600,Bureau County,Illinois,1205,69718,82873
17013951200,2022,951200,Calhoun County,Illinois,559,80897,86409
17013951300,2022,951300,Calhoun County,Illinois,646,109286,123069
17015960100,2022,960100,Carroll County,Illinois,1438,78542,93215
17015960200,2022,960200,Carroll County,Illinois,895,61541,73391
17015960300,2022,960300,Carroll County,Illinois,1405,50275,64100
17015960400,2022,960400,Carroll County,Illinois,830,57105,74010
17015960500,2022,960500,Carroll County,Illinois,1050,68148,80525
17015960600,2022,960600,Carroll County,Illinois,699,71438,83081
17017960100,2022,960100,Cass County,Illinois,930,60714,75586
17017960200,2022,960200,Cass County,Illinois,1090,59231,79626
17017960300,2022,960300,Cass County,Illinois,1147,71031,83142
17017960400,2022,960400,Cass County,Illinois,984,52209,65347
17017960500,2022,960500,Cass County,Illinois,853,79125,72776
17019000200,2022,200,Champaign County,Illinois,893,32054,33257
17019000301,2022,301,Champaign County,Illinois,2172,5413,13417
17019000302,2022,302,Champaign County,Illinois,1697,11922,23297
17019000401,2022,401,Champaign County,Illinois,549,3388,9788
17019000402,2022,401,Champaign County,Illinois,1038,8333,17282
17019000500,2022,500,Champaign County,Illinois,1831,60794,94803
17019000700,2022,700,Champaign County,Illinois,1413,46185,54313
17019000800,2022,800,Champaign County,Illinois,3016,64760,76656
17019000901,2022,901,Champaign County,Illinois,1923,42380,49619
17019000902,2022,902,Champaign County,Illinois,2926,69533,95815
17019001000,2022,1000,Champaign County,Illinois,2043,62306,91656
17019001100,2022,1100,Champaign County,Illinois,1609,93456,127590
17019001201,2022,1201,Champaign County,Illinois,3004,52813,67399
17019001203,2022,1203,Champaign County,Illinois,1870,86364,102117
17019001204,2022,1204,Champaign County,Illinois,1441,135490,156499
17019001205,2022,1205,Champaign County,Illinois,3220,92903,140010
17019001206,2022,1206,Champaign County,Illinois,824,104545,139743
17019001301,2022,1301,Champaign County,Illinois,2577,75140,97600
17019001302,2022,1302,Champaign County,Illinois,2036,109939,136933
17019001400,2022,1400,Champaign County,Illinois,1585,67656,102752
17019005300,2022,5300,Champaign County,Illinois,2312,25759,29611
17019005401,2022,5401,Champaign County,Illinois,2213,35721,45900
17019005402,2022,5402,Champaign County,Illinois,1731,63738,66993
17019005500,2022,5500,Champaign County,Illinois,2203,58266,75449
17019005601,2022,5601,Champaign County,Illinois,2488,54748,69881
17019005602,2022,5602,Champaign County,Illinois,1290,56250,90500
17019005701,2022,5701,Champaign County,Illinois,2409,50272,74131
17019005702,2022,5702,Champaign County,Illinois,711,120481,134181
17019005800,2022,5800,Champaign County,Illinois,1615,60750,105337
17019005901,2022,5901,Champaign County,Illinois,405,6964,25165
17019005902,2022,5902,Champaign County,Illinois,644,14200,20545
17019006000,2022,6000,Champaign County,Illinois,620,27055,41953
17019010100,2022,10100,Champaign County,Illinois,2122,48248,54169
17019010204,2022,10204,Champaign County,Illinois,1928,49167,61305
17019010300,2022,10300,Champaign County,Illinois,1217,38498,48059
17019010400,2022,10400,Champaign County,Illinois,1758,78611,95588
17019010500,2022,10500,Champaign County,Illinois,1601,106830,139775
17019010601,2022,10601,Champaign County,Illinois,2037,114125,131159
17019010603,2022,10603,Champaign County,Illinois,2670,109388,123986
17019010604,2022,10604,Champaign County,Illinois,1193,110296,110511
17019010701,2022,10701,Champaign County,Illinois,1532,100054,106328
17019010702,2022,10702,Champaign County,Illinois,1381,103008,123873
17019010800,2022,10800,Champaign County,Illinois,1585,93533,114990
17019010901,2022,10901,Champaign County,Illinois,2326,99674,112848
17019010902,2022,10902,Champaign County,Illinois,1454,85000,96443
17019011001,2022,11001,Champaign County,Illinois,1239,53750,94265
17019011002,2022,11002,Champaign County,Illinois,1105,96523,131423
17019011100,2022,11100,Champaign County,Illinois,1011,27747,34452
17021958100,2022,958100,Christian County,Illinois,1111,70202,81552
17021958200,2022,958200,Christian County,Illinois,1503,64779,83929
17021958300,2022,958300,Christian County,Illinois,1815,46146,57099
17021958400,2022,958400,Christian County,Illinois,1447,53558,63143
17021958500,2022,958500,Christian County,Illinois,973,37259,48068
17021958600,2022,958600,Christian County,Illinois,935,66734,76690
17021958700,2022,958700,Christian County,Illinois,1805,57523,70503
17021958800,2022,958800,Christian County,Illinois,1024,46818,58759
17021958900,2022,958900,Christian County,Illinois,1062,41167,57475
17021959000,2022,959000,Christian County,Illinois,1798,78402,97184
17023060100,2022,60100,Clark County,Illinois,1663,86750,98397
17023060200,2022,60200,Clark County,Illinois,1837,64911,77150
17023060300,2022,60300,Clark County,Illinois,2226,51550,68261
17023060400,2022,60400,Clark County,Illinois,721,64095,79351
17025971900,2022,971900,Clay County,Illinois,937,66919,75941
17025972000,2022,972000,Clay County,Illinois,1144,47500,62825
17025972100,2022,972100,Clay County,Illinois,2278,51241,66199
17025972200,2022,972200,Clay County,Illinois,1118,71310,113895
17027900100,2022,900100,Clinton County,Illinois,2641,88325,105976
17027900200,2022,900200,Clinton County,Illinois,622,102500,108755
17027900300,2022,900300,Clinton County,Illinois,2920,75708,116657
17027900401,2022,900401,Clinton County,Illinois,563,69583,73478
17027900403,2022,900403,Clinton County,Illinois,1538,70795,95690
17027900404,2022,900404,Clinton County,Illinois,508,58929,76815
17027900500,2022,900500,Clinton County,Illinois,1823,58828,75412
17027900601,2022,900601,Clinton County,Illinois,1151,79886,99375
17027900602,2022,900602,Clinton County,Illinois,2727,91891,102948
17029000100,2022,100,Coles County,Illinois,1156,55375,68837
17029000200,2022,200,Coles County,Illinois,1990,78750,109629
17029000300,2022,300,Coles County,Illinois,2082,59077,81279
17029000400,2022,400,Coles County,Illinois,1433,35725,53161
17029000500,2022,500,Coles County,Illinois,2528,38681,52564
17029000600,2022,600,Coles County,Illinois,1349,81813,101332
17029000701,2022,701,Coles County,Illinois,1283,77047,92533
17029000702,2022,702,Coles County,Illinois,1735,36837,43313
17029000800,2022,800,Coles County,Illinois,598,26326,44561
17029000900,2022,900,Coles County,Illinois,1725,93603,113019
17029001000,2022,1000,Coles County,Illinois,1494,45912,67931
17029001100,2022,1100,Coles County,Illinois,1691,39141,53115
17029001200,2022,1200,Coles County,Illinois,1321,56515,68398
17031010100,2022,10100,Cook County,Illinois,2322,68196,80246
17031010201,2022,10201,Cook County,Illinois,3028,61071,72634
17031010202,2022,10202,Cook County,Illinois,1223,58698,72545
17031010300,2022,10300,Cook County,Illinois,3047,68336,84059
17031010400,2022,10400,Cook County,Illinois,2058,48630,64396
17031010501,2022,10501,Cook County,Illinois,2417,47858,67082
17031010502,2022,10502,Cook County,Illinois,1582,55813,74277
17031010503,2022,10503,Cook County,Illinois,1315,18750,40976
17031010600,2022,10600,Cook County,Illinois,2943,66313,88705
17031010701,2022,10701,Cook County,Illinois,1603,70542,115009
17031010702,2022,10702,Cook County,Illinois,1915,52193,69800
17031020100,2022,20100,Cook County,Illinois,1679,57029,79204
17031020200,2022,20200,Cook County,Illinois,1989,117005,145964
17031020301,2022,20301,Cook County,Illinois,2215,73539,88883
17031020302,2022,20302,Cook County,Illinois,1736,84205,140519
17031020400,2022,20400,Cook County,Illinois,1669,76607,118311
17031020500,2022,20500,Cook County,Illinois,2221,43948,58212
17031020601,2022,20601,Cook County,Illinois,2058,61046,94407
17031020602,2022,20602,Cook County,Illinois,1602,83839,112157
17031020701,2022,20701,Cook County,Illinois,764,92024,115402
17031020702,2022,20702,Cook County,Illinois,2483,68897,82455
17031020801,2022,20801,Cook County,Illinois,2175,71953,90458
17031020802,2022,20802,Cook County,Illinois,2131,62212,88182
17031020901,2022,20901,Cook County,Illinois,2197,50243,74182
17031020902,2022,20902,Cook County,Illinois,1597,49432,62847
17031030101,2022,30101,Cook County,Illinois,2047,50696,60693
17031030102,2022,30102,Cook County,Illinois,1878,55067,72680
17031030103,2022,30102,Cook County,Illinois,1030,53684,69655
17031030104,2022,30104,Cook County,Illinois,991,45865,64903
17031030200,2022,30200,Cook County,Illinois,2575,91406,125297
17031030300,2022,30300,Cook County,Illinois,1490,64662,104818
17031030400,2022,30400,Cook County,Illinois,1278,97143,120554
17031030500,2022,30500,Cook County,Illinois,2983,109375,130086
17031030601,2022,30601,Cook County,Illinois,1883,51808,72628
17031030603,2022,30602,Cook County,Illinois,1360,54300,67235
17031030604,2022,30604,Cook County,Illinois,2109,49816,77457
17031030701,2022,30701,Cook County,Illinois,877,47614,69334
17031030702,2022,30702,Cook County,Illinois,1514,69050,98687
17031030703,2022,30702,Cook County,Illinois,1914,56667,83375
17031030706,2022,30706,Cook County,Illinois,1882,54143,86080
17031030800,2022,30800,Cook County,Illinois,2167,96069,140143
17031030900,2022,30900,Cook County,Illinois,1481,102309,142833
17031031000,2022,31000,Cook County,Illinois,1984,121026,136611
17031031100,2022,31100,Cook County,Illinois,2861,79010,91863
17031031200,2022,31200,Cook County,Illinois,3457,24389,44581
17031031300,2022,31300,Cook County,Illinois,4502,64598,80177
17031031400,2022,31400,Cook County,Illinois,3087,82526,104864
17031031501,2022,31501,Cook County,Illinois,1996,48889,58597
17031031502,2022,31502,Cook County,Illinois,2445,47188,61339
17031031700,2022,31700,Cook County,Illinois,3107,84766,106922
17031031800,2022,31800,Cook County,Illinois,1041,80873,117380
17031031900,2022,31900,Cook County,Illinois,1338,93864,126033
17031032100,2022,32100,Cook County,Illinois,4207,69313,90588
17031040100,2022,40100,Cook County,Illinois,1875,93576,147901
17031040201,2022,40201,Cook County,Illinois,3012,99624,114770
17031040202,2022,40202,Cook County,Illinois,2908,58293,77380
17031040300,2022,40300,Cook County,Illinois,1149,86979,110847
17031040401,2022,40401,Cook County,Illinois,1469,107083,162852
17031040402,2022,40402,Cook County,Illinois,2533,94132,118802
17031040600,2022,40600,Cook County,Illinois,1283,97596,167954
17031040700,2022,40700,Cook County,Illinois,1676,105400,140480
17031040800,2022,40800,Cook County,Illinois,768,105500,146418
17031040900,2022,40900,Cook County,Illinois,1167,79803,127858
17031050100,2022,50100,Cook County,Illinois,1160,123929,174225
17031050200,2022,50200,Cook County,Illinois,2061,138546,222480
17031050300,2022,50300,Cook County,Illinois,1086,163625,214968
17031050500,2022,50500,Cook County,Illinois,1996,142548,228758
17031050600,2022,50600,Cook County,Illinois,1151,109188,185133
17031050700,2022,50700,Cook County,Illinois,671,125438,183216
17031050800,2022,50800,Cook County,Illinois,513,172888,246356
17031050900,2022,50900,Cook County,Illinois,608,130769,192994
17031051000,2022,51000,Cook County,Illinois,718,180500,235613
17031051100,2022,51100,Cook County,Illinois,727,159145,200710
17031051200,2022,51200,Cook County,Illinois,637,166771,235758
17031051300,2022,51300,Cook County,Illinois,1072,218403,278749
17031051400,2022,51400,Cook County,Illinois,1029,154044,205026
17031060100,2022,60100,Cook County,Illinois,1273,135272,245387
17031060200,2022,60200,Cook County,Illinois,1140,89167,166001
