unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
17031490600,2022,490600,Cook County,Illinois,149,0,12,137,0,1004,43,88,174,249,48,235,167,0.0,8.1,91.9,0.0,4.3,8.8,17.3,24.8,4.8,23.4,16.6,556,63947,81305,1446,36,2.5,1410,97.5,154,10.7,1241,85.8,0,0.0,15,1.0,0,0.0,0,0.0,0,0.0
17031490700,2022,490700,Cook County,Illinois,192,25,95,72,0,1678,54,106,524,592,120,192,90,13.0,49.5,37.5,0.0,3.2,6.3,31.2,35.3,7.2,11.4,5.4,889,44792,56687,2459,69,2.8,2390,97.2,5,0.2,2368,96.3,0,0.0,0,0.0,0,0.0,0,0.0,17,0.7
17031490800,2022,490800,Cook County,Illinois,411,86,128,182,15,2708,103,293,852,579,225,407,249,20.9,31.1,44.3,3.6,3.8,10.8,31.5,21.4,8.3,15.0,9.2,1294,51591,70340,3705,35,0.9,3670,99.1,51,1.4,3568,96.3,0,0.0,7,0.2,0,0.0,0,0.0,44,1.2
17031490901,2022,490901,Cook County,Illinois,279,10,121,132,16,2051,90,267,564,475,263,270,122,3.6,43.4,47.3,5.7,4.4,13.0,27.5,23.2,12.8,13.2,5.9,1254,35038,43660,3084,0,0.0,3084,100.0,0,0.0,3084,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17031490902,2022,490902,Cook County,Illinois,372,25,79,224,44,3310,105,248,449,1503,80,678,247,6.7,21.2,60.2,11.8,3.2,7.5,13.6,45.4,2.4,20.5,7.5,1774,67428,72677,4697,201,4.3,4496,95.7,0,0.0,4458,94.9,0,0.0,0,0.0,0,0.0,20,0.4,18,0.4
17031491000,2022,491000,Cook County,Illinois,226,88,15,123,0,2447,154,388,560,921,170,165,89,38.9,6.6,54.4,0.0,6.3,15.9,22.9,37.6,6.9,6.7,3.6,1167,22438,38103,3417,89,2.6,3328,97.4,1,0.0,3303,96.7,0,0.0,0,0.0,0,0.0,0,0.0,24,0.7
17031491100,2022,491100,Cook County,Illinois,300,118,23,150,9,3170,127,359,749,624,414,479,418,39.3,7.7,50.0,3.0,4.0,11.3,23.6,19.7,13.1,15.1,13.2,1368,68155,75297,4205,80,1.9,4125,98.1,64,1.5,3929,93.4,47,1.1,0,0.0,0,0.0,11,0.3,74,1.8
17031491200,2022,491200,Cook County,Illinois,166,7,110,49,0,1511,65,146,578,372,141,125,84,4.2,66.3,29.5,0.0,4.3,9.7,38.3,24.6,9.3,8.3,5.6,669,53586,70820,1932,127,6.6,1805,93.4,77,4.0,1689,87.4,0,0.0,0,0.0,0,0.0,0,0.0,39,2.0
17031491300,2022,491300,Cook County,Illinois,166,15,98,53,0,1300,37,150,549,322,86,121,35,9.0,59.0,31.9,0.0,2.8,11.5,42.2,24.8,6.6,9.3,2.7,602,40700,57949,2131,18,0.8,2113,99.2,10,0.5,2103,98.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17031491400,2022,491400,Cook County,Illinois,179,77,70,32,0,1787,125,282,340,504,227,230,79,43.0,39.1,17.9,0.0,7.0,15.8,19.0,28.2,12.7,12.9,4.4,1033,36480,52830,2541,20,0.8,2521,99.2,16,0.6,2338,92.0,0,0.0,0,0.0,0,0.0,67,2.6,100,3.9
17031500100,2022,500100,Cook County,Illinois,277,50,73,140,14,2631,36,141,500,935,216,402,401,18.1,26.4,50.5,5.1,1.4,5.4,19.0,35.5,8.2,15.3,15.2,1577,71108,76296,3231,59,1.8,3172,98.2,44,1.4,3128,96.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17031500200,2022,500200,Cook County,Illinois,53,0,53,0,0,1197,24,103,536,272,126,106,30,0.0,100.0,0.0,0.0,2.0,8.6,44.8,22.7,10.5,8.9,2.5,771,38451,43571,1831,100,5.5,1731,94.5,39,2.1,1563,85.4,0,0.0,0,0.0,0,0.0,0,0.0,129,7.0
17031500300,2022,500300,Cook County,Illinois,102,43,35,5,19,1361,72,133,272,280,83,315,206,42.2,34.3,4.9,18.6,5.3,9.8,20.0,20.6,6.1,23.1,15.1,920,48469,68453,1794,400,22.3,1394,77.7,765,42.6,570,31.8,0,0.0,5,0.3,0,0.0,31,1.7,23,1.3
17031510100,2022,510100,Cook County,Illinois,312,139,100,67,6,2384,304,162,618,610,283,392,15,44.6,32.1,21.5,1.9,12.8,6.8,25.9,25.6,11.9,16.4,0.6,1221,56806,60850,3639,2834,77.9,805,22.1,365,10.0,438,12.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1
17031510200,2022,510200,Cook County,Illinois,178,13,92,73,0,2767,149,234,965,620,190,411,198,7.3,51.7,41.0,0.0,5.4,8.5,34.9,22.4,6.9,14.9,7.2,1251,55417,79153,3714,801,21.6,2913,78.4,225,6.1,2687,72.3,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0
