unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05009790501,2023,790501,Boone County,Arkansas,379,129,73,148,29,3226,59,159,1133,842,380,476,177,34.0,19.3,39.1,7.7,1.8,4.9,35.1,26.1,11.8,14.8,5.5,1866,52250,71116,4536,137,3.0,4399,97.0,4239,93.5,10,0.2,0,0.0,12,0.3,36,0.8,0,0.0,102,2.2
05009790502,2023,790502,Boone County,Arkansas,384,52,161,156,15,2627,111,271,1000,719,233,137,156,13.5,41.9,40.6,3.9,4.2,10.3,38.1,27.4,8.9,5.2,5.9,1892,35944,49243,3686,224,6.1,3462,93.9,3396,92.1,21,0.6,17,0.5,0,0.0,0,0.0,0,0.0,28,0.8
05009790600,2023,790600,Boone County,Arkansas,242,50,54,138,0,3946,96,277,1234,1199,458,601,81,20.7,22.3,57.0,0.0,2.4,7.0,31.3,30.4,11.6,15.2,2.1,2311,48368,61069,5362,329,6.1,5033,93.9,4742,88.4,0,0.0,11,0.2,21,0.4,0,0.0,0,0.0,259,4.8
05011950100,2023,950100,Bradley County,Arkansas,214,8,83,52,71,1938,45,141,1033,336,106,138,139,3.7,38.8,24.3,33.2,2.3,7.3,53.3,17.3,5.5,7.1,7.2,957,41094,64310,2881,499,17.3,2382,82.7,1626,56.4,744,25.8,0,0.0,0,0.0,1,0.0,0,0.0,11,0.4
05011950200,2023,950200,Bradley County,Arkansas,127,27,89,11,0,1298,37,100,582,214,65,245,55,21.3,70.1,8.7,0.0,2.9,7.7,44.8,16.5,5.0,18.9,4.2,631,47216,66123,1870,21,1.1,1849,98.9,1154,61.7,526,28.1,0,0.0,0,0.0,30,1.6,0,0.0,139,7.4
05011950300,2023,950300,Bradley County,Arkansas,145,90,6,25,24,1226,22,150,382,337,155,117,63,62.1,4.1,17.2,16.6,1.8,12.2,31.2,27.5,12.6,9.5,5.1,694,28171,55830,1915,285,14.9,1630,85.1,763,39.8,806,42.1,0,0.0,0,0.0,0,0.0,0,0.0,61,3.2
05011950400,2023,950400,Bradley County,Arkansas,267,100,134,33,0,1181,222,73,494,245,0,116,31,37.5,50.2,12.4,0.0,18.8,6.2,41.8,20.7,0.0,9.8,2.6,555,48551,75003,1678,636,37.9,1042,62.1,571,34.0,421,25.1,0,0.0,7,0.4,0,0.0,0,0.0,43,2.6
05011950500,2023,950500,Bradley County,Arkansas,104,54,31,10,9,1289,56,37,639,217,151,107,82,51.9,29.8,9.6,8.7,4.3,2.9,49.6,16.8,11.7,8.3,6.4,763,35568,52944,2010,177,8.8,1833,91.2,1525,75.9,238,11.8,0,0.0,0,0.0,0,0.0,0,0.0,70,3.5
05013480100,2023,480100,Calhoun County,Arkansas,165,0,46,116,3,1705,36,253,675,301,97,220,123,0.0,27.9,70.3,1.8,2.1,14.8,39.6,17.7,5.7,12.9,7.2,856,59000,69305,2263,85,3.8,2178,96.2,1775,78.4,378,16.7,11,0.5,0,0.0,0,0.0,0,0.0,14,0.6
05013480200,2023,480200,Calhoun County,Arkansas,303,15,210,57,21,1681,37,125,767,283,199,154,116,5.0,69.3,18.8,6.9,2.2,7.4,45.6,16.8,11.8,9.2,6.9,728,69423,77698,2454,459,18.7,1995,81.3,1644,67.0,197,8.0,0,0.0,9,0.4,0,0.0,0,0.0,145,5.9
