unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
05001480100,2023,480100,Arkansas County,Arkansas,51,15,15,21,0,788,18,76,359,173,70,64,28,29.4,29.4,41.2,0.0,2.3,9.6,45.6,22.0,8.9,8.1,3.6
05001480200,2023,480200,Arkansas County,Arkansas,65,0,37,28,0,1050,18,140,429,280,75,105,3,0.0,56.9,43.1,0.0,1.7,13.3,40.9,26.7,7.1,10.0,0.3
05001480300,2023,480300,Arkansas County,Arkansas,77,0,77,0,0,1975,84,186,764,439,96,235,171,0.0,100.0,0.0,0.0,4.3,9.4,38.7,22.2,4.9,11.9,8.7
05001480400,2023,480400,Arkansas County,Arkansas,164,3,58,96,7,1348,26,182,623,219,169,75,54,1.8,35.4,58.5,4.3,1.9,13.5,46.2,16.2,12.5,5.6,4.0
05001480500,2023,480500,Arkansas County,Arkansas,426,90,157,142,37,2494,91,172,1033,463,314,310,111,21.1,36.9,33.3,8.7,3.6,6.9,41.4,18.6,12.6,12.4,4.5
05001480600,2023,480600,Arkansas County,Arkansas,147,15,72,56,4,1260,52,56,600,237,98,125,92,10.2,49.0,38.1,2.7,4.1,4.4,47.6,18.8,7.8,9.9,7.3
05001480700,2023,480700,Arkansas County,Arkansas,303,115,46,142,0,1875,84,166,890,284,269,111,71,38.0,15.2,46.9,0.0,4.5,8.9,47.5,15.1,14.3,5.9,3.8
05001480800,2023,480800,Arkansas County,Arkansas,10,0,6,4,0,850,69,37,267,128,120,118,111,0.0,60.0,40.0,0.0,8.1,4.4,31.4,15.1,14.1,13.9,13.1
05003960100,2023,960100,Ashley County,Arkansas,92,26,19,37,10,841,41,76,365,185,95,61,18,28.3,20.7,40.2,10.9,4.9,9.0,43.4,22.0,11.3,7.3,2.1
05003960200,2023,960200,Ashley County,Arkansas,200,86,35,47,32,1824,178,70,1165,249,100,23,39,43.0,17.5,23.5,16.0,9.8,3.8,63.9,13.7,5.5,1.3,2.1
05003960300,2023,960300,Ashley County,Arkansas,373,136,159,78,0,2867,177,302,1550,358,177,212,91,36.5,42.6,20.9,0.0,6.2,10.5,54.1,12.5,6.2,7.4,3.2
05003960400,2023,960400,Ashley County,Arkansas,48,7,24,17,0,1078,5,66,616,241,73,18,59,14.6,50.0,35.4,0.0,0.5,6.1,57.1,22.4,6.8,1.7,5.5
05003960500,2023,960500,Ashley County,Arkansas,141,8,43,90,0,1600,107,159,813,328,90,65,38,5.7,30.5,63.8,0.0,6.7,9.9,50.8,20.5,5.6,4.1,2.4
05003960600,2023,960600,Ashley County,Arkansas,503,24,313,135,31,3683,97,163,1730,679,199,669,146,4.8,62.2,26.8,6.2,2.6,4.4,47.0,18.4,5.4,18.2,4.0
05003960700,2023,960700,Ashley County,Arkansas,74,0,34,40,0,1155,51,96,557,225,76,83,67,0.0,45.9,54.1,0.0,4.4,8.3,48.2,19.5,6.6,7.2,5.8
05005950100,2023,950100,Baxter County,Arkansas,218,110,31,77,0,3430,106,228,1095,901,262,610,228,50.5,14.2,35.3,0.0,3.1,6.6,31.9,26.3,7.6,17.8,6.6
05005950200,2023,950200,Baxter County,Arkansas,226,0,162,64,0,3594,153,395,1172,887,421,405,161,0.0,71.7,28.3,0.0,4.3,11.0,32.6,24.7,11.7,11.3,4.5
05005950300,2023,950300,Baxter County,Arkansas,622,79,326,183,34,3801,112,222,1061,1128,576,467,235,12.7,52.4,29.4,5.5,2.9,5.8,27.9,29.7,15.2,12.3,6.2
