unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
05119001600,2023,1600,Pulaski County,Arkansas,5986,39,0.7,5947,99.3,5012,83.7,470,7.9,96,1.6,101,1.7,0,0.0,0,0.0,268,4.5
05119001800,2023,1800,Pulaski County,Arkansas,4454,146,3.3,4308,96.7,588,13.2,3395,76.2,0,0.0,0,0.0,0,0.0,0,0.0,325,7.3
05119001900,2023,1900,Pulaski County,Arkansas,3668,146,4.0,3522,96.0,775,21.1,2606,71.0,12,0.3,33,0.9,0,0.0,0,0.0,96,2.6
05119002001,2023,2001,Pulaski County,Arkansas,6543,2632,40.2,3911,59.8,429,6.6,3450,52.7,0,0.0,0,0.0,0,0.0,0,0.0,32,0.5
05119002002,2023,2002,Pulaski County,Arkansas,3905,700,17.9,3205,82.1,339,8.7,2681,68.7,0,0.0,0,0.0,0,0.0,0,0.0,185,4.7
05119002102,2023,2102,Pulaski County,Arkansas,4253,499,11.7,3754,88.3,1222,28.7,2296,54.0,22,0.5,40,0.9,13,0.3,1,0.0,160,3.8
05119002103,2023,2103,Pulaski County,Arkansas,3363,58,1.7,3305,98.3,2007,59.7,990,29.4,1,0.0,236,7.0,0,0.0,0,0.0,71,2.1
05119002104,2023,2104,Pulaski County,Arkansas,5289,0,0.0,5289,100.0,4161,78.7,750,14.2,27,0.5,123,2.3,0,0.0,0,0.0,228,4.3
05119002203,2023,2203,Pulaski County,Arkansas,4267,109,2.6,4158,97.4,2587,60.6,1285,30.1,0,0.0,0,0.0,0,0.0,36,0.8,250,5.9
05119002206,2023,2206,Pulaski County,Arkansas,3948,118,3.0,3830,97.0,2184,55.3,1471,37.3,0,0.0,89,2.3,0,0.0,0,0.0,86,2.2
05119002208,2023,2208,Pulaski County,Arkansas,2088,157,7.5,1931,92.5,1014,48.6,666,31.9,31,1.5,120,5.7,10,0.5,0,0.0,90,4.3
05119002209,2023,2209,Pulaski County,Arkansas,3174,356,11.2,2818,88.8,1415,44.6,1204,37.9,0,0.0,22,0.7,0,0.0,0,0.0,177,5.6
05119002210,2023,2210,Pulaski County,Arkansas,1975,18,0.9,1957,99.1,1586,80.3,306,15.5,0,0.0,0,0.0,0,0.0,0,0.0,65,3.3
05119002211,2023,2211,Pulaski County,Arkansas,6512,550,8.4,5962,91.6,3151,48.4,2196,33.7,0,0.0,80,1.2,0,0.0,0,0.0,535,8.2
05119002403,2023,2403,Pulaski County,Arkansas,3554,287,8.1,3267,91.9,788,22.2,2357,66.3,0,0.0,41,1.2,0,0.0,0,0.0,81,2.3
