unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
25025110501,2020,110501,Suffolk County,Massachusetts,187,19,0,77,91,2715,67,31,361,455,155,811,835,10.2,0.0,41.2,48.7,2.5,1.1,13.3,16.8,5.7,29.9,30.8,1389,103994,126765,3553,236,6.6,3317,93.4,2995,84.3,86,2.4,0,0.0,60,1.7,0,0.0,0,0.0,176,5.0
25025110502,2020,110502,Suffolk County,Massachusetts,213,9,131,57,16,3472,135,182,658,487,108,742,1160,4.2,61.5,26.8,7.5,3.9,5.2,19.0,14.0,3.1,21.4,33.4,1787,101402,108604,4674,1414,30.3,3260,69.7,2304,49.3,549,11.7,45,1.0,152,3.3,0,0.0,57,1.2,153,3.3
25025110601,2020,110601,Suffolk County,Massachusetts,87,22,40,24,1,2648,126,41,300,245,244,604,1088,25.3,46.0,27.6,1.1,4.8,1.5,11.3,9.3,9.2,22.8,41.1,1427,110163,143986,3237,258,8.0,2979,92.0,2710,83.7,24,0.7,0,0.0,141,4.4,0,0.0,0,0.0,104,3.2
25025110607,2020,110607,Suffolk County,Massachusetts,417,16,79,229,93,4133,78,66,566,438,84,1466,1435,3.8,18.9,54.9,22.3,1.9,1.6,13.7,10.6,2.0,35.5,34.7,1999,116838,130141,5362,598,11.2,4764,88.8,4432,82.7,77,1.4,0,0.0,140,2.6,0,0.0,53,1.0,62,1.2
25025120103,2020,120103,Suffolk County,Massachusetts,18,0,1,14,3,1422,26,0,40,99,14,341,902,0.0,5.6,77.8,16.7,1.8,0.0,2.8,7.0,1.0,24.0,63.4,740,188462,211050,1784,112,6.3,1672,93.7,1508,84.5,71,4.0,0,0.0,40,2.2,0,0.0,0,0.0,53,3.0
25025120104,2020,120104,Suffolk County,Massachusetts,95,0,26,21,48,1906,55,29,187,144,49,553,889,0.0,27.4,22.1,50.5,2.9,1.5,9.8,7.6,2.6,29.0,46.6,1073,106929,138839,2429,382,15.7,2047,84.3,1757,72.3,185,7.6,0,0.0,55,2.3,0,0.0,0,0.0,50,2.1
25025120105,2020,120105,Suffolk County,Massachusetts,283,2,131,101,49,1837,26,13,168,157,36,440,997,0.7,46.3,35.7,17.3,1.4,0.7,9.1,8.5,2.0,24.0,54.3,981,156875,176540,2550,115,4.5,2435,95.5,2016,79.1,133,5.2,4,0.2,155,6.1,0,0.0,0,0.0,127,5.0
25025120201,2020,120201,Suffolk County,Massachusetts,304,1,13,78,212,3260,96,90,260,352,165,1283,1014,0.3,4.3,25.7,69.7,2.9,2.8,8.0,10.8,5.1,39.4,31.1,2010,91646,124082,4205,889,21.1,3316,78.9,1916,45.6,722,17.2,0,0.0,443,10.5,0,0.0,0,0.0,235,5.6
25025120301,2020,120301,Suffolk County,Massachusetts,298,14,11,85,188,3998,74,144,599,569,84,1286,1242,4.7,3.7,28.5,63.1,1.9,3.6,15.0,14.2,2.1,32.2,31.1,2061,102835,116268,5152,1294,25.1,3858,74.9,2469,47.9,761,14.8,0,0.0,271,5.3,0,0.0,69,1.3,288,5.6
25025120400,2020,120400,Suffolk County,Massachusetts,291,36,71,7,177,5431,106,93,365,488,106,1586,2687,12.4,24.4,2.4,60.8,2.0,1.7,6.7,9.0,2.0,29.2,49.5,3000,113065,150840,6495,623,9.6,5872,90.4,4724,72.7,371,5.7,10,0.2,277,4.3,0,0.0,41,0.6,449,6.9
25025120500,2020,120500,Suffolk County,Massachusetts,244,66,32,77,69,2226,299,66,378,200,42,659,582,27.0,13.1,31.6,28.3,13.4,3.0,17.0,9.0,1.9,29.6,26.1,1145,116964,134821,2973,1309,44.0,1664,56.0,1295,43.6,171,5.8,0,0.0,153,5.1,0,0.0,12,0.4,33,1.1
25025120600,2020,120600,Suffolk County,Massachusetts,175,12,21,15,127,2226,50,39,257,123,61,771,925,6.9,12.0,8.6,72.6,2.2,1.8,11.5,5.5,2.7,34.6,41.6,1136,122071,161735,2672,499,18.7,2173,81.3,1641,61.4,293,11.0,0,0.0,96,3.6,0,0.0,23,0.9,120,4.5
25025120700,2020,120700,Suffolk County,Massachusetts,179,0,0,45,134,1606,35,49,43,125,36,399,919,0.0,0.0,25.1,74.9,2.2,3.1,2.7,7.8,2.2,24.8,57.2,968,101944,131674,2239,327,14.6,1912,85.4,1388,62.0,148,6.6,0,0.0,344,15.4,0,0.0,0,0.0,32,1.4
25025130101,2020,130101,Suffolk County,Massachusetts,300,119,41,93,47,5030,101,88,776,523,156,1295,2091,39.7,13.7,31.0,15.7,2.0,1.7,15.4,10.4,3.1,25.7,41.6,2793,130881,141059,6734,358,5.3,6376,94.7,5216,77.5,251,3.7,19,0.3,615,9.1,0,0.0,22,0.3,253,3.8
